bb_filename,cc_filename,shape,sample,gain,avg,freq,rtime,dtime,bb_1,bb_2,bb_3,bb_4,bb_5,bb_6,bb_7,bb_8,bb_9,bb_10,bb_11,bb_12,bb_13,bb_14,bb_15,bb_16,bb_17,bb_18,bb_19,bb_20,bb_21,bb_22,bb_23,bb_24,bb_25,bb_26,bb_27,bb_28,bb_29,bb_30,bb_31,bb_32,bb_33,bb_34,bb_35,bb_36,bb_37,bb_38,bb_39,bb_40,bb_41,bb_42,bb_43,bb_44,bb_45,bb_46,bb_47,bb_48,bb_49,bb_50,bb_51,bb_52,bb_53,bb_54,bb_55,bb_56,bb_57,bb_58,bb_59,bb_60,bb_61,bb_62,bb_63,bb_64,bb_65,bb_66,bb_67,bb_68,bb_69,bb_70,bb_71,bb_72,bb_73,bb_74,bb_75,bb_76,bb_77,bb_78,bb_79,bb_80,bb_81,bb_82,bb_83,bb_84,bb_85,bb_86,bb_87,bb_88,bb_89,bb_90,bb_91,bb_92,bb_93,bb_94,bb_95,bb_96,bb_97,bb_98,bb_99,bb_100,bb_101,bb_102,bb_103,bb_104,bb_105,bb_106,bb_107,bb_108,bb_109,bb_110,bb_111,bb_112,bb_113,bb_114,bb_115,bb_116,bb_117,bb_118,bb_119,bb_120,cc_1,cc_2,cc_3,cc_4,cc_5,cc_6,cc_7,cc_8,cc_9,cc_10,cc_11,cc_12,cc_13,cc_14,cc_15,cc_16,cc_17,cc_18,cc_19,cc_20,cc_21,cc_22,cc_23,cc_24,cc_25,cc_26,cc_27,cc_28,cc_29,cc_30,cc_31,cc_32,cc_33,cc_34,cc_35,cc_36,cc_37,cc_38,cc_39,cc_40,cc_41,cc_42,cc_43,cc_44,cc_45,cc_46,cc_47,cc_48,cc_49,cc_50,cc_51,cc_52,cc_53,cc_54,cc_55,cc_56,cc_57,cc_58,cc_59,cc_60,cc_61,cc_62,cc_63,cc_64,cc_65,cc_66,cc_67,cc_68,cc_69,cc_70,cc_71,cc_72,cc_73,cc_74,cc_75,cc_76,cc_77,cc_78,cc_79,cc_80,cc_81,cc_82,cc_83,cc_84,cc_85,cc_86,cc_87,cc_88,cc_89,cc_90,cc_91,cc_92,cc_93,cc_94,cc_95,cc_96,cc_97,cc_98,cc_99,cc_100,cc_101,cc_102,cc_103,cc_104,cc_105,cc_106,cc_107,cc_108,cc_109,cc_110,cc_111,cc_112,cc_113,cc_114,cc_115,cc_116,cc_117,cc_118,cc_119,cc_120,cutoff
snapshot_549173.png,snapshot_608199.png,T,B,7,5,20000,3354876837602,53.1049425,15803.0,1520.6,616.8,4550.0,4556.2,1122.6,529.0,1352.0,4508.0,594.8,386.8,463.0,449.4,316.4,313.2,14764.2,989.2,4561.6,4562.2,3942.4,746.4,929.4,4479.0,884.2,484.6,359.2,394.8,411.4,330.6,14456.4,4531.4,4501.4,14974.8,3811.8,420.8,4350.6,1208.4,885.8,268.2,331.4,420.4,369.2,4748.2,4733.4,3993.8,15777.4,311.0,4574.4,899.8,1344.6,266.4,293.2,415.8,450.0,3528.8,925.6,203.6,15197.0,3483.4,753.6,290.8,1181.2,767.6,428.6,249.0,13434.4,863.2,3738.4,3148.2,3619.6,773.2,754.8,1071.0,804.2,365.8,13317.8,773.6,4588.8,13926.8,3620.4,346.4,701.2,1119.6,741.6,299.6,5035.2,3803.6,14899.6,273.4,361.6,853.4,1190.2,4934.0,1011.0,289.2,14769.0,3821.4,874.0,341.8,13173.2,922.8,3581.0,13787.6,3619.4,722.6,13158.2,656.6,3414.0,13743.4,3480.8,250.6,653.0,3761.6,14624.2,243.0,13176.2,1149.8,14696.4,1141.8,13126.6,15773.8,1518.2,624.8,4424.8,4427.4,1126.6,533.0,1355.8,4373.4,600.6,365.6,465.8,446.2,314.4,289.2,14735.0,992.6,4609.0,4610.8,3946.2,755.2,932.2,4526.8,891.2,422.6,367.2,400.6,426.0,305.2,14458.0,4453.8,4429.0,14989.6,3827.2,429.8,4336.4,1218.8,742.0,276.8,332.8,440.0,335.2,4751.0,4737.4,4003.0,15796.6,324.4,4590.6,919.0,1110.2,277.8,299.6,440.0,404.4,3280.4,923.0,193.4,15201.8,3303.2,753.6,252.6,1181.0,766.2,439.8,229.2,13424.2,877.8,3737.6,3063.8,3622.2,663.8,757.6,1078.8,840.6,327.2,13364.8,777.0,4543.6,13958.2,3178.0,352.6,721.0,1213.2,678.2,315.4,5041.2,3930.8,12942.2,280.8,385.2,989.6,1092.0,4869.6,1012.2,257.0,14772.6,3827.0,892.6,310.8,13133.4,809.6,3585.2,13813.8,3701.2,672.0,12013.8,655.8,3429.6,13286.2,3292.4,257.6,548.0,3533.0,10197.8,258.6,13272.2,1069.4,14797.8,1063.6,12523.8,0.5
snapshot_549173.png,snapshot_318704.png,T,B,7,5,20000,3354944207671,59.8733651,15803.0,1520.6,616.8,4550.0,4556.2,1122.6,529.0,1352.0,4508.0,594.8,386.8,463.0,449.4,316.4,313.2,14764.2,989.2,4561.6,4562.2,3942.4,746.4,929.4,4479.0,884.2,484.6,359.2,394.8,411.4,330.6,14456.4,4531.4,4501.4,14974.8,3811.8,420.8,4350.6,1208.4,885.8,268.2,331.4,420.4,369.2,4748.2,4733.4,3993.8,15777.4,311.0,4574.4,899.8,1344.6,266.4,293.2,415.8,450.0,3528.8,925.6,203.6,15197.0,3483.4,753.6,290.8,1181.2,767.6,428.6,249.0,13434.4,863.2,3738.4,3148.2,3619.6,773.2,754.8,1071.0,804.2,365.8,13317.8,773.6,4588.8,13926.8,3620.4,346.4,701.2,1119.6,741.6,299.6,5035.2,3803.6,14899.6,273.4,361.6,853.4,1190.2,4934.0,1011.0,289.2,14769.0,3821.4,874.0,341.8,13173.2,922.8,3581.0,13787.6,3619.4,722.6,13158.2,656.6,3414.0,13743.4,3480.8,250.6,653.0,3761.6,14624.2,243.0,13176.2,1149.8,14696.4,1141.8,13126.6,15765.8,1515.4,613.8,4119.4,4118.8,1117.4,515.8,1347.0,4084.6,581.8,341.8,446.8,439.0,288.0,279.8,14741.8,991.4,4658.2,4657.2,3946.4,752.8,934.0,4561.4,890.6,420.8,357.8,399.2,424.2,307.6,14446.6,4544.6,4519.4,14974.8,3827.6,420.0,4377.6,1218.6,744.4,264.0,330.4,439.4,333.6,4744.2,4731.8,4004.2,15790.8,305.4,4598.6,918.0,1110.0,261.8,291.2,435.4,405.0,3037.2,923.6,183.2,15190.8,3034.0,751.6,239.4,1179.6,767.0,436.4,219.0,13430.2,875.8,3742.8,2747.4,3627.8,658.0,754.6,1080.4,838.4,325.0,13351.2,778.8,4565.8,13957.2,3181.0,346.2,722.4,1213.0,678.8,300.6,5107.2,3930.8,12935.2,273.0,381.8,992.6,1090.8,4884.8,1011.0,249.2,14773.2,3825.6,895.8,310.6,13135.4,813.0,3591.0,13803.6,3704.4,673.2,12010.4,659.0,3431.6,13286.4,3290.8,249.0,548.2,3532.2,10198.4,158.0,13020.2,1065.0,14800.2,1063.2,12520.6,0.5
snapshot_549173.png,snapshot_718370.png,T,B,7,5,20000,3355001502620,65.6130114,15803.0,1520.6,616.8,4550.0,4556.2,1122.6,529.0,1352.0,4508.0,594.8,386.8,463.0,449.4,316.4,313.2,14764.2,989.2,4561.6,4562.2,3942.4,746.4,929.4,4479.0,884.2,484.6,359.2,394.8,411.4,330.6,14456.4,4531.4,4501.4,14974.8,3811.8,420.8,4350.6,1208.4,885.8,268.2,331.4,420.4,369.2,4748.2,4733.4,3993.8,15777.4,311.0,4574.4,899.8,1344.6,266.4,293.2,415.8,450.0,3528.8,925.6,203.6,15197.0,3483.4,753.6,290.8,1181.2,767.6,428.6,249.0,13434.4,863.2,3738.4,3148.2,3619.6,773.2,754.8,1071.0,804.2,365.8,13317.8,773.6,4588.8,13926.8,3620.4,346.4,701.2,1119.6,741.6,299.6,5035.2,3803.6,14899.6,273.4,361.6,853.4,1190.2,4934.0,1011.0,289.2,14769.0,3821.4,874.0,341.8,13173.2,922.8,3581.0,13787.6,3619.4,722.6,13158.2,656.6,3414.0,13743.4,3480.8,250.6,653.0,3761.6,14624.2,243.0,13176.2,1149.8,14696.4,1141.8,13126.6,15744.2,1518.8,613.4,4084.6,4086.6,1114.2,520.2,1346.0,4050.6,586.0,333.2,446.4,432.0,286.6,274.6,14737.4,992.0,4604.8,4608.4,3947.2,753.8,932.2,4538.2,890.0,416.4,358.6,399.2,422.2,305.0,14422.2,4611.4,4586.6,14960.8,3823.8,422.0,4403.2,1221.2,744.4,266.4,330.6,438.0,335.2,4839.0,4824.0,4002.4,15781.0,304.4,4631.6,921.6,1109.2,260.4,291.4,438.2,404.4,2977.0,923.0,176.2,15190.6,2985.0,752.0,235.6,1181.6,764.2,435.4,219.4,13412.2,880.0,3741.4,2837.0,3622.4,663.6,756.6,1079.2,841.8,325.8,13350.2,775.4,4561.0,13951.6,3180.0,348.0,719.2,1216.0,678.4,302.2,5106.4,3931.8,12933.0,267.8,383.4,991.6,1091.6,4930.4,1015.2,248.8,14765.6,3828.2,893.6,312.2,13153.0,812.4,3588.6,13806.4,3704.4,670.2,12015.2,658.0,3430.8,13283.4,3294.0,244.4,549.2,3535.2,10194.6,158.8,13032.0,1068.0,14798.2,1064.0,12520.2,0.5
snapshot_549173.png,snapshot_632377.png,T,B,7,5,20000,3355058651954,71.4361154,15803.0,1520.6,616.8,4550.0,4556.2,1122.6,529.0,1352.0,4508.0,594.8,386.8,463.0,449.4,316.4,313.2,14764.2,989.2,4561.6,4562.2,3942.4,746.4,929.4,4479.0,884.2,484.6,359.2,394.8,411.4,330.6,14456.4,4531.4,4501.4,14974.8,3811.8,420.8,4350.6,1208.4,885.8,268.2,331.4,420.4,369.2,4748.2,4733.4,3993.8,15777.4,311.0,4574.4,899.8,1344.6,266.4,293.2,415.8,450.0,3528.8,925.6,203.6,15197.0,3483.4,753.6,290.8,1181.2,767.6,428.6,249.0,13434.4,863.2,3738.4,3148.2,3619.6,773.2,754.8,1071.0,804.2,365.8,13317.8,773.6,4588.8,13926.8,3620.4,346.4,701.2,1119.6,741.6,299.6,5035.2,3803.6,14899.6,273.4,361.6,853.4,1190.2,4934.0,1011.0,289.2,14769.0,3821.4,874.0,341.8,13173.2,922.8,3581.0,13787.6,3619.4,722.6,13158.2,656.6,3414.0,13743.4,3480.8,250.6,653.0,3761.6,14624.2,243.0,13176.2,1149.8,14696.4,1141.8,13126.6,15741.8,1515.4,612.6,4031.2,4032.0,1114.4,515.2,1344.2,3999.6,580.0,339.2,443.0,433.2,283.6,276.8,14727.6,993.4,4710.4,4708.6,3943.4,755.0,934.6,4592.8,894.2,423.2,358.2,401.8,425.0,307.2,14424.4,4498.0,4470.4,14969.2,3826.8,419.0,4359.0,1218.4,743.0,261.0,329.2,440.4,332.2,4788.4,4771.6,4002.2,15777.4,307.2,4613.2,917.6,1111.4,258.0,291.0,436.0,404.0,3115.8,925.0,186.0,15178.4,3106.4,754.0,240.4,1179.0,769.0,435.8,217.8,13425.4,875.0,3742.8,2676.0,3625.4,657.4,755.4,1081.4,838.0,323.8,13340.6,780.8,4625.6,13938.4,3179.8,346.6,724.4,1215.4,678.6,299.6,5059.8,3927.2,12936.2,271.0,379.4,991.2,1090.4,4890.4,1011.2,248.4,14765.8,3825.0,895.4,311.0,13129.2,813.6,3591.2,13800.2,3704.8,674.0,12020.6,658.6,3431.0,13283.6,3291.6,247.6,548.8,3533.6,10196.4,158.6,13021.0,1066.6,14800.2,1062.0,12518.4,0.5
snapshot_549173.png,snapshot_636650.png,T,B,7,5,20000,3355116462173,77.1879087,15803.0,1520.6,616.8,4550.0,4556.2,1122.6,529.0,1352.0,4508.0,594.8,386.8,463.0,449.4,316.4,313.2,14764.2,989.2,4561.6,4562.2,3942.4,746.4,929.4,4479.0,884.2,484.6,359.2,394.8,411.4,330.6,14456.4,4531.4,4501.4,14974.8,3811.8,420.8,4350.6,1208.4,885.8,268.2,331.4,420.4,369.2,4748.2,4733.4,3993.8,15777.4,311.0,4574.4,899.8,1344.6,266.4,293.2,415.8,450.0,3528.8,925.6,203.6,15197.0,3483.4,753.6,290.8,1181.2,767.6,428.6,249.0,13434.4,863.2,3738.4,3148.2,3619.6,773.2,754.8,1071.0,804.2,365.8,13317.8,773.6,4588.8,13926.8,3620.4,346.4,701.2,1119.6,741.6,299.6,5035.2,3803.6,14899.6,273.4,361.6,853.4,1190.2,4934.0,1011.0,289.2,14769.0,3821.4,874.0,341.8,13173.2,922.8,3581.0,13787.6,3619.4,722.6,13158.2,656.6,3414.0,13743.4,3480.8,250.6,653.0,3761.6,14624.2,243.0,13176.2,1149.8,14696.4,1141.8,13126.6,15731.2,1516.4,600.8,3967.2,3967.6,1110.0,513.4,1347.0,3934.6,579.6,333.6,445.6,423.0,288.2,273.2,14710.6,992.2,4620.8,4616.2,3944.2,753.6,932.6,4543.0,892.8,416.6,355.4,400.6,424.0,304.2,14415.6,4592.8,4562.0,14956.0,3826.0,419.0,4398.0,1220.0,745.0,262.6,333.8,440.0,331.8,4850.8,4835.2,4000.0,15768.0,306.8,4632.6,921.2,1113.4,257.4,292.2,438.2,403.0,2804.0,922.8,173.6,15185.8,2849.8,749.4,233.0,1178.0,766.2,430.6,212.4,13434.0,874.8,3739.6,2703.8,3624.2,660.0,758.6,1077.8,838.4,325.6,13341.2,777.8,4591.8,13943.4,3176.4,348.4,725.0,1213.8,678.8,303.8,5165.0,3929.2,12923.2,270.2,380.4,995.2,1091.2,4942.8,1016.0,254.8,14757.8,3827.0,897.8,309.4,13149.2,812.6,3588.6,13803.8,3708.6,670.8,12006.0,660.6,3431.0,13281.8,3292.2,247.2,546.8,3534.8,10197.2,158.2,13035.6,1067.6,14798.4,1062.6,12524.8,0.5
snapshot_549173.png,snapshot_588805.png,T,B,7,5,20000,3355216459770,87.114245,15803.0,1520.6,616.8,4550.0,4556.2,1122.6,529.0,1352.0,4508.0,594.8,386.8,463.0,449.4,316.4,313.2,14764.2,989.2,4561.6,4562.2,3942.4,746.4,929.4,4479.0,884.2,484.6,359.2,394.8,411.4,330.6,14456.4,4531.4,4501.4,14974.8,3811.8,420.8,4350.6,1208.4,885.8,268.2,331.4,420.4,369.2,4748.2,4733.4,3993.8,15777.4,311.0,4574.4,899.8,1344.6,266.4,293.2,415.8,450.0,3528.8,925.6,203.6,15197.0,3483.4,753.6,290.8,1181.2,767.6,428.6,249.0,13434.4,863.2,3738.4,3148.2,3619.6,773.2,754.8,1071.0,804.2,365.8,13317.8,773.6,4588.8,13926.8,3620.4,346.4,701.2,1119.6,741.6,299.6,5035.2,3803.6,14899.6,273.4,361.6,853.4,1190.2,4934.0,1011.0,289.2,14769.0,3821.4,874.0,341.8,13173.2,922.8,3581.0,13787.6,3619.4,722.6,13158.2,656.6,3414.0,13743.4,3480.8,250.6,653.0,3761.6,14624.2,243.0,13176.2,1149.8,14696.4,1141.8,13126.6,15741.4,1525.8,618.2,4234.6,4239.8,1123.0,526.4,1352.2,4197.4,574.6,339.0,460.4,442.8,304.8,287.4,14711.2,991.2,4626.0,4621.6,3943.6,759.8,930.8,4545.2,859.2,382.2,359.8,403.2,430.2,316.8,14429.8,4464.4,4435.0,14972.6,3836.8,417.0,4349.8,1176.6,665.4,268.6,331.8,447.2,353.8,4782.0,4767.0,4001.8,15792.0,308.6,4614.6,882.0,998.0,266.6,296.0,448.2,434.0,3094.8,925.8,186.2,15178.6,3115.6,721.4,217.6,1181.0,767.6,441.6,226.0,13430.6,884.4,3736.2,2906.8,3519.2,587.2,758.8,1080.8,855.4,356.0,13378.6,774.2,4561.0,13697.2,2903.8,348.8,728.2,1254.4,758.8,304.2,5075.2,3814.4,11932.0,273.4,386.8,1039.0,1260.6,4887.6,963.8,236.2,14765.0,3823.4,903.8,323.6,12822.0,699.0,3587.0,13804.0,3759.8,724.6,10252.2,621.0,3253.8,12646.8,3193.0,257.0,435.2,2948.8,9451.0,159.0,13139.0,1142.4,14858.8,1137.4,12991.0,0.5
snapshot_549173.png,snapshot_85959.png,T,B,7,5,20000,3355273133442,92.8688597,15803.0,1520.6,616.8,4550.0,4556.2,1122.6,529.0,1352.0,4508.0,594.8,386.8,463.0,449.4,316.4,313.2,14764.2,989.2,4561.6,4562.2,3942.4,746.4,929.4,4479.0,884.2,484.6,359.2,394.8,411.4,330.6,14456.4,4531.4,4501.4,14974.8,3811.8,420.8,4350.6,1208.4,885.8,268.2,331.4,420.4,369.2,4748.2,4733.4,3993.8,15777.4,311.0,4574.4,899.8,1344.6,266.4,293.2,415.8,450.0,3528.8,925.6,203.6,15197.0,3483.4,753.6,290.8,1181.2,767.6,428.6,249.0,13434.4,863.2,3738.4,3148.2,3619.6,773.2,754.8,1071.0,804.2,365.8,13317.8,773.6,4588.8,13926.8,3620.4,346.4,701.2,1119.6,741.6,299.6,5035.2,3803.6,14899.6,273.4,361.6,853.4,1190.2,4934.0,1011.0,289.2,14769.0,3821.4,874.0,341.8,13173.2,922.8,3581.0,13787.6,3619.4,722.6,13158.2,656.6,3414.0,13743.4,3480.8,250.6,653.0,3761.6,14624.2,243.0,13176.2,1149.8,14696.4,1141.8,13126.6,15729.0,1515.6,605.4,4004.2,4007.6,1113.6,519.0,1343.6,3974.0,560.2,324.8,446.2,426.0,289.6,273.6,14706.4,990.4,4628.0,4626.6,3944.0,758.2,929.0,4548.6,859.2,380.8,357.4,398.6,428.6,316.0,14420.0,4519.4,4492.8,14962.4,3834.4,419.2,4373.4,1174.8,666.2,265.4,331.6,446.2,353.0,4888.4,4875.4,4003.0,15780.2,304.2,4652.0,882.8,999.6,261.4,293.4,444.4,432.2,2891.6,922.8,176.4,15176.4,2914.0,716.8,210.2,1180.6,764.2,437.4,217.0,13413.0,885.8,3738.4,2816.0,3521.4,586.4,758.6,1080.8,856.4,353.8,13372.4,778.4,4593.6,13692.2,2905.0,349.0,727.0,1256.8,759.2,302.6,5149.2,3816.6,11921.6,273.8,387.0,1038.6,1261.2,4937.4,966.6,236.2,14758.2,3824.4,904.2,326.0,12835.2,694.4,3588.0,13806.8,3763.0,724.6,10253.2,618.0,3254.6,12649.8,3192.6,253.6,434.6,2951.2,9449.8,158.2,13084.4,1140.0,14858.8,1139.2,12984.6,0.5
snapshot_549173.png,snapshot_27991.png,T,B,7,5,20000,3355330725846,98.4927337,15803.0,1520.6,616.8,4550.0,4556.2,1122.6,529.0,1352.0,4508.0,594.8,386.8,463.0,449.4,316.4,313.2,14764.2,989.2,4561.6,4562.2,3942.4,746.4,929.4,4479.0,884.2,484.6,359.2,394.8,411.4,330.6,14456.4,4531.4,4501.4,14974.8,3811.8,420.8,4350.6,1208.4,885.8,268.2,331.4,420.4,369.2,4748.2,4733.4,3993.8,15777.4,311.0,4574.4,899.8,1344.6,266.4,293.2,415.8,450.0,3528.8,925.6,203.6,15197.0,3483.4,753.6,290.8,1181.2,767.6,428.6,249.0,13434.4,863.2,3738.4,3148.2,3619.6,773.2,754.8,1071.0,804.2,365.8,13317.8,773.6,4588.8,13926.8,3620.4,346.4,701.2,1119.6,741.6,299.6,5035.2,3803.6,14899.6,273.4,361.6,853.4,1190.2,4934.0,1011.0,289.2,14769.0,3821.4,874.0,341.8,13173.2,922.8,3581.0,13787.6,3619.4,722.6,13158.2,656.6,3414.0,13743.4,3480.8,250.6,653.0,3761.6,14624.2,243.0,13176.2,1149.8,14696.4,1141.8,13126.6,15719.0,1518.0,606.0,3973.8,3975.0,1111.0,518.6,1340.0,3943.0,560.0,326.4,452.4,425.8,285.2,273.8,14694.6,991.2,4673.8,4672.0,3939.0,757.4,931.4,4577.0,857.4,382.6,363.8,399.8,429.2,319.0,14416.4,4474.8,4448.8,14964.6,3834.6,417.6,4353.8,1172.2,665.6,273.4,328.8,444.8,353.6,4800.0,4783.8,4002.2,15784.0,303.8,4625.2,881.6,997.0,270.2,289.8,443.4,434.6,3004.2,921.8,178.8,15174.2,3040.2,717.6,214.0,1178.8,763.8,440.2,223.8,13443.6,883.0,3737.8,2682.8,3522.0,582.8,756.2,1078.8,853.6,352.0,13370.6,778.2,4568.0,13691.6,2905.4,351.8,725.6,1256.0,757.4,300.6,5081.8,3815.2,11927.6,280.6,386.2,1038.0,1260.6,4915.0,963.0,234.4,14756.4,3824.2,904.6,326.2,12822.6,691.6,3587.2,13810.6,3761.6,723.0,10251.4,622.2,3255.4,12644.8,3191.6,264.0,434.8,2950.4,9449.6,163.8,13082.8,1140.8,14858.4,1138.0,12979.4,0.5
snapshot_549173.png,snapshot_884753.png,T,B,7,5,20000,3355386981169,104.1307041,15803.0,1520.6,616.8,4550.0,4556.2,1122.6,529.0,1352.0,4508.0,594.8,386.8,463.0,449.4,316.4,313.2,14764.2,989.2,4561.6,4562.2,3942.4,746.4,929.4,4479.0,884.2,484.6,359.2,394.8,411.4,330.6,14456.4,4531.4,4501.4,14974.8,3811.8,420.8,4350.6,1208.4,885.8,268.2,331.4,420.4,369.2,4748.2,4733.4,3993.8,15777.4,311.0,4574.4,899.8,1344.6,266.4,293.2,415.8,450.0,3528.8,925.6,203.6,15197.0,3483.4,753.6,290.8,1181.2,767.6,428.6,249.0,13434.4,863.2,3738.4,3148.2,3619.6,773.2,754.8,1071.0,804.2,365.8,13317.8,773.6,4588.8,13926.8,3620.4,346.4,701.2,1119.6,741.6,299.6,5035.2,3803.6,14899.6,273.4,361.6,853.4,1190.2,4934.0,1011.0,289.2,14769.0,3821.4,874.0,341.8,13173.2,922.8,3581.0,13787.6,3619.4,722.6,13158.2,656.6,3414.0,13743.4,3480.8,250.6,653.0,3761.6,14624.2,243.0,13176.2,1149.8,14696.4,1141.8,13126.6,15705.8,1518.8,608.4,4069.6,4070.4,1112.2,521.2,1345.0,4037.2,563.6,321.2,451.8,429.6,288.6,273.8,14694.2,989.0,4620.8,4619.8,3941.4,756.6,930.2,4545.4,856.4,379.4,360.6,397.4,427.2,314.6,14411.4,4515.2,4488.6,14954.2,3831.6,420.0,4371.2,1173.0,666.0,271.4,330.0,444.6,352.4,4879.2,4868.4,4001.6,15771.4,306.6,4648.0,881.4,998.8,268.6,291.2,443.2,431.8,2948.2,923.0,178.4,15165.6,2951.6,718.8,212.2,1179.6,763.0,438.8,218.8,13412.6,884.4,3734.8,2848.2,3519.4,584.6,757.6,1078.4,854.2,353.6,13364.8,778.8,4614.6,13681.2,2903.0,351.6,727.2,1256.0,758.2,302.4,5084.0,3813.2,11924.6,277.4,384.6,1036.8,1260.0,4944.8,965.4,236.8,14751.4,3822.2,904.2,325.2,12816.0,694.4,3586.8,13799.4,3759.8,724.6,10260.0,618.0,3254.2,12646.0,3191.0,259.6,434.6,2950.0,9447.8,171.6,13060.0,1138.4,14854.6,1137.8,12980.8,0.5
snapshot_549173.png,snapshot_286469.png,T,B,7,5,20000,3355443324599,109.8354391,15803.0,1520.6,616.8,4550.0,4556.2,1122.6,529.0,1352.0,4508.0,594.8,386.8,463.0,449.4,316.4,313.2,14764.2,989.2,4561.6,4562.2,3942.4,746.4,929.4,4479.0,884.2,484.6,359.2,394.8,411.4,330.6,14456.4,4531.4,4501.4,14974.8,3811.8,420.8,4350.6,1208.4,885.8,268.2,331.4,420.4,369.2,4748.2,4733.4,3993.8,15777.4,311.0,4574.4,899.8,1344.6,266.4,293.2,415.8,450.0,3528.8,925.6,203.6,15197.0,3483.4,753.6,290.8,1181.2,767.6,428.6,249.0,13434.4,863.2,3738.4,3148.2,3619.6,773.2,754.8,1071.0,804.2,365.8,13317.8,773.6,4588.8,13926.8,3620.4,346.4,701.2,1119.6,741.6,299.6,5035.2,3803.6,14899.6,273.4,361.6,853.4,1190.2,4934.0,1011.0,289.2,14769.0,3821.4,874.0,341.8,13173.2,922.8,3581.0,13787.6,3619.4,722.6,13158.2,656.6,3414.0,13743.4,3480.8,250.6,653.0,3761.6,14624.2,243.0,13176.2,1149.8,14696.4,1141.8,13126.6,15724.2,1517.0,606.6,4009.4,4008.8,1112.6,517.2,1344.6,3976.4,569.4,327.2,443.2,432.2,287.4,276.6,14690.8,993.4,4714.8,4712.6,3937.2,756.4,931.2,4598.8,858.6,385.2,356.6,402.6,429.2,317.2,14406.0,4497.6,4471.2,14950.8,3830.0,416.8,4362.8,1171.0,665.2,261.2,329.4,444.6,353.0,4897.4,4879.8,3999.0,15763.6,305.6,4652.2,882.8,998.6,258.4,293.2,442.8,433.2,2864.2,920.0,172.6,15170.0,2925.0,715.0,213.0,1176.2,763.6,437.2,221.6,13404.8,880.4,3736.8,2638.4,3519.4,580.6,755.6,1076.4,854.2,350.8,13368.8,776.4,4571.0,13685.8,2900.4,347.0,723.6,1256.0,756.6,299.2,5044.8,3811.2,11923.0,267.8,384.0,1036.4,1258.6,4920.6,962.0,242.4,14752.6,3822.6,904.6,324.4,12816.8,695.2,3588.6,13793.0,3759.8,723.2,10246.4,617.4,3252.0,12644.6,3190.0,251.4,435.6,2951.0,9445.6,156.2,13079.2,1138.4,14856.8,1136.4,12979.8,0.5
