bb_filename,cc_filename,shape,sample,gain,avg,freq,rtime,dtime,bb_1,bb_2,bb_3,bb_4,bb_5,bb_6,bb_7,bb_8,bb_9,bb_10,bb_11,bb_12,bb_13,bb_14,bb_15,bb_16,bb_17,bb_18,bb_19,bb_20,bb_21,bb_22,bb_23,bb_24,bb_25,bb_26,bb_27,bb_28,bb_29,bb_30,bb_31,bb_32,bb_33,bb_34,bb_35,bb_36,bb_37,bb_38,bb_39,bb_40,bb_41,bb_42,bb_43,bb_44,bb_45,bb_46,bb_47,bb_48,bb_49,bb_50,bb_51,bb_52,bb_53,bb_54,bb_55,bb_56,bb_57,bb_58,bb_59,bb_60,bb_61,bb_62,bb_63,bb_64,bb_65,bb_66,bb_67,bb_68,bb_69,bb_70,bb_71,bb_72,bb_73,bb_74,bb_75,bb_76,bb_77,bb_78,bb_79,bb_80,bb_81,bb_82,bb_83,bb_84,bb_85,bb_86,bb_87,bb_88,bb_89,bb_90,bb_91,bb_92,bb_93,bb_94,bb_95,bb_96,bb_97,bb_98,bb_99,bb_100,bb_101,bb_102,bb_103,bb_104,bb_105,bb_106,bb_107,bb_108,bb_109,bb_110,bb_111,bb_112,bb_113,bb_114,bb_115,bb_116,bb_117,bb_118,bb_119,bb_120,cc_1,cc_2,cc_3,cc_4,cc_5,cc_6,cc_7,cc_8,cc_9,cc_10,cc_11,cc_12,cc_13,cc_14,cc_15,cc_16,cc_17,cc_18,cc_19,cc_20,cc_21,cc_22,cc_23,cc_24,cc_25,cc_26,cc_27,cc_28,cc_29,cc_30,cc_31,cc_32,cc_33,cc_34,cc_35,cc_36,cc_37,cc_38,cc_39,cc_40,cc_41,cc_42,cc_43,cc_44,cc_45,cc_46,cc_47,cc_48,cc_49,cc_50,cc_51,cc_52,cc_53,cc_54,cc_55,cc_56,cc_57,cc_58,cc_59,cc_60,cc_61,cc_62,cc_63,cc_64,cc_65,cc_66,cc_67,cc_68,cc_69,cc_70,cc_71,cc_72,cc_73,cc_74,cc_75,cc_76,cc_77,cc_78,cc_79,cc_80,cc_81,cc_82,cc_83,cc_84,cc_85,cc_86,cc_87,cc_88,cc_89,cc_90,cc_91,cc_92,cc_93,cc_94,cc_95,cc_96,cc_97,cc_98,cc_99,cc_100,cc_101,cc_102,cc_103,cc_104,cc_105,cc_106,cc_107,cc_108,cc_109,cc_110,cc_111,cc_112,cc_113,cc_114,cc_115,cc_116,cc_117,cc_118,cc_119,cc_120
snapshot_629564.png,snapshot_225474.png,O,P,7,5,20000,190026183743,598.902271,15671.2,1530.8,637.8,4653.8,4659.2,1135.2,540.4,1353.8,4607.6,608.2,392.8,480.6,468.4,318,316.8,14665.2,981.4,4575.2,4578.4,3920.6,744.2,934.6,4500.6,878.8,491.4,362.2,405,417,337,14340,4578.4,4554.8,14868.6,3787.4,429.8,4376.2,1200.2,888.8,274.2,337.6,424.2,373.4,4736,4724.8,3983.8,15703.8,313.6,4582.8,895.8,1339.6,276,311.2,413.2,456,3502.2,913,216.2,15083,3469.4,750.4,297.8,1166.6,760.2,434.6,248,13331.6,862,3718,2965.4,3602.2,774,742.8,1065,805.2,364,13243.6,774.2,4532.4,13853,3607,343.6,695.6,1116.6,745.4,298.6,4990.8,3783.2,14795.8,275.6,373.6,848.8,1179.4,4901.8,1005.2,280.4,14643.2,3793,864.6,343.2,13107.2,915.4,3558.4,13732.4,3603.2,718.8,13081.2,654.6,3394.2,13680.6,3470.2,248.6,651.2,3745.4,14534.2,498.2,13437,1144.8,14614,1144,13060.6,15668.6,1540,625,4371.4,4373.4,1086.4,537.6,1365.2,4314.6,513.4,395.6,470.6,452,315.4,301.2,14670.6,1003,4699.2,4688.6,3899,767.4,937.8,4577.4,656.2,488.2,357.2,412.8,414.4,327.6,14369.4,4526.2,4487.8,15002.8,3850.4,419.2,4361.4,909.2,894.4,264.8,337.2,415.8,362.8,4834,4816.8,3995.2,15735.4,318.4,4614.2,759,1372.4,267.2,297.8,424.4,455,3325.2,812.4,201.6,15088.4,3296.4,571.6,280.2,1174.6,780.4,427.4,236.6,12701.2,831.4,3815.6,2972.4,2318.2,691.2,775,1091.2,759.4,347,13401.6,639.4,4572.2,12638,3431.4,289,534.4,885.8,649,299.6,5119.2,3437.6,14888.2,281.6,359.8,861.2,1207,4938.4,836,291.8,14652.4,3807.2,886.8,348.4,11790.8,870.4,3640.4,13951.2,3736.6,740.8,13076.4,579.6,3296.4,13761.4,3449.8,254.8,669.4,3794,14578.2,219.8,13115.8,1155.4,14681,1151.4,13067.2
snapshot_629564.png,snapshot_379860.png,O,P,7,5,20000,190082840306,604.6872304,15671.2,1530.8,637.8,4653.8,4659.2,1135.2,540.4,1353.8,4607.6,608.2,392.8,480.6,468.4,318,316.8,14665.2,981.4,4575.2,4578.4,3920.6,744.2,934.6,4500.6,878.8,491.4,362.2,405,417,337,14340,4578.4,4554.8,14868.6,3787.4,429.8,4376.2,1200.2,888.8,274.2,337.6,424.2,373.4,4736,4724.8,3983.8,15703.8,313.6,4582.8,895.8,1339.6,276,311.2,413.2,456,3502.2,913,216.2,15083,3469.4,750.4,297.8,1166.6,760.2,434.6,248,13331.6,862,3718,2965.4,3602.2,774,742.8,1065,805.2,364,13243.6,774.2,4532.4,13853,3607,343.6,695.6,1116.6,745.4,298.6,4990.8,3783.2,14795.8,275.6,373.6,848.8,1179.4,4901.8,1005.2,280.4,14643.2,3793,864.6,343.2,13107.2,915.4,3558.4,13732.4,3603.2,718.8,13081.2,654.6,3394.2,13680.6,3470.2,248.6,651.2,3745.4,14534.2,498.2,13437,1144.8,14614,1144,13060.6,15649.4,1527,603.2,3900.4,3907.2,1064.2,512.6,1353.2,3862.8,485,350.8,449.2,423.4,289.8,281.6,14664.8,1001.2,4672,4660.8,3898.2,767.8,935.8,4565,657,485.2,355.4,403.4,414,325,14362.4,4528.2,4490.6,14995.6,3848.6,418.2,4361.2,910.4,894.2,259.2,328,417.2,365.2,4903.8,4889.2,3992.4,15721.4,313.6,4642,760.6,1370,263.2,284.8,427.2,456.6,2913,804.8,179.6,15099.8,2966,569.6,265.6,1171.6,776.2,424.2,230.4,12696.8,832.4,3815,2845.8,2317.4,688.8,772.8,1092,761.4,345.2,13403.8,638,4563.4,12628.6,3432.6,287.4,530,888,647.4,294.8,5141.6,3435.2,14880.2,277.6,354.8,858.8,1208.6,4967.6,836.8,289.4,14647.8,3808.8,885.2,351.8,11788.2,864.6,3642.2,13959.6,3737.4,737.8,13103.6,576.2,3300.4,13760.2,3448,248,663.2,3794.6,14575.8,174.8,12823.8,1151.6,14679.8,1151.2,13086.4
snapshot_629564.png,snapshot_800871.png,O,P,7,5,20000,190140767485,611.3072088,15671.2,1530.8,637.8,4653.8,4659.2,1135.2,540.4,1353.8,4607.6,608.2,392.8,480.6,468.4,318,316.8,14665.2,981.4,4575.2,4578.4,3920.6,744.2,934.6,4500.6,878.8,491.4,362.2,405,417,337,14340,4578.4,4554.8,14868.6,3787.4,429.8,4376.2,1200.2,888.8,274.2,337.6,424.2,373.4,4736,4724.8,3983.8,15703.8,313.6,4582.8,895.8,1339.6,276,311.2,413.2,456,3502.2,913,216.2,15083,3469.4,750.4,297.8,1166.6,760.2,434.6,248,13331.6,862,3718,2965.4,3602.2,774,742.8,1065,805.2,364,13243.6,774.2,4532.4,13853,3607,343.6,695.6,1116.6,745.4,298.6,4990.8,3783.2,14795.8,275.6,373.6,848.8,1179.4,4901.8,1005.2,280.4,14643.2,3793,864.6,343.2,13107.2,915.4,3558.4,13732.4,3603.2,718.8,13081.2,654.6,3394.2,13680.6,3470.2,248.6,651.2,3745.4,14534.2,498.2,13437,1144.8,14614,1144,13060.6,15655.6,1527.2,602.8,4005.2,4010.6,1061.8,523.8,1355.2,3966,484.2,365.4,461.4,425.4,291.4,286.4,14680.6,1003,4706.8,4696.2,3897.6,768.4,935.6,4587.4,655,484.8,363,405.4,410.4,326,14355.2,4561.4,4522.6,14987.6,3846,419,4378.4,911.6,893,270,329.2,412.4,367.2,4806.4,4790.4,3991.2,15728.2,314.4,4608.4,758,1369.2,272.2,285.2,423.4,457.4,3028,807.2,191.4,15095.8,3092.8,568.4,267.4,1175.4,776.6,422.8,237,12693,830.4,3813.8,2711.6,2317.4,689.4,775.4,1091.8,760.4,344.4,13390.4,641.2,4631.6,12620.6,3431,295.6,533.2,889.6,650.2,295.8,5009.6,3435,14898.4,284.2,350.4,859,1208.8,4986.8,839.4,290.6,14642,3811.4,888.2,350.4,11790.4,866.8,3640.4,13959.8,3741.4,739.4,13074.6,580.2,3302.6,13757.4,3449.4,258.6,663.6,3796.8,14577.4,180.4,12827.2,1154.6,14679.8,1151.2,13067.2
snapshot_629564.png,snapshot_205891.png,O,P,7,5,20000,190206856043,617.1225938,15671.2,1530.8,637.8,4653.8,4659.2,1135.2,540.4,1353.8,4607.6,608.2,392.8,480.6,468.4,318,316.8,14665.2,981.4,4575.2,4578.4,3920.6,744.2,934.6,4500.6,878.8,491.4,362.2,405,417,337,14340,4578.4,4554.8,14868.6,3787.4,429.8,4376.2,1200.2,888.8,274.2,337.6,424.2,373.4,4736,4724.8,3983.8,15703.8,313.6,4582.8,895.8,1339.6,276,311.2,413.2,456,3502.2,913,216.2,15083,3469.4,750.4,297.8,1166.6,760.2,434.6,248,13331.6,862,3718,2965.4,3602.2,774,742.8,1065,805.2,364,13243.6,774.2,4532.4,13853,3607,343.6,695.6,1116.6,745.4,298.6,4990.8,3783.2,14795.8,275.6,373.6,848.8,1179.4,4901.8,1005.2,280.4,14643.2,3793,864.6,343.2,13107.2,915.4,3558.4,13732.4,3603.2,718.8,13081.2,654.6,3394.2,13680.6,3470.2,248.6,651.2,3745.4,14534.2,498.2,13437,1144.8,14614,1144,13060.6,15644.6,1525.6,610.2,4024.8,4035.2,1080.8,516.8,1350.8,3999.8,490.2,357.8,461.2,432.8,283.2,289.4,14686.8,997.6,4609.8,4611.6,3893,759.4,945.2,4533.2,644.4,493,357.6,394.2,412.8,333.6,14347.2,4516.8,4488.8,14983.8,3841,426.8,4360.4,903,901.4,261,322,416.6,372,4855.4,4846.4,3999.4,15709.4,309.2,4633.4,757.2,1363.6,268.6,288,413.4,461.8,2787.4,798.4,176,15101.4,2838,562,281.8,1170.8,767.8,426.8,229.8,12680.4,836.4,3818.8,2754.6,2318.6,698.2,769.2,1088,768.8,341.4,13387.2,646,4566.6,12617,3432.6,292,522.8,888.4,655.8,287.4,5079.2,3442.4,14877.4,268.2,361.4,858.8,1199.8,4936,838.4,291.2,14649.4,3816.2,879,349.2,11795.4,862.4,3637.2,13959.2,3739,730.4,13070.4,583.4,3291.6,13758.4,3454.6,239.6,665.2,3804.8,14570,171.2,12849.2,1153,14674,1158.2,13068.2
snapshot_629564.png,snapshot_609192.png,O,P,7,5,20000,190264893611,622.9552636,15671.2,1530.8,637.8,4653.8,4659.2,1135.2,540.4,1353.8,4607.6,608.2,392.8,480.6,468.4,318,316.8,14665.2,981.4,4575.2,4578.4,3920.6,744.2,934.6,4500.6,878.8,491.4,362.2,405,417,337,14340,4578.4,4554.8,14868.6,3787.4,429.8,4376.2,1200.2,888.8,274.2,337.6,424.2,373.4,4736,4724.8,3983.8,15703.8,313.6,4582.8,895.8,1339.6,276,311.2,413.2,456,3502.2,913,216.2,15083,3469.4,750.4,297.8,1166.6,760.2,434.6,248,13331.6,862,3718,2965.4,3602.2,774,742.8,1065,805.2,364,13243.6,774.2,4532.4,13853,3607,343.6,695.6,1116.6,745.4,298.6,4990.8,3783.2,14795.8,275.6,373.6,848.8,1179.4,4901.8,1005.2,280.4,14643.2,3793,864.6,343.2,13107.2,915.4,3558.4,13732.4,3603.2,718.8,13081.2,654.6,3394.2,13680.6,3470.2,248.6,651.2,3745.4,14534.2,498.2,13437,1144.8,14614,1144,13060.6,15612.4,1513.6,605.2,3896.6,3903.2,1067.8,511.4,1347.8,3866.8,488,352,450.4,424,277.4,283,14650,995,4674.6,4669.4,3890.4,761.2,940.6,4566,646.2,486.8,355.2,401,410.2,330,14351.2,4555.2,4523.8,14974,3841.2,419.8,4377,905.4,898.4,259.4,325.4,414.4,368.4,4756,4745.2,3993.6,15717.4,307.2,4597.2,754.4,1362.4,257.4,287.4,415.2,459,2894.6,799.4,177.4,15091.6,2938.4,562.8,268.6,1169,770.6,424.4,231.2,12679.4,831.4,3815.8,2773,2317.8,693,769.2,1086.8,763.8,344.4,13396.2,642.4,4593.8,12610.8,3432.8,288.6,528,886,652.2,287,5013.8,3438,14889.2,267.2,354.2,857.4,1202.4,4961.6,837.6,282.6,14641.2,3810,883.4,348.8,11786.8,867.6,3638.2,13941,3737.4,733.2,13070.2,577.2,3292.2,13756.8,3450.6,240.2,664.2,3798.4,14570.8,183,12991.8,1150.8,14671.8,1154.2,13065.6
snapshot_629564.png,snapshot_900166.png,O,P,7,5,20000,190503806116,646.8642699,15671.2,1530.8,637.8,4653.8,4659.2,1135.2,540.4,1353.8,4607.6,608.2,392.8,480.6,468.4,318,316.8,14665.2,981.4,4575.2,4578.4,3920.6,744.2,934.6,4500.6,878.8,491.4,362.2,405,417,337,14340,4578.4,4554.8,14868.6,3787.4,429.8,4376.2,1200.2,888.8,274.2,337.6,424.2,373.4,4736,4724.8,3983.8,15703.8,313.6,4582.8,895.8,1339.6,276,311.2,413.2,456,3502.2,913,216.2,15083,3469.4,750.4,297.8,1166.6,760.2,434.6,248,13331.6,862,3718,2965.4,3602.2,774,742.8,1065,805.2,364,13243.6,774.2,4532.4,13853,3607,343.6,695.6,1116.6,745.4,298.6,4990.8,3783.2,14795.8,275.6,373.6,848.8,1179.4,4901.8,1005.2,280.4,14643.2,3793,864.6,343.2,13107.2,915.4,3558.4,13732.4,3603.2,718.8,13081.2,654.6,3394.2,13680.6,3470.2,248.6,651.2,3745.4,14534.2,498.2,13437,1144.8,14614,1144,13060.6,15657.6,1524.2,620.4,4342.8,4345.4,1125.6,533,1384.2,4290.6,599.4,394,474.4,395.8,327,307.4,14636.8,989.4,4679,4671,3921.8,750.8,947,4563.6,902.4,491.6,356.6,349.2,424.2,331.2,14327.4,4487.6,4453,14865.2,3788.8,423.8,4345.6,1215.8,882,262.8,298.4,427.6,366.8,4811.8,4796.6,3973,15678,316.4,4603.2,905.4,1348,266.4,279.6,428,453.2,3226.2,928,197.6,15226.6,3266.4,763.6,285,1191.8,550,418,240.8,13351.8,864.8,3825.6,2976.8,3671.4,774.6,729.2,756.6,803,369.6,13224,782.4,4630.4,13883.4,3604.6,329.4,564.6,1138,742.8,299.8,5056,3787,14778.2,277.8,319,857.6,1187.4,4912,953.6,286.6,15163.6,2721,792.2,340.2,12776.4,828.8,2336.2,13811.6,3004.6,625.4,13106,579.2,2969.2,13825.6,3487.8,253,577.4,3760,14535.2,178.2,12929.4,1085.4,14568,1082.6,13096
snapshot_629564.png,snapshot_281435.png,O,P,7,5,20000,190562355911,653.2497832,15671.2,1530.8,637.8,4653.8,4659.2,1135.2,540.4,1353.8,4607.6,608.2,392.8,480.6,468.4,318,316.8,14665.2,981.4,4575.2,4578.4,3920.6,744.2,934.6,4500.6,878.8,491.4,362.2,405,417,337,14340,4578.4,4554.8,14868.6,3787.4,429.8,4376.2,1200.2,888.8,274.2,337.6,424.2,373.4,4736,4724.8,3983.8,15703.8,313.6,4582.8,895.8,1339.6,276,311.2,413.2,456,3502.2,913,216.2,15083,3469.4,750.4,297.8,1166.6,760.2,434.6,248,13331.6,862,3718,2965.4,3602.2,774,742.8,1065,805.2,364,13243.6,774.2,4532.4,13853,3607,343.6,695.6,1116.6,745.4,298.6,4990.8,3783.2,14795.8,275.6,373.6,848.8,1179.4,4901.8,1005.2,280.4,14643.2,3793,864.6,343.2,13107.2,915.4,3558.4,13732.4,3603.2,718.8,13081.2,654.6,3394.2,13680.6,3470.2,248.6,651.2,3745.4,14534.2,498.2,13437,1144.8,14614,1144,13060.6,15621,1519.4,605.6,3930.8,3934,1111,513.2,1369.2,3898.8,576.6,351.4,449.6,376,289.6,283.4,14601,987.4,4726.8,4720.6,3922.2,750.6,947.8,4597.2,900.8,493.2,352.8,343.2,421.4,333,14318.6,4525.2,4492,14854.8,3787.4,422.8,4367.2,1217,882.6,255.6,289.4,427.2,370,4921.8,4909.8,3972,15662.8,312.6,4649,903.2,1346,259.8,272,426.4,455,2851.4,925.8,178.8,15214.6,2846.6,760.2,274.2,1191,545,415.2,230,13340.6,864.8,3825.2,2659.2,3672.8,775.4,725,755.4,805.8,366.8,13219.6,781.4,4604,13885.2,3608.6,325.8,561.8,1137.4,743.8,299.4,5167.4,3793.2,14756.4,270,317.2,860.6,1187.6,5024,961.4,290,15154.2,2725.2,793.6,340,12773.2,823.4,2334.8,13826.6,3006.4,621,13098.6,582.2,2972.2,13826.8,3489,242,578,3763.2,14534.6,169,12707.4,1085.4,14568.2,1085.2,13090
snapshot_629564.png,snapshot_789726.png,O,P,7,5,20000,190626188565,659.0893738,15671.2,1530.8,637.8,4653.8,4659.2,1135.2,540.4,1353.8,4607.6,608.2,392.8,480.6,468.4,318,316.8,14665.2,981.4,4575.2,4578.4,3920.6,744.2,934.6,4500.6,878.8,491.4,362.2,405,417,337,14340,4578.4,4554.8,14868.6,3787.4,429.8,4376.2,1200.2,888.8,274.2,337.6,424.2,373.4,4736,4724.8,3983.8,15703.8,313.6,4582.8,895.8,1339.6,276,311.2,413.2,456,3502.2,913,216.2,15083,3469.4,750.4,297.8,1166.6,760.2,434.6,248,13331.6,862,3718,2965.4,3602.2,774,742.8,1065,805.2,364,13243.6,774.2,4532.4,13853,3607,343.6,695.6,1116.6,745.4,298.6,4990.8,3783.2,14795.8,275.6,373.6,848.8,1179.4,4901.8,1005.2,280.4,14643.2,3793,864.6,343.2,13107.2,915.4,3558.4,13732.4,3603.2,718.8,13081.2,654.6,3394.2,13680.6,3470.2,248.6,651.2,3745.4,14534.2,498.2,13437,1144.8,14614,1144,13060.6,15593.4,1508,604.8,3969.8,3974.2,1114.8,521.4,1371.4,3935.6,578.4,365,455.6,376.2,285.8,283,14613,988,4614.6,4609.4,3920.8,743.8,945,4536.2,898,487.6,348.8,337.6,416.6,333,14325.6,4502,4468.8,14860,3787.8,426.2,4359.6,1213.2,879.8,258.6,290.8,423.4,368,4746.4,4733,3974.4,15678.4,312.8,4587.6,901,1344.4,259.6,269.6,418.8,452.2,2810.4,926.8,176.8,15222.8,2855.2,756.4,273.6,1194.6,542.6,409,228,13348.6,867.8,3825.8,2816.8,3667,776.2,728.2,755.8,805.4,365.2,13213.2,776,4540.8,13894.2,3603.8,321.8,557.8,1137.6,746.2,302.2,5091.2,3788.8,14770.2,269.8,317,858.6,1184.2,4973.4,961.2,286.6,15155.8,2722.8,790,339.8,12814.4,825.4,2331.2,13820,3007.4,623,13100.4,578.4,2965.4,13826.4,3490.6,246.6,576.8,3762,14532.6,167.8,12719.6,1087.4,14565.8,1080.4,13085.6
snapshot_629564.png,snapshot_556474.png,O,P,7,5,20000,190684811836,664.9492349,15671.2,1530.8,637.8,4653.8,4659.2,1135.2,540.4,1353.8,4607.6,608.2,392.8,480.6,468.4,318,316.8,14665.2,981.4,4575.2,4578.4,3920.6,744.2,934.6,4500.6,878.8,491.4,362.2,405,417,337,14340,4578.4,4554.8,14868.6,3787.4,429.8,4376.2,1200.2,888.8,274.2,337.6,424.2,373.4,4736,4724.8,3983.8,15703.8,313.6,4582.8,895.8,1339.6,276,311.2,413.2,456,3502.2,913,216.2,15083,3469.4,750.4,297.8,1166.6,760.2,434.6,248,13331.6,862,3718,2965.4,3602.2,774,742.8,1065,805.2,364,13243.6,774.2,4532.4,13853,3607,343.6,695.6,1116.6,745.4,298.6,4990.8,3783.2,14795.8,275.6,373.6,848.8,1179.4,4901.8,1005.2,280.4,14643.2,3793,864.6,343.2,13107.2,915.4,3558.4,13732.4,3603.2,718.8,13081.2,654.6,3394.2,13680.6,3470.2,248.6,651.2,3745.4,14534.2,498.2,13437,1144.8,14614,1144,13060.6,15609.4,1511.6,606.6,3967,3967.2,1112.2,514,1369,3933,578.4,356.8,448.2,381,283.6,285,14610.8,985.2,4666.8,4662.6,3923.2,746.4,944.2,4564.8,899.6,489.4,352,341.4,412.8,332.2,14314.4,4479.4,4446.6,14855.6,3784.8,421.2,4352.2,1214,877.8,255,289.2,421.6,369.6,4774.2,4755.2,3969.8,15672.4,309.8,4600.2,901.6,1342.6,255.8,272.4,420.6,452.8,2798.4,925.6,178,15216.8,2829.4,756.4,270.2,1193.6,544.2,409.2,228.4,13337.4,862.8,3826.4,2747.4,3667.6,774.2,726.4,754.8,806,369.4,13209.4,774.8,4539.4,13889.4,3604.8,323.4,558.2,1133.4,743.8,301.6,5147.2,3789.2,14756.2,269.2,316.8,861.6,1186.6,4889,954.4,279.6,15159.2,2724,790.8,338.2,12771.8,824.6,2332.6,13819.8,3007.6,621.2,13095,581.8,2970.4,13822.6,3487,243.6,575.4,3764,14532.6,168.2,12718.4,1088,14567.4,1082.6,13065.2
snapshot_629564.png,snapshot_114937.png,O,P,7,5,20000,190743128917,670.7530508,15671.2,1530.8,637.8,4653.8,4659.2,1135.2,540.4,1353.8,4607.6,608.2,392.8,480.6,468.4,318,316.8,14665.2,981.4,4575.2,4578.4,3920.6,744.2,934.6,4500.6,878.8,491.4,362.2,405,417,337,14340,4578.4,4554.8,14868.6,3787.4,429.8,4376.2,1200.2,888.8,274.2,337.6,424.2,373.4,4736,4724.8,3983.8,15703.8,313.6,4582.8,895.8,1339.6,276,311.2,413.2,456,3502.2,913,216.2,15083,3469.4,750.4,297.8,1166.6,760.2,434.6,248,13331.6,862,3718,2965.4,3602.2,774,742.8,1065,805.2,364,13243.6,774.2,4532.4,13853,3607,343.6,695.6,1116.6,745.4,298.6,4990.8,3783.2,14795.8,275.6,373.6,848.8,1179.4,4901.8,1005.2,280.4,14643.2,3793,864.6,343.2,13107.2,915.4,3558.4,13732.4,3603.2,718.8,13081.2,654.6,3394.2,13680.6,3470.2,248.6,651.2,3745.4,14534.2,498.2,13437,1144.8,14614,1144,13060.6,15599.6,1508.8,603.8,3809.8,3807,1101.8,514.6,1367.2,3771.6,570.6,352.4,444.4,372,279.6,272,14592.6,989.4,4675.8,4670.2,3922,746,944,4573.8,901.4,485,351,345.8,411.2,331.8,14302.4,4606,4572.6,14837,3782.4,427.8,4405,1215,878.8,260,297.2,419.6,367,4802.8,4782.2,3967.6,15668.2,322.8,4607,905.4,1345.4,253.2,277.2,420.6,448.4,2942.6,931.2,178.8,15197.4,2926.8,758,274.6,1196.2,545.6,407.2,231.2,13337,861.2,3822.2,2725.8,3661.8,774.2,729.8,754.4,803,369.6,13203,777.4,4584.2,13880,3599,323.6,563.4,1133.6,744.4,310.6,5059.6,3784,14770.2,268.2,314.8,861.8,1186,4941.8,958.4,284,15149.6,2721.8,794.2,336.8,12766,826,2330.6,13814.8,3010.6,623,13100.6,582.6,2969.2,13818.8,3488,246.2,572.8,3761,14534,184.6,12886.8,1091.2,14564.6,1078.8,13067
