bb_filename,cc_filename,shape,sample,gain,avg,freq,rtime,dtime,bb_1,bb_2,bb_3,bb_4,bb_5,bb_6,bb_7,bb_8,bb_9,bb_10,bb_11,bb_12,bb_13,bb_14,bb_15,bb_16,bb_17,bb_18,bb_19,bb_20,bb_21,bb_22,bb_23,bb_24,bb_25,bb_26,bb_27,bb_28,bb_29,bb_30,bb_31,bb_32,bb_33,bb_34,bb_35,bb_36,bb_37,bb_38,bb_39,bb_40,bb_41,bb_42,bb_43,bb_44,bb_45,bb_46,bb_47,bb_48,bb_49,bb_50,bb_51,bb_52,bb_53,bb_54,bb_55,bb_56,bb_57,bb_58,bb_59,bb_60,bb_61,bb_62,bb_63,bb_64,bb_65,bb_66,bb_67,bb_68,bb_69,bb_70,bb_71,bb_72,bb_73,bb_74,bb_75,bb_76,bb_77,bb_78,bb_79,bb_80,bb_81,bb_82,bb_83,bb_84,bb_85,bb_86,bb_87,bb_88,bb_89,bb_90,bb_91,bb_92,bb_93,bb_94,bb_95,bb_96,bb_97,bb_98,bb_99,bb_100,bb_101,bb_102,bb_103,bb_104,bb_105,bb_106,bb_107,bb_108,bb_109,bb_110,bb_111,bb_112,bb_113,bb_114,bb_115,bb_116,bb_117,bb_118,bb_119,bb_120,cc_1,cc_2,cc_3,cc_4,cc_5,cc_6,cc_7,cc_8,cc_9,cc_10,cc_11,cc_12,cc_13,cc_14,cc_15,cc_16,cc_17,cc_18,cc_19,cc_20,cc_21,cc_22,cc_23,cc_24,cc_25,cc_26,cc_27,cc_28,cc_29,cc_30,cc_31,cc_32,cc_33,cc_34,cc_35,cc_36,cc_37,cc_38,cc_39,cc_40,cc_41,cc_42,cc_43,cc_44,cc_45,cc_46,cc_47,cc_48,cc_49,cc_50,cc_51,cc_52,cc_53,cc_54,cc_55,cc_56,cc_57,cc_58,cc_59,cc_60,cc_61,cc_62,cc_63,cc_64,cc_65,cc_66,cc_67,cc_68,cc_69,cc_70,cc_71,cc_72,cc_73,cc_74,cc_75,cc_76,cc_77,cc_78,cc_79,cc_80,cc_81,cc_82,cc_83,cc_84,cc_85,cc_86,cc_87,cc_88,cc_89,cc_90,cc_91,cc_92,cc_93,cc_94,cc_95,cc_96,cc_97,cc_98,cc_99,cc_100,cc_101,cc_102,cc_103,cc_104,cc_105,cc_106,cc_107,cc_108,cc_109,cc_110,cc_111,cc_112,cc_113,cc_114,cc_115,cc_116,cc_117,cc_118,cc_119,cc_120
snapshot_730793.png,snapshot_461696.png,T,R,7,5,20000,201252124109,1721.729968,15607.8,1523.4,629.8,4552.4,4552.6,1128.4,538.2,1354.4,4503,608,399.6,479,458.2,320.6,310.8,14586.2,981.8,4595.4,4594.2,3906.8,738.8,923.2,4510.8,880,486.4,364.2,396.8,411.6,335.2,14294,4572.4,4541.4,14814.8,3773.6,420.8,4381.8,1197.6,880,277.2,332.6,420.8,369.6,4798.8,4783,3968.8,15655,312.8,4598.4,895.6,1338.8,278,298.4,415.2,450.4,3614.6,913,210.8,15038.4,3606,745,293.2,1164.4,760.6,427.2,253.2,13285.8,854.6,3700.4,3133.8,3583.6,767.2,746.8,1062,798.6,367,13182.6,766.8,4538.2,13804.4,3586.4,344.2,696,1110.4,741,297.8,5050.6,3764,14743.4,286.6,361.8,847.4,1177.4,4883.2,1000,286,14609,3782.2,866.4,344.2,13062,916.4,3550.6,13693.6,3595,723.6,13041,652,3391.2,13643.6,3456,261.2,648.6,3733.8,14511.6,177.6,12811.6,1137.2,14592,1133.4,13035.6,15577,1522.6,625.6,4365.8,4364.8,1137.4,550,1350.8,4317.6,586.8,334.6,468,461.6,310.2,306.4,14575.6,990.8,4672.4,4671.8,3924.8,778.6,928.6,4567.6,841.8,359.2,361.4,407.2,413.8,349.2,14297.2,4484.6,4458.8,14855.8,3862.4,423,4364.2,1160.6,612.2,269.6,339,430.4,403.4,4826,4809.4,4004,15739.6,315.6,4626.6,873,964.8,269.2,305,430.8,492,3267.6,926.8,198.6,15034.8,3266.8,696.6,216.8,1166.6,766,420.6,251.2,13353.8,952.2,3707.4,3232.8,3455.8,505.2,751.8,1090,808.8,421,13464,779.2,4600.6,13106.6,2351.8,356.6,765.2,1230.2,952.8,317.2,5075.2,3886.8,11870.2,275,423,1030.8,1506.2,4941.4,934.2,243.4,14609.6,3800.6,850.8,361.8,12605.2,556.8,3566.4,13801,3508.6,853.2,8006.2,585.6,3177,10946.8,3155.2,261.2,382.2,2341.6,10327.4,163.2,12492.8,1290.2,14259.6,1288.6,13153
snapshot_730793.png,snapshot_953147.png,T,R,7,5,20000,201311317898,1728.2436953,15607.8,1523.4,629.8,4552.4,4552.6,1128.4,538.2,1354.4,4503,608,399.6,479,458.2,320.6,310.8,14586.2,981.8,4595.4,4594.2,3906.8,738.8,923.2,4510.8,880,486.4,364.2,396.8,411.6,335.2,14294,4572.4,4541.4,14814.8,3773.6,420.8,4381.8,1197.6,880,277.2,332.6,420.8,369.6,4798.8,4783,3968.8,15655,312.8,4598.4,895.6,1338.8,278,298.4,415.2,450.4,3614.6,913,210.8,15038.4,3606,745,293.2,1164.4,760.6,427.2,253.2,13285.8,854.6,3700.4,3133.8,3583.6,767.2,746.8,1062,798.6,367,13182.6,766.8,4538.2,13804.4,3586.4,344.2,696,1110.4,741,297.8,5050.6,3764,14743.4,286.6,361.8,847.4,1177.4,4883.2,1000,286,14609,3782.2,866.4,344.2,13062,916.4,3550.6,13693.6,3595,723.6,13041,652,3391.2,13643.6,3456,261.2,648.6,3733.8,14511.6,177.6,12811.6,1137.2,14592,1133.4,13035.6,15578.2,1508.8,613.6,4029.4,4030.8,1122.6,537,1342.2,3995.2,560,317,452.8,439,286,287.4,14567.2,989.4,4671.4,4668.6,3923.6,779.2,924,4574.2,842.4,351.8,354.2,405.6,413.2,350.4,14296.6,4503.6,4475.8,14849.6,3863.4,419,4370.4,1161.8,606,264.8,339.6,427.2,402.6,4819.2,4809,4001.4,15737.2,308.4,4624.8,872.2,965.4,259,297,427,489.4,3056.6,928.4,187.4,15025.4,3055.6,696.8,200.2,1169.4,765.6,413.2,244,13331.2,952.2,3707.8,2862.4,3454.4,500.8,752.6,1089.8,806.8,416.6,13464.4,777.8,4593.2,13110.2,2349.4,350.8,766.4,1232.8,951.6,316.6,5137.2,3890.6,11854.4,270.6,421.4,1032.4,1507.8,4932.2,937,233.6,14607,3799,851.2,361.8,12602.2,560.8,3567.8,13789.6,3513,853.6,7980.6,582.4,3179.6,10936.2,3158.6,258.6,376.2,2338.6,10301.8,161.2,12426.2,1293.6,14258.6,1285.8,13154.2
snapshot_730793.png,snapshot_477113.png,T,R,7,5,20000,201376244510,1734.1340163,15607.8,1523.4,629.8,4552.4,4552.6,1128.4,538.2,1354.4,4503,608,399.6,479,458.2,320.6,310.8,14586.2,981.8,4595.4,4594.2,3906.8,738.8,923.2,4510.8,880,486.4,364.2,396.8,411.6,335.2,14294,4572.4,4541.4,14814.8,3773.6,420.8,4381.8,1197.6,880,277.2,332.6,420.8,369.6,4798.8,4783,3968.8,15655,312.8,4598.4,895.6,1338.8,278,298.4,415.2,450.4,3614.6,913,210.8,15038.4,3606,745,293.2,1164.4,760.6,427.2,253.2,13285.8,854.6,3700.4,3133.8,3583.6,767.2,746.8,1062,798.6,367,13182.6,766.8,4538.2,13804.4,3586.4,344.2,696,1110.4,741,297.8,5050.6,3764,14743.4,286.6,361.8,847.4,1177.4,4883.2,1000,286,14609,3782.2,866.4,344.2,13062,916.4,3550.6,13693.6,3595,723.6,13041,652,3391.2,13643.6,3456,261.2,648.6,3733.8,14511.6,177.6,12811.6,1137.2,14592,1133.4,13035.6,15581.4,1513,614.6,4009,4007.4,1123,535.6,1342.8,3977.4,563.8,315.2,452.4,439.6,282.6,288.4,14573.8,984.6,4613.4,4618.2,3922.8,777.4,925,4541.8,840.4,353,360.6,400.4,410.8,349,14282,4540,4511,14836.4,3859,421.8,4384.4,1162.2,609,267.4,337.2,432,404.8,4830.8,4816.4,4001,15730.8,309,4632.8,869.4,960.2,269,298.4,428,490.8,3078.4,925.2,189,15024.2,3070.6,694.4,201.8,1165.2,767.8,417.4,243.8,13327.6,951,3708.4,2872.8,3457.4,499.2,749.8,1090,811,416.8,13471.4,777,4568.2,13112.4,2350.8,353,761.2,1229.8,952.6,315.2,5146.6,3893.6,11843.2,276.6,426,1033,1507.6,4934.4,933.8,233,14605.2,3800.8,847,361.4,12598.2,563,3569.2,13780.2,3509.2,852.8,7973.4,585.4,3180.6,10932.2,3157.2,262.8,379.4,2339.6,10290,161.2,12453.6,1291.2,14259.6,1287.4,13150.2
snapshot_730793.png,snapshot_338361.png,T,R,7,5,20000,201434994264,1739.9293708,15607.8,1523.4,629.8,4552.4,4552.6,1128.4,538.2,1354.4,4503,608,399.6,479,458.2,320.6,310.8,14586.2,981.8,4595.4,4594.2,3906.8,738.8,923.2,4510.8,880,486.4,364.2,396.8,411.6,335.2,14294,4572.4,4541.4,14814.8,3773.6,420.8,4381.8,1197.6,880,277.2,332.6,420.8,369.6,4798.8,4783,3968.8,15655,312.8,4598.4,895.6,1338.8,278,298.4,415.2,450.4,3614.6,913,210.8,15038.4,3606,745,293.2,1164.4,760.6,427.2,253.2,13285.8,854.6,3700.4,3133.8,3583.6,767.2,746.8,1062,798.6,367,13182.6,766.8,4538.2,13804.4,3586.4,344.2,696,1110.4,741,297.8,5050.6,3764,14743.4,286.6,361.8,847.4,1177.4,4883.2,1000,286,14609,3782.2,866.4,344.2,13062,916.4,3550.6,13693.6,3595,723.6,13041,652,3391.2,13643.6,3456,261.2,648.6,3733.8,14511.6,177.6,12811.6,1137.2,14592,1133.4,13035.6,15566.8,1512.6,611.6,3984.4,3983.2,1114.4,535.8,1342,3952.6,563.8,315.6,451.6,434.6,291.4,290,14557.4,987,4665.2,4663.2,3922.4,776.6,922.8,4569.6,843.2,355.8,355.4,404,413.6,351.8,14294,4533.2,4503.4,14833.6,3860.8,420.6,4384.8,1161,606.4,264.8,342.4,433.2,402.4,4843.6,4830.8,4000.2,15725.4,308.2,4633.2,869.4,963.2,263.2,304.2,430.8,488.6,2944.8,926,184.8,15022,2962.8,691.8,200.6,1167.6,766,414.6,242.2,13305.4,951.6,3709,2778,3454.4,497,751,1090.6,809.6,415,13459.8,775.8,4578,13109.2,2347.2,348.8,763.4,1229,952.2,314.4,5056.2,3888.8,11849.6,272.2,423,1031,1505.6,4934.8,935.2,241,14602.2,3795.4,848.2,359.8,12598.8,562.8,3568.8,13779.2,3508.2,852.8,7966.8,583.4,3176,10925.6,3156.6,260.6,382.2,2334.4,10286.6,188.6,12651.2,1294,14257.2,1285.6,13175
snapshot_730793.png,snapshot_989212.png,T,R,7,5,20000,201492950157,1745.7591167,15607.8,1523.4,629.8,4552.4,4552.6,1128.4,538.2,1354.4,4503,608,399.6,479,458.2,320.6,310.8,14586.2,981.8,4595.4,4594.2,3906.8,738.8,923.2,4510.8,880,486.4,364.2,396.8,411.6,335.2,14294,4572.4,4541.4,14814.8,3773.6,420.8,4381.8,1197.6,880,277.2,332.6,420.8,369.6,4798.8,4783,3968.8,15655,312.8,4598.4,895.6,1338.8,278,298.4,415.2,450.4,3614.6,913,210.8,15038.4,3606,745,293.2,1164.4,760.6,427.2,253.2,13285.8,854.6,3700.4,3133.8,3583.6,767.2,746.8,1062,798.6,367,13182.6,766.8,4538.2,13804.4,3586.4,344.2,696,1110.4,741,297.8,5050.6,3764,14743.4,286.6,361.8,847.4,1177.4,4883.2,1000,286,14609,3782.2,866.4,344.2,13062,916.4,3550.6,13693.6,3595,723.6,13041,652,3391.2,13643.6,3456,261.2,648.6,3733.8,14511.6,177.6,12811.6,1137.2,14592,1133.4,13035.6,15553.6,1514.2,619.2,4165.2,4165.4,1119,536.4,1344.8,4130.2,566.4,327.6,462,447.2,291.4,293.4,14560.6,982.8,4610.4,4612.4,3922.4,779.6,922.4,4537.6,840.2,353.6,361,405.2,409.2,346.2,14269.8,4623.8,4592,14816.4,3855,425,4417.4,1164.6,609.4,269,343.4,431.8,403.6,4780.4,4763,3995.6,15727.6,317,4615.6,867.2,959.6,268.2,306.8,429.8,490.6,2976,923.6,185,15019.2,2994.4,694.4,195.2,1164.8,768.6,416,241.4,13321.6,949,3703.4,2897,3456.6,498.2,748.8,1089.2,809.2,418.2,13463.4,773.2,4565.6,13108.8,2349.8,354.4,762.6,1228.4,950,321.8,5076.2,3889,11843.6,277,425.6,1032.8,1509,4954.8,932.2,233.2,14600.4,3797.6,849,359,12596.2,558.4,3569.2,13786,3507.6,851,7964.4,583.4,3179,10928,3152.6,263.8,382.6,2337.8,10285.2,375.2,12788,1294.6,14260.6,1288.2,13151.6
snapshot_730793.png,snapshot_90095.png,T,R,7,5,20000,201607239033,1757.1853429,15607.8,1523.4,629.8,4552.4,4552.6,1128.4,538.2,1354.4,4503,608,399.6,479,458.2,320.6,310.8,14586.2,981.8,4595.4,4594.2,3906.8,738.8,923.2,4510.8,880,486.4,364.2,396.8,411.6,335.2,14294,4572.4,4541.4,14814.8,3773.6,420.8,4381.8,1197.6,880,277.2,332.6,420.8,369.6,4798.8,4783,3968.8,15655,312.8,4598.4,895.6,1338.8,278,298.4,415.2,450.4,3614.6,913,210.8,15038.4,3606,745,293.2,1164.4,760.6,427.2,253.2,13285.8,854.6,3700.4,3133.8,3583.6,767.2,746.8,1062,798.6,367,13182.6,766.8,4538.2,13804.4,3586.4,344.2,696,1110.4,741,297.8,5050.6,3764,14743.4,286.6,361.8,847.4,1177.4,4883.2,1000,286,14609,3782.2,866.4,344.2,13062,916.4,3550.6,13693.6,3595,723.6,13041,652,3391.2,13643.6,3456,261.2,648.6,3733.8,14511.6,177.6,12811.6,1137.2,14592,1133.4,13035.6,15687.6,1581.4,633.4,4256.8,4263,1098.4,552,1393.8,4218.4,654.6,397.6,476.6,467,316.2,293.8,14842,1035.6,4672,4666,3523.4,819,1031,4571,1073.6,527.2,375.2,441.6,455.6,345,14333.8,4528.8,4502,13224.6,3876.6,473.8,4373,1372.2,927.4,279.4,361.8,452.2,380,4748.2,4736.2,3662.2,15659.4,318.4,4595,933,1352.8,268.6,299.6,428,456.6,3104,1025,202.6,15210,3122,913.4,313.2,1200.6,816.8,463.8,244.6,7719.6,377.8,2262.2,3159.4,1962.2,443.6,440.6,618.4,486.4,241.8,12874.4,815.4,4574,13702.6,3501,342.2,742.4,1137.6,720.6,316.6,5090,3824.8,14750.8,278.4,377.4,869.2,1188.2,4970.6,1097.4,308.2,14612.2,3821.4,905.8,353.2,12053,975.2,3585,13727,3639.8,746.2,13076,669.2,3418.6,13609.6,3464,251.4,673.8,3757.2,14515.2,173.6,12849,1154.4,14655,1151.4,13061.4
snapshot_730793.png,snapshot_73562.png,T,R,7,5,20000,201665690895,1762.9479425,15607.8,1523.4,629.8,4552.4,4552.6,1128.4,538.2,1354.4,4503,608,399.6,479,458.2,320.6,310.8,14586.2,981.8,4595.4,4594.2,3906.8,738.8,923.2,4510.8,880,486.4,364.2,396.8,411.6,335.2,14294,4572.4,4541.4,14814.8,3773.6,420.8,4381.8,1197.6,880,277.2,332.6,420.8,369.6,4798.8,4783,3968.8,15655,312.8,4598.4,895.6,1338.8,278,298.4,415.2,450.4,3614.6,913,210.8,15038.4,3606,745,293.2,1164.4,760.6,427.2,253.2,13285.8,854.6,3700.4,3133.8,3583.6,767.2,746.8,1062,798.6,367,13182.6,766.8,4538.2,13804.4,3586.4,344.2,696,1110.4,741,297.8,5050.6,3764,14743.4,286.6,361.8,847.4,1177.4,4883.2,1000,286,14609,3782.2,866.4,344.2,13062,916.4,3550.6,13693.6,3595,723.6,13041,652,3391.2,13643.6,3456,261.2,648.6,3733.8,14511.6,177.6,12811.6,1137.2,14592,1133.4,13035.6,15668.4,1568,620.8,4123.2,4128,1089,541.6,1384.8,4085,647,385.2,465.8,453,302,287.2,14835.6,1033.4,4607.2,4603.6,3526.8,817.4,1031.8,4538,1072.2,523.4,374.2,439.8,452.8,345.2,14343,4531.4,4503.6,13217.6,3875,472.4,4379.4,1373.6,927.8,274.4,356.6,451,381.8,4819.4,4804.2,3661.8,15650.8,314,4620.2,937,1351,257.4,292.8,426.6,455.4,2973.2,1024,190.8,15214.4,3007.6,913.2,308.6,1201,814.6,463.4,243.6,7677.4,369.6,2258,2896.2,1957.6,439,435,612,483.2,235.8,12880.6,818,4574.4,13702,3502.8,341.4,744,1137.8,718.2,308.8,5022.4,3825.8,14761.6,268,372.6,868.4,1186.4,4999.6,1100.2,304.6,14612.6,3824.4,907,352.6,12044.2,972,3587.2,13734.8,3643.8,742.2,13091.2,670.6,3420.2,13611.2,3464,243.8,670.4,3759.4,14516.8,170.4,12777.4,1153,14654.8,1154.2,13064
snapshot_730793.png,snapshot_758107.png,T,R,7,5,20000,201723122454,1768.6346178,15607.8,1523.4,629.8,4552.4,4552.6,1128.4,538.2,1354.4,4503,608,399.6,479,458.2,320.6,310.8,14586.2,981.8,4595.4,4594.2,3906.8,738.8,923.2,4510.8,880,486.4,364.2,396.8,411.6,335.2,14294,4572.4,4541.4,14814.8,3773.6,420.8,4381.8,1197.6,880,277.2,332.6,420.8,369.6,4798.8,4783,3968.8,15655,312.8,4598.4,895.6,1338.8,278,298.4,415.2,450.4,3614.6,913,210.8,15038.4,3606,745,293.2,1164.4,760.6,427.2,253.2,13285.8,854.6,3700.4,3133.8,3583.6,767.2,746.8,1062,798.6,367,13182.6,766.8,4538.2,13804.4,3586.4,344.2,696,1110.4,741,297.8,5050.6,3764,14743.4,286.6,361.8,847.4,1177.4,4883.2,1000,286,14609,3782.2,866.4,344.2,13062,916.4,3550.6,13693.6,3595,723.6,13041,652,3391.2,13643.6,3456,261.2,648.6,3733.8,14511.6,177.6,12811.6,1137.2,14592,1133.4,13035.6,15657.6,1577.4,624,4031.2,4034.2,1081.4,539.4,1390.2,4000.6,640.6,381,465,450.4,295,282.6,14810.2,1031.2,4665.6,4659.6,3526,817.4,1029.8,4566.8,1076.8,529.6,371.4,441,447.4,343.6,14332.2,4500.4,4468.4,13213.6,3877,476.4,4366.6,1372.4,924.8,269.8,365,451.4,378.6,4797.6,4786.6,3662.4,15650.6,322.6,4616.2,929.6,1351.2,258.8,305.8,420.6,453,2999,1026.8,195.8,15209.2,3028.8,912.2,307.8,1202.4,818.2,460,237.6,7669,371.2,2254.6,2984.6,1955,434.6,433.6,615.6,484.2,235.4,12865.4,816.4,4580.6,13704.6,3504,337.8,741.8,1138.2,721.4,315.8,5005.6,3821,14759,270.8,379.4,868,1186.8,4918,1094.8,299.4,14616.6,3818.2,900.8,351.6,12058.6,976.2,3585.2,13723,3640.4,746.2,13077.6,666.2,3415.2,13611.8,3461.4,246.2,677.4,3758.2,14511.8,354.2,13167.8,1159,14656.6,1149.6,13032.4
snapshot_730793.png,snapshot_315994.png,T,R,7,5,20000,201780300418,1774.4761249,15607.8,1523.4,629.8,4552.4,4552.6,1128.4,538.2,1354.4,4503,608,399.6,479,458.2,320.6,310.8,14586.2,981.8,4595.4,4594.2,3906.8,738.8,923.2,4510.8,880,486.4,364.2,396.8,411.6,335.2,14294,4572.4,4541.4,14814.8,3773.6,420.8,4381.8,1197.6,880,277.2,332.6,420.8,369.6,4798.8,4783,3968.8,15655,312.8,4598.4,895.6,1338.8,278,298.4,415.2,450.4,3614.6,913,210.8,15038.4,3606,745,293.2,1164.4,760.6,427.2,253.2,13285.8,854.6,3700.4,3133.8,3583.6,767.2,746.8,1062,798.6,367,13182.6,766.8,4538.2,13804.4,3586.4,344.2,696,1110.4,741,297.8,5050.6,3764,14743.4,286.6,361.8,847.4,1177.4,4883.2,1000,286,14609,3782.2,866.4,344.2,13062,916.4,3550.6,13693.6,3595,723.6,13041,652,3391.2,13643.6,3456,261.2,648.6,3733.8,14511.6,177.6,12811.6,1137.2,14592,1133.4,13035.6,15634.4,1572.4,615.2,3940.2,3939.6,1079.6,535.6,1382.2,3906.6,636.2,374.8,464.2,440,293.2,285,14793.2,1035.2,4748.2,4746,3526.2,820.6,1026.8,4616.4,1076.4,529.2,381.6,439.2,447.6,342.8,14317.2,4657.4,4626.2,13194,3870,474,4432.6,1377.4,926.4,280.2,360.8,450,381.2,4848.6,4831.2,3657.8,15644,315,4634.8,935,1350.8,268.2,296.4,425.8,452.6,2900,1024,187.8,15213.8,2959,911,302,1202.6,815.8,458.8,244.2,7666.4,370,2254.8,3005,1953.6,437.6,436.4,612.2,484.4,240.8,12856.2,814.6,4602.2,13695.2,3501.2,345.6,740.6,1134.2,719.6,315.6,5043,3821.2,14749.4,276.6,373.6,870.4,1187,4885.2,1093,294.6,14612.8,3822.8,903.2,350.6,12039,978.6,3583,13726.4,3642.4,741.2,13069.8,674.6,3419.8,13603.2,3462.6,254,674,3762,14512,174.4,12785.4,1157.8,14653.4,1152.2,13033.6
snapshot_730793.png,snapshot_165815.png,T,R,7,5,20000,201838402200,1780.2796995,15607.8,1523.4,629.8,4552.4,4552.6,1128.4,538.2,1354.4,4503,608,399.6,479,458.2,320.6,310.8,14586.2,981.8,4595.4,4594.2,3906.8,738.8,923.2,4510.8,880,486.4,364.2,396.8,411.6,335.2,14294,4572.4,4541.4,14814.8,3773.6,420.8,4381.8,1197.6,880,277.2,332.6,420.8,369.6,4798.8,4783,3968.8,15655,312.8,4598.4,895.6,1338.8,278,298.4,415.2,450.4,3614.6,913,210.8,15038.4,3606,745,293.2,1164.4,760.6,427.2,253.2,13285.8,854.6,3700.4,3133.8,3583.6,767.2,746.8,1062,798.6,367,13182.6,766.8,4538.2,13804.4,3586.4,344.2,696,1110.4,741,297.8,5050.6,3764,14743.4,286.6,361.8,847.4,1177.4,4883.2,1000,286,14609,3782.2,866.4,344.2,13062,916.4,3550.6,13693.6,3595,723.6,13041,652,3391.2,13643.6,3456,261.2,648.6,3733.8,14511.6,177.6,12811.6,1137.2,14592,1133.4,13035.6,15613.6,1569,624.4,3956,3955.6,1085.4,536.4,1383.4,3923.2,636.6,365.4,459.2,445.4,289.2,280.8,14805.8,1031.2,4654.6,4655,3524.4,816.4,1029,4564.2,1072.6,527.6,377,437,446.8,344,14324,4622.4,4594.2,13194.8,3867.8,474.8,4419.2,1373.4,927.4,274.6,358.8,449.4,385,4770.6,4756.2,3658.4,15642.2,311.6,4607.6,932,1346,259.2,296,420.8,453.8,2851.2,1026,190,15202.2,2847.6,910.4,308.4,1200.6,814.4,460.6,241.4,7647.4,371.4,2254.4,3067,1955,439.8,434,612.4,486.6,241.2,12869.8,816.8,4575.4,13693.2,3500.6,340.8,736.8,1136.6,721.6,310.8,5040.6,3823,14748.2,266.6,377,868,1186.2,4962.8,1096.6,307,14608.2,3824.8,901,352.6,12051.6,976.6,3585.6,13719.8,3641.8,740,13071.2,670.2,3416,13607.8,3463.2,243.2,673.4,3762.2,14508.8,169.8,12824.4,1154,14653.2,1152.8,13035
