filepath,shape,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,sensor_33,sensor_34,sensor_35,sensor_36,sensor_37,sensor_38,sensor_39,sensor_40,sensor_41,sensor_42,sensor_43,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,sensor_50,sensor_51,sensor_52,sensor_53,sensor_54,sensor_55,sensor_56,sensor_57,sensor_58,sensor_59,sensor_60,sensor_61,sensor_62,sensor_63,sensor_64,sensor_65,sensor_66,sensor_67,sensor_68,sensor_69,sensor_70,sensor_71,sensor_72,sensor_73,sensor_74,sensor_75,sensor_76,sensor_77,sensor_78,sensor_79,sensor_80,sensor_81,sensor_82,sensor_83,sensor_84,sensor_85,sensor_86,sensor_87,sensor_88,sensor_89,sensor_90,sensor_91,sensor_92,sensor_93,sensor_94,sensor_95,sensor_96,sensor_97,sensor_98,sensor_99,sensor_100,sensor_101,sensor_102,sensor_103,sensor_104,sensor_105,sensor_106,sensor_107,sensor_108,sensor_109,sensor_110,sensor_111,sensor_112,sensor_113,sensor_114,sensor_115,sensor_116,sensor_117,sensor_118,sensor_119,sensor_120
..\..\images\snapshot_866466.png,square,15905,1555.6667,643.3333,5126.6667,5127.3333,1152.3333,560.3333,1373.6667,5067.6667,626.3333,417.6667,494,479.6667,349.6667,338,14845.6667,1000.6667,4563,4572.3333,3962.3333,748,943.3333,4500,887,496.3333,379,407,421.3333,345,14532,4542,4524.3333,15057.6667,3830.6667,436.3333,4364.3333,1211.6667,898,295.6667,344,428,379.3333,4790,4774,4024.3333,15859.3333,319.6667,4610.3333,913.6667,1352.3333,301,326,423,457.6667,4030.3333,933,232.3333,15294.3333,4097,759.6667,321.6667,1196,773,446.6667,280,13502.6667,870.3333,3767,3400.6667,3636.6667,788,763,1073.6667,815.6667,377.6667,13385,785,4597.3333,13988,3637.6667,368.3333,707,1126.3333,756,310.3333,4999,3829.6667,14988.6667,302.3333,384,866,1193,4954,1028,305.3333,14849.3333,3848,881.6667,343.6667,13252.3333,934,3595.6667,13869.3333,3639.6667,733,13226,670.6667,3423.3333,13813.6667,3508.3333,278.6667,658.3333,3786.6667,14704.3333,13841,1022.3333,266.6667,13513.6667,932.6667,13210
..\..\images\snapshot_698921.png,square,15871.6667,1559,633.3333,4767.3333,4783,1146.6667,547,1377.3333,4717,617,421,496.3333,466,348.6667,333.6667,14821.6667,999.6667,4632.3333,4628.6667,3955.6667,762,940.6667,4541.6667,897,498.6667,375,411,432.3333,336.3333,14524.6667,4578.3333,4541.6667,15043.6667,3842.3333,433.6667,4367.3333,1220.6667,898,290.6667,345.6667,438,372.3333,4836.3333,4829.6667,4013.3333,15842.6667,335,4626.6667,903,1359.6667,311.6667,313.6667,432,464.6667,4173.3333,936.3333,259,15269,4178.3333,772,322.6667,1187.6667,784.3333,453.3333,270,13505,875.6667,3756.3333,3216.3333,3645.3333,778,760.3333,1082.6667,807.6667,366,13388.3333,783.3333,4556.6667,13997.3333,3640.3333,358.6667,708.6667,1131.6667,746.3333,308.3333,5011.6667,3822.3333,14978,312.6667,383,856.3333,1200.6667,4843.6667,1011,299,14862,3838,877.3333,353.3333,13255.3333,931,3607.3333,13856,3628.6667,734.3333,13220.6667,666,3432.3333,13812.3333,3498.6667,277.3333,666.6667,3780.6667,14694.6667,13859.3333,1020.3333,254,13514.3333,937,13213.3333
..\..\images\snapshot_416449.png,square,15869.6667,1565,637,4752.3333,4767,1151,540.3333,1374.3333,4720.6667,613,415.6667,488.6667,465.3333,344.3333,329.3333,14812.6667,1000.3333,4622.6667,4614.6667,3959,758.3333,942.3333,4543,898,502.6667,368,414.6667,426.6667,334,14528,4447.6667,4413.6667,15055.3333,3842,431.6667,4319.6667,1220.6667,896,281.3333,343.3333,431.6667,365.6667,4762,4755.6667,4010.6667,15849.6667,340,4599.6667,905,1361.6667,300,311.3333,428,463.3333,3970.3333,934.3333,239.3333,15263.3333,3979,772,322,1184,782.6667,444.6667,264,13502.6667,872,3752.6667,3014.3333,3643.6667,776.6667,759.6667,1082.3333,807,366,13388,782,4526,13998.6667,3641.3333,356,708,1131.6667,746.6667,312.3333,5014.3333,3821.3333,14974,312.6667,380.6667,855,1199.3333,4947,1017,314.3333,14852.6667,3835,879.6667,354.3333,13234.6667,926.3333,3604,13856.6667,3628.3333,736,13239.3333,663.3333,3429,13812.6667,3499,275.3333,666.3333,3778.6667,14695.3333,13733,1019,258,13318.3333,935,13186.3333
..\..\images\snapshot_982523.png,square,15875.3333,1550.6667,643.6667,4891,4895,1150,553.3333,1378.6667,4832.6667,616,408.6667,493,480.6667,349.6667,335.6667,14802.3333,1003.3333,4690.3333,4689.3333,3953.3333,756,944,4580.6667,898.3333,499,375.3333,414.6667,427,340,14534.3333,4437,4408.3333,15055,3838,431,4320.3333,1217.3333,896.6667,290,346,426.3333,372.3333,4747,4731.3333,4013.3333,15845.3333,330,4590.6667,910,1360.3333,304.3333,319.6667,431,460,4189,936.6667,238.3333,15265,4264.3333,768.3333,320.3333,1188.3333,780,447,285.6667,13482.3333,870,3753.3333,3443.3333,3636.6667,782.3333,766.6667,1074,810,379,13373.3333,780.6667,4594,13982.6667,3632.3333,365.3333,711,1124,750,319.3333,5055.6667,3819.3333,14964,306.6667,381,865,1200,4923.3333,1018.6667,313.6667,14835.3333,3838,883.3333,345.6667,13220.6667,940.6667,3601,13839,3632.3333,735,13210.3333,669.6667,3428,13802,3498,283,658.6667,3781,14686.3333,13823,1017.3333,261.3333,13433.3333,929.3333,13175.6667
..\..\images\snapshot_895982.png,square,15871,1561.6667,654.3333,4928.6667,4928,1156,559,1374.6667,4874,634.6667,424,493.6667,487.3333,353.6667,329.6667,14804.6667,1000,4616.3333,4619.6667,3959,750.6667,940.6667,4550,895,499.6667,376,408,425.6667,341.3333,14517.3333,4431.3333,4409.6667,15044,3834,434,4321.6667,1213,892.3333,295.6667,343,431.6667,370.6667,4857.6667,4848,4014.3333,15827.6667,327.6667,4635,909.6667,1359,307,319,430,460.6667,4341,940.3333,248.3333,15241,4311,771.3333,332,1190.3333,780.3333,452.6667,278.6667,13488.6667,870.6667,3753.6667,3462.3333,3636,786.3333,761.6667,1077.3333,809,378,13374.6667,780,4527.3333,13980.6667,3634.6667,361,710.6667,1124.3333,748,315,5079.3333,3825.3333,14955.3333,310,380.3333,863,1199.3333,4866.3333,1013,302.3333,14839.6667,3834,883.6667,347,13212.6667,937,3601.6667,13839.3333,3628,738.3333,13223.3333,665.3333,3428.6667,13800,3495.3333,280.6667,660.6667,3773.6667,14687.3333,13384.6667,1013,262.3333,12998.3333,932,13188.6667
..\..\images\snapshot_44158.png,square,15848.6667,1552.3333,645,4727.6667,4734.6667,1150.6667,550,1373,4698.3333,622,417.6667,488.6667,479.3333,338.3333,323.3333,14800,1005.6667,4638,4643,3953.3333,752,939.6667,4570.3333,894,493.3333,379,412.3333,425.3333,341.6667,14497.6667,4553.6667,4530.6667,15028,3827.3333,434,4369.6667,1214.6667,896.3333,295.3333,345,424.6667,377.3333,4804.6667,4790.3333,4011,15830,327.6667,4623.6667,911,1352.6667,309.3333,319,428,461,4014,933,233,15250,4018.6667,766.6667,319.3333,1187.3333,778,448.6667,279,13478,868.3333,3751.3333,2976,3635.3333,776.6667,757.6667,1073,808,371.3333,13369.3333,778.6667,4535.6667,13980,3634.3333,365,705.3333,1126.6667,747,315,5031.3333,3819.3333,14955.6667,308,384,861.3333,1201,4937.3333,1016.6667,311,14831.6667,3835.6667,879.3333,349,13243,932,3599,13844.3333,3627,738,13205,666,3428,13794,3495.6667,282.3333,666.6667,3777,14680,13272.6667,1014.6667,265.3333,12951.3333,929.6667,13178
..\..\images\snapshot_483069.png,square,15954.6667,1593,639.6667,4954,4957.3333,952.3333,570.3333,1399.6667,4907,532,422,496,484.3333,354,345.6667,14975.6667,1041.3333,4594.3333,4593.3333,3165.6667,849.6667,1022,4494.6667,728.6667,556,390.3333,457,464.3333,351.3333,14570.3333,4623.6667,4588.6667,12467.6667,4010,483,4400.6667,970.6667,981.3333,299.6667,383.6667,481.6667,392,4867.6667,4847.3333,2943.3333,15894.6667,342,4644.3333,697.3333,1401.6667,303.3333,326.6667,449,468.3333,4049.3333,692.3333,243.6667,15335,4053,590.6667,349.3333,1215.6667,839,483,276,8553.3333,687.3333,3410.6667,4191.6667,2032,695,678.3333,989.6667,745.6667,343,10739.3333,603.6667,4695.3333,9071.6667,2750.6667,300.3333,551.6667,877.3333,558,343.3333,4989,2990,15081,312.6667,415.3333,939.3333,1231.6667,4973,791.3333,341.3333,14856.3333,3932,948.3333,360,8976.3333,813,3049.6667,12704,3219,628.3333,11389.6667,484,2708.6667,11824.6667,2789,283.3333,719.6667,3899,14708.3333,13855.6667,1041,261.6667,13560.6667,951,13223.6667
..\..\images\snapshot_804849.png,square,15945,1586.3333,655.6667,4775,4773,965.3333,575.6667,1400.6667,4719,537.3333,427,494,497.3333,347.3333,324.6667,14969.6667,1044,4625.6667,4632.3333,3167.6667,849,1024,4556.3333,729.3333,557,396,453.3333,466.6667,352.3333,14572.6667,4482.3333,4453.6667,12482.6667,4004.6667,481.6667,4355,965.3333,980.6667,298.6667,379,476.6667,395.3333,4828.3333,4816.3333,2944.6667,15889,337.3333,4646.6667,697.3333,1394,304,327,445.3333,464.6667,4076,692.6667,241.3333,15330.6667,4062,590,359.3333,1216,838.3333,487,277.3333,8523,683.3333,3412.6667,3459,2031,690.6667,672,980.6667,746.6667,333.6667,10711.3333,608.6667,4757.3333,9063.6667,2750.6667,302.6667,547.6667,880,559,342.6667,5048.3333,2994,15068.6667,308.3333,421,938.6667,1229.6667,4862.6667,787.6667,335,14866.6667,3936,939.3333,364,8970.6667,809,3050.3333,12707,3218.6667,622.6667,11375.3333,482,2708,11827.3333,2787.3333,276.3333,719.6667,3901.6667,14701.3333,13838,1040.3333,255.3333,13550,953.6667,13190.6667
..\..\images\snapshot_942735.png,square,15897.3333,1592,640,4538,4545.6667,949.6667,569,1399.6667,4502.3333,530.3333,418,486.6667,478.6667,336.3333,310,14931,1043.3333,4716,4711.3333,3165,855.3333,1023.3333,4609.3333,731,559,392.6667,458.6667,468.6667,351,14557.3333,4497,4467.3333,12478,4006.3333,481.3333,4360,970.6667,974.6667,297.6667,377.3333,478.3333,394,4843.3333,4825,2938.3333,15891.3333,344,4649.3333,695.6667,1395.6667,298,323.3333,453.3333,464,3795,687,243,15332,3831,586.6667,339.6667,1217,833,483.6667,269.3333,8545,680.6667,3408.3333,3359,2027.6667,688.6667,670.3333,984,743.6667,331.6667,10721.3333,600.6667,4703.3333,9068,2750.6667,301,549.3333,876,557,352.6667,4983.6667,2993,15075.3333,308.6667,414.3333,939.6667,1231.3333,4867.3333,789.6667,326.3333,14865.6667,3933,943.6667,359.6667,8964,817.6667,3045,12699.6667,3217.6667,625.6667,11373,484.6667,2707.6667,11820.3333,2789.6667,275,721.3333,3899.3333,14706.3333,13833,1039,261,13542.6667,954.6667,13225.6667
..\..\images\snapshot_605417.png,square,15949.6667,1598,649,4912,4927.3333,961.6667,577.3333,1408.6667,4861.3333,536.6667,419,500,490.6667,352.3333,339,14971.3333,1042.3333,4657,4657.6667,3166.3333,856,1033,4560.6667,729.3333,567.3333,393.3333,453.3333,477,355,14569.3333,4571,4540.6667,12483.6667,4014.6667,493,4381.3333,972.3333,990.6667,299.6667,378.3333,487.3333,397.6667,4829.3333,4826.3333,2950.6667,15903.6667,347,4649,698,1398.3333,308.6667,323.6667,447,474.3333,3835,682.6667,240,15356.6667,3872.6667,593.6667,351.6667,1213,835.6667,491.3333,269,8524,695,3411,3588.3333,2039,700,669.3333,991.3333,753.6667,330,10718,614,4726,9070.3333,2763.3333,302.6667,546.6667,888.6667,560.6667,346.6667,5012.3333,3002.6667,15087,310.6667,425,939.3333,1232.6667,4981.3333,795.3333,334.6667,14876.3333,3940.3333,942.6667,367.6667,8976.6667,809,3050.6667,12721,3220.6667,626.6667,11391.3333,486.3333,2710,11838.6667,2794.3333,274.3333,726.3333,3909,14713.3333,13855,1049.3333,258.3333,13559,962.3333,13215.3333
