model,material,numSamples,criterion,max_depth,splitter,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
DecisionTree,copper,120,gini,1,best,0.9241964285714287,0.9241964285714287,0.9241964285714287,0.9241964285714287,0.8784761600728437,0.6393719673156738,0.020818106437112266,0.36188321113586425,0.021001699857696652
DecisionTree,copper,120,gini,1,random,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.7473402815345598,0.43405947685241697,0.007739430783904289,0.3925440788269043,0.016812227445669767
DecisionTree,copper,120,gini,101,best,0.9995758928571428,0.9995758928571428,0.9995758928571428,0.9995758928571428,0.9987688814662687,3.95735559463501,0.4191059445287185,0.34412126541137694,0.02711784502599655
DecisionTree,copper,120,gini,101,random,0.9993526785714286,0.9993526785714286,0.9993526785714286,0.9993526785714286,0.9989454130580777,1.120007085800171,0.16649692931504279,0.3661480903625488,0.06176429274084942
DecisionTree,copper,120,gini,201,best,0.9996651785714284,0.9996651785714284,0.9996651785714284,0.9996651785714284,0.9988959860262071,3.913927602767944,0.3391794391445155,0.32672700881958006,0.01741606017480966
DecisionTree,copper,120,gini,201,random,0.9994196428571428,0.9994196428571428,0.9994196428571428,0.9994196428571428,0.9984513921418277,1.0144452571868896,0.11397849560670371,0.3447165012359619,0.02363096555782203
DecisionTree,copper,120,gini,301,best,0.9995758928571428,0.9995758928571428,0.9995758928571428,0.9995758928571428,0.9987688814662687,3.733185577392578,0.4279444998870241,0.34231061935424806,0.012724090015783873
DecisionTree,copper,120,gini,301,random,0.9993303571428573,0.9993303571428573,0.9993303571428573,0.9993303571428573,0.9987805580357243,0.8644237518310547,0.04108219629606113,0.33154749870300293,0.020119965994697456
DecisionTree,copper,120,gini,401,best,0.9995758928571428,0.9995758928571428,0.9995758928571428,0.9995758928571428,0.9988449265419079,3.7856817722320555,0.36951387999868957,0.35289630889892576,0.03320727456159262
DecisionTree,copper,120,gini,401,random,0.9994196428571428,0.9994196428571428,0.9994196428571428,0.9994196428571428,0.9988316175200236,0.9515570640563965,0.0809833325223506,0.3319097995758057,0.01997060355464163
DecisionTree,copper,120,gini,501,best,0.999642857142857,0.999642857142857,0.999642857142857,0.999642857142857,0.9988832211551324,3.7451196670532227,0.34177813493224574,0.33176493644714355,0.030742907424623822
DecisionTree,copper,120,gini,501,random,0.9994866071428572,0.9994866071428572,0.9994866071428572,0.9994866071428572,0.9987938670576086,0.8627745628356933,0.0942088521813408,0.33931894302368165,0.013037243567602478
DecisionTree,copper,120,gini,601,best,0.9996875,0.9996875,0.9996875,0.9996875,0.9989847959729211,3.689543914794922,0.3244939110150224,0.3614542007446289,0.02552440294187563
DecisionTree,copper,120,gini,601,random,0.9993080357142858,0.9993080357142858,0.9993080357142858,0.9993080357142858,0.9985396579377319,0.9333174228668213,0.16622626618390338,0.32041282653808595,0.011896625616300768
DecisionTree,copper,120,gini,701,best,0.999642857142857,0.999642857142857,0.999642857142857,0.999642857142857,0.9988832211551323,3.613399934768677,0.31099509866524044,0.334476900100708,0.03696484773773566
DecisionTree,copper,120,gini,701,random,0.9995089285714286,0.9995089285714286,0.9995089285714286,0.9995089285714286,0.9988066319286837,0.9689352989196778,0.08359905270530579,0.3593745708465576,0.011200906036152782
DecisionTree,copper,120,gini,801,best,0.9995982142857143,0.9995982142857143,0.9995982142857143,0.9995982142857143,0.9987056012617043,3.7618876457214356,0.3944876318667781,0.3580480098724365,0.0350109418987736
DecisionTree,copper,120,gini,801,random,0.9994419642857142,0.9994419642857142,0.9994419642857142,0.9994419642857142,0.9985402020885414,0.9361451148986817,0.11116132048918193,0.32344727516174315,0.015845474584139575
DecisionTree,copper,120,gini,901,best,0.9996205357142858,0.9996205357142858,0.9996205357142858,0.9996205357142858,0.9989465013596968,3.7651527881622315,0.32173057746314415,0.3630216121673584,0.02018155712494329
DecisionTree,copper,120,gini,901,random,0.9995535714285715,0.9995535714285715,0.9995535714285715,0.9995535714285715,0.9989082067464723,0.8918231964111328,0.06698918261182503,0.3331752777099609,0.021261974824142563
DecisionTree,copper,120,entropy,1,best,0.9197991071428572,0.9197991071428572,0.9197991071428572,0.9197991071428572,0.8869119713631568,0.5783576488494873,0.0373195631155366,0.3441766262054443,0.04329181935620682
DecisionTree,copper,120,entropy,1,random,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.737927039352533,0.3013132095336914,0.019984292206519164,0.41721138954162595,0.03591217930416932
DecisionTree,copper,120,entropy,101,best,0.999799107142857,0.999799107142857,0.999799107142857,0.999799107142857,0.9992767555552129,2.2441960334777833,0.16241752047031063,0.33363566398620603,0.01558089439218538
DecisionTree,copper,120,entropy,101,random,0.9996651785714284,0.9996651785714284,0.9996651785714284,0.9996651785714284,0.9995803917069603,0.8850995540618897,0.07064691613399803,0.3682063579559326,0.01234725595095799
DecisionTree,copper,120,entropy,201,best,0.9998214285714285,0.9998214285714285,0.9998214285714285,0.9998214285714285,0.9992895204262877,2.164849328994751,0.11032985514909727,0.33468403816223147,0.018327454715148832
DecisionTree,copper,120,entropy,201,random,0.9997321428571428,0.9997321428571428,0.9997321428571428,0.9997321428571428,0.999390551093267,0.8150611400604248,0.0453620156483297,0.3323017120361328,0.025008510552432552
DecisionTree,copper,120,entropy,301,best,0.999799107142857,0.999799107142857,0.999799107142857,0.999799107142857,0.9992767555552129,2.1146817207336426,0.1526957627336737,0.37012224197387694,0.02744795864899762
DecisionTree,copper,120,entropy,301,random,0.9995982142857143,0.9995982142857143,0.9995982142857143,0.9995982142857143,0.9990858266399005,0.8330050945281983,0.08365369500993974,0.3382879734039307,0.04631749905623657
DecisionTree,copper,120,entropy,401,best,0.999799107142857,0.999799107142857,0.999799107142857,0.999799107142857,0.9992767555552129,2.2182420253753663,0.09833317769915552,0.33759331703186035,0.03615878346469624
DecisionTree,copper,120,entropy,401,random,0.9995089285714286,0.9995089285714286,0.9995089285714286,0.9995089285714286,0.9990347671556012,0.9692167282104492,0.05169669607619238,0.3262894630432129,0.01904379698664622
DecisionTree,copper,120,entropy,501,best,0.999799107142857,0.999799107142857,0.999799107142857,0.999799107142857,0.9992767555552129,2.1796165466308595,0.11733155367640462,0.3435177803039551,0.013021744331005308
DecisionTree,copper,120,entropy,501,random,0.9993749999999999,0.9993749999999999,0.9993749999999999,0.9993749999999999,0.998501907475317,0.7867147922515869,0.11789507557375344,0.3358579635620117,0.04187447951700813
DecisionTree,copper,120,entropy,601,best,0.999799107142857,0.999799107142857,0.999799107142857,0.999799107142857,0.9992767555552129,2.1414141178131105,0.15338873862485716,0.3470885753631592,0.01847097651556221
DecisionTree,copper,120,entropy,601,random,0.9997544642857144,0.9997544642857144,0.9997544642857144,0.9997544642857144,0.999479361039981,0.9479935646057129,0.06291250212602659,0.3488724708557129,0.010150462446797404
DecisionTree,copper,120,entropy,701,best,0.9996651785714284,0.9996651785714284,0.9996651785714284,0.9996651785714284,0.9989720311018464,2.2017024040222166,0.14837993921617035,0.3354160308837891,0.018928281629372688
DecisionTree,copper,120,entropy,701,random,0.9995312499999999,0.9995312499999999,0.9995312499999999,0.9995312499999999,0.999351712329233,0.9123385906219482,0.045070672646038444,0.3279280662536621,0.014520165738689353
DecisionTree,copper,120,entropy,801,best,0.999799107142857,0.999799107142857,0.999799107142857,0.999799107142857,0.9992767555552129,2.1467451572418215,0.1498594973813898,0.3643811702728271,0.022599136470843408
DecisionTree,copper,120,entropy,801,random,0.9998214285714285,0.9998214285714285,0.9998214285714285,0.9998214285714285,0.9995937007288447,0.8083776950836181,0.0433548380279138,0.36747288703918457,0.02700716789338762
DecisionTree,copper,120,entropy,901,best,0.9998437499999999,0.9998437499999999,0.9998437499999999,0.9998437499999999,0.9993783303730017,2.222059392929077,0.1893708178179541,0.379438591003418,0.01610210369960885
DecisionTree,copper,120,entropy,901,random,0.9996651785714287,0.9996651785714287,0.9996651785714287,0.9996651785714287,0.9988199409505679,0.8756083965301513,0.0625791300168381,0.3419978618621826,0.012876698089530882
DecisionTree,copper,120,log_loss,1,best,0.9197991071428572,0.9197991071428572,0.9197991071428572,0.9197991071428572,0.8869119713631568,0.5796038627624511,0.03065192166112311,0.35128097534179686,0.030402307409084207
DecisionTree,copper,120,log_loss,1,random,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.7618277073429978,0.3378009796142578,0.04419817381174901,0.35681633949279784,0.010013591764534362
DecisionTree,copper,120,log_loss,101,best,0.9998214285714285,0.9998214285714285,0.9998214285714285,0.9998214285714285,0.9992895204262877,2.223553943634033,0.1330666760597147,0.32471914291381837,0.03179924693179813
DecisionTree,copper,120,log_loss,101,random,0.9995982142857143,0.9995982142857143,0.9995982142857143,0.9995982142857143,0.9986295561860651,0.9437232971191406,0.06128585858425916,0.38021259307861327,0.020820816741784473
DecisionTree,copper,120,log_loss,201,best,0.9997098214285713,0.9997098214285713,0.9997098214285713,0.9997098214285713,0.9992256960709136,2.2153249740600587,0.16336751065146202,0.3543517589569092,0.015414459600650837
DecisionTree,copper,120,log_loss,201,random,0.9995089285714286,0.9995089285714286,0.9995089285714286,0.9995089285714286,0.9993389474581582,0.7911815166473388,0.05195289635144564,0.3410982608795166,0.022684091079187115
DecisionTree,copper,120,log_loss,301,best,0.9998214285714285,0.9998214285714285,0.9998214285714285,0.9998214285714285,0.9993655655019269,2.166431999206543,0.1295021066866311,0.3718991279602051,0.039442443425853485
DecisionTree,copper,120,log_loss,301,random,0.9995535714285714,0.9995535714285714,0.9995535714285714,0.9995535714285714,0.9987561165951941,0.9097975730895996,0.06028001794691316,0.31707916259765623,0.0293141993017557
DecisionTree,copper,120,log_loss,401,best,0.9998214285714285,0.9998214285714285,0.9998214285714285,0.9998214285714285,0.9992895204262877,2.2123257160186767,0.2395343961487971,0.35834689140319825,0.031896308001863244
DecisionTree,copper,120,log_loss,401,random,0.9996205357142858,0.9996205357142858,0.9996205357142858,0.9996205357142858,0.9992506816622537,0.8724815845489502,0.07868126509507904,0.3501731395721436,0.02617685288579738
DecisionTree,copper,120,log_loss,501,best,0.999799107142857,0.999799107142857,0.999799107142857,0.999799107142857,0.9992767555552129,2.1845601081848143,0.189267145613171,0.3701344966888428,0.030737204362368785
