model,max_depth,Precision,Recall,Accuracy,F1,AUC
DecisionTree,1,0.941232101159021,0.1426774483378257,0.1426774483378257,0.24628802681654913,0.6408281364670113
DecisionTree,3,0.7920864678871122,0.48700209643605874,0.48700209643605874,0.6027048948031838,0.8587919202289583
DecisionTree,5,0.8511962332984409,0.8445941898772087,0.8445941898772087,0.8478307030719533,0.9546515927693016
DecisionTree,7,0.923587959514454,0.8909553758610362,0.8909553758610362,0.9067569245196966,0.9801368509183248
DecisionTree,9,0.9448843067743578,0.9432464809823301,0.9432464809823301,0.9440640912443572,0.9901301540948744
DecisionTree,11,0.9718387012854525,0.9715184186882301,0.9715184186882301,0.9716784847043908,0.9933636764518117
DecisionTree,13,0.9816010916083708,0.9810122791254866,0.9810122791254866,0.9813064559253005,0.9931966865457481
DecisionTree,15,0.9846039803680853,0.9844564240790655,0.9844564240790655,0.9845301922792935,0.9921815575346168
DecisionTree,17,0.9855910063499387,0.9853848457622043,0.9853848457622043,0.9854878852695104,0.9915049514971637
DecisionTree,19,0.986732209280467,0.9867026055705301,0.9867026055705301,0.9867174063171605,0.9920251578287885
DecisionTree,21,0.9863427455637831,0.9863132674453429,0.9863132674453429,0.9863280054009269,0.9914836989973553
