n_neighbors,Precision,Recall,Accuracy,F1,AUC
1,0.9966756513926324,0.9966756513926324,0.9966756513926324,0.9966756513926324,0.99791624706304
3,0.9934107703589536,0.9933513027852652,0.9933513027852652,0.9933810343456931,0.9988810093101597
5,0.989725906612823,0.9895777178796047,0.9895777178796047,0.9896518000345556,0.9991697755332665
7,0.9860689952896209,0.9857442348008387,0.9857442348008387,0.9859065829936586,0.9992691347127373
9,0.9824755900373594,0.9822401916741541,0.9822401916741541,0.9823578754316058,0.9992537373142367
11,0.9792959338375333,0.9788559448936807,0.9788559448936807,0.979075887734216,0.9991709562187163
13,0.9762078740682313,0.9756813417190777,0.9756813417190777,0.9759445289912516,0.9990950116983648
15,0.9726972811033807,0.9720275531596286,0.9720275531596286,0.9723622961340779,0.9989717792354031
17,0.9698393137049737,0.9688529499850255,0.9688529499850255,0.969345821249673,0.9988170111997432
19,0.967172375275082,0.9662174303683738,0.9662174303683738,0.9666945896486416,0.9986468125630553
21,0.9648595828867494,0.9637616052710392,0.9637616052710392,0.964310236925549,0.9984980827686909
