model,n_neighbors,Precision,Recall,Accuracy,F1,AUC
KNearestNeighbors,1,0.996585804132974,0.996585804132974,0.996585804132974,0.996585804132974,0.9978614503430174
KNearestNeighbors,3,0.9932611235555038,0.9932015573525007,0.9932015573525007,0.9932313359934509,0.9988706767820457
KNearestNeighbors,5,0.9901451712980751,0.9899970050913447,0.9899970050913447,0.990071073765882,0.9991716627447327
KNearestNeighbors,7,0.986489112794309,0.9862234201856843,0.9862234201856843,0.9863562454998538,0.9991925357159213
KNearestNeighbors,9,0.9824714820148926,0.982030548068284,0.982030548068284,0.9822509412924175,0.9992621400120016
KNearestNeighbors,11,0.9794706341073915,0.978796046720575,0.978796046720575,0.9791332030841083,0.9991131694613202
KNearestNeighbors,13,0.9763519944899468,0.9756214435459718,0.9756214435459718,0.9759865450375432,0.9989847463392454
KNearestNeighbors,15,0.9733588739693145,0.9727762803234501,0.9727762803234501,0.9730674135489596,0.9989267365872354
KNearestNeighbors,17,0.9705424313337264,0.9699610661874812,0.9699610661874812,0.9702516333596412,0.9987887258383255
KNearestNeighbors,19,0.969215087012465,0.9683438155136267,0.9683438155136267,0.9687792226958807,0.9986082330951774
KNearestNeighbors,21,0.9671647284941974,0.9659478885893981,0.9659478885893981,0.966555841672081,0.9984213217678214
