model,algorithm,n_neighbors,weights,Precision,Recall,Accuracy,F1,AUC
KNearestNeighbors,auto,1,uniform,0.9966756513926324,0.9966756513926324,0.9966756513926324,0.9966756513926324,0.99791624706304
KNearestNeighbors,auto,1,distance,0.9966756513926324,0.9966756513926324,0.9966756513926324,0.9966756513926324,0.99791624706304
KNearestNeighbors,auto,3,uniform,0.9934107703589536,0.9933513027852652,0.9933513027852652,0.9933810343456931,0.9988810093101597
KNearestNeighbors,auto,3,distance,0.99520782768739,0.9951482479784366,0.9951482479784366,0.995178035602299,0.9989098827388169
KNearestNeighbors,auto,5,uniform,0.989725906612823,0.9895777178796047,0.9895777178796047,0.9896518000345556,0.9991697755332665
KNearestNeighbors,auto,5,distance,0.9943386088016324,0.9941599281221922,0.9941599281221922,0.9942492550774096,0.9992479508452028
KNearestNeighbors,auto,7,uniform,0.9860689952896209,0.9857442348008387,0.9857442348008387,0.9859065829936586,0.9992691347127373
KNearestNeighbors,auto,7,distance,0.9929012277151905,0.9927822701407608,0.9927822701407608,0.9928417444743036,0.9994252829028769
KNearestNeighbors,auto,9,uniform,0.9824755900373594,0.9822401916741541,0.9822401916741541,0.9823578754316058,0.9992537373142367
KNearestNeighbors,auto,9,distance,0.9918521214226995,0.9916442048517521,0.9916442048517521,0.9917481509052208,0.9995153035665731
KNearestNeighbors,auto,11,uniform,0.9792959338375333,0.9788559448936807,0.9788559448936807,0.979075887734216,0.9991709562187163
KNearestNeighbors,auto,11,distance,0.9902030818967058,0.9898472596585804,0.9898472596585804,0.990025135250516,0.999589285886262
KNearestNeighbors,auto,13,uniform,0.9762078740682313,0.9756813417190777,0.9756813417190777,0.9759445289912516,0.9990950116983648
KNearestNeighbors,auto,13,distance,0.9888528730755718,0.9883198562443847,0.9883198562443847,0.9885862914812993,0.9996724919105677
KNearestNeighbors,auto,15,uniform,0.9726972811033807,0.9720275531596286,0.9720275531596286,0.9723622961340779,0.9989717792354031
KNearestNeighbors,auto,15,distance,0.9877446934478453,0.9872716382150344,0.9872716382150344,0.9875080905643602,0.9997089787371864
KNearestNeighbors,auto,17,uniform,0.9698393137049737,0.9688529499850255,0.9688529499850255,0.969345821249673,0.9988170111997432
