model,material,numSamples,algorithm,metric,n_neighbors,weights,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
KNearestNeighbors,copper,120,auto,minkowski,3,uniform,0.9981696428571428,0.9981696428571428,0.9981696428571428,0.9981696428571428,0.9995387868429777,0.09561643600463868,0.016115529626572672,18.35766472816467,0.17226005425477567
KNearestNeighbors,copper,120,auto,minkowski,3,distance,0.9996651785714287,0.9996651785714287,0.9996651785714287,0.9996651785714287,0.999554646571782,0.1291883945465088,0.029559846149136648,19.55035753250122,0.11327980497811471
KNearestNeighbors,copper,120,auto,minkowski,6,uniform,0.9967410714285714,0.9967410714285714,0.9967410714285714,0.9967410714285714,0.9998084929244524,0.17025351524353027,0.01371568768206169,20.365866136550903,0.20525965359252712
KNearestNeighbors,copper,120,auto,minkowski,6,distance,0.9996428571428572,0.9996428571428572,0.9996428571428572,0.9996428571428572,0.9998718411478679,0.19417834281921387,0.038021141354315856,20.216375875473023,0.2119629753561252
KNearestNeighbors,copper,120,auto,minkowski,9,uniform,0.995892857142857,0.995892857142857,0.995892857142857,0.995892857142857,0.9998680434286762,0.17228474617004394,0.03869786214969682,20.090162134170534,0.20820875758867793
KNearestNeighbors,copper,120,auto,minkowski,9,distance,0.9995758928571428,0.9995758928571428,0.9995758928571428,0.9995758928571428,0.9999732912644296,0.1906808853149414,0.012058198729602647,20.698945713043212,0.2655039687674327
KNearestNeighbors,copper,120,auto,minkowski,12,uniform,0.9955357142857142,0.9955357142857142,0.9955357142857142,0.9955357142857142,0.9998169159255257,0.21081948280334473,0.05359931682208047,20.388553524017333,0.2625768392223641
KNearestNeighbors,copper,120,auto,minkowski,12,distance,0.9995982142857143,0.9995982142857143,0.9995982142857143,0.9995982142857143,0.9999732232455785,0.19376564025878906,0.022445656259404444,20.85498089790344,0.1887218089128242
KNearestNeighbors,copper,120,auto,minkowski,15,uniform,0.995267857142857,0.995267857142857,0.995267857142857,0.995267857142857,0.99976008617535,0.19995384216308593,0.03756617068657008,20.67273359298706,0.29969181583807303
KNearestNeighbors,copper,120,auto,minkowski,15,distance,0.9995535714285714,0.9995535714285714,0.9995535714285714,0.9995535714285714,0.9999730418619752,0.23074331283569335,0.060523917871231826,21.293699169158934,0.1374325533290601
