model,max_depth,Precision,Recall,Accuracy,F1,AUC
RandomForest,1,1.0,0.06810422282120396,0.06810422282120396,0.12726002157005906,0.9153024693437739
RandomForest,3,1.0,0.380503144654088,0.380503144654088,0.5511827679395181,0.9737721377196682
RandomForest,5,0.9704261366675235,0.7737945492662475,0.7737945492662475,0.8609693327711415,0.987953586918039
RandomForest,7,0.9664518951528696,0.9188379754417489,0.9188379754417489,0.9420423409350116,0.9947211998515784
RandomForest,9,0.9776908271339702,0.9646900269541779,0.9646900269541779,0.9711460618069168,0.9982853238179435
RandomForest,11,0.984883991155745,0.9814914645103323,0.9814914645103323,0.983184694817167,0.9994705289177898
RandomForest,13,0.9916362080698097,0.9906558849955076,0.9906558849955076,0.9911457515914183,0.999847148337125
RandomForest,15,0.9952664875538876,0.9949386043725665,0.9949386043725665,0.9951025158268937,0.9999388389399992
RandomForest,17,0.9966451684804067,0.9964959568733154,0.9964959568733154,0.9965705526202113,0.999970161980842
RandomForest,19,0.9975436141282394,0.9973045822102427,0.9973045822102427,0.9974240780297446,0.999981723404459
RandomForest,21,0.9976630470150777,0.9972746331236897,0.9972746331236897,0.9974688009141884,0.9999843386804892
