model,material,numSamples,criterion,max_depth,n_estimators,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
RandomForest,iron,240,gini,1,1,0.39877208745133275,0.39877208745133275,0.39877208745133275,0.39877208745133275,0.6873802984720581,0.29532179832458494,0.008044062925891748,0.2433675765991211,0.01601106079817845
RandomForest,iron,240,gini,1,101,0.7388140161725067,0.7388140161725067,0.7388140161725067,0.7388140161725067,0.8878054141669001,3.8291858673095702,0.05720167308637612,0.32259273529052734,0.02022047131702513
RandomForest,iron,240,gini,1,201,0.7449236298292902,0.7449236298292902,0.7449236298292902,0.7449236298292902,0.8987089022708439,7.297218179702758,0.10747510998156108,0.43102264404296875,0.03704499165162721
RandomForest,iron,240,gini,1,301,0.7377657981431567,0.7377657981431567,0.7377657981431567,0.7377657981431567,0.8904147065676804,10.807309293746949,0.0876652305937911,0.5275998592376709,0.026784340682245604
RandomForest,iron,240,gini,1,401,0.7397723869421983,0.7397723869421983,0.7397723869421983,0.7397723869421983,0.8995984695449912,14.202233695983887,0.1958026159982959,0.6145998477935791,0.04761463132320713
RandomForest,iron,240,gini,1,501,0.7395028451632226,0.7395028451632226,0.7395028451632226,0.7395028451632226,0.8983366259076767,17.57943992614746,0.16494185371811546,0.6900483131408691,0.03291868770984428
RandomForest,iron,240,gini,1,601,0.7375861036238394,0.7375861036238394,0.7375861036238394,0.7375861036238394,0.9003459051573799,20.926910591125488,0.2439420640909797,0.8361365318298339,0.03852229929256104
RandomForest,iron,240,gini,1,701,0.7304282719377059,0.7304282719377059,0.7304282719377059,0.7304282719377059,0.8941814550503139,24.533882999420165,0.46506493156088163,0.8748178005218505,0.04769773443586574
RandomForest,iron,240,gini,1,801,0.740251572327044,0.740251572327044,0.740251572327044,0.740251572327044,0.8992840765608321,27.895985269546507,0.15603674133611584,0.9482877254486084,0.05633322765155507
RandomForest,iron,240,gini,1,901,0.739412997903564,0.739412997903564,0.739412997903564,0.739412997903564,0.8987608669608624,31.148124742507935,0.46869478459230696,0.973157262802124,0.07751911074947579
RandomForest,iron,240,gini,101,1,0.9994609164420487,0.9994609164420487,0.9994609164420487,0.9994609164420487,0.9996627506508675,0.34081172943115234,0.04239039703563477,0.22910099029541015,0.008476312786132438
RandomForest,iron,240,gini,101,101,1.0,1.0,1.0,1.0,1.0,18.055133008956908,0.18578508103340005,0.7251805305480957,0.0668671151686107
RandomForest,iron,240,gini,101,201,1.0,1.0,1.0,1.0,1.0,33.8628267288208,0.7669493425012174,1.1037786483764649,0.04660009780689659
RandomForest,iron,240,gini,101,301,1.0,1.0,1.0,1.0,1.0,50.04200558662414,0.5590085922605218,1.6129938125610352,0.10884213981588672
RandomForest,iron,240,gini,101,401,1.0,1.0,1.0,1.0,1.0,66.53327665328979,0.31750536229382975,2.0691250801086425,0.06913923347168206
RandomForest,iron,240,gini,101,501,1.0,1.0,1.0,1.0,1.0,83.56417093276977,0.5836503855653431,2.5568142414093016,0.16704826309354176
RandomForest,iron,240,gini,101,601,1.0,1.0,1.0,1.0,1.0,100.643510055542,0.8996710244094811,3.096968746185303,0.1237183985055266
RandomForest,iron,240,gini,101,701,1.0,1.0,1.0,1.0,1.0,118.62051062583923,1.3151716587881555,3.5468217372894286,0.17828348940469865
RandomForest,iron,240,gini,101,801,1.0,1.0,1.0,1.0,1.0,134.14467387199403,1.4686805307183952,3.711607503890991,0.04234567827307502
RandomForest,iron,240,gini,101,901,1.0,1.0,1.0,1.0,1.0,149.25814962387085,0.8618863640542838,4.207448673248291,0.21713117354973369
RandomForest,iron,240,gini,201,1,0.9994309673554957,0.9994309673554957,0.9994309673554957,0.9994309673554957,0.9996444153979654,0.3127879619598389,0.03645730476137756,0.22942757606506348,0.010939516116540123
RandomForest,iron,240,gini,201,101,1.0,1.0,1.0,1.0,1.0,16.970964002609254,0.12595410008943841,0.7065653800964355,0.05585446672220564
RandomForest,iron,240,gini,201,201,1.0,1.0,1.0,1.0,1.0,33.19237542152405,0.19420356216804527,1.150582456588745,0.08464923974556866
RandomForest,iron,240,gini,201,301,1.0,1.0,1.0,1.0,1.0,49.916426277160646,0.37632873779749665,1.52029390335083,0.04334114012350995
RandomForest,iron,240,gini,201,401,1.0,1.0,1.0,1.0,1.0,66.9606924533844,0.24762897161383124,1.8784052371978759,0.052561211649886426
RandomForest,iron,240,gini,201,501,1.0,1.0,1.0,1.0,1.0,82.79480314254761,0.5894654790407653,2.3676313400268554,0.07473854756730862
RandomForest,iron,240,gini,201,601,1.0,1.0,1.0,1.0,1.0,99.43286809921264,0.3637781092309024,2.7749499797821047,0.04908415399137275
RandomForest,iron,240,gini,201,701,1.0,1.0,1.0,1.0,1.0,115.44906969070435,0.7949157437808334,3.3817312240600588,0.1580649021912811
RandomForest,iron,240,gini,201,801,1.0,1.0,1.0,1.0,1.0,132.46398482322692,1.007185101839504,3.677822637557983,0.08778675724243457
RandomForest,iron,240,gini,201,901,1.0,1.0,1.0,1.0,1.0,148.643901348114,1.2610862985020628,4.157642459869384,0.15404405533961482
RandomForest,iron,240,gini,301,1,0.9988619347109914,0.9988619347109914,0.9988619347109914,0.9988619347109914,0.9992886270927489,0.2947667121887207,0.007581173286036695,0.21526827812194824,0.009710792096861159
RandomForest,iron,240,gini,301,101,1.0,1.0,1.0,1.0,1.0,16.84650387763977,0.34993102736793447,0.6653601646423339,0.04332306278062944
RandomForest,iron,240,gini,301,201,1.0,1.0,1.0,1.0,1.0,33.76896834373474,0.314794510632997,1.1034937858581544,0.04297535195091522
RandomForest,iron,240,gini,301,301,1.0,1.0,1.0,1.0,1.0,50.02191500663757,0.41642369582384736,1.4937273979187011,0.049359179727540343
RandomForest,iron,240,gini,301,401,1.0,1.0,1.0,1.0,1.0,66.40582976341247,0.514545968638045,2.023658800125122,0.04373908576833779
RandomForest,iron,240,gini,301,501,1.0,1.0,1.0,1.0,1.0,82.57787117958068,0.35988903314033543,2.3618133544921873,0.08754475171066017
RandomForest,iron,240,gini,301,601,1.0,1.0,1.0,1.0,1.0,98.83193645477294,0.850486206422038,2.804917573928833,0.04038752046691325
RandomForest,iron,240,gini,301,701,1.0,1.0,1.0,1.0,1.0,115.17103962898254,0.5452005728275947,3.2939662456512453,0.17244119523957402
RandomForest,iron,240,gini,301,801,1.0,1.0,1.0,1.0,1.0,131.73223519325256,0.9078293361862172,3.6611937999725344,0.02670882125556633
RandomForest,iron,240,gini,301,901,1.0,1.0,1.0,1.0,1.0,149.34870986938478,1.0747457007981187,4.121914720535278,0.07072136739849631
RandomForest,iron,240,gini,401,1,0.99958071278826,0.99958071278826,0.99958071278826,0.99958071278826,0.9997383346109864,0.3037564277648926,0.029543516101583962,0.2214106559753418,0.0075884893581662834
RandomForest,iron,240,gini,401,101,1.0,1.0,1.0,1.0,1.0,16.81192183494568,0.2224037297468099,0.6600905418395996,0.03166685345272311
RandomForest,iron,240,gini,401,201,1.0,1.0,1.0,1.0,1.0,33.17292728424072,0.3378561207366812,1.107842779159546,0.03770666932063318
RandomForest,iron,240,gini,401,301,1.0,1.0,1.0,1.0,1.0,49.55736246109009,0.2980748935190456,1.564486026763916,0.054014860922212006
RandomForest,iron,240,gini,401,401,1.0,1.0,1.0,1.0,1.0,66.69952030181885,0.46027426572576474,2.039684534072876,0.07302023119820633
RandomForest,iron,240,gini,401,501,1.0,1.0,1.0,1.0,1.0,83.20904417037964,0.5625886008123654,2.329219675064087,0.05464514897255219
RandomForest,iron,240,gini,401,601,1.0,1.0,1.0,1.0,1.0,99.31380195617676,0.9160950703872274,2.800364637374878,0.021838864837268147
