model,material,numSamples,cache_size,degree,kernel,Accuracy,F1,Precision,Recall,mean_fit_time,std_fit_time,mean_score_time,std_score_time
SupportVectorMachine,copper,240,200,1,linear,0.9974999999999999,0.9974999999999999,0.9974999999999999,0.9974999999999999,65.86434850692748,3.386305739889615,4.965315341949463,1.2610772821136063
SupportVectorMachine,copper,240,200,1,poly,0.9856696428571429,0.9856696428571429,0.9856696428571429,0.9856696428571429,193.12458305358888,15.338732452016982,25.91840476989746,0.37975178522904063
SupportVectorMachine,copper,240,200,1,rbf,0.9897767857142856,0.9897767857142856,0.9897767857142856,0.9897767857142856,140.28376140594483,12.596905263004897,28.32133264541626,2.7657102895348995
SupportVectorMachine,copper,240,200,1,sigmoid,0.979642857142857,0.979642857142857,0.979642857142857,0.979642857142857,329.075576877594,8.352094365504044,54.29154772758484,1.0029172979115735
SupportVectorMachine,copper,240,200,2,linear,0.9974999999999999,0.9974999999999999,0.9974999999999999,0.9974999999999999,57.0687442779541,2.6168764316403155,5.530931186676026,1.2247003685463163
SupportVectorMachine,copper,240,200,2,poly,0.9936830357142856,0.9936830357142856,0.9936830357142856,0.9936830357142856,114.71121354103089,3.4232601662512865,17.29464383125305,0.5677567156864941
SupportVectorMachine,copper,240,200,2,rbf,0.9897767857142856,0.9897767857142856,0.9897767857142856,0.9897767857142856,137.65876202583314,1.6949203954444507,27.449403285980225,1.6761438961037924
SupportVectorMachine,copper,240,200,2,sigmoid,0.979642857142857,0.979642857142857,0.979642857142857,0.979642857142857,325.79696774482727,6.5924004524298985,52.31224322319031,2.5220665566291744
SupportVectorMachine,copper,240,200,3,linear,0.9974999999999999,0.9974999999999999,0.9974999999999999,0.9974999999999999,57.89499731063843,2.22189418483995,5.113147783279419,0.9016857603088608
SupportVectorMachine,copper,240,200,3,poly,0.99578125,0.99578125,0.99578125,0.99578125,79.46816534996033,3.60824378646053,11.991551494598388,0.6682233278225264
SupportVectorMachine,copper,240,200,3,rbf,0.9897767857142856,0.9897767857142856,0.9897767857142856,0.9897767857142856,138.03508043289185,3.270187518843781,29.135868978500366,1.1479877014417155
SupportVectorMachine,copper,240,200,3,sigmoid,0.979642857142857,0.979642857142857,0.979642857142857,0.979642857142857,325.76545610427854,5.323970218933307,52.28134174346924,2.55615716328851
SupportVectorMachine,copper,240,200,4,linear,0.9974999999999999,0.9974999999999999,0.9974999999999999,0.9974999999999999,56.624946165084836,1.952509560050926,5.169382333755493,0.8942798880674802
SupportVectorMachine,copper,240,200,4,poly,0.9976339285714285,0.9976339285714285,0.9976339285714285,0.9976339285714285,57.49076428413391,2.1337002887631877,4.158505630493164,0.25839069920586016
SupportVectorMachine,copper,240,200,4,rbf,0.9897767857142856,0.9897767857142856,0.9897767857142856,0.9897767857142856,134.73425102233887,2.45068163524913,26.37596459388733,2.0164498600973024
SupportVectorMachine,copper,240,200,4,sigmoid,0.979642857142857,0.979642857142857,0.979642857142857,0.979642857142857,327.83796229362486,9.12371563173389,51.69914412498474,0.9921529615924979
SupportVectorMachine,copper,240,200,5,linear,0.9974999999999999,0.9974999999999999,0.9974999999999999,0.9974999999999999,57.40979766845703,2.3463061461238945,5.661185216903687,1.2725148789009848
SupportVectorMachine,copper,240,200,5,poly,0.9993080357142856,0.9993080357142856,0.9993080357142856,0.9993080357142856,42.81647567749023,1.4524778340824174,3.0329076766967775,0.492744451466831
SupportVectorMachine,copper,240,200,5,rbf,0.9897767857142856,0.9897767857142856,0.9897767857142856,0.9897767857142856,138.88571605682372,1.9611685460008415,27.722438192367555,2.201897240008251
SupportVectorMachine,copper,240,200,5,sigmoid,0.979642857142857,0.979642857142857,0.979642857142857,0.979642857142857,312.55747761726377,10.593867979777025,52.41089940071106,1.2024861206302269
SupportVectorMachine,copper,240,400,1,linear,0.9974999999999999,0.9974999999999999,0.9974999999999999,0.9974999999999999,58.87456011772156,3.1216130389474315,5.247184228897095,0.7034960583077314
SupportVectorMachine,copper,240,400,1,poly,0.9856696428571429,0.9856696428571429,0.9856696428571429,0.9856696428571429,173.98061656951904,9.341550842311678,24.07836694717407,1.0528902385745509
SupportVectorMachine,copper,240,400,1,rbf,0.9897767857142856,0.9897767857142856,0.9897767857142856,0.9897767857142856,131.1540683746338,7.61414964342617,31.439149570465087,0.4882328342568941
SupportVectorMachine,copper,240,400,1,sigmoid,0.979642857142857,0.979642857142857,0.979642857142857,0.979642857142857,328.98577065467833,9.574632125870725,52.29870891571045,2.5666644347645944
SupportVectorMachine,copper,240,400,2,linear,0.9974999999999999,0.9974999999999999,0.9974999999999999,0.9974999999999999,59.06900854110718,2.434619279643899,4.66257643699646,0.8117119087785565
SupportVectorMachine,copper,240,400,2,poly,0.9936830357142856,0.9936830357142856,0.9936830357142856,0.9936830357142856,114.9241229057312,2.582082417623758,18.429664373397827,0.9118648098738951
SupportVectorMachine,copper,240,400,2,rbf,0.9897767857142856,0.9897767857142856,0.9897767857142856,0.9897767857142856,130.5490981578827,3.312032721212915,34.541175079345706,18.8493602210612
SupportVectorMachine,copper,240,400,2,sigmoid,0.979642857142857,0.979642857142857,0.979642857142857,0.979642857142857,326.7331613540649,4.3481189190097895,53.60350832939148,1.9879806792504373
SupportVectorMachine,copper,240,400,3,linear,0.9974999999999999,0.9974999999999999,0.9974999999999999,0.9974999999999999,54.47893476486206,5.18040432928088,4.363606214523315,0.5891704142208455
SupportVectorMachine,copper,240,400,3,poly,0.99578125,0.99578125,0.99578125,0.99578125,75.56163334846497,2.984456849767163,12.631524276733398,0.7342652229121964
SupportVectorMachine,copper,240,400,3,rbf,0.9897767857142856,0.9897767857142856,0.9897767857142856,0.9897767857142856,130.8131860256195,4.601508752637951,28.062409543991087,2.5438099302026744
SupportVectorMachine,copper,240,400,3,sigmoid,0.979642857142857,0.979642857142857,0.979642857142857,0.979642857142857,316.4671789169312,10.065544070198365,53.91704125404358,0.8879907112423728
SupportVectorMachine,copper,240,400,4,linear,0.9974999999999999,0.9974999999999999,0.9974999999999999,0.9974999999999999,58.43895001411438,1.060124039411504,5.240954113006592,0.984216982922592
SupportVectorMachine,copper,240,400,4,poly,0.9976339285714285,0.9976339285714285,0.9976339285714285,0.9976339285714285,54.758836126327516,1.9437310680775972,4.173512744903564,0.7017929700104438
SupportVectorMachine,copper,240,400,4,rbf,0.9897767857142856,0.9897767857142856,0.9897767857142856,0.9897767857142856,127.93176465034485,3.8485056098889383,27.15133581161499,2.1496435782973777
