model,material,numSamples,cache_size,degree,kernel,Accuracy,F1,Precision,Recall,mean_fit_time,std_fit_time,mean_score_time,std_score_time
SupportVectorMachine,iron,120,200,1,linear,0.8199460916442047,0.8199460916442047,0.8199460916442047,0.8199460916442047,220.01283416748046,8.305348524319886,40.895699691772464,2.8012903527720368
SupportVectorMachine,iron,120,200,1,poly,0.7975741239892183,0.7975741239892183,0.7975741239892183,0.7975741239892183,294.622826051712,6.134379744211109,48.21341948509216,2.0825571239648033
SupportVectorMachine,iron,120,200,1,rbf,0.812848158131177,0.812848158131177,0.812848158131177,0.812848158131177,255.26471428871156,8.295644843376264,70.55793747901916,2.141381954652744
SupportVectorMachine,iron,120,200,1,sigmoid,0.35645402815214133,0.35645402815214133,0.35645402815214133,0.35645402815214133,721.7969799518585,20.68814967382869,77.14536652565002,2.85082839346026
SupportVectorMachine,iron,120,200,2,linear,0.8199460916442047,0.8199460916442047,0.8199460916442047,0.8199460916442047,220.26818752288818,8.690604367324745,41.73849902153015,0.9268118056039353
SupportVectorMachine,iron,120,200,2,poly,0.817340521114106,0.817340521114106,0.817340521114106,0.817340521114106,229.613214635849,5.841586537439059,44.72268385887146,1.0079199892005037
SupportVectorMachine,iron,120,200,2,rbf,0.812848158131177,0.812848158131177,0.812848158131177,0.812848158131177,245.81083512306213,10.375961172721876,66.6507022857666,4.154317609528612
SupportVectorMachine,iron,120,200,2,sigmoid,0.35645402815214133,0.35645402815214133,0.35645402815214133,0.35645402815214133,699.8567801952362,27.931261222798277,70.52894067764282,1.8446263837338508
SupportVectorMachine,iron,120,200,3,linear,0.8199460916442047,0.8199460916442047,0.8199460916442047,0.8199460916442047,216.41703190803528,8.9274697193288,38.57411193847656,1.441140132598093
SupportVectorMachine,iron,120,200,3,poly,0.8575022461814914,0.8575022461814914,0.8575022461814914,0.8575022461814914,202.88756709098817,8.22291692633521,37.48422131538391,1.927333598898394
SupportVectorMachine,iron,120,200,3,rbf,0.812848158131177,0.812848158131177,0.812848158131177,0.812848158131177,255.0387393474579,5.6109186013989945,71.65019755363464,2.8075092891498565
SupportVectorMachine,iron,120,200,3,sigmoid,0.35645402815214133,0.35645402815214133,0.35645402815214133,0.35645402815214133,703.328059053421,18.385807551120084,77.2417893409729,2.679321151665664
SupportVectorMachine,iron,120,200,4,linear,0.8199460916442047,0.8199460916442047,0.8199460916442047,0.8199460916442047,218.30020260810852,8.256034786822182,39.930482625961304,2.1880733038553393
SupportVectorMachine,iron,120,200,4,poly,0.8777478286912249,0.8777478286912249,0.8777478286912249,0.8777478286912249,170.05884938240052,7.020935570058885,36.04778919219971,2.350758619492967
SupportVectorMachine,iron,120,200,4,rbf,0.812848158131177,0.812848158131177,0.812848158131177,0.812848158131177,249.3348165512085,3.2449798972236676,71.28795795440674,3.4110082863329327
SupportVectorMachine,iron,120,200,4,sigmoid,0.35645402815214133,0.35645402815214133,0.35645402815214133,0.35645402815214133,708.0952680110931,13.609336549718433,79.80880031585693,8.53778431523718
SupportVectorMachine,iron,120,200,5,linear,0.8199460916442047,0.8199460916442047,0.8199460916442047,0.8199460916442047,215.22766118049623,11.521954026302538,40.713280534744264,2.9433680242626012
SupportVectorMachine,iron,120,200,5,poly,0.8976040730757712,0.8976040730757712,0.8976040730757712,0.8976040730757712,160.52405710220336,4.153306311699573,31.10833477973938,1.3441169854021577
SupportVectorMachine,iron,120,200,5,rbf,0.812848158131177,0.812848158131177,0.812848158131177,0.812848158131177,251.9986442565918,8.232379713295302,68.80782895088196,3.959444111472914
