model,material,numSamples,criterion,max_depth,splitter,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
DecisionTree,copper,240,gini,1,best,1.0,1.0,1.0,1.0,1.0,1.0890462875366211,0.023874344476903838,0.4079156398773193,0.03218249997768548
DecisionTree,copper,240,gini,1,random,0.9820535714285714,0.9820535714285714,0.9820535714285714,0.9820535714285714,0.989737043655859,0.9064355850219726,0.03998634783218641,0.3439272403717041,0.02281776806224852
DecisionTree,copper,240,gini,101,best,1.0,1.0,1.0,1.0,1.0,1.0728211879730225,0.029791926825917088,0.39895243644714357,0.02208817132944802
DecisionTree,copper,240,gini,101,random,1.0,1.0,1.0,1.0,1.0,1.0979732036590577,0.07574433415695579,0.3647751331329346,0.02614642727770906
DecisionTree,copper,240,gini,201,best,1.0,1.0,1.0,1.0,1.0,1.2284356117248536,0.0496031342817023,0.3860417366027832,0.012038084879171483
DecisionTree,copper,240,gini,201,random,1.0,1.0,1.0,1.0,1.0,1.020427370071411,0.04580161695078772,0.3751805305480957,0.01997887812800525
DecisionTree,copper,240,gini,301,best,1.0,1.0,1.0,1.0,1.0,1.1436169147491455,0.029914435028759078,0.3929110527038574,0.04550894231995641
DecisionTree,copper,240,gini,301,random,1.0,1.0,1.0,1.0,1.0,0.9765440940856933,0.04068662495998654,0.3802443504333496,0.025091182698316446
DecisionTree,copper,240,gini,401,best,1.0,1.0,1.0,1.0,1.0,1.1448373317718505,0.02882264566386025,0.4677243232727051,0.031371303298828
DecisionTree,copper,240,gini,401,random,1.0,1.0,1.0,1.0,1.0,0.90579252243042,0.12164357666858465,0.433026123046875,0.06075187975668069
DecisionTree,copper,240,gini,501,best,1.0,1.0,1.0,1.0,1.0,1.2050724506378174,0.04396102295883384,0.3739931583404541,0.028679840807640702
DecisionTree,copper,240,gini,501,random,1.0,1.0,1.0,1.0,1.0,0.9496154308319091,0.041988869943629784,0.3815753936767578,0.015724713208167776
DecisionTree,copper,240,gini,601,best,1.0,1.0,1.0,1.0,1.0,1.0789948940277099,0.0448276181019941,0.48956942558288574,0.027716973459339992
DecisionTree,copper,240,gini,601,random,1.0,1.0,1.0,1.0,1.0,0.998440933227539,0.07085661035082369,0.48136224746704104,0.032110548967798254
DecisionTree,copper,240,gini,701,best,1.0,1.0,1.0,1.0,1.0,1.2854451179504394,0.0606558845718162,0.45039591789245603,0.02925464296188028
DecisionTree,copper,240,gini,701,random,1.0,1.0,1.0,1.0,1.0,0.9628301620483398,0.06766391880490653,0.4575611114501953,0.034860130739470814
DecisionTree,copper,240,gini,801,best,1.0,1.0,1.0,1.0,1.0,1.2463573455810546,0.022276120069348166,0.3624869823455811,0.02587913259009272
DecisionTree,copper,240,gini,801,random,1.0,1.0,1.0,1.0,1.0,0.9763849258422852,0.0319669669680594,0.3650954246520996,0.007835271325988071
DecisionTree,copper,240,gini,901,best,1.0,1.0,1.0,1.0,1.0,1.0784599781036377,0.039928051609384625,0.4194504737854004,0.05750430803652953
DecisionTree,copper,240,gini,901,random,1.0,1.0,1.0,1.0,1.0,0.947273063659668,0.11634202324846389,0.42065019607543946,0.024716479609362487
DecisionTree,copper,240,entropy,1,best,1.0,1.0,1.0,1.0,1.0,1.2532081127166748,0.05852302960326248,0.3839416027069092,0.01838365363545435
DecisionTree,copper,240,entropy,1,random,0.9906696428571429,0.9906696428571429,0.9906696428571429,0.9906696428571429,0.9946642838907327,0.9312893390655518,0.05598611694739962,0.3747118949890137,0.013792014989641216
DecisionTree,copper,240,entropy,101,best,1.0,1.0,1.0,1.0,1.0,1.1552770614624024,0.061596675354579716,0.4335106372833252,0.055678670709833795
DecisionTree,copper,240,entropy,101,random,1.0,1.0,1.0,1.0,1.0,0.9023845195770264,0.03448560499802245,0.40782666206359863,0.03100256900752033
DecisionTree,copper,240,entropy,201,best,1.0,1.0,1.0,1.0,1.0,1.106870174407959,0.02977638967128104,0.4679612159729004,0.046731898333579526
DecisionTree,copper,240,entropy,201,random,1.0,1.0,1.0,1.0,1.0,0.9476222038269043,0.07587245957508629,0.43450055122375486,0.024522672740243643
DecisionTree,copper,240,entropy,301,best,1.0,1.0,1.0,1.0,1.0,1.3085646629333496,0.012289491704537673,0.3557861804962158,0.016464544563644268
DecisionTree,copper,240,entropy,301,random,1.0,1.0,1.0,1.0,1.0,1.0561005115509032,0.061435468126595436,0.3813041687011719,0.020467621878858977
DecisionTree,copper,240,entropy,401,best,1.0,1.0,1.0,1.0,1.0,1.1686691761016845,0.07431061257421631,0.41493048667907717,0.04240928188397728
DecisionTree,copper,240,entropy,401,random,1.0,1.0,1.0,1.0,1.0,0.9631913661956787,0.11460859429591891,0.38878560066223145,0.01815055087167813
DecisionTree,copper,240,entropy,501,best,1.0,1.0,1.0,1.0,1.0,1.1721919536590577,0.06965483068018001,0.3890712738037109,0.014063849929317557
DecisionTree,copper,240,entropy,501,random,1.0,1.0,1.0,1.0,1.0,0.8669060707092285,0.0747018426240618,0.41142945289611815,0.03176481874396718
DecisionTree,copper,240,entropy,601,best,1.0,1.0,1.0,1.0,1.0,1.1966902256011962,0.07624814489524606,0.41194567680358884,0.03588559444216964
DecisionTree,copper,240,entropy,601,random,1.0,1.0,1.0,1.0,1.0,0.967629337310791,0.04693444387166948,0.3844050407409668,0.03139539621695183
DecisionTree,copper,240,entropy,701,best,1.0,1.0,1.0,1.0,1.0,1.1898179531097413,0.06076495110365177,0.45155987739562986,0.022308034252200126
DecisionTree,copper,240,entropy,701,random,1.0,1.0,1.0,1.0,1.0,0.9659023284912109,0.03430389542451994,0.41152477264404297,0.031561900164896184
DecisionTree,copper,240,entropy,801,best,1.0,1.0,1.0,1.0,1.0,1.1728814601898194,0.021854461110975727,0.3706329345703125,0.02059285078167523
DecisionTree,copper,240,entropy,801,random,1.0,1.0,1.0,1.0,1.0,0.8719484329223632,0.04610888736963743,0.39229679107666016,0.00988450332727924
DecisionTree,copper,240,entropy,901,best,1.0,1.0,1.0,1.0,1.0,1.1257749557495118,0.018865620587080436,0.41856722831726073,0.03595300075845417
DecisionTree,copper,240,entropy,901,random,1.0,1.0,1.0,1.0,1.0,0.9200062274932861,0.07789358445804395,0.4376055240631104,0.021792808637256612
DecisionTree,copper,240,log_loss,1,best,1.0,1.0,1.0,1.0,1.0,1.1839422702789306,0.07114301093060141,0.4042850971221924,0.013243568613229315
DecisionTree,copper,240,log_loss,1,random,0.9718526785714285,0.9718526785714285,0.9718526785714285,0.9718526785714285,0.9839034975746745,0.9150169372558594,0.06300530959538429,0.4194065570831299,0.0246559012656197
DecisionTree,copper,240,log_loss,101,best,1.0,1.0,1.0,1.0,1.0,1.2143703937530517,0.06051299142245074,0.3830888271331787,0.02186384341370655
DecisionTree,copper,240,log_loss,101,random,1.0,1.0,1.0,1.0,1.0,0.9270031929016114,0.03680760165187118,0.38033404350280764,0.03854130823084376
DecisionTree,copper,240,log_loss,201,best,1.0,1.0,1.0,1.0,1.0,1.1347805500030517,0.02300346520286902,0.4374208450317383,0.035744218637293275
DecisionTree,copper,240,log_loss,201,random,1.0,1.0,1.0,1.0,1.0,0.9488138198852539,0.10074713704026843,0.406879186630249,0.024863098908797437
