model,material,numSamples,criterion,max_depth,splitter,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
DecisionTree,iron,240,gini,1,best,0.39985025456723566,0.39985025456723566,0.39985025456723566,0.39985025456723566,0.6994804693679213,0.8845576763153076,0.03853721784616433,0.31092047691345215,0.05931312553588764
DecisionTree,iron,240,gini,1,random,0.39985025456723566,0.39985025456723566,0.39985025456723566,0.39985025456723566,0.6959634713929457,0.6142899513244628,0.008453078088770008,0.2959736824035645,0.05611781628933708
DecisionTree,iron,240,gini,101,best,1.0,1.0,1.0,1.0,1.0,3.4444159030914308,0.0824481162665318,0.25135555267333987,0.015030093216562191
DecisionTree,iron,240,gini,101,random,0.999341120095837,0.999341120095837,0.999341120095837,0.999341120095837,0.9995878706859809,2.1071714878082277,0.2951395583748342,0.24035391807556153,0.017094431995629294
DecisionTree,iron,240,gini,201,best,1.0,1.0,1.0,1.0,1.0,3.3809930324554442,0.1273115501740502,0.2664774417877197,0.02435429477291616
DecisionTree,iron,240,gini,201,random,0.9991314764899671,0.9991314764899671,0.9991314764899671,0.9991314764899671,0.9994563982918743,1.8886168956756593,0.20040225192299507,0.2794468402862549,0.02717287870949353
DecisionTree,iron,240,gini,301,best,1.0,1.0,1.0,1.0,1.0,3.35377459526062,0.10554195980209358,0.2856913566589355,0.015401095174921886
DecisionTree,iron,240,gini,301,random,0.99916142557652,0.99916142557652,0.99916142557652,0.99916142557652,0.9994752338348192,1.9225425243377685,0.12334736372562308,0.25139708518981935,0.0362027443230241
DecisionTree,iron,240,gini,401,best,1.0,1.0,1.0,1.0,1.0,3.2400184631347657,0.14429512029347952,0.2790385246276855,0.026589344631566703
DecisionTree,iron,240,gini,401,random,0.9987121892782269,0.9987121892782269,0.9987121892782269,0.9987121892782269,0.9991944088407848,1.8981396675109863,0.14066088025245363,0.26631603240966795,0.020500488967183424
DecisionTree,iron,240,gini,501,best,1.0,1.0,1.0,1.0,1.0,3.378265857696533,0.10353702151841028,0.27651095390319824,0.009072131495181901
DecisionTree,iron,240,gini,501,random,0.9995208146151542,0.9995208146151542,0.9995208146151542,0.9995208146151542,0.9997002448447321,1.9220535278320312,0.14770833290632232,0.2967033863067627,0.05505401921977278
DecisionTree,iron,240,gini,601,best,1.0,1.0,1.0,1.0,1.0,3.2466127395629885,0.06085725998376206,0.27132487297058105,0.028961411218482544
DecisionTree,iron,240,gini,601,random,0.9990116801437556,0.9990116801437556,0.9990116801437556,0.9990116801437556,0.9993818304980863,2.1257757186889648,0.08115084143870165,0.2651680469512939,0.016905136317481004
DecisionTree,iron,240,gini,701,best,1.0,1.0,1.0,1.0,1.0,3.310734272003174,0.08122256683192389,0.2684160232543945,0.02432990873804998
DecisionTree,iron,240,gini,701,random,0.9990116801437556,0.9990116801437556,0.9990116801437556,0.9990116801437556,0.9993817447071157,2.0011106014251707,0.21044373136665714,0.233444881439209,0.006015359889967085
DecisionTree,iron,240,gini,801,best,1.0,1.0,1.0,1.0,1.0,3.267529535293579,0.03302237069495135,0.28838839530944826,0.02417588903539872
DecisionTree,iron,240,gini,801,random,0.999760407307577,0.999760407307577,0.999760407307577,0.999760407307577,0.9998498159053625,1.9084497928619384,0.26197948082017136,0.25835647583007815,0.022737423192393507
DecisionTree,iron,240,gini,901,best,0.999970050913447,0.999970050913447,0.999970050913447,0.999970050913447,0.9999812663813996,3.3576454162597655,0.057099567692100305,0.2549751758575439,0.012738660633097391
DecisionTree,iron,240,gini,901,random,0.9992512728361784,0.9992512728361784,0.9992512728361784,0.9992512728361784,0.999531205279142,1.9954047679901123,0.17714815705443343,0.25137763023376464,0.027531363982097094
DecisionTree,iron,240,entropy,1,best,0.39985025456723566,0.39985025456723566,0.39985025456723566,0.39985025456723566,0.6994804693679213,0.8775268077850342,0.0493512170698596,0.2717299938201904,0.013945547704628388
DecisionTree,iron,240,entropy,1,random,0.39985025456723566,0.39985025456723566,0.39985025456723566,0.39985025456723566,0.7001719938931878,0.4799357414245605,0.03332519107160469,0.25559124946594236,0.014414208181283967
DecisionTree,iron,240,entropy,101,best,0.999970050913447,0.999970050913447,0.999970050913447,0.999970050913447,0.9999812311890119,3.55112361907959,0.04577563743630518,0.24437880516052246,0.03345829454826478
DecisionTree,iron,240,entropy,101,random,0.9995208146151542,0.9995208146151542,0.9995208146151542,0.9995208146151542,0.9996998970711412,1.8139445781707764,0.08201429999279508,0.24637975692749023,0.033377315746696105
DecisionTree,iron,240,entropy,201,best,1.0,1.0,1.0,1.0,1.0,3.598989200592041,0.11161510329218273,0.2846208572387695,0.013259378248948277
DecisionTree,iron,240,entropy,201,random,0.9995208146151542,0.9995208146151542,0.9995208146151542,0.9995208146151542,0.9997003382147345,1.5063755512237549,0.16307725193263073,0.2756335735321045,0.02572729342922457
DecisionTree,iron,240,entropy,301,best,0.9999401018268943,0.9999401018268943,0.9999401018268943,0.9999401018268943,0.9999624623780239,3.533129644393921,0.11094140686363464,0.24714531898498535,0.02034737382138288
DecisionTree,iron,240,entropy,301,random,0.9993111710092842,0.9993111710092842,0.9993111710092842,0.9993111710092842,0.9995688995459504,1.7038522243499756,0.11966665944121507,0.23309597969055176,0.006037852485327893
DecisionTree,iron,240,entropy,401,best,1.0,1.0,1.0,1.0,1.0,3.438321352005005,0.09967271796911407,0.2576287746429443,0.024125348198809595
DecisionTree,iron,240,entropy,401,random,0.9996705600479185,0.9996705600479185,0.9996705600479185,0.9996705600479185,0.9997940272448391,1.5201607704162599,0.13012280326153122,0.2579380512237549,0.02598481552903868
DecisionTree,iron,240,entropy,501,best,1.0,1.0,1.0,1.0,1.0,3.532108926773071,0.05950178616408244,0.24783124923706054,0.019309264488559606
DecisionTree,iron,240,entropy,501,random,0.9994309673554957,0.9994309673554957,0.9994309673554957,0.9994309673554957,0.9996440016847284,1.54579701423645,0.07427054084319312,0.24669389724731444,0.042758604510694964
DecisionTree,iron,240,entropy,601,best,0.999970050913447,0.999970050913447,0.999970050913447,0.999970050913447,0.9999812311890119,3.4152728080749513,0.06818814367488815,0.26566061973571775,0.02373492859712993
DecisionTree,iron,240,entropy,601,random,0.9994609164420485,0.9994609164420485,0.9994609164420485,0.9994609164420485,0.9996623658779363,1.70087571144104,0.09380815623529039,0.24512896537780762,0.0203310411815213
DecisionTree,iron,240,entropy,701,best,0.999970050913447,0.999970050913447,0.999970050913447,0.999970050913447,0.9999812311890119,3.527247762680054,0.05987048948615011,0.26345076560974123,0.04247576157222605
DecisionTree,iron,240,entropy,701,random,0.9990715783168612,0.9990715783168612,0.9990715783168612,0.9990715783168612,0.9994188359367617,1.643890953063965,0.037792538853446404,0.2297497272491455,0.02316576255611061
DecisionTree,iron,240,entropy,801,best,1.0,1.0,1.0,1.0,1.0,3.5025269985198975,0.06790005956106238,0.29346771240234376,0.006985210171864059
DecisionTree,iron,240,entropy,801,random,0.99958071278826,0.99958071278826,0.99958071278826,0.99958071278826,0.9997375599189027,1.5689149379730225,0.11276321729154505,0.2512972831726074,0.013756413607178683
DecisionTree,iron,240,entropy,901,best,1.0,1.0,1.0,1.0,1.0,3.7136460304260255,0.08232073180761001,0.25930142402648926,0.02028859792512084
DecisionTree,iron,240,entropy,901,random,0.9994010182689429,0.9994010182689429,0.9994010182689429,0.9994010182689429,0.9996251308872282,1.7599650859832763,0.07698081154822377,0.2346719264984131,0.005014297392087271
DecisionTree,iron,240,log_loss,1,best,0.39985025456723566,0.39985025456723566,0.39985025456723566,0.39985025456723566,0.6994804693679213,0.8785826683044433,0.037167578296299034,0.25500168800354006,0.022724737486115542
DecisionTree,iron,240,log_loss,1,random,0.3977238694219826,0.3977238694219826,0.3977238694219826,0.3977238694219826,0.6863702452786862,0.4513066291809082,0.03721798105328581,0.256296443939209,0.01837645229521893
DecisionTree,iron,240,log_loss,101,best,1.0,1.0,1.0,1.0,1.0,3.462574291229248,0.03312555008032333,0.23464021682739258,0.004519261169332422
DecisionTree,iron,240,log_loss,101,random,0.9992812219227314,0.9992812219227314,0.9992812219227314,0.9992812219227314,0.9995503141279801,1.7682196140289306,0.09203734986543334,0.2526069641113281,0.02094944943818025
DecisionTree,iron,240,log_loss,201,best,0.999970050913447,0.999970050913447,0.999970050913447,0.999970050913447,0.9999812311890119,3.504836416244507,0.05138503006664383,0.27847962379455565,0.02465638144303672
DecisionTree,iron,240,log_loss,201,random,0.9993411200958372,0.9993411200958372,0.9993411200958372,0.9993411200958372,0.9995876579011507,1.4747992038726807,0.12109813206525562,0.2608481884002686,0.02203811213812477
DecisionTree,iron,240,log_loss,301,best,1.0,1.0,1.0,1.0,1.0,3.4501765251159666,0.03968542072239972,0.2847259521484375,0.04230140027315591
DecisionTree,iron,240,log_loss,301,random,0.9997304582210242,0.9997304582210242,0.9997304582210242,0.9997304582210242,0.9998310752756773,1.6074612140655518,0.053131813757265854,0.24532952308654785,0.01618661333797299
DecisionTree,iron,240,log_loss,401,best,1.0,1.0,1.0,1.0,1.0,3.6015398502349854,0.11383797348524582,0.26134862899780276,0.02495028999672178
DecisionTree,iron,240,log_loss,401,random,0.9995507637017071,0.9995507637017071,0.9995507637017071,0.9995507637017071,0.9997191929083208,1.6057499408721925,0.06537828123948684,0.27030124664306643,0.03271192104184147
DecisionTree,iron,240,log_loss,501,best,1.0,1.0,1.0,1.0,1.0,3.5464417934417725,0.0638348756163381,0.25216140747070315,0.02549789005180599
