model,material,numSamples,criterion,max_depth,splitter,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
DecisionTree,iron,120,gini,1,best,0.3412398921832884,0.3412398921832884,0.3412398921832884,0.3412398921832884,0.6399106991626398,0.5581687450408935,0.046175366315537834,0.33439149856567385,0.03007113464768311
DecisionTree,iron,120,gini,1,random,0.34866726564839773,0.34866726564839773,0.34866726564839773,0.34866726564839773,0.6438155326195034,0.28371477127075195,0.012654864089301724,0.232207727432251,0.02947020812269411
DecisionTree,iron,120,gini,101,best,0.9864929619646601,0.9864929619646601,0.9864929619646601,0.9864929619646601,0.9915528397459784,4.780583715438842,0.25577779321553457,0.22148442268371582,0.03407839345418243
DecisionTree,iron,120,gini,101,random,0.986522911051213,0.986522911051213,0.986522911051213,0.986522911051213,0.9915702416891745,1.0509111881256104,0.029308451742669325,0.23800220489501953,0.02627805059471538
DecisionTree,iron,120,gini,201,best,0.9869421982629529,0.9869421982629529,0.9869421982629529,0.9869421982629529,0.9918330378015519,4.571150588989258,0.2063897235826832,0.23676762580871583,0.021793796936858435
DecisionTree,iron,120,gini,201,random,0.9849356094639112,0.9849356094639112,0.9849356094639112,0.9849356094639112,0.9905775456122292,0.9284508228302002,0.14547429859501804,0.23550257682800294,0.01650488586150865
DecisionTree,iron,120,gini,301,best,0.9867924528301886,0.9867924528301886,0.9867924528301886,0.9867924528301886,0.9917412933041969,4.467964124679566,0.1741004740312215,0.24676961898803712,0.028415191339949127
DecisionTree,iron,120,gini,301,random,0.9863731656184488,0.9863731656184488,0.9863731656184488,0.9863731656184488,0.9914783396378551,0.8324090480804444,0.13699570026076474,0.2143073558807373,0.023028816036609626
DecisionTree,iron,120,gini,401,best,0.9869122491764001,0.9869122491764001,0.9869122491764001,0.9869122491764001,0.9918151934891559,4.511579942703247,0.16109293268964572,0.21516237258911133,0.01937501824138984
DecisionTree,iron,120,gini,401,random,0.9874213836477989,0.9874213836477989,0.9874213836477989,0.9874213836477989,0.9921333367328027,0.7977982997894287,0.01538725115993153,0.20413737297058104,0.012707218946509995
DecisionTree,iron,120,gini,501,best,0.9872416891284816,0.9872416891284816,0.9872416891284816,0.9872416891284816,0.9920204022038839,4.539977884292602,0.16293293996833336,0.22381043434143066,0.013065907181404374
DecisionTree,iron,120,gini,501,random,0.9870619946091643,0.9870619946091643,0.9870619946091643,0.9870619946091643,0.9919066652408475,0.9176860809326172,0.04875523896047084,0.23126120567321778,0.017954509718714696
DecisionTree,iron,120,gini,601,best,0.9869122491764001,0.9869122491764001,0.9869122491764001,0.9869122491764001,0.9918155759658885,4.4233739376068115,0.12590806122034964,0.2362574577331543,0.03853743202449595
DecisionTree,iron,120,gini,601,random,0.9865229110512128,0.9865229110512128,0.9865229110512128,0.9865229110512128,0.9915700906113217,0.8642546176910401,0.13344246525762604,0.20805726051330567,0.01663640778128244
DecisionTree,iron,120,gini,701,best,0.9867924528301886,0.9867924528301886,0.9867924528301886,0.9867924528301886,0.991739459623561,4.538355541229248,0.18806494967341622,0.20594820976257325,0.0074743522242238436
DecisionTree,iron,120,gini,701,random,0.9852949985025455,0.9852949985025455,0.9852949985025455,0.9852949985025455,0.9908019508106459,0.9126575946807861,0.09760948220574737,0.2105494499206543,0.0119120139571727
DecisionTree,iron,120,gini,801,best,0.9870619946091643,0.9870619946091643,0.9870619946091643,0.9870619946091643,0.9919071337311317,4.459205293655396,0.20701172769442788,0.2409428596496582,0.025260777678151273
DecisionTree,iron,120,gini,801,random,0.9864031147050015,0.9864031147050015,0.9864031147050015,0.9864031147050015,0.9914950619079814,0.9327325344085693,0.03713724540067628,0.2398090362548828,0.019309861273423105
DecisionTree,iron,120,gini,901,best,0.9864630128781073,0.9864630128781073,0.9864630128781073,0.9864630128781073,0.9915349225624261,4.524188470840454,0.17805222579706026,0.22882752418518065,0.0052074420409326605
DecisionTree,iron,120,gini,901,random,0.9846361185983827,0.9846361185983827,0.9846361185983827,0.9846361185983827,0.9903929448140728,0.7603780269622803,0.06440380682429467,0.2255350112915039,0.026566026699450285
DecisionTree,iron,120,entropy,1,best,0.39967056004791857,0.39967056004791857,0.39967056004791857,0.39967056004791857,0.6786126452591331,0.5524953842163086,0.022049854811608087,0.2193425178527832,0.014068905531930475
DecisionTree,iron,120,entropy,1,random,0.36864330637915543,0.36864330637915543,0.36864330637915543,0.36864330637915543,0.671114316653002,0.205037260055542,0.006818397859534243,0.23887224197387696,0.018730013839954478
DecisionTree,iron,120,entropy,101,best,0.9914645103324349,0.9914645103324349,0.9914645103324349,0.9914645103324349,0.9946608604559192,4.159373617172241,0.10023309603535488,0.1972970485687256,0.008901675215829661
DecisionTree,iron,120,entropy,101,random,0.9873315363881401,0.9873315363881401,0.9873315363881401,0.9873315363881401,0.9920763500057708,0.8173651218414306,0.038499603017264995,0.23214254379272461,0.015787682342229995
DecisionTree,iron,120,entropy,201,best,0.9910452231206948,0.9910452231206948,0.9910452231206948,0.9910452231206948,0.9943990767024402,4.050053691864013,0.16754533697865723,0.2250040054321289,0.018114750209946184
DecisionTree,iron,120,entropy,201,random,0.9870919436957173,0.9870919436957173,0.9870919436957173,0.9870919436957173,0.9919297026881125,0.8158898830413819,0.053717474335064894,0.2098825454711914,0.004686459373560029
DecisionTree,iron,120,entropy,301,best,0.9912249176400121,0.9912249176400121,0.9912249176400121,0.9912249176400121,0.994510836011108,3.9920252323150636,0.1270399812346333,0.2295015811920166,0.025508924155735083
DecisionTree,iron,120,entropy,301,random,0.9876310272536687,0.9876310272536687,0.9876310272536687,0.9876310272536687,0.9922667721251486,0.618966007232666,0.04729801538476014,0.2144625186920166,0.019102902969716184
DecisionTree,iron,120,entropy,401,best,0.9910452231206948,0.9910452231206948,0.9910452231206948,0.9910452231206948,0.9943993957639456,4.168210029602051,0.10985649505770805,0.20680603981018067,0.010424266915542543
DecisionTree,iron,120,entropy,401,random,0.9888589398023362,0.9888589398023362,0.9888589398023362,0.9888589398023362,0.9930302660973529,0.7205654144287109,0.07025059278584349,0.21568622589111328,0.013989886120122494
DecisionTree,iron,120,entropy,501,best,0.991853848457622,0.991853848457622,0.991853848457622,0.991853848457622,0.9949051699957344,4.087469911575317,0.1932453099002348,0.2401721954345703,0.011138585722815933
DecisionTree,iron,120,entropy,501,random,0.9875411799940101,0.9875411799940101,0.9875411799940101,0.9875411799940101,0.9922086438456768,0.7355039596557618,0.06718905189811614,0.2280515193939209,0.02443901676744422
DecisionTree,iron,120,entropy,601,best,0.9908655286013776,0.9908655286013776,0.9908655286013776,0.9908655286013776,0.9942863948131297,4.10783200263977,0.12395460316899369,0.23849840164184571,0.023603021598452453
DecisionTree,iron,120,entropy,601,random,0.9880503144654089,0.9880503144654089,0.9880503144654089,0.9880503144654089,0.9925261181900522,0.63868088722229,0.05162076012133287,0.19823160171508789,0.00720678395125747
DecisionTree,iron,120,entropy,701,best,0.9909553758610363,0.9909553758610363,0.9909553758610363,0.9909553758610363,0.9943438367281077,4.044880533218384,0.10180026986129032,0.2198476791381836,0.016054884598467118
DecisionTree,iron,120,entropy,701,random,0.9866726564839773,0.9866726564839773,0.9866726564839773,0.9866726564839773,0.9916648323368096,0.7898442268371582,0.07918831001671263,0.22692360877990722,0.020692604507394578
DecisionTree,iron,120,entropy,801,best,0.9912848158131178,0.9912848158131178,0.9912848158131178,0.9912848158131178,0.9945492658281724,4.062089204788208,0.20363597039862333,0.23047003746032715,0.014880854194022401
DecisionTree,iron,120,entropy,801,random,0.9856843366277328,0.9856843366277328,0.9856843366277328,0.9856843366277328,0.9910486734060067,0.7105369567871094,0.10804491990712314,0.19915871620178222,0.004715802331535524
DecisionTree,iron,120,entropy,901,best,0.9908355795148248,0.9908355795148248,0.9908355795148248,0.9908355795148248,0.9942677284550643,4.100741386413574,0.13768531785918459,0.23831801414489745,0.03655858322880616
DecisionTree,iron,120,entropy,901,random,0.9871817909553758,0.9871817909553758,0.9871817909553758,0.9871817909553758,0.9919835310183907,0.6501734256744385,0.04529040303012805,0.20644011497497558,0.016363708406958347
DecisionTree,iron,120,log_loss,1,best,0.39967056004791857,0.39967056004791857,0.39967056004791857,0.39967056004791857,0.6786126452591331,0.5178758144378662,0.0174396328498401,0.20796422958374022,0.015453923593381923
DecisionTree,iron,120,log_loss,1,random,0.3591494459418988,0.3591494459418988,0.3591494459418988,0.3591494459418988,0.6470597949875592,0.18271207809448242,0.01374547055403708,0.20214099884033204,0.01680802760034432
DecisionTree,iron,120,log_loss,101,best,0.9910751722072477,0.9910751722072477,0.9910751722072477,0.9910751722072477,0.9944184332198457,4.150487804412842,0.10445216291002116,0.21323928833007813,0.01415074783628345
DecisionTree,iron,120,log_loss,101,random,0.9869421982629529,0.9869421982629529,0.9869421982629529,0.9869421982629529,0.991831466750431,0.8680540561676026,0.1044692515562421,0.2247589111328125,0.013464317735356657
DecisionTree,iron,120,log_loss,201,best,0.9915843066786463,0.9915843066786463,0.9915843066786463,0.9915843066786463,0.9947365017757898,4.164807939529419,0.156518681078803,0.21323246955871583,0.014799914334014255
DecisionTree,iron,120,log_loss,201,random,0.9876609763402217,0.9876609763402217,0.9876609763402217,0.9876609763402217,0.9922820718403473,0.7950230598449707,0.11813684756166616,0.2094576358795166,0.019881395342831443
DecisionTree,iron,120,log_loss,301,best,0.9912249176400121,0.9912249176400121,0.9912249176400121,0.9912249176400121,0.9945111024814972,4.064776992797851,0.12987522294535356,0.2258988380432129,0.014550267468236587
DecisionTree,iron,120,log_loss,301,random,0.9863432165318956,0.9863432165318956,0.9863432165318956,0.9863432165318956,0.9914589772453463,0.6152143478393555,0.05410876708278136,0.2412263870239258,0.035849081648866715
DecisionTree,iron,120,log_loss,401,best,0.9914645103324349,0.9914645103324349,0.9914645103324349,0.9914645103324349,0.9946622678446182,4.063179016113281,0.1402403392261782,0.22642049789428711,0.03281611192271295
DecisionTree,iron,120,log_loss,401,random,0.9873015873015873,0.9873015873015873,0.9873015873015873,0.9873015873015873,0.9920590764428393,0.7302432537078858,0.07519831811366558,0.21115450859069823,0.0112171808833536
DecisionTree,iron,120,log_loss,501,best,0.9913746630727763,0.9913746630727763,0.9913746630727763,0.9913746630727763,0.994605312804128,4.02254090309143,0.13167995554771308,0.21498527526855468,0.021203633049835826
DecisionTree,iron,120,log_loss,501,random,0.9861635220125786,0.9861635220125786,0.9861635220125786,0.9861635220125786,0.9913454273856945,0.6930454254150391,0.06711353996070295,0.20247788429260255,0.011602879916235584
DecisionTree,iron,120,log_loss,601,best,0.9913447139862235,0.9913447139862235,0.9913447139862235,0.9913447139862235,0.994587002549722,4.019463205337525,0.12872409585070224,0.24504966735839845,0.02647481263597969
DecisionTree,iron,120,log_loss,601,random,0.9879005690326446,0.9879005690326446,0.9879005690326446,0.9879005690326446,0.9924309433460131,0.6879725456237793,0.04736943000251245,0.21592559814453124,0.0250093603343038
DecisionTree,iron,120,log_loss,701,best,0.9916741539383048,0.9916741539383048,0.9916741539383048,0.9916741539383048,0.9947922245377155,4.1650477886199955,0.1323909363395058,0.22105464935302735,0.008729396967697154
DecisionTree,iron,120,log_loss,701,random,0.9875112309074574,0.9875112309074574,0.9875112309074574,0.9875112309074574,0.9921879278195247,0.7015956401824951,0.06549136127510408,0.20766153335571289,0.010385379888485003
DecisionTree,iron,120,log_loss,801,best,0.9907457322551663,0.9907457322551663,0.9907457322551663,0.9907457322551663,0.9942118625412002,4.068400144577026,0.1691738177323575,0.16139554977416992,0.008973375233839256
DecisionTree,iron,120,log_loss,801,random,0.9894279724468402,0.9894279724468402,0.9894279724468402,0.9894279724468402,0.9933884174784445,0.8306273937225341,0.13248657056715993,0.20515084266662598,0.003669428514859688
DecisionTree,iron,120,log_loss,901,best,0.9912249176400121,0.9912249176400121,0.9912249176400121,0.9912249176400121,0.994510112815744,3.5503820419311523,0.16745032068595175,0.122990083694458,0.005377257406950326
DecisionTree,iron,120,log_loss,901,random,0.9867325546570829,0.9867325546570829,0.9867325546570829,0.9867325546570829,0.9917054562912314,0.5922819614410401,0.04276038452602364,0.19464702606201173,0.008581480698415543
