model,material,numSamples,algorithm,metric,n_neighbors,weights,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
KNearestNeighbors,iron,120,auto,minkowski,3,uniform,0.9935609463911351,0.9935609463911351,0.9935609463911351,0.9935609463911351,0.9986576859740218,0.11137337684631347,0.00683334420671935,10.44653673171997,0.09534902023803153
KNearestNeighbors,iron,120,auto,minkowski,3,distance,0.9952081461515425,0.9952081461515425,0.9952081461515425,0.9952081461515425,0.998683225478276,0.11667242050170898,0.009762229021158662,10.653558492660522,0.125333372957792
KNearestNeighbors,iron,120,auto,minkowski,6,uniform,0.9880503144654089,0.9880503144654089,0.9880503144654089,0.9880503144654089,0.9990231017117346,0.1066516399383545,0.006330028050076758,10.476756286621093,0.09336278817407906
KNearestNeighbors,iron,120,auto,minkowski,6,distance,0.9938903863432167,0.9938903863432167,0.9938903863432167,0.9938903863432167,0.9991260688518316,0.11489682197570801,0.023673802280210793,10.96694836616516,0.21417076060608584
KNearestNeighbors,iron,120,auto,minkowski,9,uniform,0.9829889188379755,0.9829889188379755,0.9829889188379755,0.9829889188379755,0.9990398218709624,0.12910375595092774,0.04378832886671384,10.949717664718628,0.07932705219085287
KNearestNeighbors,iron,120,auto,minkowski,9,distance,0.9915543575920933,0.9915543575920933,0.9915543575920933,0.9915543575920933,0.9993036155950621,0.133302640914917,0.043641094720404304,11.024138975143433,0.07335495375434757
KNearestNeighbors,iron,120,auto,minkowski,12,uniform,0.978796046720575,0.978796046720575,0.978796046720575,0.978796046720575,0.998960978121872,0.1326152801513672,0.02768332029870248,11.26784725189209,0.24509803370075303
KNearestNeighbors,iron,120,auto,minkowski,12,distance,0.990356394129979,0.990356394129979,0.990356394129979,0.990356394129979,0.9994631344722595,0.14920239448547362,0.025789404791550327,11.497891998291015,0.0620925729642463
KNearestNeighbors,iron,120,auto,minkowski,15,uniform,0.9725067385444743,0.9725067385444743,0.9725067385444743,0.9725067385444743,0.9988715288884485,0.11740851402282715,0.012753007096828561,11.346681499481202,0.10168163064350011
KNearestNeighbors,iron,120,auto,minkowski,15,distance,0.9882599580712788,0.9882599580712788,0.9882599580712788,0.9882599580712788,0.9996152229628132,0.1390223979949951,0.022074001975242098,11.663136196136474,0.16617876810430832
KNearestNeighbors,iron,120,auto,minkowski,18,uniform,0.9678047319556752,0.9678047319556752,0.9678047319556752,0.9678047319556752,0.998631396774363,0.14406971931457518,0.02744939192857725,11.731199550628663,0.04508284989462779
KNearestNeighbors,iron,120,auto,minkowski,18,distance,0.9864630128781071,0.9864630128781071,0.9864630128781071,0.9864630128781071,0.999636391649583,0.12478070259094239,0.04254464012414724,11.808654928207398,0.11065377765241106
KNearestNeighbors,iron,120,auto,minkowski,21,uniform,0.9647798742138365,0.9647798742138365,0.9647798742138365,0.9647798742138365,0.9983664757744333,0.1391061782836914,0.03076648544568288,11.646579790115357,0.13402545881906353
KNearestNeighbors,iron,120,auto,minkowski,21,distance,0.9844564240790655,0.9844564240790655,0.9844564240790655,0.9844564240790655,0.9996229078057993,0.11124753952026367,0.014027605051734659,11.882164812088012,0.12534732241359545
KNearestNeighbors,iron,120,auto,minkowski,24,uniform,0.9622042527702905,0.9622042527702905,0.9622042527702905,0.9622042527702905,0.9981111462843341,0.1514291763305664,0.018060809268300858,11.717458820343017,0.06664932679071528
KNearestNeighbors,iron,120,auto,minkowski,24,distance,0.9832584606169512,0.9832584606169512,0.9832584606169512,0.9832584606169512,0.9996229663154461,0.1456514835357666,0.017247430427426443,11.958427476882935,0.054386367175447405
KNearestNeighbors,iron,120,auto,minkowski,27,uniform,0.9598981731057205,0.9598981731057205,0.9598981731057205,0.9598981731057205,0.9978002202414122,0.1360234260559082,0.026834409561486153,12.171306228637695,0.09621556499746231
KNearestNeighbors,iron,120,auto,minkowski,27,distance,0.9817310572027553,0.9817310572027553,0.9817310572027553,0.9817310572027553,0.9996044090762558,0.12578659057617186,0.010649436793689845,12.248864841461181,0.08079898130602606
KNearestNeighbors,iron,120,auto,minkowski,30,uniform,0.9555555555555555,0.9555555555555555,0.9555555555555555,0.9555555555555555,0.9974786757997072,0.14087138175964356,0.03402226824497307,12.097881889343261,0.16943794503023576
KNearestNeighbors,iron,120,auto,minkowski,30,distance,0.980263551961665,0.980263551961665,0.980263551961665,0.980263551961665,0.999586238356371,0.13537726402282715,0.015607987188618463,11.878862524032593,0.29996639589193785
KNearestNeighbors,iron,120,auto,euclidean,3,uniform,0.9935609463911351,0.9935609463911351,0.9935609463911351,0.9935609463911351,0.9986576859740218,0.1891002655029297,0.04919629714196065,12.742288398742676,0.17508251991450036
KNearestNeighbors,iron,120,auto,euclidean,3,distance,0.9952081461515425,0.9952081461515425,0.9952081461515425,0.9952081461515425,0.998683225478276,0.12784051895141602,0.023690941218192808,11.521248865127564,0.11335575264283491
KNearestNeighbors,iron,120,auto,euclidean,6,uniform,0.9880503144654089,0.9880503144654089,0.9880503144654089,0.9880503144654089,0.9990231017117346,0.14318594932556153,0.021114943502973903,13.179640245437621,0.28522021811628756
KNearestNeighbors,iron,120,auto,euclidean,6,distance,0.9938903863432167,0.9938903863432167,0.9938903863432167,0.9938903863432167,0.9991260688518316,0.1362778663635254,0.01820238238913655,11.569989728927613,0.09402686021425781
KNearestNeighbors,iron,120,auto,euclidean,9,uniform,0.9829889188379755,0.9829889188379755,0.9829889188379755,0.9829889188379755,0.9990398218709624,0.14351673126220704,0.024225296305834195,12.942793798446655,0.4151710193949418
KNearestNeighbors,iron,120,auto,euclidean,9,distance,0.9915543575920933,0.9915543575920933,0.9915543575920933,0.9915543575920933,0.9993036155950621,0.15915751457214355,0.021908114914512684,11.592946767807007,0.12801550557680555
KNearestNeighbors,iron,120,auto,euclidean,12,uniform,0.978796046720575,0.978796046720575,0.978796046720575,0.978796046720575,0.998960978121872,0.14764490127563476,0.01691847977919798,13.466057300567627,0.35827685081908356
KNearestNeighbors,iron,120,auto,euclidean,12,distance,0.990356394129979,0.990356394129979,0.990356394129979,0.990356394129979,0.9994631344722595,0.14724478721618653,0.02292074704749361,11.943311548233032,0.2582635390924202
KNearestNeighbors,iron,120,auto,euclidean,15,uniform,0.9725067385444743,0.9725067385444743,0.9725067385444743,0.9725067385444743,0.9988715288884485,0.16852164268493652,0.0297120067275742,13.551506423950196,0.3616084421887518
KNearestNeighbors,iron,120,auto,euclidean,15,distance,0.9882599580712788,0.9882599580712788,0.9882599580712788,0.9882599580712788,0.9996152229628132,0.15916590690612792,0.018419265049861987,11.879203605651856,0.08051827040868641
KNearestNeighbors,iron,120,auto,euclidean,18,uniform,0.9678047319556752,0.9678047319556752,0.9678047319556752,0.9678047319556752,0.998631396774363,0.15108437538146974,0.018387775524384448,13.398921060562134,0.255246308057907
KNearestNeighbors,iron,120,auto,euclidean,18,distance,0.9864630128781071,0.9864630128781071,0.9864630128781071,0.9864630128781071,0.999636391649583,0.1504906177520752,0.042377510476785896,12.079085302352905,0.08645314080982949
KNearestNeighbors,iron,120,auto,euclidean,21,uniform,0.9647798742138365,0.9647798742138365,0.9647798742138365,0.9647798742138365,0.9983664757744333,0.14584455490112305,0.0265606330824561,14.04735426902771,0.3770706949139483
KNearestNeighbors,iron,120,auto,euclidean,21,distance,0.9844564240790655,0.9844564240790655,0.9844564240790655,0.9844564240790655,0.9996229078057993,0.14834170341491698,0.022554371636901997,12.22646746635437,0.09755714947546787
KNearestNeighbors,iron,120,auto,euclidean,24,uniform,0.9622042527702905,0.9622042527702905,0.9622042527702905,0.9622042527702905,0.9981111462843341,0.15990109443664552,0.03463563073890909,14.201592111587525,0.3664009965603738
KNearestNeighbors,iron,120,auto,euclidean,24,distance,0.9832584606169512,0.9832584606169512,0.9832584606169512,0.9832584606169512,0.9996229663154461,0.15737900733947754,0.016966922513360023,12.478844118118285,0.15164769361250718
KNearestNeighbors,iron,120,auto,euclidean,27,uniform,0.9598981731057205,0.9598981731057205,0.9598981731057205,0.9598981731057205,0.9978002202414122,0.16127510070800782,0.04732691187595391,14.111806678771973,0.2312244277083233
KNearestNeighbors,iron,120,auto,euclidean,27,distance,0.9817310572027553,0.9817310572027553,0.9817310572027553,0.9817310572027553,0.9996044090762558,0.16624221801757813,0.00799077401316693,12.649086618423462,0.22589431088573353
KNearestNeighbors,iron,120,auto,euclidean,30,uniform,0.9555555555555555,0.9555555555555555,0.9555555555555555,0.9555555555555555,0.9974786757997072,0.14735689163208007,0.028585406176236745,20.384342002868653,3.1285908280285666
KNearestNeighbors,iron,120,auto,euclidean,30,distance,0.980263551961665,0.980263551961665,0.980263551961665,0.980263551961665,0.999586238356371,0.15192084312438964,0.022577309849846197,23.449955654144286,1.0325410970611206
KNearestNeighbors,iron,120,auto,manhattan,3,uniform,,,,,,0.15840210914611816,0.04565360220656571,0.18819336891174315,0.12105533930001913
KNearestNeighbors,iron,120,auto,manhattan,3,distance,0.9988619347109914,0.9988619347109914,0.9988619347109914,0.9988619347109914,0.9998494257240844,0.14424800872802734,0.0519935065577051,32.49953379631042,0.1876145340739022
KNearestNeighbors,iron,120,auto,manhattan,6,uniform,,,,,,0.23598504066467285,0.013958338036825025,0.12249784469604492,0.12438501158966864
KNearestNeighbors,iron,120,auto,manhattan,6,distance,0.9983228511530399,0.9983228511530399,0.9983228511530399,0.9983228511530399,0.9998845408839026,0.19924626350402833,0.06460218918666254,38.540042114257815,3.195666401589604
KNearestNeighbors,iron,120,auto,manhattan,9,uniform,,,,,,0.16902194023132325,0.12225484408586548,0.30476694107055663,0.11757594467357753
KNearestNeighbors,iron,120,auto,manhattan,9,distance,0.9973944294699011,0.9973944294699011,0.9973944294699011,0.9973944294699011,0.9998987992630546,0.264454984664917,0.09111201498188812,42.564343976974484,0.20899593229883637
KNearestNeighbors,iron,120,auto,manhattan,12,uniform,,,,,,0.3343671798706055,0.08560030650588203,0.12374534606933593,0.1371300084016481
