model,material,numSamples,algorithm,metric,n_neighbors,weights,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
KNearestNeighbors,iron,240,auto,minkowski,3,uniform,0.9982030548068284,0.9982030548068284,0.9982030548068284,0.9982030548068284,0.9997799155950491,0.19449996948242188,0.006148594990620021,19.15666546821594,0.10987821304723398
KNearestNeighbors,iron,240,auto,minkowski,3,distance,0.9991913746630727,0.9991913746630727,0.9991913746630727,0.9991913746630727,0.9997822354830725,0.19625940322875976,0.014298872675871654,19.20428638458252,0.07529180029771251
KNearestNeighbors,iron,240,auto,minkowski,6,uniform,0.994848757112908,0.994848757112908,0.994848757112908,0.994848757112908,0.9998424532744175,0.21876811981201172,0.05132335740371858,19.233062076568604,0.025806538498698236
KNearestNeighbors,iron,240,auto,minkowski,6,distance,0.9986522911051212,0.9986522911051212,0.9986522911051212,0.9986522911051212,0.9998566248985463,0.1942272186279297,0.042862811784459914,19.853987550735475,0.26905149535957523
KNearestNeighbors,iron,240,auto,minkowski,9,uniform,0.9920335429769391,0.9920335429769391,0.9920335429769391,0.9920335429769391,0.9998025863094098,0.2998927593231201,0.05290849616091397,19.702612113952636,0.0434238557381646
KNearestNeighbors,iron,240,auto,minkowski,9,distance,0.9978436657681942,0.9978436657681942,0.9978436657681942,0.9978436657681942,0.9998581224701166,0.2503002643585205,0.05400579715959914,19.710058450698853,0.05741301928355599
KNearestNeighbors,iron,240,auto,minkowski,12,uniform,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9997612136742429,0.18012070655822754,0.033547204676571483,19.66441478729248,0.2743508549291114
KNearestNeighbors,iron,240,auto,minkowski,12,distance,0.9976340221623239,0.9976340221623239,0.9976340221623239,0.9976340221623239,0.999893160497581,0.21535677909851075,0.07129980930323832,20.266985273361207,0.1407348351201496
KNearestNeighbors,iron,240,auto,minkowski,15,uniform,0.985684336627733,0.985684336627733,0.985684336627733,0.985684336627733,0.9997041119586841,0.278143310546875,0.06478176716357471,19.959926414489747,0.19359079578796348
KNearestNeighbors,iron,240,auto,minkowski,15,distance,0.9967954477388441,0.9967954477388441,0.9967954477388441,0.9967954477388441,0.9999273757420539,0.25951371192932127,0.06040874561902925,20.086917686462403,0.05488983888563529
KNearestNeighbors,iron,240,auto,minkowski,18,uniform,0.9820904462413896,0.9820904462413896,0.9820904462413896,0.9820904462413896,0.9996182653698806,0.23040475845336914,0.019183138178724846,20.13438472747803,0.3427198035318891
KNearestNeighbors,iron,240,auto,minkowski,18,distance,0.9961964660077868,0.9961964660077868,0.9961964660077868,0.9961964660077868,0.9999517424593014,0.2650162696838379,0.052673394596726084,20.49505481719971,0.19744755360634325
KNearestNeighbors,iron,240,auto,minkowski,21,uniform,0.979874213836478,0.979874213836478,0.979874213836478,0.979874213836478,0.9995001293233621,0.29529538154602053,0.08230189047141355,20.17850308418274,0.12806860828836564
KNearestNeighbors,iron,240,auto,minkowski,21,distance,0.994848757112908,0.994848757112908,0.994848757112908,0.994848757112908,0.9999460900745744,0.26740131378173826,0.0484025894169605,20.5216025352478,0.4567513438610426
KNearestNeighbors,iron,240,auto,minkowski,24,uniform,0.9776879305181192,0.9776879305181192,0.9776879305181192,0.9776879305181192,0.9993711610334637,0.24656338691711427,0.03553245862945384,20.451644325256346,0.13751962018604447
