model,material,numSamples,activation,alpha,hidden_layer_sizes,learning_rate,max_iter,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
NeuralNetwork,iron,240,identity,0.0001,"(100,)",constant,100,0.9087151841868824,0.9087151841868824,0.9087151841868824,0.9087151841868824,0.9873834116164375,78.16378722190856,1.3287615412357612,0.353857421875,0.027214348570471975
NeuralNetwork,iron,240,identity,0.0001,"(100,)",constant,200,0.9263551961665168,0.9263551961665168,0.9263551961665168,0.9263551961665168,0.9916759571149724,144.6807315826416,19.098694010074418,0.32859234809875487,0.030347083370368726
NeuralNetwork,iron,240,identity,0.0001,"(100,)",constant,300,0.915633423180593,0.915633423180593,0.915633423180593,0.915633423180593,0.9907356009209763,136.2566777229309,9.015098594974992,0.3076157093048096,0.007971081105802403
NeuralNetwork,iron,240,identity,0.0001,"(100,)",constant,400,0.9327643006888289,0.9327643006888289,0.9327643006888289,0.9327643006888289,0.9920354535782334,146.67354063987733,18.785851380695046,0.3075916290283203,0.01411548578949441
NeuralNetwork,iron,240,identity,0.0001,"(100,)",constant,500,0.9218628331835879,0.9218628331835879,0.9218628331835879,0.9218628331835879,0.9907804694798603,125.41485528945923,16.122935078884968,0.3132325172424316,0.014818009749226936
NeuralNetwork,iron,240,identity,0.0001,"(100,)",constant,600,0.9300089847259659,0.9300089847259659,0.9300089847259659,0.9300089847259659,0.9915451473961646,132.70530591011047,7.158822116316492,0.34029541015625,0.0438040775138603
NeuralNetwork,iron,240,identity,0.0001,"(100,)",constant,700,0.930218628331836,0.930218628331836,0.930218628331836,0.930218628331836,0.9921049223218781,156.20167050361633,21.758267792548846,0.29970612525939944,0.002282945557049113
NeuralNetwork,iron,240,identity,0.0001,"(100,)",constant,800,0.9223719676549864,0.9223719676549864,0.9223719676549864,0.9223719676549864,0.9917662727156522,143.44470763206482,14.551832483764185,0.30534162521362307,0.011469171291312832
NeuralNetwork,iron,240,identity,0.0001,"(100,)",constant,900,0.925456723569931,0.925456723569931,0.925456723569931,0.925456723569931,0.9906400895285792,126.18171062469483,29.27941273313792,0.3272555828094482,0.030093985337910675
NeuralNetwork,iron,240,identity,0.0001,"(100,)",constant,1000,0.9270140760706799,0.9270140760706799,0.9270140760706799,0.9270140760706799,0.9924445860067083,158.94985156059266,7.5927906353229115,0.33234329223632814,0.02677082332106153
NeuralNetwork,iron,240,identity,0.0001,"(100,)",invscaling,100,0.909404013177598,0.909404013177598,0.909404013177598,0.909404013177598,0.9874618436259563,75.10332818031311,1.1079346959206464,0.34293241500854493,0.025020917791594613
NeuralNetwork,iron,240,identity,0.0001,"(100,)",invscaling,200,0.9246181491464511,0.9246181491464511,0.9246181491464511,0.9246181491464511,0.9917673100934454,142.10673236846924,15.304894824478914,0.34571084976196287,0.04890610277766709
NeuralNetwork,iron,240,identity,0.0001,"(100,)",invscaling,300,0.9245882000598982,0.9245882000598982,0.9245882000598982,0.9245882000598982,0.9912869696655514,141.71159315109253,26.615725002256877,0.3148036479949951,0.013372001788277459
NeuralNetwork,iron,240,identity,0.0001,"(100,)",invscaling,400,0.92911051212938,0.92911051212938,0.92911051212938,0.92911051212938,0.9910574357882641,127.74472599029541,16.107233885984883,0.32180080413818357,0.024520575069085452
