model,material,numSamples,criterion,max_depth,n_estimators,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
RandomForest,iron,120,gini,1,1,0.3403414195867026,0.3403414195867026,0.3403414195867026,0.3403414195867026,0.6453234099657909,0.22113752365112305,0.010742552362705316,0.21652207374572754,0.019614189858603352
RandomForest,iron,120,gini,1,101,0.7463312368972745,0.7463312368972745,0.7463312368972745,0.7463312368972745,0.9204947227912313,3.321525764465332,0.037123312625540465,0.3027827739715576,0.019958739063792887
RandomForest,iron,120,gini,1,201,0.753728661275831,0.753728661275831,0.753728661275831,0.753728661275831,0.920869150757541,6.354830741882324,0.08786576944635309,0.38533697128295896,0.021558363156065272
RandomForest,iron,120,gini,1,301,0.7619646600778676,0.7619646600778676,0.7619646600778676,0.7619646600778676,0.9211226353307337,9.277685070037842,0.12082976259958497,0.48595485687255857,0.02884497448514248
RandomForest,iron,120,gini,1,401,0.7615453728661276,0.7615453728661276,0.7615453728661276,0.7615453728661276,0.9198842334321433,12.320170211791993,0.18472221951335416,0.6131343364715576,0.028920399450079442
RandomForest,iron,120,gini,1,501,0.7549865229110513,0.7549865229110513,0.7549865229110513,0.7549865229110513,0.9188583393202657,15.315781259536744,0.29200441268555727,0.6678170204162598,0.0189361618665746
RandomForest,iron,120,gini,1,601,0.7588200059898174,0.7588200059898174,0.7588200059898174,0.7588200059898174,0.9181473946244667,18.265498447418214,0.29278078607292496,0.7262238979339599,0.036313493817778084
RandomForest,iron,120,gini,1,701,0.7581910751722073,0.7581910751722073,0.7581910751722073,0.7581910751722073,0.920389345087648,21.503746461868285,0.338544200758034,0.7841434955596924,0.05902097018148024
RandomForest,iron,120,gini,1,801,0.7627133872416891,0.7627133872416891,0.7627133872416891,0.7627133872416891,0.9211215470313453,24.199061965942384,0.17420341960238936,0.7990232944488526,0.03827706269407501
RandomForest,iron,120,gini,1,901,0.7655884995507636,0.7655884995507636,0.7655884995507636,0.7655884995507636,0.921293061412628,26.37254343032837,0.4117097227531634,0.8611710548400879,0.04022370691337394
RandomForest,iron,120,gini,101,1,0.973225516621743,0.973225516621743,0.973225516621743,0.973225516621743,0.9832654481495355,0.3371065616607666,0.020675173894089145,0.21661748886108398,0.013024872460393579
RandomForest,iron,120,gini,101,101,0.9975441749026654,0.9975441749026654,0.9975441749026654,0.9975441749026654,0.9999851830162741,24.173448610305787,0.5515174439192095,0.46656975746154783,0.01957805717206764
