model,material,numSamples,epsilon,loss,max_iter,penalty,Accuracy,F1,Precision,Recall,mean_fit_time,std_fit_time,mean_score_time,std_score_time
StochasticGradientDescent,iron,240,0.01,hinge,100,l2,0.8377358490566037,0.8377358490566037,0.8377358490566037,0.8377358490566037,7.38711109161377,0.5482666587135296,0.15909018516540527,0.008659305752973866
StochasticGradientDescent,iron,240,0.01,hinge,100,l1,0.8623539982030548,0.8623539982030548,0.8623539982030548,0.8623539982030548,10.5153968334198,0.5304952028786527,0.1685821533203125,0.018848214407240545
StochasticGradientDescent,iron,240,0.01,hinge,100,elasticnet,0.8514525306978136,0.8514525306978136,0.8514525306978136,0.8514525306978136,11.321588802337647,0.796867633407276,0.1764737606048584,0.017821598119959706
StochasticGradientDescent,iron,240,0.01,hinge,200,l2,0.8416591793950285,0.8416591793950285,0.8416591793950285,0.8416591793950285,7.144574594497681,0.58548296207466,0.174210786819458,0.017269089890358746
StochasticGradientDescent,iron,240,0.01,hinge,200,l1,0.8623839472896077,0.8623839472896077,0.8623839472896077,0.8623839472896077,10.478080224990844,0.7734052174151159,0.17895851135253907,0.014861489147193013
StochasticGradientDescent,iron,240,0.01,hinge,200,elasticnet,0.8421683138664271,0.8421683138664271,0.8421683138664271,0.8421683138664271,11.246874713897705,0.9435808075757564,0.15600342750549318,0.0109929472564908
StochasticGradientDescent,iron,240,0.01,hinge,300,l2,0.8324049116501946,0.8324049116501946,0.8324049116501946,0.8324049116501946,6.884461355209351,0.18582393011906462,0.1747429847717285,0.04205219693490788
StochasticGradientDescent,iron,240,0.01,hinge,300,l1,0.8644803833483078,0.8644803833483078,0.8644803833483078,0.8644803833483078,10.229215955734253,0.44808552782124345,0.16400270462036132,0.010451315655870543
StochasticGradientDescent,iron,240,0.01,hinge,300,elasticnet,0.8410302485774185,0.8410302485774185,0.8410302485774185,0.8410302485774185,11.195643758773803,0.5608056081275328,0.1653916358947754,0.012283681549469688
StochasticGradientDescent,iron,240,0.01,hinge,400,l2,0.840910452231207,0.840910452231207,0.840910452231207,0.840910452231207,6.702983379364014,0.2837956809609454,0.1694171905517578,0.013702941610531942
StochasticGradientDescent,iron,240,0.01,hinge,400,l1,0.861695118298892,0.861695118298892,0.861695118298892,0.861695118298892,10.094104385375976,0.49140089000696613,0.17921276092529298,0.01202563870410469
StochasticGradientDescent,iron,240,0.01,hinge,400,elasticnet,0.8470200658879904,0.8470200658879904,0.8470200658879904,0.8470200658879904,11.159814643859864,0.7296477069703515,0.1814115047454834,0.026272164808042616
StochasticGradientDescent,iron,240,0.01,hinge,500,l2,0.8406409104522311,0.8406409104522311,0.8406409104522311,0.8406409104522311,6.913702869415284,0.39728319238974613,0.17594451904296876,0.029529024252389485
StochasticGradientDescent,iron,240,0.01,hinge,500,l1,0.8634920634920634,0.8634920634920634,0.8634920634920634,0.8634920634920634,10.10930290222168,0.5096565173973331,0.16204357147216797,0.014124096023951527
StochasticGradientDescent,iron,240,0.01,hinge,500,elasticnet,0.8371069182389936,0.8371069182389936,0.8371069182389936,0.8371069182389936,11.538407945632935,0.589054191590563,0.17005696296691894,0.02803988195557453
StochasticGradientDescent,iron,240,0.01,hinge,600,l2,0.8424678047319558,0.8424678047319558,0.8424678047319558,0.8424678047319558,7.297730731964111,0.2797309159984539,0.16061644554138182,0.014644833553398306
StochasticGradientDescent,iron,240,0.01,hinge,600,l1,0.8651692123390238,0.8651692123390238,0.8651692123390238,0.8651692123390238,10.508447694778443,0.43233423538481386,0.1761768341064453,0.01839826852076297
StochasticGradientDescent,iron,240,0.01,hinge,600,elasticnet,0.8410601976639713,0.8410601976639713,0.8410601976639713,0.8410601976639713,11.09415020942688,0.6069774148214858,0.17827625274658204,0.01870637831094715
StochasticGradientDescent,iron,240,0.01,hinge,700,l2,0.840461215932914,0.840461215932914,0.840461215932914,0.840461215932914,6.604231357574463,0.38685353285063706,0.1652672290802002,0.0071803732669522705
StochasticGradientDescent,iron,240,0.01,hinge,700,l1,0.8631326744534293,0.8631326744534293,0.8631326744534293,0.8631326744534293,10.129433584213256,0.7249031943847744,0.175732421875,0.028128200221374137
StochasticGradientDescent,iron,240,0.01,hinge,700,elasticnet,0.8400119796346213,0.8400119796346213,0.8400119796346213,0.8400119796346213,11.44628734588623,0.8399694202042599,0.1707906723022461,0.02056080017069508
StochasticGradientDescent,iron,240,0.01,hinge,800,l2,0.844983528002396,0.844983528002396,0.844983528002396,0.844983528002396,7.166454172134399,0.5058480416541334,0.16501355171203613,0.00833488096309923
StochasticGradientDescent,iron,240,0.01,hinge,800,l1,0.862084456424079,0.862084456424079,0.862084456424079,0.862084456424079,10.27756633758545,0.6904917607834573,0.1806187152862549,0.016741403840777047
StochasticGradientDescent,iron,240,0.01,hinge,800,elasticnet,0.8380652890086852,0.8380652890086852,0.8380652890086852,0.8380652890086852,11.240163946151734,0.2224437554846967,0.15762391090393066,0.008534516051337059
StochasticGradientDescent,iron,240,0.01,hinge,900,l2,0.8428870919436957,0.8428870919436957,0.8428870919436957,0.8428870919436957,6.704087591171264,0.22436177290860707,0.16797618865966796,0.010959985234722905
StochasticGradientDescent,iron,240,0.01,hinge,900,l1,0.8651093141659179,0.8651093141659179,0.8651093141659179,0.8651093141659179,10.717571115493774,0.2812793314850901,0.16721572875976562,0.010333808527972162
StochasticGradientDescent,iron,240,0.01,hinge,900,elasticnet,0.8374363581910751,0.8374363581910751,0.8374363581910751,0.8374363581910751,10.806016635894775,1.0554866603017419,0.1715068817138672,0.01953213228713969
StochasticGradientDescent,iron,240,0.01,hinge,1000,l2,0.8396825396825397,0.8396825396825397,0.8396825396825397,0.8396825396825397,6.494494104385376,0.2797043793006543,0.16101408004760742,0.008408748827998755
StochasticGradientDescent,iron,240,0.01,hinge,1000,l1,0.8644803833483078,0.8644803833483078,0.8644803833483078,0.8644803833483078,11.575384330749511,0.6240397216141491,0.1665632724761963,0.015686557992029993
StochasticGradientDescent,iron,240,0.01,hinge,1000,elasticnet,0.8347409404013177,0.8347409404013177,0.8347409404013177,0.8347409404013177,12.020795822143555,0.4716816191675018,0.17361841201782227,0.022889890920817082
StochasticGradientDescent,iron,240,0.01,log,100,l2,,,,,0.11363940238952637,0.02433166995674423,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,100,l1,,,,,0.08591222763061523,0.004537680660128303,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,100,elasticnet,,,,,0.09682211875915528,0.01159103719258877,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,200,l2,,,,,0.11932697296142578,0.019974858370742983,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,200,l1,,,,,0.10968761444091797,0.011794410656334181,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,200,elasticnet,,,,,0.11044521331787109,0.01257623189507536,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,300,l2,,,,,0.11902551651000977,0.013543733457965572,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,300,l1,,,,,0.12552504539489745,0.017465520396650027,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,300,elasticnet,,,,,0.11951403617858887,0.01328480846721851,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,400,l2,,,,,0.1321110248565674,0.036363832542302896,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,400,l1,,,,,0.1489387035369873,0.018616926351090392,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,400,elasticnet,,,,,0.1401695728302002,0.01891154246441043,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,500,l2,,,,,0.11623973846435547,0.01768633882293504,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,500,l1,,,,,0.12041935920715333,0.013014307748712393,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,500,elasticnet,,,,,0.15952129364013673,0.057731728732490876,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,600,l2,,,,,0.1249053955078125,0.01238656421498167,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,600,l1,,,,,0.12207789421081543,0.009082035147784422,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,600,elasticnet,,,,,0.13168535232543946,0.021637157311338615,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,700,l2,,,,,0.12202534675598145,0.014379403510338349,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,700,l1,,,,,0.11620955467224121,0.013776392308904225,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,700,elasticnet,,,,,0.11668496131896973,0.007130565093026973,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,800,l2,,,,,0.12104678153991699,0.011349766577219925,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,800,l1,,,,,0.1270732879638672,0.01630681938038122,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,800,elasticnet,,,,,0.1324519157409668,0.01810806011751397,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,900,l2,,,,,0.11439714431762696,0.010349223146752863,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,900,l1,,,,,0.14241609573364258,0.013685461145807447,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,900,elasticnet,,,,,0.1458364963531494,0.025674856545312617,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,1000,l2,,,,,0.12346768379211426,0.015169151360980975,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,1000,l1,,,,,0.14981317520141602,0.012872071077202788,0.0,0.0
StochasticGradientDescent,iron,240,0.01,log,1000,elasticnet,,,,,0.1454787254333496,0.019414468542338276,0.0,0.0
StochasticGradientDescent,iron,240,0.01,modified_huber,100,l2,0.8664869721473496,0.8664869721473496,0.8664869721473496,0.8664869721473496,11.542749118804931,0.4748795507171988,0.16578426361083984,0.014392950293733608
StochasticGradientDescent,iron,240,0.01,modified_huber,100,l1,0.8648098233003892,0.8648098233003892,0.8648098233003892,0.8648098233003892,25.32697892189026,0.9023177133201986,0.17988829612731932,0.0075680068978496925
StochasticGradientDescent,iron,240,0.01,modified_huber,100,elasticnet,0.8668463611859838,0.8668463611859838,0.8668463611859838,0.8668463611859838,18.92503342628479,0.7973177119975278,0.17376241683959961,0.0205715647630033
StochasticGradientDescent,iron,240,0.01,modified_huber,200,l2,0.8716382150344415,0.8716382150344415,0.8716382150344415,0.8716382150344415,11.780704784393311,0.8035329880134473,0.16566815376281738,0.028701246530997527
StochasticGradientDescent,iron,240,0.01,modified_huber,200,l1,0.8677747828691226,0.8677747828691226,0.8677747828691226,0.8677747828691226,33.38752417564392,3.174641888058034,0.16458635330200194,0.015123560745213616
StochasticGradientDescent,iron,240,0.01,modified_huber,200,elasticnet,0.8618748128182091,0.8618748128182091,0.8618748128182091,0.8618748128182091,18.430710649490358,1.0891523218831545,0.15468368530273438,0.006190844720710396
StochasticGradientDescent,iron,240,0.01,modified_huber,300,l2,0.8643306379155435,0.8643306379155435,0.8643306379155435,0.8643306379155435,10.638928508758545,0.5221360100342775,0.15931248664855957,0.009051015043734359
StochasticGradientDescent,iron,240,0.01,modified_huber,300,l1,0.8694519317160827,0.8694519317160827,0.8694519317160827,0.8694519317160827,34.750572776794435,4.089345773242292,0.16072449684143067,0.011891813201109477
StochasticGradientDescent,iron,240,0.01,modified_huber,300,elasticnet,0.863821503444145,0.863821503444145,0.863821503444145,0.863821503444145,18.11997256278992,0.5991140378507601,0.17768678665161133,0.013526044492791739
StochasticGradientDescent,iron,240,0.01,modified_huber,400,l2,0.8579215333932314,0.8579215333932314,0.8579215333932314,0.8579215333932314,10.827884912490845,0.6098423866011835,0.16368722915649414,0.013395057800211342
StochasticGradientDescent,iron,240,0.01,modified_huber,400,l1,0.8665169212339026,0.8665169212339026,0.8665169212339026,0.8665169212339026,32.075921821594235,1.2504735848361586,0.16311635971069335,0.016520607494239583
