Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train VAE BCE Loss,train VAE BCELogits Loss,train VAE MSE Loss,train VAE MAE Loss,test VAE BCE Loss,test VAE BCELogits Loss,test VAE MSE Loss,test VAE MAE Loss
VariationalAutoencoder,0.0001,8.0,45.0,1.0,0.0,0.0003179952582580381,0.0005415529012680054,7.500775620301136e-05,0.00015169585931975885,0.0015683329705172364,0.0025735958567205466,0.00037436562139283187,0.0007674533334917993
VariationalAutoencoder,0.0001,8.0,45.0,True,1.0,0.0003080487733259998,0.0005419335837634104,7.356857414033536e-05,0.0001537926956971058,0.001550971618238485,0.0025659614014175705,0.0003712859075024443,0.0007243306381897357
VariationalAutoencoder,0.0001,8.0,45.0,True,2.0,0.00027681814853071845,0.0005332016639632356,6.31117997465108e-05,0.00013584526120170428,0.001407227801077021,0.0025390870166274735,0.00033115101216724086,0.0006972055577632016
VariationalAutoencoder,0.0001,8.0,45.0,True,3.0,0.0002481902264199167,0.0005247878498144227,5.339660915242372e-05,0.0001164161452064617,0.0012891420965674538,0.0025100767987329257,0.00030142652257433475,0.000631628358888926
VariationalAutoencoder,0.0001,8.0,45.0,True,4.0,0.00023059372230360128,0.0005157157336926525,4.452901247216042e-05,9.540314823790702e-05,0.0010880908501223199,0.0024344030791108714,0.00021089194049625276,0.000469291922431322
VariationalAutoencoder,0.0001,8.0,45.0,True,5.0,0.00023823090881671546,0.0005131604857843198,4.204125156139106e-05,9.044101135428704e-05,0.0010877216949402911,0.0024147504155740797,0.00019388227670822503,0.0004232746531378548
VariationalAutoencoder,0.0001,8.0,45.0,True,6.0,0.00023446657827922275,0.0005104077472841001,3.941226851024396e-05,8.23086825503172e-05,0.0011446102047866246,0.002414187357860541,0.00019793085894494688,0.00041687652562399333
VariationalAutoencoder,0.0001,8.0,45.0,True,7.0,0.00024327804457466558,0.0005088614003677574,3.814429918309106e-05,7.977846236723774e-05,0.0011910410047327197,0.0024063800865749144,0.00019151854486960284,0.0003890262319231933
VariationalAutoencoder,0.0001,8.0,45.0,True,8.0,0.00023659403031727052,0.0005082428214363653,3.694871696580774e-05,7.576378930932428e-05,0.0011577594955012483,0.0023967953597974477,0.00017339098940855302,0.00037573299036835724
VariationalAutoencoder,0.0001,8.0,45.0,True,9.0,0.0002479967121486715,0.0005089654675069845,3.8552740613887254e-05,7.770152265492153e-05,0.001192728303513437,0.00238969715886146,0.00016952275573832435,0.0003483101913014298
VariationalAutoencoder,0.0001,8.0,45.0,True,10.0,0.00024034187318179806,0.0005079187713864678,3.6178673856020617e-05,7.68752412172662e-05,0.0012400123120853736,0.0023903970448475964,0.00017398825419024101,0.0003631571132057118
VariationalAutoencoder,0.0001,8.0,45.0,True,11.0,0.00025798129344564887,0.0005089280740270075,3.935117525553125e-05,7.880586538353378e-05,0.0012505120076473405,0.002390961602049054,0.00017276489462867472,0.0003591426326043951
VariationalAutoencoder,0.0001,8.0,45.0,True,12.0,0.0002387339133779315,0.0005066429749332027,3.452813428527904e-05,7.306486669415734e-05,0.001274396038655215,0.0023924119817385885,0.0001765169414146891,0.00036655291446349903
