Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train N BCE Loss,train N BCELogits Loss,train N MSE Loss,train N MAE Loss,train N SSIM Loss,train N N White MAE Loss,train N N Black MAE Loss,train N S White MAE Loss,train N S Black MAE Loss,train N T White MAE Loss,train N T Black MAE Loss,train N X White MAE Loss,train N X Black MAE Loss,train N _ White MAE Loss,train N _ Black MAE Loss,test N BCE Loss,test N BCELogits Loss,test N MSE Loss,test N MAE Loss,test N SSIM Loss,test N N White MAE Loss,test N N Black MAE Loss,test N S White MAE Loss,test N S Black MAE Loss,test N T White MAE Loss,test N T Black MAE Loss,test N X White MAE Loss,test N X Black MAE Loss,test N _ White MAE Loss,test N _ Black MAE Loss
NeuralNetwork,0.0001,8.0,45.0,1.0,0.0,0.0003437660935754082,0.0005533845437504854,8.300744559404984e-05,0.0001800435411962216,0.0007396497629180114,0.00010571092608161371,0.0011211795144967956,9.921181073407278e-05,0.0010764021275821078,0.0001038090097454359,0.0010951372651719661,0.00010672478743319241,0.0010434896798146704,0.00011039650785633818,0.0,0.0016818683852189741,0.0026235968436834948,0.00041702586524891403,0.0008740340763667844,0.0033464995505127237,0.00047370116665678205,0.005012480342912974,0.0004582466944208685,0.004987374416687204,0.0004886640880092884,0.004949689661181948,0.0005076099772873165,0.005214112359772688,0.0005129232721508674,0.0
NeuralNetwork,0.0001,8.0,45.0,True,1.0,0.00032497468502373707,0.0005485256004204969,7.860221450701556e-05,0.00016689139877689495,0.000873361622106221,9.462504454378811e-05,0.001102156234237383,8.759220856219289e-05,0.0010410936052265836,9.625438209171244e-05,0.0010860910955465064,9.487642632983122e-05,0.0010281824519370766,9.08894720424539e-05,0.0,0.001592440237789034,0.0026006633005801988,0.0003954806136635115,0.0008126904941954703,0.003948771840012453,0.00041806833736551634,0.004965256220139797,0.0004014216785161,0.0048025644050454196,0.0004406409724703375,0.00493800827542191,0.0004598685780411246,0.005165159702301025,0.0004245355350416411,0.0
NeuralNetwork,0.0001,8.0,45.0,True,2.0,0.00031119689465854367,0.0005456873509440461,7.475716265224703e-05,0.00016007974061040545,0.0009325760335530679,9.065928725862117e-05,0.001087958359654059,8.607033208374064e-05,0.0010040103585893575,9.396093874928764e-05,0.0010857167590981867,9.056781180142714e-05,0.001021878015641575,7.644763110943561e-05,0.0,0.001526247499124059,0.0025872267642111147,0.0003764910986588436,0.000781465064054765,0.0042162123865024815,0.000397634393763992,0.004948634396559038,0.0003920314634371104,0.004606788263380903,0.00041885613083089674,0.004967352879122368,0.00044028371947366486,0.005154320653879417,0.00035842390930127796,0.0
NeuralNetwork,0.0001,8.0,45.0,True,3.0,0.0002927742597227791,0.0005420228300711537,6.956848594538285e-05,0.00014998556950664263,0.0009736412545377962,8.441533923470428e-05,0.001067396524460168,8.334653738213357e-05,0.0009487271308898926,8.88624622654722e-05,0.00108964062443962,8.41074555389322e-05,0.0010173089420699045,5.733280008372592e-05,0.0,0.001438158019533697,0.002569824269732589,0.00035089331696618276,0.000734737459218727,0.004400985203204208,0.00036787054261321544,0.00491904875017562,0.0003760639086084546,0.004330435264035591,0.0003830381909256461,0.005012956805199197,0.00040590149239174225,0.00516473947081176,0.0002694310585282884,0.0
NeuralNetwork,0.0001,8.0,45.0,True,4.0,0.00026870203628694275,0.0005370034281455603,6.27955065342294e-05,0.00013621076138193073,0.0010045344126472296,7.704468167856375e-05,0.0010261738075400299,7.909453019620274e-05,0.0008698696235440812,8.060239416087734e-05,0.001091159659254583,7.501966508250995e-05,0.0010062172567105356,3.52949315727239e-05,0.0,0.0013226101046088356,0.0025460725685335557,0.0003180530086253424,0.0006704038512781731,0.004539858837359661,0.00033470135439866744,0.004794482165162668,0.0003506271812900807,0.003977271370917746,0.0003361788654477341,0.005032240219835965,0.0003517065548671866,0.0051836056529351,0.0001651993454814707,0.0
NeuralNetwork,0.0001,8.0,45.0,True,5.0,0.00024631754005694325,0.0005317363295593673,5.6255684106176434e-05,0.00012234588356994876,0.0010290173943608497,7.1936274434357e-05,0.0009606595469934922,7.387579009539355e-05,0.0007897309376544387,7.110151319169612e-05,0.001084230498804879,6.518766504895655e-05,0.0009810387124269799,1.850112459328618e-05,0.0,0.0012110060303466125,0.002520295434028098,0.0002848785019145822,0.00060427540315772,0.004650277089710144,0.0003158115084816075,0.004498862995291656,0.0003223386622449887,0.003634895168760288,0.0002964579927846321,0.00495409553155959,0.00028842645433713805,0.005175552653066767,8.474798791063656e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,6.0,0.00023039506693091997,0.0005273437403604348,5.123061391542543e-05,0.00011154459011201267,0.0010462047075713167,7.000514318679542e-05,0.0008889537937236282,6.889821484564449e-05,0.0007216254816543703,6.285770181215034e-05,0.0010718948275573812,5.785118276378858e-05,0.0009490225835630515,9.823483829148053e-06,0.0,0.0011291777562795196,0.002498025414328905,0.00025737187210118993,0.0005528910448716122,0.0047244437292485,0.00031416450843871016,0.00411380724337116,0.00030456153008173096,0.003339736341680371,0.00027375131751756246,0.004810624902353347,0.000237547423479692,0.005133342817894318,4.2630005159280585e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,7.0,0.00021977116155495863,0.0005238974351445941,4.755708105319915e-05,0.00010394198553902762,0.0010582394681161933,6.975576462289394e-05,0.0008246497002573348,6.560002757371918e-05,0.0006634899066143602,5.6838842656091857e-05,0.0010564392307055286,5.3807033722934054e-05,0.0009142925154488042,6.438552394428986e-06,0.0,0.0010732768466637569,0.00247998057671313,0.00023583838212415108,0.0005165890515225488,0.004775292055456993,0.0003180260647018001,0.003734352453699652,0.0002982036310171931,0.003078857495349908,0.0002622056354141835,0.004654436366363142,0.00020671731927109964,0.005064002372933633,2.6700151322772667e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,8.0,0.0002136390525697055,0.0005216961601031115,4.544645306877692e-05,9.917340309150778e-05,0.0010679820742661135,6.917793795747577e-05,0.0007833863365039671,6.260659113887828e-05,0.0006319657972238134,5.262686476874544e-05,0.0010436553196765664,5.163950218023316e-05,0.0008894587462803103,5.226358244160436e-06,0.0,0.0010414211630071484,0.00246838316227655,0.0002231529251959339,0.0004938498795407373,0.004817799440043123,0.00031671295844533907,0.003465289964615924,0.0002900345848416382,0.002937966360236114,0.0002550307965878421,0.004543278577192774,0.0001907592182451824,0.005004807088360097,2.1934305733573512e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,9.0,0.00020894852047660602,0.0005200444206073278,4.375842964713464e-05,9.572113339470403e-05,0.001075192398584068,6.808567982960262e-05,0.0007525716991116095,5.976831655939313e-05,0.0006063985776387135,5.0093290820276e-05,0.0010316623349716722,5.0717648470176844e-05,0.0008683562921385238,4.722033263337259e-06,0.0,0.0010184309205169197,0.002459958851712305,0.00021393653356804038,0.0004777091104279524,0.004848961575140559,0.0003120296593732054,0.0032756928377931224,0.0002806537649916403,0.002820101923912576,0.0002512600296323404,0.004463990529378255,0.00018490982130638458,0.004949516095455337,2.0211323826286776e-05,0.0
