Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train N BCE Loss,train N BCELogits Loss,train N MSE Loss,train N MAE Loss,train N SSIM Loss,train N N White MAE Loss,train N N Black MAE Loss,train N S White MAE Loss,train N S Black MAE Loss,train N T White MAE Loss,train N T Black MAE Loss,train N X White MAE Loss,train N X Black MAE Loss,train N _ White MAE Loss,train N _ Black MAE Loss,test N BCE Loss,test N BCELogits Loss,test N MSE Loss,test N MAE Loss,test N SSIM Loss,test N N White MAE Loss,test N N Black MAE Loss,test N S White MAE Loss,test N S Black MAE Loss,test N T White MAE Loss,test N T Black MAE Loss,test N X White MAE Loss,test N X Black MAE Loss,test N _ White MAE Loss,test N _ Black MAE Loss
NeuralNetwork,0.0001,8.0,45.0,1.0,0.0,0.0007549422288519353,0.0006623315521970271,0.00023488614035423874,0.0005589496655605552,0.0009755878787617568,0.0005407324537755344,0.0007808245417242744,0.0005410000722041991,0.0007791592265075107,0.0005405896677161163,0.0007815651013202102,0.000540842465313297,0.0007803085839973306,0.0005403392800102337,0.0,0.0035401207845915787,0.0031206892721308103,0.0011045863418459143,0.002616950363483069,0.004398907101149016,0.0025226014590113417,0.0036439475773265527,0.002523970678917267,0.0036335298850101493,0.002521704765235853,0.003647609326824452,0.0025223757860795507,0.003645756334628699,0.0025207711465703615,0.0
NeuralNetwork,0.0001,8.0,45.0,True,1.0,0.0005820429309037817,0.0006239190095197159,0.0001551042388712942,0.00044195277671608323,0.0009872096573061413,0.0004130043591450488,0.0008404356128764602,0.00041495094884116696,0.0007665943745975546,0.00041123806948289076,0.0008761277095969475,0.000414889416283353,0.0008357737584898093,0.0004060876899652404,0.0,0.0027324622906978774,0.0029403893452770303,0.0007318044608494021,0.0020711727487216208,0.004454348813524715,0.0019269102024582197,0.0038828317474269266,0.0019325780793555878,0.0034438784017502885,0.0019109543389494313,0.0041051312062725335,0.001922368440987929,0.004074155534588316,0.0018941473286106902,0.0
NeuralNetwork,0.0001,8.0,45.0,True,2.0,0.0004332261185119094,0.0005855481981267183,9.638786998720504e-05,0.0003241216638338855,0.0009839157220863845,0.0002978867838646202,0.0007743323748966433,0.0003010510113040071,0.0006116604949586154,0.0002896374849617642,0.0009265566932544554,0.0002939105837171611,0.0008278836137200945,0.00027949067781556325,0.0,0.002025839480214149,0.002757094753613262,0.0004527177075919865,0.001517299773558131,0.0044495738146967745,0.001403502510778559,0.0034672640404611265,0.0013863831383627166,0.0026062219022954785,0.0013509936302712878,0.004270537844244039,0.0013426841242508319,0.004325587419593859,0.0013034734523521278,0.0
NeuralNetwork,0.0001,8.0,45.0,True,3.0,0.00034100781232520254,0.0005593890690739264,6.784460032885929e-05,0.00023760092306651195,0.0009843699588864205,0.00021081498128705913,0.0007419124285808471,0.00021133887157285953,0.000542226907699256,0.000199866102069536,0.0009645286274727464,0.0002041910737351266,0.0008264477201549191,0.00018467404691356853,0.0,0.0015936683183945949,0.00263431930691941,0.00031873576764790515,0.0011151472352585704,0.004454471803237999,0.0010032431696945765,0.003237099767481006,0.0009671966984586896,0.0022817713284642442,0.0009363062164318637,0.0043778636920377145,0.0009151930516620852,0.004515052966351779,0.0008610992124245602,0.0
NeuralNetwork,0.0001,8.0,45.0,True,4.0,0.00028663480056906646,0.0005422866328385962,5.4735062779441995e-05,0.00017949521059617199,0.0009894669239285496,0.00015307942812012212,0.0007116672485022532,0.00015060163813459905,0.0004893733324066327,0.00014096799725792157,0.0009819408953993147,0.00014510166371929035,0.0008150107777022287,0.00012117967692346907,0.0,0.0013412817281747015,0.0025541703656034647,0.00025743606892771693,0.0008454538366329745,0.0044775198863320174,0.0007357045820674057,0.003027196575260762,0.0006890370973251151,0.0020542386567817543,0.0006638062918711008,0.004401146240954129,0.0006334867867283851,0.004609669154545046,0.0005648569116052591,0.0
NeuralNetwork,0.0001,8.0,45.0,True,5.0,0.0002560749890990656,0.0005314379046869407,4.8771209392264844e-05,0.00014214634373181594,0.000998590819959993,0.00011648466644904041,0.000684586577017031,0.00011091807862176407,0.0004514222035832161,0.00010408531382398785,0.0009884945947847598,0.0001080399153206869,0.000799949278407341,8.049192072728253e-05,0.0,0.0012005878694402348,0.002503347471824982,0.00022950452172531272,0.0006718983252843221,0.004518785287095006,0.0005617676384793887,0.002869349418196288,0.000510888232749963,0.0018985398910330525,0.0004917104851524785,0.004377965657216198,0.0004564951050956294,0.004650874332811848,0.00037508912431369036,0.0
NeuralNetwork,0.0001,8.0,45.0,True,6.0,0.00023940538942331894,0.0005246081522532872,4.593258839090558e-05,0.00011850788064722745,0.0010093096773405026,9.355091582732702e-05,0.0006635894752898306,8.558672714747509e-05,0.0004252376100123732,8.126689156271377e-05,0.0009890828492506495,8.488564960397479e-05,0.0007871803087044276,5.487199481124827e-05,0.0,0.0011233577750763804,0.0024710160756261095,0.0002158423124244378,0.0005614351738923751,0.004569617645579661,0.0004498645569543419,0.0027502308476645993,0.0003975323348675134,0.001786840411851991,0.00038448264295200133,0.004327672082673079,0.00034824515101294847,0.004655968093272275,0.000255692609638538,0.0
NeuralNetwork,0.0001,8.0,45.0,True,7.0,0.00023046360825592616,0.0005201815835870501,4.4409451740128656e-05,0.00010340630686829353,0.0010207736462816309,7.907938804587906e-05,0.0006432236445881929,6.921813293608694e-05,0.0004055932204357055,6.718675523112726e-05,0.000985338199492092,7.071468547348063e-05,0.0007738207549740362,3.904356769313709e-05,0.0,0.0010826408675631636,0.002450248730257622,0.0002087276171213426,0.0004913658372261239,0.004618637364955816,0.00037872128235469073,0.0026371724575570544,0.0003252142114834216,0.0017140164690197638,0.0003181750997432373,0.004278512495868611,0.0002834335578687536,0.004640033784902321,0.00018205695182272474,0.0
NeuralNetwork,0.0001,8.0,45.0,True,8.0,0.000225874171102786,0.000517496121218905,4.3557720846242983e-05,9.43323230807672e-05,0.0010298580325161552,7.027195831836073e-05,0.0006286708331814995,5.9173972097368575e-05,0.00039290188939744894,5.9067163706789765e-05,0.0009809818389923425,6.250969844687017e-05,0.0007637546390214699,2.9573696502296108e-05,0.0,0.0010606425363312727,0.0024374798408844187,0.00020447518653089896,0.00044863614833579875,0.004659788482254111,0.0003341380623901415,0.0025626317884937023,0.00028016593939853164,0.001666329191915644,0.0002786982687389326,0.004239789344979532,0.00024584343410887806,0.004620742872825959,0.000137818953807249,0.0
NeuralNetwork,0.0001,8.0,45.0,True,9.0,0.00022309600824937023,0.0005158450243608007,4.291621782387685e-05,8.89393679215259e-05,0.0010362342609130685,6.512998329661284e-05,0.0006172892780638127,5.317717348790233e-05,0.0003835908727183175,5.4398842778488635e-05,0.000977222649556286,5.7846608990928874e-05,0.0007550121156995829,2.4257089711745795e-05,0.0,0.001047352762342249,0.0024295282438866,0.00020131096243858337,0.0004233440513131004,0.004687337101390152,0.00030808190598427873,0.002501963069603878,0.00025393628755455495,0.001622419499751157,0.0002569069136988442,0.004202296523927893,0.00022612228614729156,0.004600401944334402,0.00011301604128858578,0.0
