Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train N BCE Loss,train N BCELogits Loss,train N MSE Loss,train N MAE Loss,train N SSIM Loss,train N N White MAE Loss,train N N Black MAE Loss,train N S White MAE Loss,train N S Black MAE Loss,train N T White MAE Loss,train N T Black MAE Loss,train N X White MAE Loss,train N X Black MAE Loss,train N _ White MAE Loss,train N _ Black MAE Loss,test N BCE Loss,test N BCELogits Loss,test N MSE Loss,test N MAE Loss,test N SSIM Loss,test N N White MAE Loss,test N N Black MAE Loss,test N S White MAE Loss,test N S Black MAE Loss,test N T White MAE Loss,test N T Black MAE Loss,test N X White MAE Loss,test N X Black MAE Loss,test N _ White MAE Loss,test N _ Black MAE Loss
NeuralNetwork,0.0001,8.0,45.0,1.0,0.0,0.0003346949815750122,0.0005501770989271509,8.120852700783558e-05,0.00016818965742530206,0.0008890120031022969,0.0001054254644161286,0.00113706021617365,9.744839285904507e-05,0.0010980037505414608,0.00010603854076238977,0.001115498999058397,0.0001050585082599095,0.0010686926443300479,0.00010853770849197058,0.0,0.0016448981357070635,0.0026092855435497354,0.0004100381109699513,0.0008197833532057468,0.0040089009101362035,0.00047322643815346483,0.005119250255560725,0.00044798640147695004,0.00509106475602156,0.0004938719969875408,0.00506317915406617,0.0005073909583331654,0.005315425635883643,0.000506035936703472,0.0
NeuralNetwork,0.0001,8.0,45.0,True,1.0,0.00031555807494088967,0.0005461820212978558,7.60613807610103e-05,0.00016022265720560223,0.0009596634520743172,9.863310546245216e-05,0.0011136475599037026,9.332683610144972e-05,0.0010462841897640588,0.00010160000296937166,0.001108631130177377,9.782253852430379e-05,0.0010515874768845797,8.797437715723187e-05,0.0,0.001551789401462243,0.0025903168339399423,0.0003843092880908798,0.0007833184779814954,0.004329437377419723,0.0004396074035632535,0.005057021132055318,0.00042524437109629315,0.004825561301513288,0.0004596187727256391,0.005063759830762756,0.00047558288341798124,0.005269577668148017,0.0004120119525201666,0.0
NeuralNetwork,0.0001,8.0,45.0,True,2.0,0.00027956711153457106,0.0005388266715720657,6.562624016219394e-05,0.00014123240249818867,0.001003306932548432,8.916748421532767e-05,0.001061413005355876,9.17229028242939e-05,0.000920161163067882,9.323187634308705e-05,0.001108535055844289,8.754991496990954e-05,0.0010310428322486158,5.2682528237126907e-05,0.0,0.0013753026723861694,0.002554735485112892,0.00033140259812463,0.0006946382470100931,0.004526828131336039,0.0003957787306053833,0.004920027166042688,0.00041026336217076523,0.0042043609439202075,0.00039953513527816195,0.005112321121887591,0.00041675703518045774,0.005252583971563375,0.00024714644225138537,0.0
NeuralNetwork,0.0001,8.0,45.0,True,3.0,0.0002305865930418441,0.0005267533169923767,5.0827750378863185e-05,0.00011107214096421501,0.001041656480721149,8.21699581618579e-05,0.0008923295694541417,8.570910946056849e-05,0.0007153667529638244,7.448387595842469e-05,0.0010841765975695093,6.802301763524264e-05,0.0009608888883153705,1.9102422595827406e-05,0.0,0.0011286189158757527,0.002494962897690587,0.0002548002971793121,0.0005506065281682044,0.004700506746342053,0.000373617189485322,0.004119241762461152,0.0003773741564660702,0.0033281880354731337,0.00032402563301272365,0.004878426122965303,0.00028838207886653874,0.0051742870852632345,8.732689040824302e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,4.0,0.00020725772065936394,0.0005185214496365776,4.210455639343056e-05,9.501510553282869e-05,0.0010622819963921127,8.430508670781179e-05,0.0007252439334386121,7.797455329779344e-05,0.0005331253507387927,6.451820728753133e-05,0.0010348590557787297,6.412862325614353e-05,0.0008540302113381358,1.3679599846309086e-05,0.0,0.0010070364055393627,0.0024514357623814037,0.00020476090926794136,0.00047172329523278484,0.004788844017885508,0.00039114564094903335,0.003171433817665532,0.0003515987088845211,0.002479672244509811,0.00031657718450018446,0.0044669403969866675,0.00024518968080574613,0.0049320463114564525,6.1010303409219536e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,5.0,0.0001935962075493085,0.0005128933091690598,3.716677196343954e-05,8.383155812953681e-05,0.0010777447065639404,8.15793038458837e-05,0.000615380844979916,7.024765356049704e-05,0.0003814049406514335,6.006833296419796e-05,0.001001209100944334,6.389879493539867e-05,0.0007683592986546437,1.3696315956886887e-05,0.0,0.0009372301821438772,0.0024218922890957045,0.0001786639152457879,0.00041618123181960865,0.00485781001105294,0.00037917808729147763,0.0026050924130205837,0.00032633425867032703,0.001747691218957961,0.00031392159139585193,0.004187102212845904,0.0002407749540775827,0.004721059364342839,6.065646526198717e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,6.0,0.00018599778012124034,0.0005097356286010331,3.481790865206654e-05,7.708320479508681e-05,0.001088444429318647,7.782505970759533e-05,0.0005542415010961239,6.364254316069045e-05,0.0002961880715709491,5.82857715151702e-05,0.0009806067795766333,6.362639688899254e-05,0.0007185881349918335,1.4556526655778088e-05,0.0,0.0008975445474468687,0.002405117705183209,0.00016682371262859247,0.00038156796645068524,0.004911287477917202,0.00036026118030338167,0.0023144747851029882,0.0003007108451060529,0.0013237644291523866,0.0003090308944009385,0.004024950213402322,0.00024309716884445093,0.004592699449767107,6.447539740950806e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,7.0,0.00018158870324934268,0.0005080127169822425,3.352897327061933e-05,7.32718964390999e-05,0.0010960599899482264,7.460158910712784e-05,0.0005194084101288787,5.8517417295602453e-05,0.00025438541430990007,5.774903349638628e-05,0.0009672974319149542,6.322497928720922e-05,0.0006923881181166821,1.5137810009027106e-05,0.0,0.000874486265692321,0.002396002505560341,0.00016055208097838755,0.0003616952062028009,0.004951081956520881,0.00034587588981262543,0.0021614471696457774,0.0002790759522584999,0.0011148810761529694,0.0003042315255920842,0.003928535389450361,0.0002454769030307074,0.004519665391190247,6.714224838798152e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,8.0,0.00017844875546478518,0.0005069476655230046,3.259535125805682e-05,7.084963938617963e-05,0.001102017150922864,7.199699867446468e-05,0.0004982428569999345,5.453524764657342e-05,0.00023428609750341533,5.749693376356058e-05,0.0009552966552281958,6.272096558401205e-05,0.0006766598822292934,1.546229057596379e-05,0.0,0.0008589357325116043,0.002390527500296539,0.0001562839760532919,0.00034915850316203615,0.004981447542143304,0.0003349622418670534,0.002071679575638201,0.00026107204597701066,0.0010109806210739807,0.0003001388373239985,0.0038717231660519006,0.0002466517283856494,0.004471726012679766,6.867822775113507e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,9.0,0.00017616626708655346,0.0005062302007186766,3.1908790799324726e-05,6.918450491126336e-05,0.0011065019837255866,6.979273135128689e-05,0.00048415768499965615,5.123022230808947e-05,0.00022348243431903603,5.741099603574552e-05,0.0009448227856679747,6.23520614323269e-05,0.0006671772411248754,1.5626076578772616e-05,0.0,0.0008473705570652799,0.002386674566088982,0.0001530240776029023,0.0003403048001745212,0.005005528893226841,0.00032693932547509294,0.0020068927006151693,0.0002466837799399154,0.0009460661021418542,0.0002979565200940618,0.00383122574608281,0.00024720293077282933,0.004434221570596755,6.948670946389625e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,10.0,0.00017438585947787344,0.0005056986188631495,3.136386919134068e-05,6.795610298686272e-05,0.001110058954587419,6.823819080453034e-05,0.00047239813843184727,4.846541426895121e-05,0.0002176988156979296,5.7428693674966656e-05,0.0009372424725894979,6.201817601356866e-05,0.0006587149881609688,1.5648455933901178e-05,0.0,0.0008386277927542633,0.002383894328051393,0.0001505039655749903,0.0003337899234684758,0.005026149243481965,0.0003209216461616492,0.001958477422126434,0.00023453406192971475,0.0009080962564960216,0.0002961362823375366,0.003799032490208464,0.0002472085772820239,0.004407966286881165,6.966131194582526e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,11.0,0.0001728911444825946,0.0005052726705761933,3.090526687729391e-05,6.693594579426747e-05,0.001112927052369714,6.689607715510294e-05,0.0004634953975034853,4.619386077248504e-05,0.00021430159193486215,5.739473931069644e-05,0.0009311073713225496,6.146466414722793e-05,0.0006518998557345244,1.5616380531752526e-05,0.0,0.0008314250962539289,0.0023817935454770456,0.00014839686875073416,0.000328620860599122,0.005043307514783493,0.00031536271643338714,0.0019263040344670134,0.0002238472818203692,0.000887533778664451,0.0002941681575850121,0.0037733267688151426,0.00024680744083422534,0.0043868467492877315,6.963762472260673e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,12.0,0.00017148270359579123,0.0005048826698344351,3.0458859617337384e-05,6.60367450624142e-05,0.0011155233703231356,6.576014476805684e-05,0.00045609393852418965,4.446419141684581e-05,0.00021144952574830172,5.730274673099467e-05,0.0009246511118752616,6.095824055273257e-05,0.0006453014127006428,1.5564236508787803e-05,0.0,0.000824599802119177,0.002379945051745049,0.0001463942674908248,0.000324106956802824,0.005059010695662299,0.00031061121409044326,0.00189412090013612,0.0002147107847831534,0.0008745921670265918,0.0002919463850792099,0.0037486598176776236,0.0002461991173291356,0.004366120077529043,6.952854283388306e-05,0.0
