Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train D BCE Loss,train G BCE Loss,train D BCELogits Loss,train G BCELogits Loss,train D MSE Loss,train G MSE Loss,train D MAE Loss,train G MAE Loss,train D SSIM Loss,train G SSIM Loss,train D N White MAE Loss,train G N White MAE Loss,train D N Black MAE Loss,train G N Black MAE Loss,train D S White MAE Loss,train G S White MAE Loss,train D S Black MAE Loss,train G S Black MAE Loss,train D T White MAE Loss,train G T White MAE Loss,train D T Black MAE Loss,train G T Black MAE Loss,train D X White MAE Loss,train G X White MAE Loss,train D X Black MAE Loss,train G X Black MAE Loss,train D _ White MAE Loss,train G _ White MAE Loss,train D _ Black MAE Loss,train G _ Black MAE Loss,test D BCE Loss,test G BCE Loss,test D BCELogits Loss,test G BCELogits Loss,test D MSE Loss,test G MSE Loss,test D MAE Loss,test G MAE Loss,test D SSIM Loss,test G SSIM Loss,test D N White MAE Loss,test G N White MAE Loss,test D N Black MAE Loss,test G N Black MAE Loss,test D S White MAE Loss,test G S White MAE Loss,test D S Black MAE Loss,test G S Black MAE Loss,test D T White MAE Loss,test G T White MAE Loss,test D T Black MAE Loss,test G T Black MAE Loss,test D X White MAE Loss,test G X White MAE Loss,test D X Black MAE Loss,test G X Black MAE Loss,test D _ White MAE Loss,test G _ White MAE Loss,test D _ Black MAE Loss,test G _ Black MAE Loss
GenerativeAdversarialNetwork,0.0001,8.0,45.0,1.0,0.0,2.0829920538994823e-05,0.0007583055534774081,0.0006870216115144385,0.000532084157203407,1.5318485019562862e-06,5.838112288086883e-05,2.000417128566783e-05,0.00013466422368252695,0.0,0.0009737131015906621,0.0,8.807434748125205e-05,0.0,0.0009259687601074054,0.0,8.54184966524335e-05,0.0,0.0008119286873912554,0.0,8.779052253360697e-05,0.0,0.0010509037907232815,0.0,7.98085508642171e-05,0.0,0.0009530574645636216,0.0,2.9717830594659173e-05,0.0,0.0,8.193842199800899e-05,0.0037632607064157163,0.003198705379318141,0.0025211681359968846,6.714469677059905e-06,0.0002932943544297848,7.828057936902316e-05,0.0006610965297656989,0.0,0.004382574670075283,0.0,0.00041100420292068576,0.0,0.004251942694562036,0.0,0.00036863410997690644,0.0,0.0037654458351855007,0.0,0.0003738785689731814,0.0,0.0047371038850748315,0.0,0.0003539703598937149,0.0,0.005085010198677111,0.0,0.00013367434576997216,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,1.0,8.598156775425708e-05,0.0006201104574769012,0.0007094884657795538,0.0005061853767405302,1.9202495842288446e-05,3.47848328939988e-05,7.377916349554962e-05,7.659077865254847e-05,0.0,0.0010816125385968592,0.0,6.77590893526283e-05,0.0,0.0005081519283695684,0.0,5.333574433532365e-05,0.0,0.00024788194107559493,0.0,5.001879003491363e-05,0.0,0.0009491643655010954,0.0,5.589029939990802e-05,0.0,0.000681930153839029,0.0,1.0199032754027297e-05,0.0,0.0,0.0003489589072623343,0.003033846991616975,0.0032913853537361575,0.002386199415854688,9.188510524401875e-05,0.00016493600963046715,0.0002853302929386403,0.0003692243459089747,0.0,0.004908797711581507,0.0,0.00032009121100857573,0.0,0.0021093948832098044,0.0,0.00025037915076849595,0.0,0.0011192771998591393,0.0,0.00025601806880543065,0.0,0.0038123996752612997,0.0,0.000188537246588641,0.0,0.0045050914932346945,0.0,4.765893619671558e-05,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,2.0,1.845920001560787e-05,0.0005317580185810511,0.0006858763508398257,0.0005036169547597675,1.406046841795634e-06,3.2078926614673954e-05,1.770681814564206e-05,7.089156647416138e-05,0.0,0.0010952817236503205,0.0,6.170453368171528e-05,0.0,0.00045790091518443227,0.0,4.437607474564863e-05,0.0,0.000210837835089537,0.0,4.988362023611917e-05,0.0,0.0009051665784213742,0.0,5.4202140421880226e-05,0.0,0.000645905130635696,0.0,9.84103398804234e-06,0.0,0.0,7.549438438138122e-05,0.0026101447501272524,0.0031957641337652626,0.0023726605394351406,6.8002121241868665e-06,0.0001520411398425792,7.182232590403946e-05,0.00033919250815169616,0.0,0.00498721060844914,0.0,0.00029775130111466414,0.0,0.0018531848799507573,0.0,0.00021766489313083625,0.0,0.000916018988351402,0.0,0.0002513267568447305,0.0,0.0036311205827964928,0.0,0.0001829662155242836,0.0,0.004375193853798152,0.0,4.652465851801746e-05,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,3.0,4.864428656783226e-06,0.0005060721921792249,0.0006800799999596938,0.0005023191881308337,9.149027386783167e-08,3.0568381645930105e-05,4.818008753227577e-06,6.832691998976582e-05,0.0,0.0011012013246411007,0.0,5.9372542119733084e-05,0.0,0.00042016635525901364,0.0,4.0092417654001486e-05,0.0,0.0001999620157432042,0.0,5.061698530240843e-05,0.0,0.0008765693623421969,0.0,5.3452478465686914e-05,0.0,0.0006228503833883856,0.0,9.742579259721416e-06,0.0,0.0,1.9364202477084767e-05,0.0024764937049937697,0.003171978881524044,0.0023664867728011413,5.029405484784324e-07,0.00014570616654255105,1.910637695131437e-05,0.00032664708933740293,0.0,0.00501867761212277,0.0,0.00028813035233215715,0.0,0.0017094994491001344,0.0,0.0001994697318511939,0.0,0.0008597655116387133,0.0,0.0002507317412949208,0.0,0.0035253279613998703,0.0,0.00018410965706567345,0.0,0.004290241115498093,0.0,4.645151455166205e-05,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,4.0,1.5650566785302607e-06,0.0004910873274276199,0.0006787494989739596,0.0005014229093921795,9.564029941775564e-09,2.940550366180605e-05,1.5602532129061993e-06,6.654069851832891e-05,0.0,0.001104717032665197,0.0,5.781573727927761e-05,0.0,0.0003899604965734353,0.0,3.728021257569526e-05,0.0,0.000193280893355367,0.0,5.1317796753744554e-05,0.0,0.0008551212494585392,0.0,5.267814022672144e-05,0.0,0.0006049526830246506,0.0,9.655738450245395e-06,0.0,0.0,6.763178140581029e-06,0.0023869124223601145,0.003167072557053476,0.002362517253407892,9.281941988460028e-08,0.00014128279432935534,6.716026274381943e-06,0.0003182459974064017,0.0,0.005035560095629536,0.0,0.0002792231129400385,0.0,0.0016053911275083913,0.0,0.00018755099355424726,0.0,0.0008289939577474534,0.0,0.0002497345115403709,0.0,0.0034625713930189986,0.0,0.0001855617588233648,0.0,0.004231521168594841,0.0,4.619907048888176e-05,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,5.0,7.392733792129232e-07,0.00047740255886653685,0.0006784231996921837,0.0005007486218069441,2.2786720195668906e-09,2.850008490834275e-05,7.381315049376449e-07,6.497355122771867e-05,0.0,0.0011085674780484081,0.0,5.6219500592455385e-05,0.0,0.00036872429346459894,0.0,3.5164897854758726e-05,0.0,0.00018862050498592243,0.0,5.129757876987406e-05,0.0,0.0008393383893683914,0.0,5.149144950420709e-05,0.0,0.0005941508674236,0.0,9.526518070593356e-06,0.0,0.0,3.6793893478435913e-06,0.0023108535217788986,0.003165947566242338,0.002359274423347329,3.7962037147609985e-08,0.0001375247613064148,3.660179721484394e-06,0.00030998925461709123,0.0,0.0050597485051075974,0.0,0.00026837331037851247,0.0,0.0015352652320322002,0.0,0.00017683279448710146,0.0,0.0008152506823809641,0.0,0.0002456780921363231,0.0,0.003429727734259839,0.0,0.0001830107901456221,0.0,0.004181580348584637,0.0,4.568547537585474e-05,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,6.0,4.551540984900171e-07,0.00047258096885167045,0.0006783209399714303,0.0005000870664807343,9.233657983174461e-10,2.77266503786141e-05,4.5469173197596866e-07,6.337136512175403e-05,0.0,0.0011136727716185369,0.0,5.4188564700900383e-05,0.0,0.00035372360376013576,0.0,3.339323112264155e-05,0.0,0.00018637494819183554,0.0,5.0385926932980106e-05,0.0,0.0008298468718310251,0.0,4.972262443557904e-05,0.0,0.000587900412693178,0.0,9.351986086352495e-06,0.0,0.0,2.39171874094403e-06,0.002271839657669547,0.003165529583984951,0.002356328491894704,1.7773584275906934e-08,0.00013458392576976393,2.3827565915929447e-06,0.00030250758307534943,0.0,0.005083284598794573,0.0,0.00025771061579386395,0.0,0.001489243229979989,0.0,0.0001682030423632208,0.0,0.000805884505967674,0.0,0.0002399917762234526,0.0,0.0034127587792258593,0.0,0.00017867995273767028,0.0,0.004144677950901055,0.0,4.488699220167766e-05,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,7.0,2.0428808174419877e-07,0.00046425057710663004,0.0006782472776274154,0.0004995109819659004,1.747674852994672e-10,2.697539940034604e-05,2.0420063297060942e-07,6.166977099973879e-05,0.0,0.0011193780224325331,0.0,5.21110978248627e-05,0.0,0.0003422342060068547,0.0,3.197359930312216e-05,0.0,0.00018482942465501977,0.0,4.8956831269508425e-05,0.0,0.0008223323487849891,0.0,4.722985295915218e-05,0.0,0.000583643420044624,0.0,9.140092000927566e-06,0.0,0.0,9.871882008704937e-07,0.002230385751844202,0.003165131469942489,0.0023541070005428867,2.6273031772523255e-09,0.00013216124531233086,9.858704746097513e-07,0.0002952038585764807,0.0,0.0051087027947008794,0.0,0.00024714496619296524,0.0,0.0014581682172211462,0.0,0.00016049137514717173,0.0,0.0008064753979257068,0.0,0.00023342137160541128,0.0,0.003409293087773353,0.0,0.00017169254990118853,0.0,0.004120676772399519,0.0,4.37603437535043e-05,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,8.0,5.364530208969936e-08,0.0004235001587160835,0.0006781938583703054,0.0004992209113833076,1.3372031245099016e-11,2.6273029050576398e-05,5.3638614484452895e-08,5.983601944305183e-05,0.0,0.001124191446299931,0.0,4.991214732436157e-05,0.0,0.000331632813032104,0.0,3.0350685621689592e-05,0.0,0.00018340525922749563,0.0,4.7488851005818965e-05,0.0,0.0008165213778976481,0.0,4.4921960310151954e-05,0.0,0.0005781329626021681,0.0,8.350881469257758e-06,0.0,0.0,2.2088960742976212e-07,0.0020258413545740477,0.003164885179051813,0.0023531379564753117,1.0528690428237158e-10,0.000129672645960214,2.2083693681835378e-07,0.000287661223479037,0.0,0.00512899223455816,0.0,0.00023636699847455294,0.0,0.0014241230000489912,0.0,0.00015372230009462847,0.0,0.0007989113248369229,0.0,0.0002273326540518107,0.0,0.0033956769877259837,0.0,0.00016629356164602364,0.0,0.004092854898680681,0.0,3.988671544119247e-05,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,9.0,1.631470349772e-08,0.00032102989379286445,0.0006781777924283174,0.0004992507940354052,1.5356221834709096e-12,2.567094532305982e-05,1.6313936188173758e-08,5.78002537276867e-05,0.0,0.001130112915157,0.0,4.7427594581382934e-05,0.0,0.00032001601235885825,0.0,2.7738996050910487e-05,0.0,0.00018013393220233146,0.0,4.630567470811448e-05,0.0,0.0008082813169114352,0.0,4.265751097240859e-05,0.0,0.0005744608104068314,0.0,7.382380045609012e-06,0.0,0.0,7.909615157112046e-08,0.0015257925919766695,0.0031648300728707945,0.002353625477484937,2.097566285583411e-11,0.00012726425749700775,7.908566664163399e-08,0.00027860956465673145,0.0,0.0051558476582375164,0.0,0.00022524342222033806,0.0,0.0013897287770637176,0.0,0.00014040955348209764,0.0,0.000787316159632221,0.0,0.00022120729276219254,0.0,0.003370040242776931,0.0,0.00016057886089543876,0.0,0.0040653932769343535,0.0,3.5287973429984266e-05,0.0,0.0
