Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train N BCE Loss,train N BCELogits Loss,train N MSE Loss,train N MAE Loss,test N BCE Loss,test N BCELogits Loss,test N MSE Loss,test N MAE Loss
NeuralNetwork,0.0001,8.0,45.0,1.0,0.0,0.000296452135409949,0.0005409760134560722,7.140806642664732e-05,0.00014560680705903354,0.0014581432882344947,0.0025654963727267284,0.0003572048490527291,0.000719008299539674
NeuralNetwork,0.0001,8.0,45.0,True,1.0,0.00022865625002956133,0.0005239580840755987,4.9261215602291244e-05,0.00010984195170376821,0.001093531367163988,0.002476087156331764,0.00023608043227555617,0.0005431245051839816
NeuralNetwork,0.0001,8.0,45.0,True,2.0,0.00019982635894554324,0.0005144260401995676,3.9325356784695884e-05,8.78561418654141e-05,0.0009627834243594476,0.002427769719429736,0.0001901956333679223,0.00043804142272697307
NeuralNetwork,0.0001,8.0,45.0,True,3.0,0.00019272328467381933,0.000512134193410128,3.6838908762623355e-05,8.277077418613948e-05,0.0009322500078933044,0.0024166491421513587,0.00017921263410610223,0.00041332044316537723
NeuralNetwork,0.0001,8.0,45.0,True,4.0,0.0001882091365413203,0.0005107470599788861,3.532670950391543e-05,7.969640556853415e-05,0.0009092574224532025,0.002409781862354878,0.0001712369515835864,0.00039766335262442535
NeuralNetwork,0.0001,8.0,45.0,True,5.0,0.00018474821131827054,0.0005097025327605378,3.4246736801056206e-05,7.726796312794852e-05,0.0008902350124323144,0.002404463178706619,0.00016495790449703264,0.00038539128577184375
NeuralNetwork,0.0001,8.0,45.0,True,6.0,0.00018194293718775005,0.0005088652963586895,3.344709972406655e-05,7.522742281544883e-05,0.0008749100584653939,0.002400190387881777,0.00016026401529147191,0.0003750749963259547
NeuralNetwork,0.0001,8.0,45.0,True,7.0,0.00017951236098924416,0.0005081768305796497,3.2796065079555354e-05,7.339805424856047e-05,0.0008620765973936837,0.0023966568446009413,0.0001565784028491134,0.0003657118891769985
NeuralNetwork,0.0001,8.0,45.0,True,8.0,0.00017733446189335415,0.000507569899456199,3.2213998511634424e-05,7.176047788476044e-05,0.0008511517032887201,0.0023934306963434757,0.00015342952507846761,0.00035695654322516246
NeuralNetwork,0.0001,8.0,45.0,True,9.0,0.00017547448770697868,0.0005070232959449131,3.169726761123241e-05,7.034134812592817e-05,0.0008420948899766934,0.0023905280626045082,0.0001507735922464035,0.00034910754400229306
