Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train ResNet BCE Loss,train ResNet BCELogits Loss,train ResNet MSE Loss,train ResNet MAE Loss,test ResNet BCE Loss,test ResNet BCELogits Loss,test ResNet MSE Loss,test ResNet MAE Loss
ResidualNeuralNetwork,0.0001,8.0,45.0,1.0,0.0,0.0010991578474841,0.0005458112595216,7.946116503358209e-05,0.0001685154245227,0.0054287243189301,0.0025886235372075,0.0004009383748162,0.0008223544126786
ResidualNeuralNetwork,0.0001,8.0,45.0,True,1.0,0.0011491581918094,0.0005479556611284,8.105038291199831e-05,0.0001731846893251,0.0056027470144835,0.002594140715569,0.0004006691230168,0.0008358710779334
ResidualNeuralNetwork,0.0001,8.0,45.0,True,2.0,0.0013879600239571,0.0005483745404009,8.242189221465684e-05,0.0001755552793127,0.0069519693746506,0.0025990511636314,0.0004109803985499,0.0008559373189818
ResidualNeuralNetwork,0.0001,8.0,45.0,True,3.0,0.0014967846099257,0.000550970555637,8.619901023785059e-05,0.0001829401702893,0.0074851992745069,0.0026074840962511,0.0004266685097472,0.0008702386850081
ResidualNeuralNetwork,0.0001,8.0,45.0,True,4.0,0.0015150747209225,0.0005481521074341,8.268778355455784e-05,0.00017525346051,0.007581204738257,0.0025973702376743,0.0004168734797891,0.0008387413789641
ResidualNeuralNetwork,0.0001,8.0,45.0,True,5.0,0.0017711435045514,0.000550058331451,8.709489736916884e-05,0.0001795379460018,0.0086735809374155,0.0026098454148514,0.0004403929009377,0.0008730905235938
ResidualNeuralNetwork,0.0001,8.0,45.0,True,6.0,0.0017499073817723,0.0005501694676047,8.738499807540297e-05,0.0001793973690094,0.0086417633032648,0.00261378944295,0.0004459113444922,0.0008846450151887
ResidualNeuralNetwork,0.0001,8.0,45.0,True,7.0,0.0017735797439945,0.0005482935680533,8.535602022052775e-05,0.0001756054251341,0.0088076771430249,0.0026050114406729,0.0004353518099904,0.0008660169704905
ResidualNeuralNetwork,0.0001,8.0,45.0,True,8.0,0.0018452150481087,0.0005489468494194,8.607458955836746e-05,0.0001770925690542,0.0092012919719863,0.0026148462070609,0.0004507480364925,0.0008948677740756
ResidualNeuralNetwork,0.0001,8.0,45.0,True,9.0,0.0018625802428253,0.0005472378348404,8.424496996113554e-05,0.0001718054282054,0.0092158872376447,0.0026062940651515,0.0004368055166688,0.0008766063541736
ResidualNeuralNetwork,0.0001,8.0,45.0,True,10.0,0.001912271398097,0.0005509150478075,8.90488673573877e-05,0.0001810069755723,0.0094191008393869,0.0026150304566389,0.0004492324290785,0.0008880191441601
ResidualNeuralNetwork,0.0001,8.0,45.0,True,11.0,0.0019318938576628,0.0005514681178604,9.103033018883348e-05,0.0001820050722183,0.0094774084271125,0.0026181098425163,0.000454416533686,0.0008991197595056
ResidualNeuralNetwork,0.0001,8.0,45.0,True,12.0,0.0020096763125005,0.0005510486361151,8.988174587247185e-05,0.0001820563225733,0.0098320208255599,0.0026158201244642,0.0004550860550418,0.0008918093810291
ResidualNeuralNetwork,0.0001,8.0,45.0,True,13.0,0.0020042315647608,0.0005491362668754,8.840442225939501e-05,0.0001753545956148,0.0098399576151146,0.0026126601411111,0.0004587650955098,0.0008783119279633
ResidualNeuralNetwork,0.0001,8.0,45.0,True,14.0,0.0020298462993693,0.0005496593337817,8.842818981232348e-05,0.0001775587826083,0.0099383247723369,0.0026107649758176,0.0004491403042895,0.000877078974022
ResidualNeuralNetwork,0.0001,8.0,45.0,True,15.0,0.0021063568135798,0.0005511788104101,9.118612966126187e-05,0.0001827655736648,0.0102804396887245,0.0026144010465849,0.0004579095907931,0.0008861857390253
ResidualNeuralNetwork,0.0001,8.0,45.0,True,16.0,0.0020897537871512,0.0005495157444252,8.852636275908374e-05,0.0001786378917668,0.0102081238848608,0.0026095741949741,0.000449999745162,0.0008774531899758
ResidualNeuralNetwork,0.0001,8.0,45.0,True,17.0,0.0021751799352085,0.0005509941725718,9.10535454750061e-05,0.0001799995205151,0.0105917191355483,0.0026151560387521,0.0004589989687661,0.0008825581965956
ResidualNeuralNetwork,0.0001,8.0,45.0,True,18.0,0.0022265244365702,0.000554345648565,9.543364340404294e-05,0.0001909566536103,0.0108336007819985,0.0026267079062431,0.0004753996178788,0.0009182602542001
ResidualNeuralNetwork,0.0001,8.0,45.0,True,19.0,0.0022126624205041,0.0005476428572379,8.705156953187002e-05,0.0001718166944472,0.0107737637165957,0.0026055291388769,0.0004411200588604,0.0008705830049214
ResidualNeuralNetwork,0.0001,8.0,45.0,True,20.0,0.0022211979341635,0.000549473972976,8.964490376392786e-05,0.000178900369094,0.0108184087201484,0.0026060222829662,0.0004560085212659,0.0008687377913193
ResidualNeuralNetwork,0.0001,8.0,45.0,True,21.0,0.0022893535159026,0.000553548617183,9.369382238131006e-05,0.0001925494712639,0.0110938526549429,0.0026267009711115,0.0004715383427697,0.0009401033884324
ResidualNeuralNetwork,0.0001,8.0,45.0,True,22.0,0.0023150670560543,0.0005470168478084,8.84568876011995e-05,0.0001719715299632,0.0112581710395573,0.0026050969114843,0.0004516515716816,0.0008709293866307
ResidualNeuralNetwork,0.0001,8.0,45.0,True,23.0,0.0023373588718815,0.0005473947589288,8.701246904555678e-05,0.0001719757673554,0.0114482078912123,0.0026005157884561,0.0004411526258636,0.0008520106287122
ResidualNeuralNetwork,0.0001,8.0,45.0,True,24.0,0.0023602820792288,0.0005545102441407,9.674700403791876e-05,0.0001934542247869,0.0114201337286511,0.0026240450031352,0.0004746070916547,0.0009191136502619
ResidualNeuralNetwork,0.0001,8.0,45.0,True,25.0,0.002352150463351,0.0005506965108316,9.151027008208304e-05,0.0001809884796566,0.0113605155884844,0.0026155916399925,0.0004609330738865,0.0008955866848147
ResidualNeuralNetwork,0.0001,8.0,45.0,True,26.0,0.002343555023728,0.0005471843754184,8.8276175877476e-05,0.0001736794199262,0.0113286184814741,0.0025999058717451,0.0004413918410457,0.0008711144796707
ResidualNeuralNetwork,0.0001,8.0,45.0,True,27.0,0.0022817834046973,0.0005479160585814,8.806328206370783e-05,0.000172444029317,0.0110052171743141,0.0025986596098485,0.0004357578900625,0.0008451986425327
ResidualNeuralNetwork,0.0001,8.0,45.0,True,28.0,0.0023418780607033,0.0005482083783959,8.830267464054241e-05,0.0001738932977789,0.011323868103747,0.0026051462071496,0.0004489922767165,0.000864380654299
ResidualNeuralNetwork,0.0001,8.0,45.0,True,29.0,0.0022888615767589,0.0005502463431371,9.223554695070272e-05,0.0001811604254007,0.011195457956326,0.0026208107951302,0.0004805289443183,0.000917301331676
ResidualNeuralNetwork,0.0001,8.0,45.0,True,30.0,0.0022196292555878,0.0005464211628443,8.780651818709875e-05,0.0001675553037471,0.0108136043608563,0.0025915863378992,0.0004358815040978,0.0008282909790674
ResidualNeuralNetwork,0.0001,8.0,45.0,True,31.0,0.0022095518934758,0.0005461271561059,8.62396871947214e-05,0.0001669692985131,0.0107089993338914,0.0025917499695184,0.0004291436019933,0.0008327261831775
ResidualNeuralNetwork,0.0001,8.0,45.0,True,32.0,0.0021376850791375,0.0005504760057778,9.216757797487984e-05,0.0001782913092333,0.0103203553073811,0.002602753961611,0.0004463057566738,0.0008501380494555
ResidualNeuralNetwork,0.0001,8.0,45.0,True,33.0,0.0020992265878661,0.0005479453789256,8.913368548987046e-05,0.0001712748103064,0.0101239463818148,0.0025912995608347,0.0004300389368579,0.0008228869183258
ResidualNeuralNetwork,0.0001,8.0,45.0,True,34.0,0.0021377662121446,0.0005489924766946,8.941045146425458e-05,0.0001739276186475,0.010305088271135,0.0025991433821384,0.0004397666304366,0.0008432616790135
ResidualNeuralNetwork,0.0001,8.0,45.0,True,35.0,0.002123633484956,0.0005517245704594,9.24433197454622e-05,0.0001826254585682,0.0102872953474896,0.0026134700520233,0.0004560544899424,0.0008864812318633
ResidualNeuralNetwork,0.0001,8.0,45.0,True,36.0,0.0021092620178695,0.0005554707464824,9.886182422907848e-05,0.00019508178504,0.0101286165369381,0.0026273815511907,0.0004779770033164,0.0009389556241485
ResidualNeuralNetwork,0.0001,8.0,45.0,True,37.0,0.0020397604315107,0.0005482973837145,8.78822088562896e-05,0.000173278454179,0.0097674318829422,0.0025901198387145,0.0004246463097116,0.0008250795445352
ResidualNeuralNetwork,0.0001,8.0,45.0,True,38.0,0.0019704084190718,0.0005485511452682,8.78745273277766e-05,0.0001729422743429,0.0094531047269233,0.0026018790104104,0.0004410254036855,0.0008479407373464
ResidualNeuralNetwork,0.0001,8.0,45.0,True,39.0,0.0019474333187319,0.0005490068958776,8.770500151616222e-05,0.000175499952225,0.0093230091550815,0.0026026225689822,0.000435507522439,0.0008563169705792
ResidualNeuralNetwork,0.0001,8.0,45.0,True,40.0,0.0018911817967088,0.0005522535415993,9.292647282710936e-05,0.0001850336026952,0.0091292760657064,0.0026188202249179,0.0004686635432753,0.0008914253246859
ResidualNeuralNetwork,0.0001,8.0,45.0,True,41.0,0.0017492157429697,0.0005488537874504,8.67557754574439e-05,0.0001737539859794,0.0084192340478957,0.0026048226926311,0.0004413038398484,0.0008464913885548
ResidualNeuralNetwork,0.0001,8.0,45.0,True,42.0,0.0016736298237206,0.0005474597054993,8.507064892596633e-05,0.0001709397149214,0.0080276720178952,0.002604066575848,0.0004354567272858,0.0008639007244469
