Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.05768796429038048,0.3253743648529053,2.2888112653163262e-05,0.0038975097704678774,0.987040501597027,0.0038975095376372337,0.0
_,7,0.05691366270184517,0.325803279876709,1.7945578292710707e-05,0.0032259048894047737,0.9852425735195478,0.00322590465657413,0.0
N,11,0.09507578611373901,0.3774819076061249,0.011488473042845726,0.0342954657971859,0.8522200135688763,0.023496046662330627,0.12553779780864716
N,34,0.09183868020772934,0.3775669038295746,0.010374574922025204,0.030346009880304337,0.8498268078702192,0.020830130204558372,0.10684937238693237
X,38,0.1429017037153244,0.3570134937763214,0.025658613070845604,0.04131721332669258,0.7963994575251612,0.01455259881913662,0.8710201978683472
_,40,0.057290785014629364,0.32628604769706726,3.8679161662003025e-05,0.00419076019898057,0.9752739397560557,0.00419076019898057,0.0
N,43,0.09407469630241394,0.37494957447052,0.01042507030069828,0.03159455955028534,0.8740937771985774,0.022221559658646584,0.1120227500796318
T,49,0.0945541262626648,0.344424843788147,0.011968961916863918,0.030253620818257332,0.8380041570794614,0.017581382766366005,0.7167390584945679
N,52,0.08943752199411392,0.3749363422393799,0.009147776290774345,0.02972085401415825,0.8652357469832835,0.02076597325503826,0.10588166117668152
_,71,0.0570698045194149,0.3260137438774109,2.5138331693597138e-05,0.0036527824122458696,0.9812641435613235,0.0036527824122458696,0.0
S,83,0.0727083683013916,0.3993326425552368,0.003363011870533228,0.018253372982144356,0.9090298748202622,0.01127289142459631,0.04978588968515396
_,86,0.057326674461364746,0.32594728469848633,3.2696552807465196e-05,0.003991440869867802,0.975023438880841,0.003991440869867802,0.0
_,103,0.05695017799735069,0.3257611095905304,1.799643723643385e-05,0.0032778719905763865,0.9854300407196085,0.003277871757745743,0.0
X,108,0.13729900121688843,0.3618816137313843,0.026145951822400093,0.05254014581441879,0.7469216098723579,0.02486514300107956,0.7971906661987305
T,109,0.11629079282283783,0.37130066752433777,0.01997622475028038,0.042483627796173096,0.8330232903712508,0.02568553015589714,0.24185407161712646
S,128,0.10640066862106323,0.4004810154438019,0.013852461241185665,0.03157496452331543,0.8494984340437987,0.027512092143297195,0.05112201347947121
X,134,0.1126527413725853,0.35466229915618896,0.018446313217282295,0.037989284843206406,0.8078517354756727,0.01645749807357788,0.6583988666534424
X,144,0.09565569460391998,0.3749193847179413,0.011158611625432968,0.0314464271068573,0.8698699219447251,0.022992951795458794,0.10398433357477188
N,147,0.09434808045625687,0.3741549253463745,0.011213955469429493,0.03352268412709236,0.8405914586363361,0.02527308650314808,0.10776905715465546
S,157,0.0844670757651329,0.4117620587348938,0.006252625957131386,0.02656474895775318,0.8324640100196121,0.012540170922875404,0.08151350170373917
T,171,0.10913004726171494,0.346745103597641,0.01489701122045517,0.03914492204785347,0.7501557684644529,0.02545534446835518,0.8267967700958252
T,173,0.0958411917090416,0.34168681502342224,0.01163759920746088,0.02592102251946926,0.8383080186691818,0.01354614831507206,0.7560385465621948
T,180,0.11223896592855453,0.34649670124053955,0.016501517966389656,0.029287423938512802,0.838618745811679,0.011669043451547623,0.8925880789756775
N,181,0.09555672109127045,0.3789616525173187,0.01135545689612627,0.034587595611810684,0.8596600724563663,0.018127327784895897,0.17124606668949127
X,186,0.10060136765241623,0.376152366399765,0.013495096005499363,0.03410730138421059,0.8685806762442614,0.0172030758112669,0.18624530732631683
N,195,0.09451992064714432,0.3756963610649109,0.010967841371893883,0.03280242532491684,0.8568761185387849,0.023018350824713707,0.11694546043872833
N,196,0.0897773876786232,0.3715256452560425,0.007975645363330841,0.026601117104291916,0.8961542377279451,0.017526570707559586,0.10903459787368774
S,200,0.09655088931322098,0.4121129512786865,0.009934020228683949,0.02885109931230545,0.8276611611864887,0.01729978434741497,0.07434331625699997
S,216,0.10315370559692383,0.40103837847709656,0.012314199469983578,0.033013083040714264,0.850354393655692,0.020624278113245964,0.09413016587495804
N,217,0.09101203829050064,0.3745993673801422,0.0098909642547369,0.029070353135466576,0.8767080818423226,0.01614225283265114,0.1422700732946396
T,219,0.1318870633840561,0.37924495339393616,0.024873455986380577,0.05157677084207535,0.8098611671479375,0.02826128713786602,0.29409101605415344
T,226,0.14664112031459808,0.3767975866794586,0.030060311779379845,0.055148959159851074,0.804767303589033,0.047097861766815186,0.14112532138824463
N,231,0.09334123134613037,0.3757420480251312,0.01013537123799324,0.030850084498524666,0.873795483224094,0.01688065007328987,0.15152578055858612
_,233,0.05689234659075737,0.32578060030937195,1.6785941625130363e-05,0.0031597765628248453,0.9858606163412333,0.0031597765628248453,0.0
T,241,0.10888633877038956,0.347232848405838,0.016186153516173363,0.03016870841383934,0.8330300120935681,0.01258018333464861,0.8322396278381348
N,242,0.09772875905036926,0.37712982296943665,0.012458277866244316,0.03350834548473358,0.8645953823920961,0.023257644847035408,0.11973480135202408
N,243,0.09211110323667526,0.37428009510040283,0.010402505286037922,0.03120393119752407,0.8569139715804098,0.01975330337882042,0.1335483342409134
X,264,0.09266689419746399,0.37423598766326904,0.010365706868469715,0.032114170491695404,0.8543676317545276,0.023149052634835243,0.11187596619129181
S,266,0.10118549317121506,0.4024300277233124,0.010704088024795055,0.03033287078142166,0.8515251971056681,0.018532318994402885,0.08572405576705933
