Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.05607999861240387,0.3258005976676941,1.9460503608570434e-06,0.0008951716590672731,0.9985452049598098,0.0008951716590672731,0.0
_,7,0.056073565036058426,0.32577192783355713,1.7402853700332344e-06,0.0008561037248000503,0.9987505862240991,0.0008561037248000503,0.0
N,11,0.09060594439506531,0.3758488595485687,0.011449919082224369,0.027087612077593803,0.8869990447598199,0.018402282148599625,0.10046837478876114
N,34,0.08320396393537521,0.37589624524116516,0.008663163520395756,0.021210934966802597,0.8913143352853756,0.01145449373871088,0.09964829683303833
X,38,0.12395023554563522,0.35444679856300354,0.021480701863765717,0.03629341349005699,0.8194286404702386,0.014885526150465012,0.6999378204345703
_,40,0.05607682093977928,0.325792521238327,1.859710550888849e-06,0.0008754612063057721,0.9985892152041197,0.0008754612063057721,0.0
N,43,0.08492858707904816,0.3741784691810608,0.008883694186806679,0.023648684844374657,0.9066835949734791,0.014395775273442268,0.10304639488458633
T,49,0.09069868922233582,0.34300610423088074,0.01149250753223896,0.025628414005041122,0.8759234263138933,0.014927170239388943,0.6053406000137329
N,52,0.08185078948736191,0.3729783594608307,0.00811741966754198,0.020244475454092026,0.9118795775899586,0.012940101325511932,0.08236782252788544
_,71,0.056076470762491226,0.325790137052536,1.8566557855592691e-06,0.0008746125386096537,0.998628136465947,0.0008746125386096537,0.0
S,83,0.0662773922085762,0.39770206809043884,0.0025365299079567194,0.011266819201409817,0.9615432711628576,0.006581706926226616,0.03243060037493706
_,86,0.056111983954906464,0.3258126378059387,3.035548843399738e-06,0.0009859068086370826,0.9976024007673066,0.0009859068086370826,0.0
_,103,0.05607026070356369,0.3257698118686676,1.6717793869247544e-06,0.0008371055591851473,0.9987837267294527,0.0008371055009774864,0.0
X,108,0.13891109824180603,0.3607448935508728,0.02616686373949051,0.04599213972687721,0.7546474569129177,0.01826542429625988,0.7920342087745667
T,109,0.11026664823293686,0.3690280020236969,0.01772380992770195,0.03349487483501434,0.8659046258761859,0.018889429047703743,0.20684148371219635
S,128,0.09802035242319107,0.3984968066215515,0.012116847559809685,0.022934768348932266,0.8931163653909001,0.020156292244791985,0.03630240634083748
X,134,0.10522376000881195,0.353519082069397,0.017123037949204445,0.03275002911686897,0.843194970463519,0.012563645839691162,0.6143936514854431
X,144,0.08288918435573578,0.3731052875518799,0.008626941591501236,0.022104810923337936,0.911183643070981,0.01562531851232052,0.0777043029665947
N,147,0.08676541596651077,0.3715752959251404,0.01023100595921278,0.022583063691854477,0.9001403542235494,0.016807593405246735,0.07456228137016296
S,157,0.07535183429718018,0.4083097577095032,0.0051146093755960464,0.016688289120793343,0.8861903962262053,0.00976515281945467,0.04381336271762848
T,171,0.10180728882551193,0.3444274365901947,0.013490698300302029,0.029033541679382324,0.7761350186433023,0.015531414188444614,0.8058998584747314
T,173,0.09534994512796402,0.34103360772132874,0.010835765860974789,0.021014874801039696,0.8768165245813483,0.010721052996814251,0.6283503770828247
T,180,0.10531467944383621,0.3454166650772095,0.014667002484202385,0.026450997218489647,0.853696163916502,0.011107171885669231,0.7782983779907227
N,181,0.09498056024312973,0.37818244099617004,0.013054789043962955,0.028059829026460648,0.8842199833394262,0.013586186803877354,0.14822471141815186
X,186,0.08521261066198349,0.373089075088501,0.009710066020488739,0.022787274792790413,0.9094040184064458,0.0101775536313653,0.13627475500106812
N,195,0.08729194104671478,0.3739738166332245,0.009907601401209831,0.02456776425242424,0.8957968168441828,0.017447857186198235,0.0857989564538002
N,196,0.07878436148166656,0.3707381784915924,0.0072947614826262,0.019483836367726326,0.9272641658425953,0.010581903159618378,0.1003492996096611
S,200,0.08943161368370056,0.41005417704582214,0.008369538933038712,0.020749278366565704,0.8739555577235354,0.011704916134476662,0.05636843293905258
S,216,0.08835859596729279,0.3983273506164551,0.009180170483887196,0.023327704519033432,0.8993069762052559,0.013605231419205666,0.07129109650850296
N,217,0.08493765443563461,0.3733806014060974,0.009173802100121975,0.022043194621801376,0.9039876954688225,0.011244346387684345,0.11659897118806839
T,219,0.11113612353801727,0.37406423687934875,0.01802394539117813,0.03645241633057594,0.8529479823989023,0.0199467521160841,0.20813484489917755
T,226,0.133192777633667,0.3741205036640167,0.024818312376737595,0.040981415659189224,0.8411028777755565,0.030008742585778236,0.15815672278404236
N,231,0.08679324388504028,0.37390804290771484,0.009759255684912205,0.021960994228720665,0.9063602373492905,0.010829361155629158,0.11812219023704529
