Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.05605098977684975,0.32582178711891174,8.348170013050549e-07,0.0005842656828463078,0.9993331390867631,0.0005842656828463078,0.0
_,7,0.05604594200849533,0.32582083344459534,7.47899491670978e-07,0.0005641797324642539,0.9994482253616056,0.0005641797324642539,0.0
N,11,0.0867137685418129,0.37456822395324707,0.01010998897254467,0.023612620308995247,0.9048493242030964,0.016073675826191902,0.08730780333280563
N,34,0.08012757450342178,0.3746384382247925,0.007702067960053682,0.018266117200255394,0.9107491037063301,0.01048638578504324,0.08081164211034775
X,38,0.12337049096822739,0.35388249158859253,0.021035058423876762,0.0345219224691391,0.8352166592157604,0.013221762143075466,0.6948269605636597
_,40,0.05604906752705574,0.325824499130249,8.131947311085241e-07,0.0005780331557616591,0.9993652250493567,0.0005780331557616591,0.0
N,43,0.08022388070821762,0.37339720129966736,0.00745964702218771,0.021377233788371086,0.9180471978282246,0.012207450345158577,0.10006164014339447
T,49,0.09072086215019226,0.3428543210029602,0.011400709860026836,0.02308746799826622,0.8858786767467246,0.010271551087498665,0.7173565626144409
N,52,0.08176371455192566,0.372807115316391,0.008423693478107452,0.018451670184731483,0.9164479930206048,0.010340611450374126,0.08743583410978317
_,71,0.05605047941207886,0.3258223831653595,8.305862593260827e-07,0.0005842112004756927,0.9993437772492568,0.0005842112004756927,0.0
S,83,0.06775752454996109,0.3981657922267914,0.0031480242032557726,0.012026455253362656,0.962118781687071,0.00680206436663866,0.035626284778118134
_,86,0.056072719395160675,0.32580554485321045,1.144989937529317e-06,0.000674334354698658,0.9991148523737987,0.000674334354698658,0.0
_,103,0.0560433529317379,0.32582393288612366,7.096097078829189e-07,0.000552475219592452,0.9994694169610739,0.000552475219592452,0.0
X,108,0.14071360230445862,0.3613494336605072,0.027183689177036285,0.04703154414892197,0.7614571463283067,0.018435390666127205,0.8164676427841187
T,109,0.10266546905040741,0.3667525351047516,0.015191365033388138,0.027582990005612373,0.8864494327653666,0.01526970136910677,0.17372487485408783
S,128,0.09910241514444351,0.3990178108215332,0.01207053568214178,0.023633649572730064,0.8904026062578279,0.019295454025268555,0.04450530186295509
X,134,0.11485259979963303,0.3548206388950348,0.0201836246997118,0.033812545239925385,0.8410534550454274,0.010743577033281326,0.6985139846801758
X,144,0.08458757400512695,0.37341347336769104,0.009467477910220623,0.02077217400074005,0.9163970646541566,0.011729639954864979,0.0983646884560585
N,147,0.07856650650501251,0.36997443437576294,0.007296870928257704,0.01787797175347805,0.9245484740162889,0.012554008513689041,0.06579362601041794
S,157,0.07615009695291519,0.408732146024704,0.005363328382372856,0.01712464727461338,0.8822151694344454,0.00880206748843193,0.04973278194665909
T,171,0.10396848618984222,0.3449637293815613,0.01474931463599205,0.02993275411427021,0.7893383506361473,0.015780165791511536,0.8442243337631226
