Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.056055497378110886,0.3258533179759979,8.528932085027918e-07,0.000499457644764334,0.9993081016466022,0.009970545768737793,0.0
_,7,0.05604579299688339,0.32585740089416504,7.539224498032127e-07,0.00048080654232762754,0.999376747024556,0.0099861528724432,0.0
N,11,0.08879357576370239,0.37505319714546204,0.0108472416177392,0.024835210293531418,0.8972128627247488,0.026646457612514496,0.10009024292230606
N,34,0.08250419050455093,0.37536489963531494,0.008332130499184132,0.020255422219634056,0.8976466557837558,0.021645383909344673,0.09582825750112534
X,38,0.13482020795345306,0.35529425740242004,0.02398330345749855,0.037346065044403076,0.8189266935770381,0.023294484242796898,0.7638446688652039
_,40,0.05605992302298546,0.32585909962654114,1.0954706795018865e-06,0.000528039236087352,0.9990619483962656,0.00999250914901495,0.0
N,43,0.0835169106721878,0.3737713694572449,0.008845972828567028,0.022283315658569336,0.9154477389740351,0.02306491881608963,0.10738416016101837
T,49,0.09284727275371552,0.3434631824493408,0.012000426650047302,0.02571028470993042,0.8672856475498801,0.022116994485259056,0.7195248007774353
N,52,0.0811982974410057,0.3737495243549347,0.008211716078221798,0.019976072013378143,0.9130087420747927,0.018775835633277893,0.12048798054456711
_,71,0.05605985224246979,0.32585328817367554,9.7112115327036e-07,0.0005211200332269073,0.9992035005986691,0.009970169514417648,0.0
S,83,0.06451959162950516,0.39718225598335266,0.0017704983474686742,0.009898214600980282,0.973391529681782,0.015004917047917843,0.03896743804216385
_,86,0.056079089641571045,0.3258489668369293,1.6155125877048704e-06,0.0006044816109351814,0.9985492465024194,0.009953492321074009,0.0
_,103,0.056044820696115494,0.3258649706840515,7.889196922405972e-07,0.000475587003165856,0.9993510920678577,0.010015109553933144,0.0
X,108,0.14211954176425934,0.36122798919677734,0.027364378795027733,0.046376436948776245,0.752900245466811,0.026375291869044304,0.8394365310668945
T,109,0.10625206679105759,0.36807122826576233,0.016735656186938286,0.031116817146539688,0.8767244426190155,0.027603579685091972,0.19634078443050385
S,128,0.09919450432062149,0.39878782629966736,0.011428439058363438,0.022836729884147644,0.8974853898312468,0.027612848207354546,0.054791633039712906
X,134,0.11092732846736908,0.35333845019340515,0.017642345279455185,0.03178299590945244,0.8369512646294781,0.02002878487110138,0.6368938088417053
X,144,0.08177800476551056,0.3731168508529663,0.00852314941585064,0.020744485780596733,0.9154807129657517,0.022125212475657463,0.09959825873374939
N,147,0.08630286157131195,0.37160974740982056,0.010293550789356232,0.021563176065683365,0.9010955884726719,0.02455456741154194,0.09018006175756454
S,157,0.08005150407552719,0.40953248739242554,0.0070968628861010075,0.01862150803208351,0.8727210129530188,0.019077744334936142,0.06274820119142532
