Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.8054205775260925,0.32328757643699646,9.873385715764016e-05,0.009914028458297253,1.0004246570914985,9.960254101315513e-05,0.0
_,7,0.8314650654792786,0.3232915699481964,9.864640014711767e-05,0.009910095483064651,1.0002676119282843,0.00011490222095744684,0.0
N,11,0.8062354922294617,0.3725094199180603,0.009421970695257187,0.03102027252316475,0.9021460301350211,0.014458445832133293,0.10885487496852875
N,34,0.8891339302062988,0.3740489184856415,0.010067662224173546,0.02958005666732788,0.8767913318766417,0.012088772840797901,0.10873213410377502
X,38,0.5004607439041138,0.3509818911552429,0.02238421142101288,0.0392032265663147,0.8218570414304244,0.012938324362039566,0.6671770811080933
_,40,0.8047919273376465,0.3233013153076172,9.94562215055339e-05,0.009918829426169395,0.9988211013625066,0.00015193405852187425,0.0
N,43,0.8430587649345398,0.3710246980190277,0.009176195599138737,0.029190031811594963,0.9130763223662992,0.01353386789560318,0.09675183892250061
T,49,0.45448458194732666,0.3412688672542572,0.014344383962452412,0.031182028353214264,0.8607366295817823,0.011857994832098484,0.7387207746505737
N,52,0.7803508639335632,0.3696098029613495,0.007320861332118511,0.02446553483605385,0.9260149044548295,0.009613266214728355,0.08431341499090195
_,71,0.8020580410957336,0.32329046726226807,9.87041785265319e-05,0.009917780756950378,1.0001581833387416,0.00011055807408411056,0.0
S,83,0.7832544445991516,0.3954068124294281,0.002003832021728158,0.01707197166979313,0.9503327346364192,0.0035905512049794197,0.04606044292449951
_,86,0.8042637705802917,0.3232983350753784,9.96278176899068e-05,0.009947521612048149,0.9986958724136155,0.00014051279867999256,0.0
_,103,0.8235945105552673,0.3232894837856293,9.87272578640841e-05,0.00991731882095337,1.000295933422943,0.00010687893518479541,0.0
X,108,1.9288698434829712,0.35928529500961304,0.032754696905612946,0.04846009239554405,0.7570366682127543,0.009624975733458996,0.9318180680274963
T,109,0.7964893579483032,0.3669152557849884,0.01880362443625927,0.040729787200689316,0.868888600274319,0.018099240958690643,0.2195582240819931
S,128,0.8311554789543152,0.394195020198822,0.012197584845125675,0.024438701570034027,0.9003934758111839,0.0165330208837986,0.027932507917284966
X,134,0.6285581588745117,0.34982579946517944,0.017198268324136734,0.0359877347946167,0.8403303400210825,0.009673490189015865,0.5865758061408997
X,144,0.8051466345787048,0.37009289860725403,0.00847308523952961,0.02662254311144352,0.9213630468972649,0.011670402251183987,0.08852989971637726
N,147,0.7277810573577881,0.36760514974594116,0.007874857634305954,0.024933725595474243,0.9218368945457042,0.011074145324528217,0.07879727333784103
S,157,0.8291063904762268,0.40607479214668274,0.004798698704689741,0.022137003019452095,0.8745839342339957,0.006295755039900541,0.05747319012880325
T,171,0.5508370399475098,0.3412202000617981,0.015035982243716717,0.031244374811649323,0.7983875541108623,0.010923043824732304,0.8407977819442749
T,173,0.775443434715271,0.33713990449905396,0.010136484168469906,0.025368332862854004,0.8841666774308033,0.008240001276135445,0.5397883653640747
T,180,0.5152650475502014,0.3416546583175659,0.014856375753879547,0.027592666447162628,0.8672019031092836,0.0051741753704845905,0.8023939728736877
N,181,0.82474285364151,0.37338536977767944,0.00917664822191,0.02911415882408619,0.9073915117350407,0.00764988549053669,0.14190830290317535
X,186,0.8251982927322388,0.3701815605163574,0.008975195698440075,0.02773841843008995,0.9207970796114144,0.005869674030691385,0.15230007469654083
N,195,0.770823061466217,0.37197473645210266,0.011208578012883663,0.032003987580537796,0.8905402395859073,0.01689007692039013,0.09731844812631607
N,196,0.8393444418907166,0.36774131655693054,0.00784792099148035,0.025515303015708923,0.9316522434691433,0.010254566557705402,0.09232274442911148
S,200,0.7711287140846252,0.40613478422164917,0.006973640061914921,0.023163726553320885,0.8775789149204358,0.008505094796419144,0.054334286600351334
S,216,0.8242841362953186,0.39320647716522217,0.008193484507501125,0.023404216393828392,0.91447618040522,0.009396946988999844,0.055983711034059525
N,217,0.8242406249046326,0.3696814179420471,0.007311535999178886,0.025817930698394775,0.9269877139055946,0.007342688273638487,0.117777518928051
T,219,0.731655478477478,0.37120261788368225,0.016704991459846497,0.04106077924370766,0.8617336024244288,0.01635792665183544,0.22408001124858856
T,226,0.7751409411430359,0.3705459237098694,0.023352397605776787,0.044550612568855286,0.8443953185955131,0.026958873495459557,0.15540368854999542
N,231,0.8244328498840332,0.3707851469516754,0.008354791440069675,0.02719675377011299,0.917142001555767,0.008324953727424145,0.12216714769601822
_,233,0.833194375038147,0.32329216599464417,9.86532904789783e-05,0.00990909244865179,1.0002478423714638,0.00011705613724188879,0.0
T,241,0.5288941860198975,0.3437323570251465,0.016784347593784332,0.03252395614981651,0.8439190505866131,0.010045858100056648,0.7566446661949158
N,242,0.7966705560684204,0.37286901473999023,0.010262959636747837,0.031012237071990967,0.9055926968337251,0.013569872826337814,0.1144167110323906
N,243,0.8064476847648621,0.369194358587265,0.00897472258657217,0.028085315600037575,0.903648210700291,0.013004745356738567,0.09407583624124527
X,264,0.8393911123275757,0.3699597120285034,0.00976196862757206,0.029142703860998154,0.9105064426106402,0.012813170440495014,0.10495385527610779
S,266,0.8207826614379883,0.39577943086624146,0.007294015493243933,0.0227334164083004,0.9058579315888453,0.0076650697737932205,0.05881158262491226
N,268,0.818545937538147,0.36872583627700806,0.008161847479641438,0.02593570202589035,0.9214672045130283,0.011142844334244728,0.08661340177059174
_,274,0.7779790163040161,0.32329967617988586,9.834929369390011e-05,0.009891633875668049,0.999794895661374,0.0001459780614823103,0.0
_,277,0.7765762209892273,0.32330042123794556,9.836887329583988e-05,0.009893426671624184,0.9997185978417595,0.0001488161360612139,0.0
T,289,0.4963383972644806,0.3411736488342285,0.014559940434992313,0.03649575635790825,0.8441645252191908,0.02432037889957428,0.34060296416282654
T,292,0.4651966392993927,0.3401777148246765,0.010664846748113632,0.028406741097569466,0.89806940303252,0.010379111394286156,0.5578987002372742
X,308,0.5429214835166931,0.34896084666252136,0.02012084797024727,0.03584026172757149,0.8412893431402814,0.007484246976673603,0.7293334603309631
X,311,0.5071569681167603,0.34800055623054504,0.019239239394664764,0.03609579801559448,0.8303308697387305,0.01517710741609335,0.5045590996742249
N,312,0.8237516283988953,0.369770348072052,0.008604135364294052,0.027509937062859535,0.9173309068366264,0.01183366496115923,0.09627260267734528
N,314,0.8136288523674011,0.3708726465702057,0.01056601945310831,0.03019500896334648,0.9060938842796411,0.01186472550034523,0.12377841770648956
X,316,0.4650852680206299,0.3506889045238495,0.022916076704859734,0.04171314463019371,0.8121472868288614,0.01532060094177723,0.7547306418418884
T,317,0.5250433087348938,0.3406006395816803,0.013030489906668663,0.028751354664564133,0.8870328687385397,0.009345320984721184,0.6268212795257568
S,322,0.8300879597663879,0.3957084119319916,0.014729492366313934,0.031192248687148094,0.8888968136339364,0.020488804206252098,0.05043388158082962
N,326,0.7398355007171631,0.37094250321388245,0.009294128976762295,0.02946615219116211,0.8973094846696283,0.01081649586558342,0.12767794728279114
X,332,0.8266600966453552,0.36938196420669556,0.011115044355392456,0.03146549314260483,0.9047633949480951,0.012537975795567036,0.1366884857416153
N,344,0.8369222283363342,0.37175267934799194,0.008310400880873203,0.029595833271741867,0.9169199975107526,0.009315833449363708,0.1366337388753891
X,354,0.46040090918540955,0.34841734170913696,0.020008767023682594,0.036893825978040695,0.8202691672859571,0.010991656221449375,0.7715215682983398
X,374,1.3256616592407227,0.34476524591445923,0.015568539500236511,0.029498310759663582,0.9051943726901451,0.005531181115657091,0.5301588773727417
S,376,0.8006874918937683,0.39287909865379333,0.0014583192532882094,0.013673755340278149,0.967486313438664,0.001499781385064125,0.03519531339406967
X,377,0.6788681149482727,0.3530814051628113,0.02539815381169319,0.04113205149769783,0.8310737285357762,0.007048638071864843,0.8423475623130798
S,378,0.837946891784668,0.3942565619945526,0.015271568670868874,0.03294002637267113,0.8831452507141082,0.019936831668019295,0.06346378475427628
S,387,0.8028427362442017,0.3922993540763855,0.0008441087557002902,0.012980122119188309,0.9688965387518208,0.0009631908615119755,0.033476945012807846
T,396,0.8164214491844177,0.36712372303009033,0.016081221401691437,0.03707633912563324,0.8706799723747343,0.014745229855179787,0.20090748369693756
S,398,0.8347933888435364,0.39412999153137207,0.014196707867085934,0.030325470492243767,0.8890597312647754,0.020172635093331337,0.04572274908423424
N,399,0.8011118173599243,0.37157076597213745,0.007693824358284473,0.02621132880449295,0.9229121659862964,0.009332004003226757,0.10222762823104858
_,403,0.8343765735626221,0.3232901990413666,9.877046977635473e-05,0.009915569797158241,1.0002768302087983,0.00010949635179713368,0.0
X,407,0.572733998298645,0.3498827815055847,0.02259829267859459,0.03757920116186142,0.8474094311836234,0.006086757872253656,0.864814817905426
N,409,0.7011264562606812,0.3715014159679413,0.009318935684859753,0.028558731079101562,0.8958490979837855,0.014469997957348824,0.08655856549739838
