Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.772463321685791,0.3232732117176056,9.923587640514597e-05,0.009955943562090397,1.0008675255378088,0.009955943562090397,0.0
_,7,0.8306335806846619,0.32327982783317566,9.89200416370295e-05,0.00993556808680296,1.0007595687607924,0.00993556808680296,0.0
N,11,0.7850462794303894,0.3727564811706543,0.010704919695854187,0.032262660562992096,0.8995861828699708,0.025318356230854988,0.09093383699655533
N,34,0.8554500341415405,0.3727244734764099,0.00808069296181202,0.02631913498044014,0.9012663634938266,0.01820075884461403,0.09158722311258316
X,38,0.43989136815071106,0.35288697481155396,0.024061134085059166,0.04053199663758278,0.8209114805907545,0.01655803807079792,0.7837246656417847
_,40,0.7759655117988586,0.3233066499233246,9.980604227166623e-05,0.009919260628521442,0.9986801174655557,0.009919260628521442,0.0
N,43,0.8272901773452759,0.3710501790046692,0.008027218282222748,0.029253235086798668,0.9200416373139403,0.021703338250517845,0.09403769671916962
T,49,0.3899012804031372,0.3427985608577728,0.01446482352912426,0.035208262503147125,0.8400726744720002,0.022475991398096085,0.724946141242981
N,52,0.7204928994178772,0.37110626697540283,0.0096511235460639,0.02835175208747387,0.9110853647663801,0.0220126211643219,0.08226573467254639
_,71,0.7655708193778992,0.3232901394367218,9.87684034043923e-05,0.009916849434375763,1.000190722917517,0.009916849434375763,0.0
S,83,0.7657954692840576,0.3942144215106964,0.0016367110656574368,0.015231977216899395,0.9733007359256348,0.012620137073099613,0.027030283585190773
_,86,0.7832658290863037,0.3232981264591217,9.841924475040287e-05,0.009898052550852299,0.9999396748964986,0.009898052550852299,0.0
_,103,0.8112080097198486,0.3232806622982025,9.937452705344185e-05,0.009951655752956867,1.0003027225409946,0.009951654821634293,0.0
X,108,0.6298714280128479,0.36060431599617004,0.03303944319486618,0.05150391533970833,0.7558642760295656,0.019283834844827652,0.9184488654136658
T,109,0.7552801966667175,0.36414599418640137,0.015319623053073883,0.036791324615478516,0.8847544822407266,0.02841382659971714,0.1362207978963852
S,128,0.8138201832771301,0.3953748047351837,0.013942890800535679,0.027508504688739777,0.8913180941676833,0.02702154405415058,0.029851336032152176
X,134,0.5732362270355225,0.35199329257011414,0.019336579367518425,0.03953145444393158,0.8209877488245184,0.018031544983386993,0.6590225696563721
X,144,0.7830648422241211,0.3711155354976654,0.009474857710301876,0.029193071648478508,0.9119475755475772,0.022262072190642357,0.08866684138774872
N,147,0.6682688593864441,0.3679923713207245,0.007909520529210567,0.025688109919428825,0.9260728727118113,0.01994631253182888,0.07736428827047348
