Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.27473828196525574,0.3245012164115906,5.186759517528117e-05,0.005727472249418497,0.9890388601521651,0.0047688852064311504,0.0
_,7,0.2756078541278839,0.32460343837738037,4.7270194045268e-05,0.005357316695153713,0.9889771022026738,0.005162366665899754,0.0
N,11,0.5397999286651611,0.36637112498283386,0.002136548515409231,0.01239925716072321,0.9670712333894336,0.005670115817338228,0.045970674604177475
N,34,0.559080183506012,0.3666107654571533,0.0009109824313782156,0.00976587925106287,0.9746066922321917,0.004898972809314728,0.021958082914352417
X,38,0.20364440977573395,0.3505784273147583,0.01694994606077671,0.0350467786192894,0.831796709860161,0.018730545416474342,0.5872036814689636
_,40,0.27676770091056824,0.3245109021663666,5.2125338697806e-05,0.005739510525017977,0.9887666132176917,0.004805941600352526,0.0
N,43,0.5767332315444946,0.3651963174343109,0.0018305550329387188,0.01199280098080635,0.9680377254293612,0.0063002025708556175,0.03222069516777992
T,49,0.22378972172737122,0.33911657333374023,0.008390641771256924,0.024266710504889488,0.8848612303321716,0.01638893410563469,0.4482591152191162
N,52,0.539298415184021,0.3644021451473236,0.0009547744411975145,0.009195915423333645,0.9800533522168796,0.004411059431731701,0.021106809377670288
_,71,0.27796393632888794,0.32450369000434875,5.2516177674988285e-05,0.005735577084124088,0.9889429745823145,0.004778142552822828,0.0
S,83,0.5392031073570251,0.3913012146949768,7.476254540961236e-05,0.007149999961256981,0.9483824885636569,0.003901280229911208,0.0018681046785786748
_,86,0.3303338587284088,0.32422521710395813,6.0327340179355815e-05,0.006375773344188929,0.994324592674772,0.003707792842760682,0.0
_,103,0.2742821276187897,0.32458510994911194,5.185324334888719e-05,0.0055606490932404995,0.986259510566791,0.0050903502851724625,0.0
X,108,0.32674744725227356,0.3561442196369171,0.021234780550003052,0.04449101909995079,0.7941190355619863,0.02365470677614212,0.6342114210128784
T,109,0.5333954095840454,0.3567540943622589,0.003346612909808755,0.014747573994100094,0.9558701865246986,0.008236030116677284,0.06251929700374603
S,128,0.9998181462287903,0.39228999614715576,0.01192090567201376,0.01921859011054039,0.8912687076358805,0.018673125654459,0.00033909184276126325
X,134,0.34458988904953003,0.3464421033859253,0.009720026515424252,0.025777416303753853,0.8920185184432194,0.011583711951971054,0.4065263569355011
X,144,0.5574312210083008,0.3643462061882019,0.0009800154948607087,0.009881359525024891,0.9822822301338117,0.005023343022912741,0.023329753428697586
N,147,0.5574661493301392,0.36363130807876587,0.004463788587599993,0.013024893589317799,0.9535432555464407,0.009841075167059898,0.011955522932112217
S,157,0.5820924639701843,0.40041038393974304,0.002012531040236354,0.009903241880238056,0.9038166209276975,0.0072680083103477955,0.0021785597782582045
T,171,0.288173645734787,0.3393377661705017,0.009493126533925533,0.02494286745786667,0.840463554981543,0.015579922124743462,0.5549103617668152
T,173,0.48829469084739685,0.3359518051147461,0.007364316377788782,0.017352892085909843,0.9273705720122356,0.006610244978219271,0.4829867482185364
T,180,0.30245473980903625,0.34007346630096436,0.00918634794652462,0.0231325663626194,0.8733515740830141,0.011716711334884167,0.5427328944206238
N,181,0.5543489456176758,0.3666704297065735,0.0014093279605731368,0.011822443455457687,0.9736443456138174,0.004768851678818464,0.04489303007721901
X,186,0.5507444143295288,0.3623843193054199,0.0004535882326308638,0.00912424735724926,0.9862022146210075,0.00457068020477891,0.020684005692601204
N,195,0.5282425284385681,0.36566469073295593,0.0019208489684388041,0.01241065189242363,0.9600057401762266,0.006735050119459629,0.04068296030163765
N,196,0.5661088228225708,0.3620148003101349,0.0004270288918633014,0.009156757034361362,0.9845999430740874,0.004857230000197887,0.018272120505571365
S,200,0.7084384560585022,0.4021056592464447,0.005674141459167004,0.014072449877858162,0.8896296861827038,0.010085302405059338,0.012163210660219193
S,216,0.8365108370780945,0.3900100290775299,0.00900043360888958,0.016292519867420197,0.8975748244232928,0.014449715614318848,0.0033748226705938578
N,217,0.5738035440444946,0.3633401095867157,0.0012031308142468333,0.00959138385951519,0.9783320843676727,0.005179204046726227,0.016350677236914635
T,219,0.5035445690155029,0.36017441749572754,0.0023748266976326704,0.013925295323133469,0.9640709313408783,0.007555599790066481,0.05572183430194855
T,226,0.5939873456954956,0.3611692786216736,0.0064781480468809605,0.018227817490696907,0.9317495115206111,0.011132077313959599,0.06754923611879349
N,231,0.5775101780891418,0.3636718690395355,0.0007043470395728946,0.008768209256231785,0.9762890258063757,0.004148486070334911,0.019396787509322166
_,233,0.27478551864624023,0.32459431886672974,4.585089845932089e-05,0.0052697560749948025,0.9900845579430462,0.005128003656864166,0.0
T,241,0.5339943766593933,0.3445873558521271,0.01644337736070156,0.029694048687815666,0.8387457154127334,0.013580035418272018,0.7557947635650635
N,242,0.5323221683502197,0.36630433797836304,0.0017699984600767493,0.012352479621767998,0.9709959208406509,0.006243867799639702,0.03989563137292862
N,243,0.5503811240196228,0.36384639143943787,0.0018340885872021317,0.012238875031471252,0.9671030841146907,0.007169024087488651,0.02999275177717209
X,264,0.5677298903465271,0.36289748549461365,0.0007521469378843904,0.009434479288756847,0.9841652962565423,0.004694066941738129,0.021753860637545586
S,266,0.8497188687324524,0.3918169140815735,0.007047381717711687,0.014223550446331501,0.8990101107933063,0.01206089649349451,0.0026038505602627993
N,268,0.5590711236000061,0.3631490468978882,0.0008699481841176748,0.009684289805591106,0.9786858294159174,0.005215307231992483,0.019376929849386215
_,274,0.2812071740627289,0.3243856728076935,5.529603731702082e-05,0.006039866711944342,0.991074414116641,0.004324663430452347,0.0
_,277,0.2824817895889282,0.3244001865386963,5.6182918342528865e-05,0.006070335861295462,0.9896505807712674,0.00437998166307807,0.0
T,289,0.3227125108242035,0.339822381734848,0.010852446779608727,0.02486119605600834,0.8800265465643559,0.013876809738576412,0.5224065780639648
T,292,0.3012496531009674,0.340485543012619,0.00993167981505394,0.025013746693730354,0.9065634816804838,0.01364961452782154,0.5139244198799133
X,308,0.3156270384788513,0.3493052124977112,0.016649361699819565,0.03430776298046112,0.8602624345724569,0.014464830979704857,0.659888505935669
X,311,0.20439454913139343,0.3441394567489624,0.009618495590984821,0.02535531483590603,0.9042649442255061,0.015472987666726112,0.3155827224254608
N,312,0.5536254048347473,0.3628956079483032,0.0003117966407444328,0.008567438460886478,0.9853349210694433,0.004554986488074064,0.01246657408773899
N,314,0.5596533417701721,0.36314356327056885,0.0016876205336302519,0.009994995780289173,0.9728695185044005,0.005683104507625103,0.018402907997369766
X,316,0.19677789509296417,0.34891876578330994,0.01568041555583477,0.03647221252322197,0.8390586604334143,0.021548839285969734,0.5754178762435913
T,317,0.33894649147987366,0.33830657601356506,0.009186312556266785,0.02190181240439415,0.8984134287546234,0.014687866903841496,0.30085480213165283
S,322,0.8955116271972656,0.39115890860557556,0.01255673449486494,0.019781533628702164,0.8960017919622933,0.018861858174204826,0.002781735733151436
N,326,0.5357120037078857,0.3633635938167572,0.001511033857241273,0.010377798229455948,0.9733750069389742,0.006733020301908255,0.01366386003792286
X,332,0.5483205318450928,0.36164307594299316,0.0009299377561546862,0.010821846313774586,0.9848018887639046,0.005446880590170622,0.032847024500370026
N,344,0.5611184239387512,0.3654014468193054,0.0018886973848566413,0.012713843025267124,0.9662489033987125,0.006155181676149368,0.04135750234127045
X,354,0.17155897617340088,0.3491702973842621,0.016986414790153503,0.03815728425979614,0.8398676188231852,0.022749921306967735,0.6319664716720581
X,374,0.45314911007881165,0.34069183468818665,0.007171069737523794,0.01851661689579487,0.9380979568604381,0.009148361161351204,0.2508907616138458
S,376,0.5931931734085083,0.39070969820022583,0.0008428961155004799,0.008131667971611023,0.9424463350015383,0.0039886292070150375,0.0052794464863836765
X,377,0.46902263164520264,0.3493852913379669,0.014497525058686733,0.034154701977968216,0.8518041908876816,0.01631820574402809,0.5422961711883545
S,378,0.9784506559371948,0.38985058665275574,0.015141083858907223,0.022543612867593765,0.8865524348875733,0.022312995046377182,0.0020244745537638664
S,387,0.5571628212928772,0.3900296092033386,8.65938127390109e-05,0.007230733521282673,0.9504485550150276,0.0037831736262887716,0.0016958739142864943
T,396,0.5793754458427429,0.3569866120815277,0.001826264662668109,0.011773813515901566,0.9724047696714601,0.005816229153424501,0.043711453676223755
S,398,0.9851548671722412,0.39100050926208496,0.014991678297519684,0.022181972861289978,0.8855369476447198,0.02221842296421528,0.0007280318532139063
N,399,0.5397816896438599,0.3654366135597229,0.0007200755644589663,0.00964251346886158,0.9795913940559452,0.004946657456457615,0.020975148305296898
_,403,0.27546510100364685,0.3245965242385864,4.576789797283709e-05,0.005257642827928066,0.9900602947920562,0.005136440508067608,0.0
X,407,0.2650596797466278,0.34503644704818726,0.011589196510612965,0.027950968593358994,0.8799083375399399,0.015078852884471416,0.44811129570007324
N,409,0.511342465877533,0.3644821345806122,0.0005030137836001813,0.008835362270474434,0.9813281909376383,0.005263603758066893,0.012354837730526924
X,416,0.548497200012207,0.36324557662010193,0.0011151953367516398,0.011185782961547375,0.982029974696537,0.006981220096349716,0.022055847570300102
X,428,0.5751425623893738,0.3636684715747833,0.0009057189454324543,0.009002258069813251,0.9831034087638061,0.004246649798005819,0.018434278666973114
X,438,0.436580628156662,0.3416849672794342,0.005444651935249567,0.019693324342370033,0.9509958129934967,0.010230164043605328,0.2510402798652649
_,447,0.27482107281684875,0.32460474967956543,4.612894917954691e-05,0.005290416069328785,0.9896056509763003,0.005167854484170675,0.0
_,454,0.3303338587284088,0.32422521710395813,6.0327340179355815e-05,0.006375773344188929,0.994324592674772,0.003707792842760682,0.0
T,457,0.29436808824539185,0.33779382705688477,0.0071964203380048275,0.020743586122989655,0.8927447872668443,0.011766171082854271,0.45967739820480347
_,465,0.2772745192050934,0.3245786130428314,5.535228774533607e-05,0.005712729878723621,0.985181516998758,0.005064158234745264,0.0
_,468,0.3308594226837158,0.32422980666160583,6.022674642736092e-05,0.006370836403220892,0.9941715581715107,0.003725378541275859,0.0
T,469,0.2757505178451538,0.34434446692466736,0.017314843833446503,0.030948515981435776,0.7966988391759666,0.014946307986974716,0.933180034160614
S,471,0.7471014857292175,0.39332008361816406,0.006835015024989843,0.014024871401488781,0.9005996894351298,0.012329324148595333,0.0019015779253095388
_,475,0.27539485692977905,0.3246361315250397,5.132069782121107e-05,0.005472645163536072,0.9854314504687985,0.005286137107759714,0.0
X,479,0.32578086853027344,0.3438399136066437,0.010333219543099403,0.024796409532427788,0.9052427556147329,0.012791304849088192,0.3652488887310028
S,480,0.539680004119873,0.392159104347229,0.000999725772999227,0.008956467732787132,0.9417989723818998,0.004222503863275051,0.010323470458388329
S,482,0.5589556097984314,0.39165112376213074,0.0005744515801779926,0.008348590694367886,0.9440376268016796,0.003992066718637943,0.007497524376958609
S,494,0.781670868396759,0.40368807315826416,0.01049469318240881,0.018484970554709435,0.8662539422232666,0.018230151385068893,0.002746850484982133
X,512,0.5849906802177429,0.36425846815109253,0.0011166715994477272,0.009012659080326557,0.9747719600610436,0.005708654411137104,0.003406145377084613
S,516,0.5730350613594055,0.38711535930633545,0.0005204715998843312,0.007715845480561256,0.9489456792672476,0.00427978066727519,0.0018292060121893883
_,517,0.27373889088630676,0.32461288571357727,4.648131289286539e-05,0.005293297581374645,0.989098371975124,0.005198903381824493,0.0
X,521,0.2201693207025528,0.34713777899742126,0.013614676892757416,0.03249354287981987,0.873491336233492,0.016722943633794785,0.5616276264190674
X,536,0.5716873407363892,0.36463308334350586,0.002621650928631425,0.010999791324138641,0.9719348499551416,0.004114932380616665,0.040149033069610596
N,550,0.5325072407722473,0.36603230237960815,0.002576931845396757,0.012874074280261993,0.9632385602050151,0.0066646672785282135,0.04039778560400009
S,564,1.221459150314331,0.38896381855010986,0.01256611943244934,0.01968730054795742,0.8952771005591627,0.018911823630332947,0.0009598624892532825
X,574,0.5407142639160156,0.36613160371780396,0.0016819461015984416,0.012279236689209938,0.9763170855616531,0.006138642318546772,0.03888966888189316
T,581,0.35005778074264526,0.33743494749069214,0.0077424743212759495,0.022451812401413918,0.9080273574373678,0.013471423648297787,0.477293998003006
T,588,0.4952557384967804,0.3346654772758484,0.004530793055891991,0.016157370060682297,0.9377159837291887,0.008940465748310089,0.28392505645751953
_,593,0.2747114598751068,0.32453542947769165,4.908126356895082e-05,0.00550441537052393,0.9897575674578548,0.004900969099253416,0.0
S,608,0.7124245166778564,0.38949650526046753,0.006291884928941727,0.01344309002161026,0.9036707261614284,0.011713717132806778,0.0006280053057707846
_,618,0.2769334316253662,0.3245677947998047,5.46940354979597e-05,0.005724014714360237,0.9856471177066366,0.005022997036576271,0.0
N,623,0.5093087553977966,0.36648163199424744,0.0010306090116500854,0.011333383619785309,0.9711237428430468,0.006429524626582861,0.030463779345154762
X,624,0.5452272891998291,0.36297523975372314,0.0009774027857929468,0.010719399899244308,0.9825671840831638,0.005898261442780495,0.028360167518258095
_,628,0.27418583631515503,0.32459965348243713,4.8737154429545626e-05,0.005462282802909613,0.9870596360166868,0.005147350952029228,0.0
T,630,0.2493688315153122,0.33832621574401855,0.00956131424754858,0.02142930030822754,0.8948474609202549,0.012410878203809261,0.4436531960964203
N,640,0.5479782819747925,0.365665078163147,0.001764517044648528,0.01082567684352398,0.9715481743961574,0.005879146046936512,0.024814153090119362
N,655,0.5550175905227661,0.3645142614841461,0.001541954348795116,0.009895059280097485,0.969755185970183,0.0055475980043411255,0.015424343757331371
T,657,0.4032451808452606,0.33890894055366516,0.010657526552677155,0.025032559409737587,0.8936715535117159,0.015428035520017147,0.46515119075775146
N,674,0.569835901260376,0.363180935382843,0.003119697328656912,0.01265198178589344,0.9505414230298872,0.008446769788861275,0.01881660707294941
N,676,0.5337184071540833,0.36298349499702454,0.000574829988181591,0.009009012952446938,0.9812296769022942,0.005014863330870867,0.014590699225664139
T,677,0.3685888648033142,0.341052383184433,0.009902171790599823,0.02351650409400463,0.8904290343116736,0.010504746809601784,0.5679281949996948
N,682,0.5481013059616089,0.365561842918396,0.0007601281395182014,0.010675915516912937,0.9785736533875268,0.005145839881151915,0.0298809465020895
S,686,0.9164023995399475,0.38969215750694275,0.013238501735031605,0.021080249920487404,0.8905735306913107,0.01908988691866398,0.010456406511366367
X,702,0.5491065382957458,0.3616570830345154,0.0009188034455291927,0.010675427503883839,0.9850037253648043,0.005396090913563967,0.03171928972005844
_,708,0.27355608344078064,0.324575811624527,4.644513683160767e-05,0.005344301462173462,0.9901695912828049,0.005056814756244421,0.0
_,709,0.27487173676490784,0.3246203660964966,4.817472290596925e-05,0.005412608850747347,0.987007040369014,0.0052269222214818,0.0
N,710,0.5405412912368774,0.3668178915977478,0.0022590272128582,0.013298985548317432,0.9674883224380514,0.0053634545765817165,0.057176344096660614
N,724,0.5471121072769165,0.36529573798179626,0.002215057611465454,0.01238695252686739,0.9678664361623427,0.00713322451338172,0.03424865007400513
_,729,0.2769339978694916,0.3245319128036499,5.242691986495629e-05,0.005682597868144512,0.9879825984438261,0.004886279348284006,0.0
T,733,0.506614089012146,0.3664056658744812,0.008108803071081638,0.022523919120430946,0.9162907636439681,0.007957389578223228,0.14360231161117554
N,747,0.5447893738746643,0.36560195684432983,0.0012413837248459458,0.011325118131935596,0.9708809607724349,0.006144513376057148,0.029669830575585365
N,748,0.5926157832145691,0.36404749751091003,0.0026093777269124985,0.010842443443834782,0.9678312167028587,0.004467414226382971,0.03503396734595299
X,754,0.15423239767551422,0.3456808030605316,0.01181371696293354,0.026766497641801834,0.9077332013160534,0.011767038144171238,0.5509823560714722
T,762,0.31934764981269836,0.3392822742462158,0.008599832653999329,0.02190258726477623,0.8982562428762322,0.009402201510965824,0.5691174268722534
X,772,0.20816698670387268,0.34485843777656555,0.01119279209524393,0.028411904349923134,0.8777658013083662,0.01676827110350132,0.4430851638317108
N,774,0.5190044045448303,0.364933043718338,0.0011414288310334086,0.009505861438810825,0.9726491662642609,0.005822328384965658,0.014127006754279137
S,779,0.6132788062095642,0.38629838824272156,0.00784299522638321,0.01673744060099125,0.9134264184895438,0.015128961764276028,0.002786206780001521
_,780,0.27610906958580017,0.32462015748023987,4.721926597994752e-05,0.005323309451341629,0.988450967296958,0.005226628854870796,0.0
T,793,0.49765869975090027,0.34448549151420593,0.012587026692926884,0.0243588425219059,0.8864631390091382,0.008062397129833698,0.5544546842575073
T,800,0.5140047669410706,0.3592555820941925,0.004035669844597578,0.01631849631667137,0.9472281351743732,0.00956398993730545,0.057357702404260635
T,802,0.2733635902404785,0.34215840697288513,0.01589839719235897,0.030724668875336647,0.876874381040628,0.020059926435351372,0.6022783517837524
S,810,0.7050864100456238,0.3895319104194641,0.006193607579916716,0.013301439583301544,0.9024430869062622,0.011492821387946606,0.0008341199136339128
X,833,0.5735535621643066,0.36171117424964905,0.000789162062574178,0.009129609912633896,0.9830971262852352,0.005004927981644869,0.013722699135541916
T,842,0.25153565406799316,0.3420635163784027,0.012097848579287529,0.02569541707634926,0.8720488754479448,0.011767720803618431,0.7686482071876526
X,843,0.5630914568901062,0.3625772297382355,0.00038192086503840983,0.008813150227069855,0.9871007387464246,0.004380389582365751,0.01455728616565466
S,844,0.6793054342269897,0.4022447466850281,0.006197462324053049,0.013820764608681202,0.8847619783986667,0.011398926377296448,0.0041473545134067535
S,847,0.9017580151557922,0.39196518063545227,0.011546204797923565,0.018833668902516365,0.8949096988833822,0.017820114269852638,0.0027622850611805916
T,853,0.5609557032585144,0.35413166880607605,0.0018063716124743223,0.01103761326521635,0.9735528187143306,0.005365551449358463,0.03983664512634277
X,857,0.34569841623306274,0.3439413905143738,0.012296454980969429,0.02682950347661972,0.9014565485288465,0.013092799112200737,0.5003383159637451
_,861,0.33046048879623413,0.32422494888305664,6.0093007050454617e-05,0.006370128598064184,0.9943994300191602,0.003706917865201831,0.0
_,873,0.27559489011764526,0.3246328830718994,4.899208215647377e-05,0.005373885855078697,0.9869116024797162,0.005274638067930937,0.0
_,874,0.2735148072242737,0.3246036767959595,4.897821054328233e-05,0.005483204964548349,0.9871231412390868,0.005162771325558424,0.0
S,879,0.7453709840774536,0.40284112095832825,0.005728815216571093,0.01327600423246622,0.8894599636307665,0.01152699813246727,0.002731490880250931
_,883,0.2745877802371979,0.3245964050292969,4.643615466193296e-05,0.005292090587317944,0.9894563357407848,0.0051358421333134174,0.0
S,884,2.5663557052612305,0.41556617617607117,0.02693472057580948,0.03516047075390816,0.8177583727967241,0.012007771991193295,0.10976959764957428
X,890,0.56374591588974,0.3643149435520172,0.00037594561581499875,0.00856142956763506,0.9824144526508948,0.004835988394916058,0.009852331131696701
S,898,0.555141031742096,0.38989126682281494,8.034858183236793e-05,0.007154117804020643,0.9491970531021556,0.003779979422688484,0.0018920722650364041
X,911,0.3300899863243103,0.34555384516716003,0.011846764013171196,0.02944103069603443,0.8752575093108287,0.016527723520994186,0.4315040707588196
_,918,0.27481094002723694,0.3244853913784027,5.2266033890191466e-05,0.005753595381975174,0.9894298838699858,0.004708046093583107,0.0
N,926,0.5708868503570557,0.3644663095474243,0.0005752846482209861,0.009360486641526222,0.979060637143751,0.004603681154549122,0.020830610767006874
X,927,0.5623033046722412,0.36364343762397766,0.0010820869356393814,0.011104023084044456,0.9788572209142149,0.006124278996139765,0.024577315896749496
N,928,0.5250067710876465,0.3645825684070587,0.0008263039635494351,0.009577522054314613,0.9725504138929926,0.004664456006139517,0.023703167214989662
T,938,0.6418190598487854,0.36230936646461487,0.004815098363906145,0.01590477116405964,0.950477500523751,0.006327915005385876,0.07958735525608063
S,940,0.5771961212158203,0.3901844024658203,0.0008441795944236219,0.007913436740636826,0.939370196741414,0.0044874157756567,0.001639636466279626
T,943,0.3411238193511963,0.3397941589355469,0.009769205935299397,0.02186726965010166,0.9114176434313899,0.009454501792788506,0.5389711856842041
N,953,0.5571768879890442,0.36397793889045715,0.0010942119406536222,0.010746429674327374,0.9773414423689247,0.005344557110220194,0.029997369274497032
