Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.056257542222738266,0.325844407081604,5.146333478478482e-06,0.0014619745779782534,0.9971155267084639,0.00993459951132536,0.0
_,7,0.056155722588300705,0.32581034302711487,2.8630024644371588e-06,0.0011366565013304353,0.9982683909187715,0.009805087931454182,0.0
N,11,0.06905148923397064,0.36945638060569763,0.0028603794053196907,0.013772763311862946,0.9429338331551602,0.01579817570745945,0.05844087526202202
N,34,0.06636107712984085,0.36964696645736694,0.0014095815131440759,0.010635807178914547,0.9565859948424623,0.012615867890417576,0.04377390816807747
X,38,0.10944436490535736,0.35326436161994934,0.018467411398887634,0.0360657274723053,0.8413000347924512,0.024999329820275307,0.6468088626861572
_,40,0.05622779205441475,0.32583969831466675,4.3853219722223e-06,0.0013857929734513164,0.9975275077298285,0.009916899725794792,0.0
N,43,0.06757305562496185,0.3679417371749878,0.0023276167921721935,0.012016916647553444,0.9586475942563266,0.01485373917967081,0.04572369530797005
T,49,0.08557617664337158,0.34137654304504395,0.009271635673940182,0.023559287190437317,0.8932196279163206,0.021619156002998352,0.5384122729301453
N,52,0.06347247958183289,0.3664652705192566,0.0009945656638592482,0.00805235467851162,0.9701645822015902,0.011258278042078018,0.03002753108739853
_,71,0.05618961527943611,0.32580941915512085,3.4688630421442213e-06,0.001268998021259904,0.997889021721979,0.009801129810512066,0.0
S,83,0.05875035747885704,0.3935917615890503,6.540449248859659e-05,0.004575683269649744,0.9755481804783146,0.010781831108033657,0.01106912549585104
_,86,0.056167297065258026,0.3258262574672699,3.0387357128347503e-06,0.001200914615765214,0.9981366816535593,0.009865918196737766,0.0
_,103,0.056179411709308624,0.32580918073654175,3.2903333249123534e-06,0.0012313952902331948,0.9979777014255524,0.009800364263355732,0.0
X,108,0.11756671220064163,0.35844138264656067,0.020714623853564262,0.04760017246007919,0.7843847295075345,0.03522326052188873,0.604425847530365
T,109,0.072626493871212,0.359798789024353,0.003933134023100138,0.016723336651921272,0.9299926634257039,0.017675112932920456,0.08117195963859558
S,128,0.0605955645442009,0.3908954858779907,0.0004249665653333068,0.0062867081724107265,0.9812595194453995,0.011838057078421116,0.016378285363316536
X,134,0.09093776345252991,0.3504233956336975,0.011209582909941673,0.02968902885913849,0.8597929358466839,0.02082662098109722,0.4951905310153961
X,144,0.06726012378931046,0.3674355745315552,0.0018276093760505319,0.011392662301659584,0.9669874429206055,0.012267065234482288,0.04860943183302879
N,147,0.0716431513428688,0.3656748831272125,0.003680437570437789,0.012179713696241379,0.9413557948110005,0.01579345017671585,0.026840651407837868
S,157,0.06115579232573509,0.4025288224220276,0.0009188923286274076,0.006428804714232683,0.9734839739402136,0.012312035076320171,0.014078094623982906
T,171,0.08903311938047409,0.3426763117313385,0.009854628704488277,0.028535189107060432,0.8162280655029464,0.02574094757437706,0.6360219120979309
T,173,0.08183804899454117,0.3385624289512634,0.0073494152165949345,0.01816747710108757,0.8918808010494105,0.01537236012518406,0.5275946855545044
T,180,0.09283524751663208,0.3447006344795227,0.011989136226475239,0.026957839727401733,0.8620877697916391,0.020982319489121437,0.735896110534668
N,181,0.06666933000087738,0.36942118406295776,0.0020063361153006554,0.012025490403175354,0.9606228273175658,0.013355613686144352,0.05787098407745361
X,186,0.06421948969364166,0.364923357963562,0.0008853704784996808,0.008958031423389912,0.9722992835255961,0.011915051378309727,0.036195334047079086
N,195,0.06569309532642365,0.3675847351551056,0.0013995040208101273,0.011432241648435593,0.956107713066352,0.01387703325599432,0.046799011528491974
N,196,0.06346043199300766,0.36456936597824097,0.0010321523295715451,0.008845249190926552,0.9755908000345032,0.013005887158215046,0.030019933357834816
S,200,0.06407622992992401,0.4037379026412964,0.0015736593632027507,0.009089304134249687,0.9672771259335181,0.011140509508550167,0.03084683045744896
S,216,0.06246104836463928,0.3900645673274994,0.0009868976194411516,0.007601183373481035,0.977346906947593,0.012149949558079243,0.020779872313141823
N,217,0.06512883305549622,0.365741103887558,0.0012496738927438855,0.00913664698600769,0.9662407659180463,0.011699637398123741,0.033533159643411636
T,219,0.07317253947257996,0.36390620470046997,0.003968316596001387,0.01799926720559597,0.923545227314656,0.018984591588377953,0.07527191191911697
T,226,0.0817636251449585,0.3648582994937897,0.006625532638281584,0.022002557292580605,0.8859319781830225,0.021014291793107986,0.09882625192403793
N,231,0.06281054019927979,0.36611852049827576,0.0008356082835234702,0.008015105500817299,0.9732338723416131,0.011484782211482525,0.03340315446257591
_,233,0.05614851787686348,0.3258349299430847,2.7955770747212227e-06,0.001152140088379383,0.9982719539602598,0.009899220429360867,0.0
T,241,0.1012374609708786,0.3463999629020691,0.014739517122507095,0.02848908118903637,0.8530984679942655,0.020148957148194313,0.7857152223587036
N,242,0.0688428282737732,0.36955526471138,0.0027297688648104668,0.013795064762234688,0.9534537391240399,0.01595691218972206,0.05675269290804863
N,243,0.06781398504972458,0.36657366156578064,0.0024852058850228786,0.012080922722816467,0.951474156320716,0.014701821841299534,0.0478307269513607
X,264,0.0658588707447052,0.3659150302410126,0.0012999441241845489,0.010492673143744469,0.9703123343735934,0.013665975071489811,0.03889525681734085
S,266,0.06281010806560516,0.39322972297668457,0.0010280899005010724,0.00820189155638218,0.9698649244569243,0.012159891426563263,0.02635754831135273
N,268,0.06451055407524109,0.3655646741390228,0.0011401423253118992,0.009023742750287056,0.9670836564650139,0.012472691014409065,0.03304196149110794
_,274,0.05621592327952385,0.325818806886673,4.038547558593564e-06,0.0013695602538064122,0.9976793430993955,0.009836914017796516,0.0
_,277,0.056233204901218414,0.32581087946891785,4.300062300899299e-06,0.0013900185003876686,0.9974413869033257,0.009806503541767597,0.0
T,289,0.08748217672109604,0.3418264389038086,0.010212522931396961,0.02459902875125408,0.871482636180978,0.020318714901804924,0.5682464838027954
T,292,0.08317486941814423,0.3417203426361084,0.008512897416949272,0.022312713786959648,0.9046857667047487,0.019397646188735962,0.5063316822052002
X,308,0.10359995812177658,0.3507818579673767,0.015876956284046173,0.033778633922338486,0.8563967813776496,0.023607684299349785,0.6095185279846191
X,311,0.09362376481294632,0.3478734791278839,0.012623935006558895,0.028935493901371956,0.8772759793748265,0.02460448443889618,0.3882717192173004
N,312,0.06320913881063461,0.36524105072021484,0.0005195318954065442,0.007717587519437075,0.96424307635054,0.012195446528494358,0.023017913103103638
N,314,0.0637754425406456,0.36567968130111694,0.0010208693565800786,0.009576721116900444,0.961438498577724,0.013120315037667751,0.035796619951725006
X,316,0.1024908572435379,0.3507336378097534,0.015933021903038025,0.03475316986441612,0.8525184425775904,0.025968333706259727,0.6225519180297852
T,317,0.08327579498291016,0.3403671681880951,0.008517875336110592,0.01990014873445034,0.9013665343634785,0.018951203674077988,0.4063367247581482
S,322,0.06125399470329285,0.3896633982658386,0.0005167757044546306,0.007110907230526209,0.9819998673597973,0.011928584426641464,0.019044026732444763
N,326,0.06574907153844833,0.3651250898838043,0.0012910331133753061,0.009157826192677021,0.9640201309820017,0.012197231873869896,0.023761823773384094
X,332,0.06651430577039719,0.3645268976688385,0.0017566382884979248,0.011763078160583973,0.9656569582720598,0.01373102143406868,0.05062410235404968
N,344,0.06665558367967606,0.3674995005130768,0.0021148836240172386,0.011717606335878372,0.9612255024227004,0.014470703899860382,0.044002000242471695
X,354,0.1032843217253685,0.3502734899520874,0.015837565064430237,0.03468877077102661,0.848006048432338,0.02670399472117424,0.6485530138015747
X,374,0.07922755181789398,0.3435327410697937,0.007729202974587679,0.01959965191781521,0.9143680138218527,0.01886300928890705,0.273837685585022
S,376,0.05912084877490997,0.39278942346572876,0.00019629330199677497,0.004907187540084124,0.9759467137046159,0.010577823966741562,0.013737471774220467
X,377,0.10392109304666519,0.35249364376068115,0.016511933878064156,0.033682405948638916,0.8470834894354146,0.02048633247613907,0.6563342809677124
