Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.2142001837491989,0.3382759094238281,0.005754860583692789,0.045392848551273346,0.8354219321877463,0.055312905460596085,0.0
_,7,0.21556712687015533,0.33867284655570984,0.006012122146785259,0.04680329188704491,0.8344018833643835,0.05673426389694214,0.0
N,11,0.284416526556015,0.4241880774497986,0.06327107548713684,0.1342398077249527,0.6323016412593984,0.08049333840608597,0.6818761229515076
N,34,0.39766696095466614,0.43618133664131165,0.08695157617330551,0.14258499443531036,0.6461714893933049,0.06557802110910416,0.851693332195282
X,38,0.32971838116645813,0.3746079206466675,0.039289895445108414,0.09917473047971725,0.6494000413998426,0.08225911855697632,0.9413806200027466
_,40,0.21435685455799103,0.33832216262817383,0.005782828200608492,0.04555756226181984,0.8353557254094631,0.05547929182648659,0.0
N,43,0.29053935408592224,0.4256526231765747,0.06654210388660431,0.13881739974021912,0.6332373378589053,0.08355239778757095,0.7083833813667297
T,49,0.2390783727169037,0.3586064279079437,0.02024625428020954,0.07950422167778015,0.7331032637798172,0.0776512622833252,0.7278696894645691
N,52,0.3989282250404358,0.43424949049949646,0.0854182317852974,0.14827285706996918,0.6282330315537094,0.07720600813627243,0.8473695516586304
_,71,0.21418336033821106,0.33827149868011475,0.005750823765993118,0.045377347618341446,0.835434888030092,0.05529748275876045,0.0
S,83,0.5176109671592712,0.4924069941043854,0.12561093270778656,0.19502392411231995,0.5776519774517298,0.07303819805383682,0.8003410696983337
_,86,0.2715210020542145,0.33979058265686035,0.008198253810405731,0.05177532881498337,0.7704532588162692,0.06015980243682861,0.0
_,103,0.2147972732782364,0.33844926953315735,0.005867505446076393,0.04600868374109268,0.8349738258319365,0.05593341961503029,0.0
X,108,0.33903488516807556,0.38046953082084656,0.04452900588512421,0.10999332368373871,0.6240674612902543,0.09056498855352402,0.9110845327377319
T,109,0.3391628563404083,0.40494224429130554,0.060499899089336395,0.10660863667726517,0.7133698563718676,0.0547478124499321,0.8501328229904175
S,128,0.395846962928772,0.482135534286499,0.11039243638515472,0.19461332261562347,0.5353658622853588,0.09713192284107208,0.721508264541626
X,134,0.3175511658191681,0.3763030469417572,0.03934424743056297,0.102144755423069,0.6505852165700041,0.08525721728801727,0.8858515620231628
X,144,0.3906257450580597,0.43426942825317383,0.08365170657634735,0.15595391392707825,0.5992182697967368,0.09231310337781906,0.7974799871444702
N,147,0.38186243176460266,0.42730897665023804,0.08090520650148392,0.1332278698682785,0.6795852491434728,0.06291648745536804,0.8655797243118286
S,157,0.4546654224395752,0.4953038692474365,0.11043847352266312,0.18743345141410828,0.551601844457473,0.07206200808286667,0.6852033138275146
T,171,0.29940301179885864,0.3637145161628723,0.03114953823387623,0.09327010065317154,0.6699022093081984,0.08862672001123428,0.9442744255065918
T,173,0.265433669090271,0.35856661200523376,0.022169888019561768,0.0817129835486412,0.7041985328974086,0.08046001195907593,0.7377601861953735
T,180,0.2687118649482727,0.35730692744255066,0.023050865158438683,0.065572090446949,0.7662315178488719,0.05816315487027168,0.9254708290100098
N,181,0.2760096490383148,0.4240091145038605,0.06000681594014168,0.14057211577892303,0.5990862081519663,0.0972379818558693,0.592803418636322
X,186,0.2235049456357956,0.41349875926971436,0.047625843435525894,0.12246116995811462,0.6201373935594165,0.08354455977678299,0.5701625943183899
N,195,0.4044509530067444,0.42972707748413086,0.07772551476955414,0.13934798538684845,0.6266216382717115,0.07150229066610336,0.8179869651794434
N,196,0.4418618381023407,0.4324670433998108,0.08628319948911667,0.15434150397777557,0.6247385054126111,0.08896476030349731,0.8487604260444641
S,200,0.6167200803756714,0.520574152469635,0.15869323909282684,0.23621699213981628,0.5101125048723574,0.09605514258146286,0.8373757600784302
S,216,0.25121262669563293,0.45866894721984863,0.06718592345714569,0.15258385241031647,0.5673644869331141,0.07798205316066742,0.5795960426330566
N,217,0.23700262606143951,0.42201775312423706,0.059220265597105026,0.14387689530849457,0.5957649663470951,0.10458093136548996,0.5849653482437134
T,219,0.3971196711063385,0.41625356674194336,0.07188984006643295,0.12153990566730499,0.6761255051875985,0.06051545962691307,0.8698325157165527
T,226,0.424903929233551,0.41810303926467896,0.0755956694483757,0.13048431277275085,0.6742520909632163,0.07064208388328552,0.8858780860900879
N,231,0.40425246953964233,0.4316767454147339,0.08250632882118225,0.14354698359966278,0.6532261797009191,0.07404638081789017,0.8399755358695984
_,233,0.21563604474067688,0.3386925756931305,0.006025692913681269,0.04687320813536644,0.8343521788724078,0.0568046048283577,0.0
T,241,0.2728213667869568,0.3582659959793091,0.0237856674939394,0.06578379124403,0.7559616127198934,0.057262539863586426,0.9173181056976318
N,242,0.3883477747440338,0.42822694778442383,0.0739060789346695,0.13311251997947693,0.6440910107838803,0.0658436045050621,0.792766273021698
N,243,0.28643798828125,0.42096349596977234,0.06710901111364365,0.12025955319404602,0.7010561258996328,0.056187037378549576,0.791781485080719
X,264,0.30476370453834534,0.4265868365764618,0.0702744796872139,0.15073229372501373,0.5860621561016882,0.10240475833415985,0.6786714196205139
S,266,0.26724931597709656,0.4656611382961273,0.07414694130420685,0.15884579718112946,0.5609879093855247,0.07638633996248245,0.6025457382202148
N,268,0.20994947850704193,0.4162917137145996,0.05142677575349808,0.12290313839912415,0.6448803403548179,0.07707582414150238,0.6250445246696472
_,274,0.2137063592672348,0.33813372254371643,0.00565938139334321,0.04488787055015564,0.8358723989753829,0.05480504408478737,0.0
_,277,0.21366144716739655,0.3381207287311554,0.005650770850479603,0.0448417030274868,0.8359243137569866,0.054758619517087936,0.0
T,289,0.28641989827156067,0.3630256950855255,0.027902070432901382,0.0888449028134346,0.6981508182485433,0.08343294262886047,0.9032865762710571
T,292,0.2766788899898529,0.3597542941570282,0.02516484260559082,0.07361181080341339,0.7544758208105395,0.06619501858949661,0.9260761737823486
X,308,0.26260367035865784,0.3625716269016266,0.025103945285081863,0.0664355531334877,0.7248670146835897,0.053653132170438766,0.8239589333534241
X,311,0.33700141310691833,0.37502190470695496,0.04014177247881889,0.10257713496685028,0.6457579198250702,0.08644970506429672,0.9495407342910767
N,312,0.432146817445755,0.43116044998168945,0.08579923212528229,0.1391759216785431,0.6602805834740018,0.06585363298654556,0.8783479928970337
N,314,0.35963916778564453,0.4278334677219391,0.08308325707912445,0.13000226020812988,0.7040946924665624,0.05638255923986435,0.8816106915473938
X,316,0.29983702301979065,0.3706943392753601,0.03383263945579529,0.0953805223107338,0.6796731782034234,0.08303863555192947,0.8751130104064941
T,317,0.22738109529018402,0.35424819588661194,0.01911059021949768,0.05729836970567703,0.8011563318118776,0.05131654068827629,0.8540186882019043
S,322,0.48598185181617737,0.4757457971572876,0.10698307305574417,0.18287266790866852,0.561706310783436,0.08760086447000504,0.7078511714935303
N,326,0.4318391978740692,0.4260937571525574,0.08230021595954895,0.1219032034277916,0.694983872276478,0.04636964946985245,0.8850792646408081
X,332,0.25881925225257874,0.41856199502944946,0.06179031357169151,0.12828198075294495,0.647834897442283,0.07432069629430771,0.741183340549469
N,344,0.32827699184417725,0.4278199374675751,0.07857970148324966,0.13030658662319183,0.6794634897512637,0.05921816825866699,0.8402506709098816
X,354,0.29683876037597656,0.3692046105861664,0.032429758459329605,0.09354585409164429,0.6791035748170638,0.08239615708589554,0.8732378482818604
X,374,0.34920385479927063,0.3824694752693176,0.051598742604255676,0.13192793726921082,0.6134934623457109,0.12054808437824249,0.858045756816864
S,376,0.26295435428619385,0.4661814570426941,0.07302487641572952,0.15571598708629608,0.5735925906931031,0.07091421633958817,0.6015211939811707
X,377,0.3035375475883484,0.37330204248428345,0.03599768504500389,0.09629513323307037,0.6585564013627189,0.08119924366474152,0.8675401210784912
S,378,0.26489272713661194,0.45845428109169006,0.07317030429840088,0.15662315487861633,0.5742234217202649,0.07965098321437836,0.6166068911552429
S,387,0.3890416622161865,0.4856582283973694,0.1203945055603981,0.1759374588727951,0.630500704653144,0.04985920339822769,0.8143423199653625
T,396,0.355781614780426,0.4114164113998413,0.06022190302610397,0.12885592877864838,0.6515269721638787,0.08298059552907944,0.7628746032714844
S,398,0.2939721941947937,0.461964875459671,0.07732485979795456,0.15909504890441895,0.5748587702586702,0.07753334194421768,0.6307398080825806
N,399,0.42580339312553406,0.4356340765953064,0.08401530236005783,0.15279772877693176,0.6045203274830359,0.0847422406077385,0.8082118630409241
_,403,0.20921318233013153,0.33678120374679565,0.004885823931545019,0.04004926234483719,0.8379607975151158,0.049921270459890366,0.0
X,407,0.28442898392677307,0.3665939271450043,0.030018076300621033,0.08120202273130417,0.7310817912653352,0.0685451328754425,0.8727648258209229
N,409,0.4039051830768585,0.43040603399276733,0.08654642850160599,0.12644124031066895,0.6880766082870423,0.046820659190416336,0.8893904089927673
X,416,0.39157918095588684,0.4281606078147888,0.08575330674648285,0.1300201416015625,0.6874365680385615,0.05482902750372887,0.9025037884712219
X,428,0.3991183936595917,0.43076086044311523,0.0846986249089241,0.13593193888664246,0.6646810103519541,0.06184326857328415,0.8718703389167786
X,438,0.2820635139942169,0.3682146668434143,0.02995723858475685,0.08262044936418533,0.7379315584635273,0.06908712536096573,0.8311342000961304
_,447,0.20919162034988403,0.3367745876312256,0.0048822397366166115,0.040025494992733,0.8379689221959173,0.04989725351333618,0.0
_,454,0.23041105270385742,0.3426806926727295,0.009658651426434517,0.06070544198155403,0.8074618669380046,0.07066652923822403,0.0
T,457,0.2745795249938965,0.3616333603858948,0.025602228939533234,0.08805228024721146,0.7019913876219531,0.08517490327358246,0.8027541637420654
_,465,0.20886193215847015,0.33667251467704773,0.004828200675547123,0.03965931758284569,0.8381046025365747,0.049527011811733246,0.0
_,468,0.2304742932319641,0.34269779920578003,0.009674842469394207,0.060764651745557785,0.8073421071861716,0.07072580605745316,0.0
T,469,0.24292509257793427,0.35286301374435425,0.017697585746645927,0.05600650981068611,0.7776642050800097,0.051425058394670486,0.8418821096420288
S,471,0.35086697340011597,0.4730273485183716,0.08876969665288925,0.16560529172420502,0.5661550341741866,0.07127547264099121,0.6480296850204468
_,475,0.20921920239925385,0.33678317070007324,0.0048866490833461285,0.040056392550468445,0.8379616685652097,0.049928538501262665,0.0
X,479,0.29024600982666016,0.3685031235218048,0.031842298805713654,0.08487626910209656,0.7218331295919598,0.07117283344268799,0.8768405914306641
S,480,0.35052311420440674,0.47590476274490356,0.09073178470134735,0.1720065474510193,0.5724529914438123,0.07797203958034515,0.6523212790489197
S,482,0.3803483545780182,0.48103171586990356,0.10155952721834183,0.18316952884197235,0.5575362730724738,0.08561757206916809,0.6807515025138855
S,494,0.3874839246273041,0.4934820532798767,0.10561099648475647,0.183140829205513,0.5538569672885031,0.06917861104011536,0.6784052848815918
X,512,0.2500188648700714,0.4227754771709442,0.05742794647812843,0.13795699179172516,0.6061077825553154,0.09368758648633957,0.6028240323066711
S,516,0.3797585666179657,0.47858959436416626,0.10583904385566711,0.1910729706287384,0.5605227899805808,0.09845902025699615,0.7032525539398193
_,517,0.2091130018234253,0.3367501497268677,0.0048695094883441925,0.03993779048323631,0.8379844924194428,0.04980851337313652,0.0
X,521,0.31539809703826904,0.3719901740550995,0.036453742533922195,0.09847397357225418,0.6580344573641635,0.08504122495651245,0.9224211573600769
X,536,0.31741735339164734,0.4235009253025055,0.07696579396724701,0.11466255784034729,0.7003696688013528,0.040569789707660675,0.8563805818557739
N,550,0.36016780138015747,0.4293918013572693,0.08518638461828232,0.1262558400630951,0.697838035174474,0.04817741736769676,0.886103630065918
S,564,0.30978086590766907,0.463479220867157,0.08249932527542114,0.1656927615404129,0.568840260159271,0.0836929902434349,0.6496122479438782
X,574,0.3898571729660034,0.4281344711780548,0.07379751652479172,0.13332514464855194,0.6365531767723991,0.0663328617811203,0.7920687794685364
T,581,0.2585868537425995,0.3527720868587494,0.019597535952925682,0.05785786360502243,0.7767389803108397,0.05326034128665924,0.9460312128067017
T,588,0.2555125951766968,0.3534960150718689,0.019537197425961494,0.05970326066017151,0.7756360739701609,0.055110130459070206,0.9154456853866577
_,593,0.2130533754825592,0.3379620313644409,0.005500469356775284,0.044287100434303284,0.8375785676223071,0.054209060966968536,0.0
S,608,0.30916452407836914,0.45965856313705444,0.07180357724428177,0.148092120885849,0.5766205680045521,0.06565642356872559,0.6036528944969177
_,618,0.21244733035564423,0.3377792239189148,0.00540097476914525,0.043632134795188904,0.8376381103612949,0.05354684963822365,0.0
N,623,0.4349660277366638,0.43414318561553955,0.08421008288860321,0.14248518645763397,0.6650809850278484,0.06891489028930664,0.8415191173553467
X,624,0.31037718057632446,0.41896507143974304,0.05824965238571167,0.13481268286705017,0.6075446871846002,0.091591477394104,0.6234795451164246
_,628,0.214060977101326,0.33826112747192383,0.005673651583492756,0.04535595700144768,0.8372512527660002,0.05528820678591728,0.0
T,630,0.2788776159286499,0.3615078628063202,0.0259346105158329,0.0851096585392952,0.7059330360058766,0.0802772268652916,0.885358989238739
N,640,0.3397965729236603,0.4278927743434906,0.07007600367069244,0.13834300637245178,0.6389507363720763,0.07843860238790512,0.7319967746734619
N,655,0.3854904770851135,0.4343070089817047,0.08344434946775436,0.15279550850391388,0.6262649867388898,0.08665399253368378,0.8085867166519165
T,657,0.2920389771461487,0.36657431721687317,0.03146536648273468,0.10840169340372086,0.6663012117979725,0.10918503254652023,0.6344132423400879
N,674,0.3101556897163391,0.4189424216747284,0.059324152767658234,0.13060763478279114,0.6320943503900117,0.08226344734430313,0.669509768486023
N,676,0.3605835437774658,0.4292314648628235,0.07678350061178207,0.1496513932943344,0.6140642505859205,0.09305273741483688,0.7444359660148621
T,677,0.2643166780471802,0.3591448962688446,0.023142891004681587,0.07052639126777649,0.7401115462310343,0.06331957876682281,0.863303542137146
N,682,0.45171284675598145,0.4361402094364166,0.08936832845211029,0.14856761693954468,0.6443967109326127,0.07383830845355988,0.8678746223449707
S,686,0.3777739107608795,0.4679807722568512,0.0962420254945755,0.1731477677822113,0.5522159601293213,0.08489596843719482,0.6864109635353088
X,702,0.24360309541225433,0.41612812876701355,0.055947571992874146,0.12802959978580475,0.6296393752915811,0.08209449052810669,0.6639444828033447
_,708,0.21610252559185028,0.33884668350219727,0.006068131420761347,0.04743529111146927,0.8353860141684224,0.057379212230443954,0.0
_,709,0.21490143239498138,0.33850377798080444,0.005832355935126543,0.0462186262011528,0.8365956237962625,0.056156475096940994,0.0
N,710,0.30058392882347107,0.42652812600135803,0.0703047439455986,0.1313234269618988,0.6495119611540687,0.0665268823504448,0.7741787433624268
N,724,0.3426547944545746,0.42598873376846313,0.07089031487703323,0.13266156613826752,0.6437699538940361,0.06908455491065979,0.7778658866882324
_,729,0.21246011555194855,0.3377794325351715,0.005410056095570326,0.04363085702061653,0.8374269492004532,0.05354408174753189,0.0
T,733,0.24241439998149872,0.4130455255508423,0.05695659667253494,0.11777589470148087,0.6675054374661781,0.06533202528953552,0.7473353147506714
N,747,0.29851359128952026,0.42306700348854065,0.06217134743928909,0.1307259500026703,0.6381489655329657,0.07697883248329163,0.6757547855377197
N,748,0.2835502326488495,0.42236781120300293,0.06435253471136093,0.1379793882369995,0.6147278561476499,0.0903182104229927,0.6530271172523499
X,754,0.307010680437088,0.3703156113624573,0.03414199873805046,0.09298942983150482,0.6955444361280783,0.07968363165855408,0.9053810834884644
T,762,0.23094442486763,0.3565365672111511,0.01912570931017399,0.06838086247444153,0.7375333817583306,0.06449949741363525,0.7788615822792053
X,772,0.2756921052932739,0.36603403091430664,0.02741170860826969,0.08377144485712051,0.6979680837251397,0.07368668913841248,0.8067221641540527
N,774,0.41785070300102234,0.4321054220199585,0.08084946125745773,0.1404864639043808,0.6404297224977101,0.06935495883226395,0.8296087980270386
S,779,0.42568764090538025,0.4735371470451355,0.10743612051010132,0.19363567233085632,0.5301954061471785,0.10911419242620468,0.7050303220748901
_,780,0.2172437608242035,0.33916860818862915,0.00630231061950326,0.048574402928352356,0.8340694515736929,0.05852179974317551,0.0
T,793,0.2908935546875,0.3666687309741974,0.030184097588062286,0.08222244679927826,0.6636234558567814,0.06949753314256668,0.8948327302932739
T,800,0.3548446595668793,0.4138199985027313,0.06940260529518127,0.12311886250972748,0.7006858470894896,0.06655731797218323,0.8627778887748718
T,802,0.2783757150173187,0.357977032661438,0.02393157407641411,0.07214472442865372,0.7552693383334645,0.06628917902708054,0.9490514397621155
S,810,0.30933424830436707,0.4597089886665344,0.07171553373336792,0.14798606932163239,0.5770981747729124,0.06546495109796524,0.603244423866272
X,833,0.25443023443222046,0.41864269971847534,0.06218130886554718,0.12094828486442566,0.6767631715815878,0.06252284348011017,0.7548772692680359
T,842,0.2634226977825165,0.3578338623046875,0.02250262163579464,0.07049359381198883,0.7652079638247036,0.06475966423749924,0.8835943341255188
X,843,0.37899109721183777,0.43152913451194763,0.08090195804834366,0.1548798680305481,0.5985214025503032,0.09571975469589233,0.7769734263420105
S,844,0.3212638795375824,0.4878498315811157,0.09523636102676392,0.16996954381465912,0.5655660273456776,0.05844676122069359,0.6507591605186462
S,847,0.4656904637813568,0.4822002649307251,0.11260528862476349,0.19534212350845337,0.5463392583804887,0.098215751349926,0.7235683798789978
T,853,0.2725686728954315,0.39936813712120056,0.04395635053515434,0.11164236813783646,0.6560396765735748,0.0785110741853714,0.6498561501502991
X,857,0.3147926330566406,0.3694857358932495,0.03440342843532562,0.09410116076469421,0.6879819603756263,0.08191093057394028,0.9376962780952454
_,861,0.2346155047416687,0.3413604199886322,0.009054280817508698,0.05636734142899513,0.7671872958672854,0.06584228575229645,0.0
_,873,0.2182387411594391,0.33944758772850037,0.006511696148663759,0.04955941066145897,0.8327808470841653,0.05950940400362015,0.0
_,874,0.21357887983322144,0.33811891078948975,0.005589084699749947,0.04484809190034866,0.8374834363108191,0.05477603152394295,0.0
S,879,0.32808512449264526,0.4919765293598175,0.10045430809259415,0.17531244456768036,0.5617026617792871,0.05928525701165199,0.6695647239685059
_,883,0.21257926523685455,0.337829053401947,0.005401833914220333,0.04381546005606651,0.8383545360659871,0.05373768508434296,0.0
S,884,0.36406418681144714,0.49867039918899536,0.1125340685248375,0.19135154783725739,0.5517708330369203,0.06991022825241089,0.7127630710601807
X,890,0.2922721803188324,0.4254809617996216,0.06908667087554932,0.12596049904823303,0.6438885146660233,0.059590213000774384,0.7755540013313293
S,898,0.3494827449321747,0.47929516434669495,0.10283347964286804,0.17702428996562958,0.5791684304219962,0.07342321425676346,0.7127817273139954
X,911,0.2902816832065582,0.36984458565711975,0.03177165985107422,0.09262331575155258,0.7063454137591892,0.08085448294878006,0.8361364006996155
_,918,0.21107308566570282,0.3373716175556183,0.00515878526493907,0.042174991220235825,0.8386159796993404,0.052078742533922195,0.0
N,926,0.25499776005744934,0.42292776703834534,0.06212848797440529,0.12710215151309967,0.6589626587720917,0.06870017945766449,0.7170574069023132
X,927,0.27340567111968994,0.416244238615036,0.051097456365823746,0.12672370672225952,0.6120715806763156,0.08527935296297073,0.5877429246902466
N,928,0.4411081075668335,0.42991283535957336,0.08502499014139175,0.1281897872686386,0.6977853847017863,0.050625577569007874,0.8824024796485901
T,938,0.39054861664772034,0.41966864466667175,0.07481808215379715,0.12774236500263214,0.677170689198506,0.06529635190963745,0.8660594820976257
S,940,0.2919413447380066,0.4714020788669586,0.08366043120622635,0.1675494909286499,0.5630166778476269,0.07890776544809341,0.633721649646759
T,943,0.2957763373851776,0.3640265464782715,0.030245037749409676,0.08748872578144073,0.6659935024713908,0.07987509667873383,0.9337209463119507
N,953,0.48676785826683044,0.4331774413585663,0.09271423518657684,0.13983549177646637,0.6788284877309085,0.061326224356889725,0.9261711835861206
T,957,0.3260294198989868,0.3730581998825073,0.038515280932188034,0.07718099653720856,0.6268604613326928,0.053055305033922195,0.9409740567207336
S,959,0.3683219850063324,0.4764997363090515,0.10184856504201889,0.18792302906513214,0.5603853053312318,0.09873538464307785,0.683300256729126
N,960,0.3965483009815216,0.4325311481952667,0.08650371432304382,0.12988218665122986,0.6811667626109341,0.04979566112160683,0.8760176301002502
N,961,0.3872421383857727,0.42974865436553955,0.08104453235864639,0.1383097916841507,0.6597833740579908,0.06859711557626724,0.842706024646759
T,966,0.46156173944473267,0.417502760887146,0.08028155565261841,0.12191302329301834,0.6882759673183164,0.05594702437520027,0.9444471597671509
N,967,0.49373817443847656,0.4351629316806793,0.09368301928043365,0.1430276334285736,0.6614806434563935,0.06373604387044907,0.9188497066497803
N,985,0.4590998589992523,0.4317513108253479,0.08914322406053543,0.1296839565038681,0.6790560461442396,0.049140747636556625,0.9022548198699951
X,989,0.22529777884483337,0.3707895874977112,0.02925850637257099,0.10293031483888626,0.6784320761779342,0.09836646914482117,0.5904837250709534
N,991,0.3792724013328552,0.4318554699420929,0.08080388605594635,0.14373710751533508,0.6342818032842645,0.07499871402978897,0.8245154023170471
_,993,0.21125493943691254,0.3374275863170624,0.005187323782593012,0.04237594082951546,0.8385847183559478,0.05228210985660553,0.0
X,1005,0.2909645736217499,0.42389073967933655,0.0655847117304802,0.1447812169790268,0.6017144786144627,0.09726786613464355,0.6704975962638855
S,1008,0.39037826657295227,0.47464123368263245,0.09548130631446838,0.1738586723804474,0.5504629443064277,0.07946161180734634,0.6763545274734497
S,1009,0.2617439031600952,0.4657461643218994,0.07197397947311401,0.1565275937318802,0.5721826550878905,0.07374921441078186,0.5942865610122681
S,1023,0.27058279514312744,0.46769142150878906,0.07544717937707901,0.16036571562290192,0.5659957458129308,0.07680665701627731,0.59991455078125
T,1024,0.2819797694683075,0.3654225766658783,0.02829861082136631,0.08686770498752594,0.7065799745047692,0.0781295895576477,0.8500290513038635
T,1030,0.34713923931121826,0.41676566004753113,0.06928782165050507,0.13034532964229584,0.6517344934848772,0.07451293617486954,0.8349694609642029
N,1032,0.36938995122909546,0.4291503131389618,0.07844971120357513,0.13628727197647095,0.6712110571014068,0.06720910221338272,0.8274855613708496
T,1034,0.2854743003845215,0.3632320761680603,0.02776186354458332,0.08745286613702774,0.7074609356074749,0.08118166029453278,0.8990249037742615
N,1039,0.2931373119354248,0.4242400527000427,0.06822871416807175,0.13055866956710815,0.6624657592694394,0.06902750581502914,0.7649896144866943
_,1043,0.21252231299877167,0.33781200647354126,0.0053922757506370544,0.04375454783439636,0.8383771859798193,0.05367613583803177,0.0
X,1052,0.3098960518836975,0.3766847848892212,0.03820202499628067,0.09906098246574402,0.6649921076546381,0.0809708759188652,0.854749858379364
_,1053,0.21102140843868256,0.3373558223247528,0.005150512792170048,0.042118072509765625,0.8386346686526668,0.05202126130461693,0.0
_,1068,0.22733496129512787,0.3401618003845215,0.007930314168334007,0.05211076885461807,0.7816750182970039,0.06168937683105469,0.0
N,1077,0.3829703629016876,0.4282306134700775,0.07280948013067245,0.13354739546775818,0.6411337291586431,0.06663207709789276,0.7887241840362549
_,1090,0.21263901889324188,0.33784669637680054,0.005412292666733265,0.043878499418497086,0.838334126281552,0.0538012832403183,0.0
N,1106,0.36478403210639954,0.42862504720687866,0.07587476819753647,0.1463003009557724,0.6069883709512988,0.08744452893733978,0.7627548575401306
N,1107,0.3261692523956299,0.42953258752822876,0.07285679876804352,0.13700631260871887,0.6600763137385385,0.0712113082408905,0.7731744050979614
N,1108,0.40789273381233215,0.4356931746006012,0.08850274980068207,0.148769810795784,0.6428221769892101,0.07514631003141403,0.8618060350418091
S,1114,0.2590720057487488,0.4650467038154602,0.07146615535020828,0.15390631556510925,0.5701728759569475,0.06996224075555801,0.5975980162620544
X,1124,0.371301531791687,0.4311394989490509,0.07991553097963333,0.1316910833120346,0.6530885165581829,0.05722813680768013,0.8298766613006592
_,1127,0.2112848460674286,0.3374370038509369,0.005191640462726355,0.04240977019071579,0.8386066931385237,0.05231645703315735,0.0
T,1131,0.25275376439094543,0.35616177320480347,0.019429758191108704,0.06984690576791763,0.7363109904826464,0.06692005693912506,0.7690749168395996
T,1133,0.30128806829452515,0.4083500802516937,0.056213054805994034,0.11371409147977829,0.6702805212234417,0.06388578563928604,0.7752500772476196
T,1138,0.3139120042324066,0.41347452998161316,0.06612396985292435,0.11517481505870819,0.7103247812970586,0.0564269982278347,0.835953950881958
N,1139,0.39098963141441345,0.43205827474594116,0.08429788053035736,0.13880698382854462,0.6671260819865082,0.06524155288934708,0.8575325012207031
S,1147,0.4538895785808563,0.48055797815322876,0.10944478958845139,0.18800997734069824,0.5630778288697416,0.0876021534204483,0.7297731637954712
T,1157,0.22123800218105316,0.4054704010486603,0.05470185726881027,0.11585067957639694,0.6775341144399954,0.0711982250213623,0.7681584358215332
_,1163,0.21173138916492462,0.33757680654525757,0.005255886819213629,0.0429132878780365,0.8387579190401205,0.052827585488557816,0.0
X,1164,0.3174838721752167,0.4252324402332306,0.06935877352952957,0.13594061136245728,0.6422123828958017,0.07577028125524521,0.7633154988288879
S,1165,0.4918745160102844,0.49370861053466797,0.13721264898777008,0.18382538855075836,0.6350413956375693,0.04477718845009804,0.8676958680152893
_,1174,0.21105237305164337,0.3373700678348541,0.005146990064531565,0.04217138886451721,0.8388862681516912,0.05207736790180206,0.0
S,1182,0.4618486166000366,0.4816594421863556,0.11148801445960999,0.19144266843795776,0.556959522665032,0.09062967449426651,0.7375335097312927
N,1188,0.3796939551830292,0.4250510334968567,0.08025872707366943,0.12457329034805298,0.7030549409353641,0.05231242999434471,0.8777734041213989
S,1189,0.43168365955352783,0.48866063356399536,0.12155342102050781,0.18168190121650696,0.6163037093548762,0.05550573766231537,0.8082563281059265
