Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.056098081171512604,0.3259720802307129,2.1611317606584635e-06,0.000983394798822701,0.9983938868592184,0.010425184853374958,0.0
_,7,0.05608520656824112,0.3259710669517517,1.906855686684139e-06,0.0009296687785536051,0.9985768992081285,0.010421422310173512,0.0
N,11,0.07243142277002335,0.36475419998168945,0.00035632625804282725,0.003459473606199026,0.9828248637417953,0.008585804142057896,0.005952558945864439
N,34,0.0790940374135971,0.36672452092170715,0.0005619225557893515,0.0040925950743258,0.9708998918222885,0.008847971446812153,0.00795359630137682
X,38,0.11988448351621628,0.35334545373916626,0.019465509802103043,0.03992306813597679,0.7631616792526378,0.03461361303925514,0.48983871936798096
_,40,0.05612477660179138,0.3260025978088379,2.9407544843707e-06,0.001095617888495326,0.9978680970768135,0.010541836731135845,0.0
N,43,0.08985340595245361,0.36475419998168945,0.0023267650976777077,0.005711026955395937,0.9650925457974275,0.011137984693050385,0.0006930112140253186
T,49,0.0699327141046524,0.33661937713623047,0.0038163289427757263,0.012541747651994228,0.9045330592337997,0.017941411584615707,0.18280158936977386
N,52,0.07723832875490189,0.3650490939617157,0.0012798545649275184,0.004687439650297165,0.9750662736718854,0.008970316499471664,0.012287091463804245
_,71,0.05614779144525528,0.3260251581668854,3.691602159960894e-06,0.0011777770705521107,0.9974838869522016,0.010627915151417255,0.0
S,83,0.07997679710388184,0.39228928089141846,2.776214387267828e-05,0.0033034058287739754,0.9643915256112815,0.008612602017819881,0.001715571852400899
_,86,0.056226376444101334,0.3259902894496918,5.056099325884134e-06,0.0014082607813179493,0.9962074259544413,0.010493798181414604,0.0
_,103,0.056087858974933624,0.3259744942188263,1.9337767298566177e-06,0.0009500450105406344,0.9985702049608033,0.010434484109282494,0.0
X,108,0.1393856704235077,0.3585863709449768,0.026994502171874046,0.046604812145233154,0.7789972212058426,0.035826362669467926,0.5643385052680969
T,109,0.0870065987110138,0.35560277104377747,0.002683860482648015,0.006921917665749788,0.967250563162379,0.012243731878697872,0.009489241056144238
S,128,0.09540410339832306,0.38879379630088806,0.0002428795414743945,0.003900152165442705,0.9829192701851329,0.008312413468956947,0.0008109599584713578
X,134,0.08356963843107224,0.3450452983379364,0.008555530570447445,0.019946753978729248,0.88782243703589,0.02316303923726082,0.15674537420272827
X,144,0.08165159821510315,0.3645419478416443,0.0010527616832405329,0.004753987770527601,0.9782800055108966,0.009414794854819775,0.00706330593675375
N,147,0.1166485846042633,0.36445391178131104,0.005305144470185041,0.008880943059921265,0.9428577212182184,0.015325373038649559,0.0005743557121604681
S,157,0.08564776182174683,0.4011690318584442,0.0016796408453956246,0.006589299533516169,0.9513725951127708,0.011202352121472359,0.0019622058607637882
T,171,0.08651941269636154,0.3402117192745209,0.009287226013839245,0.025070417672395706,0.8151688300449557,0.02984808385372162,0.23333647847175598
T,173,0.0844467431306839,0.33765920996665955,0.007944232784211636,0.014756062999367714,0.9198118797765105,0.01597375050187111,0.39223578572273254
T,180,0.10723115503787994,0.3452315330505371,0.014377268962562084,0.028585931286215782,0.8271497831071853,0.024758905172348022,0.6667759418487549
N,181,0.08249955624341965,0.3654685914516449,0.0008982549188658595,0.004389629699289799,0.9746528891536097,0.009024273604154587,0.0047385552898049355
X,186,0.07515724003314972,0.36233842372894287,0.0001371393445879221,0.003121362067759037,0.9871960900227229,0.008800874464213848,0.00034340069396421313
N,195,0.07797469943761826,0.36437058448791504,0.0006574938888661563,0.00351016060449183,0.9837076692531507,0.008953459560871124,0.008141472935676575
N,196,0.07294757664203644,0.3620535731315613,8.580768917454407e-05,0.0031559905037283897,0.9847790708517036,0.008798666298389435,0.0009119714959524572
S,200,0.07489537447690964,0.40125757455825806,0.0010600858367979527,0.005991024896502495,0.9689191654572885,0.008305947296321392,0.01251527015119791
S,216,0.0884057804942131,0.38785234093666077,0.0005551613285206258,0.004398074932396412,0.9818028529360892,0.009000140242278576,0.002958032302558422
N,217,0.07766564190387726,0.36350205540657043,0.0004859934269916266,0.0037403274327516556,0.9799279580575725,0.008913006633520126,0.003839320270344615
T,219,0.14238540828227997,0.3628999888896942,0.010381217114627361,0.015167429111897945,0.9233884305352695,0.018980341032147408,0.035162895917892456
T,226,0.10518380254507065,0.3608623445034027,0.0059852758422493935,0.011654326692223549,0.9369355856829013,0.012938234955072403,0.051216308027505875
N,231,0.07858709245920181,0.36420390009880066,0.0008195883710868657,0.003870804328471422,0.9739599482466778,0.009212445467710495,0.00639803521335125
_,233,0.05608523637056351,0.3259684443473816,1.8824354128810228e-06,0.0009334696806035936,0.9986299506202341,0.010411194525659084,0.0
T,241,0.10578075796365738,0.3443412184715271,0.01449419092386961,0.02810201793909073,0.8287613260855627,0.02948516607284546,0.3761592209339142
N,242,0.07101263850927353,0.3647197186946869,7.61487681302242e-05,0.0031184512190520763,0.9852604066580535,0.008861737325787544,0.0017793701263144612
N,243,0.0795062780380249,0.3631289303302765,0.0010072001023218036,0.004045695532113314,0.9787349782076975,0.0099527882412076,0.004217828623950481
X,264,0.07041141390800476,0.3630004823207855,0.0004199184477329254,0.004082855768501759,0.9865163348739346,0.008538903668522835,0.00649011367931962
S,266,0.08170505613088608,0.3908311426639557,0.0007140336674638093,0.004969401750713587,0.9798389141075313,0.00866888277232647,0.007762334309518337
N,268,0.08312316983938217,0.363420307636261,0.0008935093064792454,0.004143281374126673,0.9800499169901014,0.009692425839602947,0.0038391565904021263
_,274,0.056217022240161896,0.32604995369911194,6.065158686396899e-06,0.0013808130752295256,0.996191518281897,0.010722040198743343,0.0
_,277,0.0562339723110199,0.3260565400123596,6.843174560344778e-06,0.0014201051089912653,0.9958343885466457,0.010747112333774567,0.0
T,289,0.08128722757101059,0.33918294310569763,0.007739424705505371,0.02056659758090973,0.8507347066190172,0.024457702413201332,0.20351900160312653
T,292,0.08008846640586853,0.3393414318561554,0.007597336079925299,0.016123579815030098,0.9242931371777378,0.01963292621076107,0.2743995785713196
X,308,0.13503886759281158,0.35366716980934143,0.025236114859580994,0.038425642997026443,0.8472424251013976,0.028763024136424065,0.6455540060997009
