Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.6930772066116333,0.3240220844745636,7.026970706647262e-05,0.007111269980669022,0.9973792249461015,0.002925508888438344,0.0
_,7,0.6996579170227051,0.3239777684211731,7.01729441061616e-05,0.007267385721206665,0.9976215537016591,0.002755679190158844,0.0
N,11,0.5464602112770081,0.3671685457229614,0.003672003746032715,0.015557992272078991,0.9557845591939986,0.008783059194684029,0.044276636093854904
N,34,0.5591908097267151,0.3670501410961151,0.0014296671142801642,0.010685593821108341,0.9681370492496839,0.004763810895383358,0.029502786695957184
X,38,0.16423742473125458,0.3515024781227112,0.017757846042513847,0.03820858895778656,0.8317025580361649,0.01989874057471752,0.6219411492347717
_,40,0.6308643221855164,0.3240141272544861,7.015130540821701e-05,0.007110497914254665,0.9975413541495801,0.0028951228596270084,0.0
N,43,0.5667207837104797,0.3644067347049713,0.0017467421712353826,0.011229150928556919,0.9667267650699554,0.006860034074634314,0.014669914729893208
T,49,0.21623149514198303,0.33902642130851746,0.007509635295718908,0.024008942767977715,0.8935777968727053,0.015272032469511032,0.48004236817359924
N,52,0.5481632351875305,0.36406409740448,0.0009755059145390987,0.008735940791666508,0.9809212000792226,0.0036647284869104624,0.01787799410521984
_,71,0.6527750492095947,0.32405924797058105,7.024778460618109e-05,0.007148198317736387,0.9971120619649689,0.0030678503680974245,0.0
S,83,0.5623867511749268,0.39114782214164734,7.312464731512591e-05,0.007170783821493387,0.9467761454358697,0.0038118010852485895,0.00036636172444559634
_,86,0.6941583156585693,0.32401755452156067,7.010052650002763e-05,0.0071251471526920795,0.997312073831757,0.0029080715030431747,0.0
_,103,0.6962087154388428,0.32395803928375244,7.040856871753931e-05,0.007342861033976078,0.9977220157037179,0.0026797933969646692,0.0
X,108,0.32967546582221985,0.3573710322380066,0.02219250798225403,0.047474831342697144,0.8000939640755921,0.024631718173623085,0.6828718185424805
T,109,0.5358715653419495,0.35979530215263367,0.005801493301987648,0.021331394091248512,0.9295346781774425,0.011746720410883427,0.11256512254476547
S,128,1.0042401552200317,0.3924563527107239,0.011957081034779549,0.01957196369767189,0.891008440323753,0.018851082772016525,0.0017956697847694159
X,134,0.3607465922832489,0.3474388122558594,0.010165386833250523,0.031159337610006332,0.8783404637624821,0.019018907099962234,0.35241109132766724
X,144,0.5706952810287476,0.36673691868782043,0.004041305277496576,0.01513728965073824,0.957001804378524,0.007445495575666428,0.051922429352998734
N,147,0.563933789730072,0.36367520689964294,0.0049192216247320175,0.013465691357851028,0.9494756736854713,0.010125174187123775,0.01046003121882677
S,157,0.5828993916511536,0.4006723165512085,0.003610482206568122,0.011195906437933445,0.8912938525994454,0.008426405489444733,0.0006035803817212582
T,171,0.23534147441387177,0.34339722990989685,0.01304487232118845,0.03587089106440544,0.7766123443735221,0.02553345263004303,0.6863865852355957
T,173,2.2952637672424316,0.3403071165084839,0.016403701156377792,0.02360115945339203,0.916398179197034,0.002786739030852914,1.0
T,180,0.13712486624717712,0.34122171998023987,0.009802897460758686,0.025464046746492386,0.8822559524063642,0.015066024847328663,0.5655161142349243
N,181,0.5544095635414124,0.3677110970020294,0.002902848180383444,0.014251596294343472,0.9583108253590763,0.005918377079069614,0.05619414895772934
X,186,0.5454590916633606,0.36216220259666443,0.0004412679118104279,0.008954932913184166,0.986769224430124,0.005008205771446228,0.01417933963239193
N,195,0.5354317426681519,0.3656003773212433,0.001527247717604041,0.012312487699091434,0.9697505354663979,0.007108789402991533,0.03865033760666847
N,196,0.554693341255188,0.36130666732788086,0.00016997459169942886,0.007930428721010685,0.9864893964553874,0.004177471157163382,0.007671532686799765
S,200,0.7190573215484619,0.4018417000770569,0.00573783228173852,0.013571014627814293,0.8884971811136261,0.009980978444218636,0.009668532758951187
S,216,0.8670821189880371,0.38994884490966797,0.009178651496767998,0.016507644206285477,0.8967731285591921,0.014094582758843899,0.0033142887987196445
N,217,0.5486610531806946,0.36347219347953796,0.0009175571030937135,0.009904712438583374,0.9823112870256107,0.004954074043780565,0.02068745344877243
T,219,0.557963490486145,0.36923927068710327,0.014579514041543007,0.035993970930576324,0.8720388265807075,0.024551112204790115,0.14032083749771118
T,226,0.6302458643913269,0.3607475459575653,0.0053183105774223804,0.016968825832009315,0.947450886949276,0.007583607919514179,0.08042986690998077
N,231,0.5578391551971436,0.36340272426605225,0.0005027393926866353,0.008486859500408173,0.9809165352210403,0.004147608298808336,0.014604384079575539
_,233,0.6863710880279541,0.32405704259872437,6.98820294928737e-05,0.007039697375148535,0.9968753657738368,0.0030596109572798014,0.0
T,241,0.13436788320541382,0.34504246711730957,0.01427201647311449,0.03020532615482807,0.7755533261026964,0.015846261754631996,0.7665855884552002
N,242,0.5676703453063965,0.36723798513412476,0.00483278464525938,0.015865806490182877,0.9423108724120539,0.010717598721385002,0.03136761859059334
N,243,0.5508896112442017,0.3634015619754791,0.0015207253163680434,0.010899990797042847,0.973683042312041,0.0054491483606398106,0.029798466712236404
X,264,0.5560422539710999,0.3637058138847351,0.0016081826761364937,0.011450152844190598,0.9767001188267023,0.005563938058912754,0.03192930668592453
S,266,0.8319064378738403,0.3918866217136383,0.007325673475861549,0.014653503894805908,0.8959858204450204,0.012020878493785858,0.003135018516331911
N,268,0.5414251685142517,0.3674924373626709,0.0039696828462183475,0.018821734935045242,0.9416580146815008,0.009944802150130272,0.07688353210687637
_,274,0.6968000531196594,0.3240000605583191,7.006976375123486e-05,0.0072055538184940815,0.9972782619173328,0.0028410505037754774,0.0
_,277,0.665172815322876,0.3239145576953888,7.125880802050233e-05,0.007519391365349293,0.9978143911187848,0.0025129211135208607,0.0
