Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train D BCE Loss,train G BCE Loss,train D BCELogits Loss,train G BCELogits Loss,train D MSE Loss,train G MSE Loss,train D MAE Loss,train G MAE Loss,train D SSIM Loss,train G SSIM Loss,train D 0 White MAE Loss,train G 0 White MAE Loss,train D 0 Black MAE Loss,train G 0 Black MAE Loss,train D H White MAE Loss,train G H White MAE Loss,train D H Black MAE Loss,train G H Black MAE Loss,train D I White MAE Loss,train G I White MAE Loss,train D I Black MAE Loss,train G I Black MAE Loss,train D J White MAE Loss,train G J White MAE Loss,train D J Black MAE Loss,train G J Black MAE Loss,train D K White MAE Loss,train G K White MAE Loss,train D K Black MAE Loss,train G K Black MAE Loss,train D L White MAE Loss,train G L White MAE Loss,train D L Black MAE Loss,train G L Black MAE Loss,train D M White MAE Loss,train G M White MAE Loss,train D M Black MAE Loss,train G M Black MAE Loss,train D N White MAE Loss,train G N White MAE Loss,train D N Black MAE Loss,train G N Black MAE Loss,test D BCE Loss,test G BCE Loss,test D BCELogits Loss,test G BCELogits Loss,test D MSE Loss,test G MSE Loss,test D MAE Loss,test G MAE Loss,test D SSIM Loss,test G SSIM Loss,test D 0 White MAE Loss,test G 0 White MAE Loss,test D 0 Black MAE Loss,test G 0 Black MAE Loss,test D H White MAE Loss,test G H White MAE Loss,test D H Black MAE Loss,test G H Black MAE Loss,test D I White MAE Loss,test G I White MAE Loss,test D I Black MAE Loss,test G I Black MAE Loss,test D J White MAE Loss,test G J White MAE Loss,test D J Black MAE Loss,test G J Black MAE Loss,test D K White MAE Loss,test G K White MAE Loss,test D K Black MAE Loss,test G K Black MAE Loss,test D L White MAE Loss,test G L White MAE Loss,test D L Black MAE Loss,test G L Black MAE Loss,test D M White MAE Loss,test G M White MAE Loss,test D M Black MAE Loss,test G M Black MAE Loss,test D N White MAE Loss,test G N White MAE Loss,test D N Black MAE Loss,test G N Black MAE Loss
GenerativeAdversarialNetwork,0.0001,8.0,40.0,1.0,0.0,5.9038147862468444e-05,0.00015833783628685133,0.0004737148859671184,0.00032816920429468155,4.45157680327871e-06,2.6836548931896688e-05,5.667826293834618e-05,7.263592976544584e-05,0.0,0.0003447261088611565,0.0,6.139705489788736e-05,0.0,0.0,0.0,5.669525292302881e-05,0.0,0.000826412918312209,0.0,5.7919097266026903e-05,0.0,0.0008261756705386298,0.0,6.049153661089284e-05,0.0,0.0008228075291429247,0.0,5.7449058762618474e-05,0.0,0.000827670842409134,0.0,5.8559913720403396e-05,0.0,0.000828518665262631,0.0,5.8994309178420473e-05,0.0,0.0008218411888395037,0.0,6.130190033997808e-05,0.0,0.0008243304278169359,0.0002961218046645323,0.0007310913254817327,0.002214266608158747,0.0015295274555683137,2.2928897912303607e-05,0.00012330707783500354,0.0002839498221874237,0.0003377899837990602,0.0,0.0016154942922664178,0.0,0.00028562238439917565,0.0,0.0,0.0,0.0002667226828634739,0.0,0.0038410591582457225,0.0,0.000269796730329593,0.0,0.0038735578457514447,0.0,0.00028086934859553975,0.0,0.003870235135157903,0.0,0.00027815109739700954,0.0,0.0038430022696654,0.0,0.00027243286992112794,0.0,0.003857698291540146,0.0,0.00027403132990002634,0.0,0.0038511085013548533,0.0,0.0002878344307343165,0.0,0.003810698539018631
GenerativeAdversarialNetwork,0.0001,8.0,40.0,True,1.0,6.067682573172663e-06,0.00014575433784297536,0.00045186100261551996,0.00032122071300234113,9.116181770098462e-08,2.428821088480098e-05,6.021378378916e-06,4.86780922593815e-05,0.0,0.0005618256579985997,0.0,3.232780644404037e-05,0.0,0.0,0.0,3.1431445053645546e-05,0.0,0.000839383208325931,0.0,3.1509606300720146e-05,0.0,0.0008423698799950736,0.0,3.2394249657435074e-05,0.0,0.0008340858455215182,0.0,3.0851946212351324e-05,0.0,0.0008318509374346052,0.0,3.158627410552331e-05,0.0,0.0008562049695423671,0.0,3.188140690326691e-05,0.0,0.0008496964084250587,0.0,3.244970659060138e-05,0.0,0.0008499514843736376,3.356812133764227e-05,0.0006677161902189255,0.00211016908288002,0.0014967056612173715,5.826364940730855e-07,0.00011098211010297139,3.327165419856707e-05,0.00022465667376915613,0.0,0.0026341420222977733,0.0,0.00015067875695725283,0.0,0.0,0.0,0.00013947289747496446,0.0,0.0038714957733949023,0.0,0.00014748616764942806,0.0,0.003958957642316819,0.0,0.00015096583714087805,0.0,0.0039541753629843395,0.0,0.00014790485923488935,0.0,0.00394275983174642,0.0,0.00015024673193693162,0.0,0.00392567589879036,0.0,0.00014866961476703484,0.0,0.003956993172566096,0.0,0.00015279568421343963,0.0,0.003860517591238022
GenerativeAdversarialNetwork,0.0001,8.0,40.0,True,2.0,1.6647041775286199e-06,0.00014353346611772265,0.00044997499457427435,0.0003207693940826825,1.0552858092134037e-08,2.3871680189456258e-05,1.6593931442392725e-06,4.849781814430441e-05,0.0,0.0006213821110851351,0.0,2.8843795215444907e-05,0.0,0.0,0.0,3.331979470593589e-05,0.0,0.0008251579212290901,0.0,3.127565141767263e-05,0.0,0.0008353840027536664,0.0,3.099315134542329e-05,0.0,0.000831028659428869,0.0,3.014624318374055e-05,0.0,0.0008234235857214247,0.0,3.0128987106893745e-05,0.0,0.0008560040167399815,0.0,3.0411360785365105e-05,0.0,0.0008517533540725708,0.0,2.930622348295791e-05,0.0,0.000855265451329095,9.611601126380264e-06,0.0006529308855533599,0.0021004512906074523,0.0014939527958631516,6.695320280414307e-08,0.0001084730572377642,9.577893069945276e-06,0.0002216909235964219,0.0,0.002919202464923699,0.0,0.0001345026617248853,0.0,0.0,0.0,0.00013947865615288418,0.0,0.0038106903433799745,0.0,0.0001459331096460422,0.0,0.003930822263161341,0.0,0.00014251753066976864,0.0,0.003938027968009313,0.0,0.00013638953678309917,0.0,0.0039240961273511255,0.0,0.00014950969877342384,0.0,0.003896431128184001,0.0,0.0001425767783075571,0.0,0.003950393696626028,0.0,0.00013812538236379623,0.0,0.003860761225223541
GenerativeAdversarialNetwork,0.0001,8.0,40.0,True,3.0,8.729272979378168e-07,0.00014219096462641444,0.0004496574401855469,0.00032063743897846764,3.916429136552324e-09,2.356061013415456e-05,8.709616460172193e-07,4.926550734255995e-05,0.0,0.0006540427878628501,0.0,2.610624401963183e-05,0.0,0.0,0.0,3.775962229285921e-05,0.0,0.0008041962449039732,0.0,3.25279010991965e-05,0.0,0.0008276929812771934,0.0,3.095969358193023e-05,0.0,0.0008293002311672484,0.0,3.075354200388704e-05,0.0,0.000817489783678736,0.0,2.9803689436188765e-05,0.0,0.000854237430862018,0.0,2.997975264276777e-05,0.0,0.0008507029286452702,0.0,2.6963092386722566e-05,0.0,0.0008597528295857566,4.924842990779629e-06,0.0006441881880164147,0.002098684261242549,0.0014926395068566003,2.0071630994304237e-08,0.00010654487802336613,4.9147740355692806e-06,0.00022282890665034454,0.0,0.003078816735554815,0.0,0.00012177960015833378,0.0,0.0,0.0,0.00014929990284144877,0.0,0.0037412678201993307,0.0,0.00015090081530312697,0.0,0.0038988607625166575,0.0,0.00013985393258432547,0.0,0.003929076343774795,0.0,0.00012923663792510827,0.0,0.003914405157168706,0.0,0.00015574974628786246,0.0,0.003864937275648117,0.0,0.00014167814515531063,0.0,0.003945211817820867,0.0,0.00012737171103556952,0.0,0.0038689784705638885
GenerativeAdversarialNetwork,0.0001,8.0,40.0,True,4.0,8.088927383401564e-07,0.00014271302414791925,0.00044965515179293497,0.0003204698807426861,4.855191702647842e-09,2.3217233163969856e-05,8.064520183584786e-07,5.0091237894126346e-05,0.0,0.0006729380218888679,0.0,2.267777786723205e-05,0.0,0.0,0.0,4.4314054373119556e-05,0.0,0.0007725087127515248,0.0,3.394381076629673e-05,0.0,0.0008190732449293136,0.0,3.0909222550690175e-05,0.0,0.0008292426488229206,0.0,3.131166699209384e-05,0.0,0.0008133804691689355,0.0,2.9335649950163706e-05,0.0,0.0008524157106876374,0.0,2.920452638396195e-05,0.0,0.000847491728407996,0.0,2.3968291601964406e-05,0.0,0.0008648234818662916,3.9889191005689405e-06,0.0006442921857039134,0.0020983782907327015,0.0014910180121660232,1.551890041658529e-08,0.00010445270066459974,3.981136251240968e-06,0.00022361031733453274,0.0,0.003173866204385768,0.0,0.00010582958348095416,0.0,0.0,0.0,0.00016370944989224274,0.0,0.0036524745325247445,0.0,0.00015617127840717633,0.0,0.0038618206977844237,0.0,0.00013646028625468413,0.0,0.003923349827528,0.0,0.0001197463988016049,0.0,0.003917613873879114,0.0,0.0001631401168803374,0.0,0.0038278423249721526,0.0,0.0001395372518648704,0.0,0.003947302947441737,0.0,0.0001136974897235632,0.0,0.003895488381385803
GenerativeAdversarialNetwork,0.0001,8.0,40.0,True,5.0,9.222582905619805e-07,0.0001482862846127578,0.0004496974072286061,0.00032015815377235414,7.482499800711854e-09,2.2833245540303845e-05,9.184911115361111e-07,5.0417167533721246e-05,0.0,0.0006764500630443317,0.0,1.8038906689201084e-05,0.0,0.0,0.0,5.434453154781035e-05,0.0,0.0007240157574415207,0.0,3.502079219158207e-05,0.0,0.0008105089089700154,0.0,3.027265691863639e-05,0.0,0.0008329860866069794,0.0,3.1268965852047714e-05,0.0,0.0008111899984734399,0.0,2.8270662629178594e-05,0.0,0.0008512904601437705,0.0,2.7538426885647433e-05,0.0,0.0008455835282802582,0.0,1.9753195478447847e-05,0.0,0.0008702245673963001,4.5288834371604025e-06,0.0006650211910406748,0.0020983882248401644,0.0014882822831471761,2.7316625998234183e-08,0.00010164796840399504,4.515158555780848e-06,0.00022067824999491374,0.0,0.0031984111682843252,0.0,8.426890708506108e-05,0.0,0.0,0.0,0.00018164884919921558,0.0,0.0035166867077350617,0.0,0.00015953035714725652,0.0,0.0038248876730600993,0.0,0.0001299977069720626,0.0,0.003924163927634557,0.0,0.00010521345150967439,0.0,0.00394060214360555,0.0,0.00016895093334217865,0.0,0.0037851400673389437,0.0,0.00013313762222727139,0.0,0.003962407509485881,0.0,9.43334928403298e-05,0.0,0.003944764534632365
GenerativeAdversarialNetwork,0.0001,8.0,40.0,True,6.0,1.0780556684559477e-06,0.00017140378643359456,0.0004497189074754715,0.0003197235720498221,1.0182786322080313e-08,2.2492830508521625e-05,1.072927365644968e-06,4.9485602150005955e-05,0.0,0.0006682672556870297,0.0,1.3495173438319139e-05,0.0,0.0,0.0,6.462043550397669e-05,0.0,0.0006702683333839689,0.0,3.508745160486017e-05,0.0,0.0008059540497405189,0.0,2.8790074533649852e-05,0.0,0.0008423010685614177,0.0,3.0465217839394297e-05,0.0,0.0008113131459270205,0.0,2.6543894117431982e-05,0.0,0.0008497127464839391,0.0,2.5359484633164748e-05,0.0,0.0008506213980061667,0.0,1.5469730299498352e-05,0.0,0.0008732352937970843,7.23231981586044e-06,0.0007661503429214159,0.002099090317885081,0.0014846848944822947,1.0418194354618511e-07,9.838125358025233e-05,7.179596286732703e-06,0.00021153736549119154,0.0,0.0031718248133404147,0.0,6.320922402665019e-05,0.0,0.0,0.0,0.00019446564838290214,0.0,0.0033349156379699706,0.0,0.0001591486701120933,0.0,0.0038103540738423664,0.0,0.00012165825658788284,0.0,0.0039583799739678705,0.0,8.916108248134454e-05,0.0,0.003975026309490204,0.0,0.00016821919319530328,0.0,0.003761905680100123,0.0,0.00012278625120719274,0.0,0.003995878746112188,0.0,7.443341116110483e-05,0.0,0.004007560263077418
GenerativeAdversarialNetwork,0.0001,8.0,40.0,True,7.0,1.7766560111860079e-06,0.0002449778839945793,0.0004498930381877082,0.0003190715132015092,3.860962546501209e-08,2.2088059423757452e-05,1.7569674777665309e-06,4.774620423891715e-05,0.0,0.0006612331205042865,0.0,9.632112258779152e-06,0.0,0.0,0.0,7.140433548816613e-05,0.0,0.0006112599479300635,0.0,3.3915225815560136e-05,0.0,0.0008011946720736367,0.0,2.6375484386725084e-05,0.0,0.0008523621729442051,0.0,2.9100670612284114e-05,0.0,0.0008117308574063437,0.0,2.410974619644029e-05,0.0,0.0008501572268349784,0.0,2.2974844822393995e-05,0.0,0.0008576943406036922,0.0,1.1667526892519424e-05,0.0,0.0008766088102545057,1.468009528859208e-05,0.0011036507785320282,0.00210124005873998,0.0014802876859903336,5.218658770900219e-07,9.478998836129904e-05,1.44114630529657e-05,0.00020009446889162063,0.0,0.0031580913545664114,0.0,4.5304376787195606e-05,0.0,0.0,0.0,0.00019951493789752324,0.0,0.0031183565656344096,0.0,0.00015420142250756422,0.0,0.003792626659075419,0.0,0.00011060438894977172,0.0,0.0039924720923105875,0.0,7.372696418315173e-05,0.0,0.00399617925286293,0.0,0.00016000693043073018,0.0,0.003765702247619629,0.0,0.00010995189659297466,0.0,0.004028851538896561,0.0,5.6480562003950276e-05,0.0,0.004058172305425008
GenerativeAdversarialNetwork,0.0001,8.0,40.0,True,8.0,2.6464815683928984e-06,0.0003174687336598124,0.000450350929583822,0.0003183285572699138,7.1624851573558e-08,2.1597653228257385e-05,2.6098683260248175e-06,4.586967240486826e-05,0.0,0.0006639259440023579,0.0,7.050470282722797e-06,0.0,0.0,0.0,7.180244927959783e-05,0.0,0.0005646997796637671,0.0,3.204230618263994e-05,0.0,0.0007944358778851373,0.0,2.35986546613276e-05,0.0,0.0008592035621404648,0.0,2.7770447611276593e-05,0.0,0.0008145322224923543,0.0,2.14888049023492e-05,0.0,0.0008529739188296454,0.0,2.1027302968182735e-05,0.0,0.0008658739072935922,0.0,9.029692903693233e-06,0.0,0.0008790294506720134,2.037521529321869e-05,0.0014368943870067597,0.002104644477367401,0.0014761283993721009,5.99277154833544e-07,9.1491158430775e-05,2.0068990609919033e-05,0.00019066582123438517,0.0,0.003188091391421454,0.0,3.332910904039939e-05,0.0,0.0,0.0,0.00019744443707168103,0.0,0.0029222528139750165,0.0,0.00014673699624836444,0.0,0.0037582846979300182,0.0,9.898385809113582e-05,0.0,0.004008897890647252,0.0,6.269085764264067e-05,0.0,0.004008423040310542,0.0,0.0001471243177851041,0.0,0.003781432161728541,0.0,9.836292980859677e-05,0.0,0.004049638907114665,0.0,4.383588675409556e-05,0.0,0.004086803396542867
GenerativeAdversarialNetwork,0.0001,8.0,40.0,True,9.0,3.596251813827881e-06,0.00034266957747084754,0.0004507673638207572,0.0003176433965563774,1.6222147678490728e-07,2.0948241996978012e-05,3.511687308283789e-06,4.4267445004412105e-05,0.0,0.0006638640715785012,0.0,5.727374394025122e-06,0.0,0.0,0.0,6.902046900774752e-05,0.0,0.0005247823361839567,0.0,3.0772481113672254e-05,0.0,0.0007769214787653514,0.0,2.1270048871104207e-05,0.0,0.0008579799639327185,0.0,2.7330241365624326e-05,0.0,0.000819091552070209,0.0,1.9531861679362398e-05,0.0,0.0008572906255722046,0.0,2.0092343246298175e-05,0.0,0.0008689597781215395,0.0,7.617275696247816e-06,0.0,0.0008810344551290785,3.231850181085368e-05,0.0015497036278247834,0.002110605190197627,0.0014728973309199014,1.575080750626512e-06,8.814137739439805e-05,3.149908152408898e-05,0.00018464728879431883,0.0,0.0032012703361255367,0.0,2.7224471947799125e-05,0.0,0.0,0.0,0.00019684840614597003,0.0,0.002741450071334839,0.0,0.00014228086608151594,0.0,0.0036638962725798288,0.0,9.0168253518641e-05,0.0,0.003989924242099126,0.0,5.819693906232715e-05,0.0,0.0040133997797966005,0.0,0.00013615856878459453,0.0,0.003816655029853185,0.0,9.211855164418618e-05,0.0,0.004040479163328807,0.0,3.6929850466549397e-05,0.0,0.004098345836003621
