Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train UNET BCE Loss,train UNET BCELogits Loss,train UNET MSE Loss,train UNET MAE Loss,train UNET SSIM Loss,train UNET 0 White MAE Loss,train UNET 0 Black MAE Loss,train UNET H White MAE Loss,train UNET H Black MAE Loss,train UNET I White MAE Loss,train UNET I Black MAE Loss,train UNET J White MAE Loss,train UNET J Black MAE Loss,train UNET K White MAE Loss,train UNET K Black MAE Loss,train UNET L White MAE Loss,train UNET L Black MAE Loss,train UNET M White MAE Loss,train UNET M Black MAE Loss,train UNET N White MAE Loss,train UNET N Black MAE Loss,test UNET BCE Loss,test UNET BCELogits Loss,test UNET MSE Loss,test UNET MAE Loss,test UNET SSIM Loss,test UNET 0 White MAE Loss,test UNET 0 Black MAE Loss,test UNET H White MAE Loss,test UNET H Black MAE Loss,test UNET I White MAE Loss,test UNET I Black MAE Loss,test UNET J White MAE Loss,test UNET J Black MAE Loss,test UNET K White MAE Loss,test UNET K Black MAE Loss,test UNET L White MAE Loss,test UNET L Black MAE Loss,test UNET M White MAE Loss,test UNET M Black MAE Loss,test UNET N White MAE Loss,test UNET N Black MAE Loss
UNeuralNetwork,0.0001,8.0,40.0,1.0,0.0,0.0006252193025180272,0.00041955078818968364,0.00017165630789739745,0.00037805986191545213,0.0005438773675373812,0.00037591601056712016,0.0,0.000413839439196246,4.759796429425478e-05,0.00039641221186944415,0.00033219531178474426,0.00039226548480136055,0.00038546305149793624,0.00038601883820125034,0.0004924747560705457,0.0003829770056264741,0.0005041604063340596,0.0003834126517176628,0.0005249070801905223,0.00037836097180843353,0.0005369882498468671,0.002878820151090622,0.0019514455149571102,0.0007939397667845091,0.0017515679200490316,0.0026020435564123355,0.0017604585736989975,0.0,0.001903440182407697,0.0004214847460389137,0.0018439987053473791,0.0015124811480442682,0.0018187110622723897,0.0019984244058529536,0.0017957615355650583,0.002265403668085734,0.001799405738711357,0.0022947601974010468,0.0017834754039843877,0.0024291175107161206,0.0017707904179890951,0.0024888341625531516
UNeuralNetwork,0.0001,8.0,40.0,True,1.0,0.0006252567682947432,0.00041703097522258756,0.00016398771799036433,0.0003669774958065578,0.00044987958599059224,0.0003746708056756428,0.0,0.0003709378785320691,0.0004479407731975828,0.0003714807065469878,0.0004918759954827172,0.00037431445504937854,0.00048554071358272006,0.0003704579280955451,0.0005049497421298708,0.000372046631361757,0.0005199997552803585,0.0003724671900272369,0.0005194937544209617,0.0003749260678887367,0.0005223111382552556,0.00291144127647082,0.0019427414983510972,0.0007584709674119949,0.0017071315397818884,0.0020747934952771926,0.0017415797958771388,0.0,0.0017267090578873953,0.002124053736527761,0.001729045311609904,0.0023086013893286387,0.0017428769419590632,0.002352035045623779,0.0017366714775562287,0.0023723545173803965,0.0017275019238392512,0.002383103221654892,0.0017280597239732742,0.0024597808718681336,0.0017434767136971156,0.002381181220213572
UNeuralNetwork,0.0001,8.0,40.0,True,2.0,0.0005711696509804044,0.00040214793490512033,0.00013448365830949374,0.0003272423520684242,0.0005854919527225618,0.00032632015645503996,0.0,0.00035092777439526147,6.66558143815824e-05,0.0003478499927691051,0.00028203071228095466,0.0003413643421871322,0.000302660624895777,0.0003341339794652803,0.0005027627838509423,0.00033129751682281494,0.0005199590431792395,0.000332651606627873,0.0005410802151475634,0.0003268257049577577,0.000577337241598538,0.002628152072429657,0.0018705159425735473,0.0006205567469199498,0.0015149272978305817,0.002750899508883611,0.0015196166932582855,0.0,0.0016355679680903753,0.0004261482817431291,0.0016134735196828842,0.0012470792979001998,0.0015979467580715815,0.0015271615236997604,0.0015574457744757335,0.0022067204117774963,0.0015634138137102128,0.002351350337266922,0.0015424128621816635,0.0025504926840464273,0.0015262650946776073,0.002591732144355774
UNeuralNetwork,0.0001,8.0,40.0,True,3.0,0.0005617786731038775,0.00039668484990085874,0.00012061396347624915,0.00030938112842185156,0.0006025274435395063,0.00030560892607484546,0.0,0.0003359322835292135,0.00016572986330304828,0.00031963930066142765,0.0003983330513749804,0.00031937712005206516,0.0004241326291646276,0.0003150089776941708,0.0005558979298387255,0.0003120140039495059,0.0005609632070575441,0.00031279713979789187,0.0005801411611693246,0.00030819523547376905,0.0005947907588311604,0.002602668106555939,0.0018458471943934758,0.0005571821083625157,0.0014342481891314188,0.0028401662192673064,0.0014282161990801492,0.0,0.001541750505566597,0.0009481764088074366,0.0014978531748056413,0.001751051718990008,0.001491108536720276,0.002092519154151281,0.001457894966006279,0.0025173413256804147,0.001484359179933866,0.002542871485153834,0.0014522098004817962,0.0027256108820438384,0.0014379158616065978,0.0027836725115776063
UNeuralNetwork,0.0001,8.0,40.0,True,4.0,0.0005140939993517739,0.0003874461565698896,0.00010495014222604888,0.00028174612671136854,0.0006457351270696091,0.00028398989566734856,0.0,0.0002939073901091303,7.816584381674018e-05,0.00029293155031544823,0.0003422127770526069,0.0002918590924569539,0.00030681083777121137,0.0002874237618276051,0.0006114427532468523,0.000286611302622727,0.0006111127989632743,0.0002870499289461545,0.0006173240286963327,0.00028533030833516803,0.0006157837808132172,0.0023896776139736174,0.0018087307612101237,0.0004909456707537174,0.0013187931229670842,0.0030182921583984585,0.0013332309822241466,0.0,0.0013798487683137257,0.0006894861658414205,0.0013713051875432333,0.001858323315779368,0.0013560264060894648,0.002548797180255254,0.0013455943514903387,0.002749698609113693,0.0013448748737573623,0.002841479579607646,0.0013417615244785944,0.0028801163037618003,0.0013407441476980845,0.002866006890932719
UNeuralNetwork,0.0001,8.0,40.0,True,5.0,0.00048824697732925416,0.0003799627401999065,9.31808991091592e-05,0.0002587022259831429,0.000660917439044077,0.0002598618822438376,0.0,0.0002788647743208068,3.280032293072769e-05,0.000271537181522165,0.00028834864497184753,0.0002707710223538535,0.00025778279772826606,0.0002619961808834757,0.0006379665008613042,0.0002616117841431073,0.000634136689560754,0.00026160223143441335,0.0006503553262778691,0.0002608628677470343,0.000649106821843556,0.0022842797140280404,0.001772372548778852,0.0004340166536470254,0.001208183914422989,0.0030956319356157977,0.0012172737469275793,0.0,0.0013133138418197632,0.0005517536153395971,0.0012725313504536946,0.0014677062630653382,0.00126159538825353,0.0015994795908530553,0.00122649148106575,0.002734295775492986,0.0012288060039281844,0.0030176897843678793,0.0012231449286142985,0.0030065981050332387,0.0012222622831662496,0.0030104766289393106
UNeuralNetwork,0.0001,8.0,40.0,True,6.0,0.00047074508454118455,0.00037377239870173593,8.329580138836589e-05,0.000239082079912935,0.0006676705489969906,0.0002386729099920818,0.0,0.00025246710117374146,6.840278926704612e-05,0.0002533110923000744,0.00024242797600371497,0.00025137277053935187,0.00025071781128644944,0.00024260032389845167,0.0006377276033163071,0.0002418843497123037,0.0006447056574480874,0.0002413146197795868,0.0006689977433000292,0.00023973661341837474,0.0006740843611104148,0.002210343380769094,0.0017455905675888062,0.00038710817073782285,0.0011223265280326208,0.0031321715831114454,0.001130712777376175,0.0,0.0011899777998526891,0.0007006604224443436,0.0011842465649048487,0.0014519029607375463,0.001165419692794482,0.0016824271529912948,0.0011433682094017664,0.0027477463086446126,0.0011432465165853501,0.003098460038503011,0.001138811931014061,0.003108768413464228,0.0011354575554529825,0.0031314800182978314
UNeuralNetwork,0.0001,8.0,40.0,True,7.0,0.000460564877305712,0.0003685896417924336,7.526896494839873e-05,0.0002219249095235552,0.000671749499292031,0.0002204165660909244,0.0,0.00023387266056878225,9.496884553560189e-05,0.00023441288088049206,0.0002456717991403171,0.00023276358842849731,0.00027470679155417854,0.00022435922707830157,0.0006702193724257606,0.0002243203776223319,0.0006696490836994989,0.00022379936916487557,0.0006871021219662257,0.0002221957647374698,0.0006912251668316977,0.0021288203696409862,0.0017166856676340103,0.00034582683195670446,0.001031038910150528,0.003167248839142747,0.001034771278500557,0.0,0.001107233017683029,0.000572715513408184,0.0010902212311824163,0.001310541108250618,0.0010882078359524408,0.001374136780699094,0.0010488808155059814,0.0027508584161599478,0.0010565117001533509,0.0030736736953258514,0.0010459307581186295,0.0031886699299017588,0.001043743391831716,0.003209293882052104
UNeuralNetwork,0.0001,8.0,40.0,True,8.0,0.0004502966467823301,0.0003639968378203256,6.847943046263286e-05,0.00020634763474975315,0.0006769596915699618,0.00020557916057961328,0.0,0.0002159180784864085,0.0001141055886234556,0.00021593863410609109,0.0002899358847311565,0.0002149130084684917,0.00028767529875040054,0.00020941968208977154,0.00067818569285529,0.0002080288316522326,0.0006946322109018053,0.00020785132156951087,0.0007017664611339569,0.0002066612509744508,0.0007048447217260089,0.002084089070558548,0.0016956376532713572,0.00031431779886285466,0.0009595227738221486,0.0031820392474756075,0.0009635853891571363,0.0,0.0010131678233544033,0.0005877481773495675,0.0010097908476988475,0.0016639451185862222,0.0010000410800178846,0.001500591014822324,0.0009794500345985094,0.002815424154202143,0.0009805840750535329,0.003238799919684728,0.0009727206702033679,0.003263779977957408,0.0009686018650730451,0.0032825832565625507
UNeuralNetwork,0.0001,8.0,40.0,True,9.0,0.0004411264189652034,0.00035950317978858946,6.260278501680919e-05,0.00019121903127857618,0.0006799210444321736,0.00019019943262849536,0.0,0.00019697891548275948,0.0001408686994441918,0.00020101872671927725,0.0002770421228238514,0.0001991742423602513,0.00029448020671095165,0.000193228293210268,0.0007081583674464907,0.0001924150889473302,0.0006983159908226558,0.00019222681543656757,0.0007177107036113739,0.0001907413825392723,0.0007226298430136271,0.0020297398169835407,0.001672474667429924,0.00028424924239516257,0.0008840338016549746,0.0031988319114721283,0.0008887575939297676,0.0,0.0009316727519035339,0.0007157197222113609,0.0009313536807894707,0.0013574520746866862,0.0009395246083537738,0.001313460742433866,0.0009030542025963465,0.0027175188064575196,0.0009025088821848233,0.0032044775784015656,0.000895914559563001,0.0033499745031197866,0.0008906188731392224,0.0033749150733153026
