Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
J,4,0.12566174566745758,0.3581286072731018,0.02306744083762169,0.04813879728317261,0.8244467218394493,0.03431478142738342,0.6567684412002563
I,6,0.08468709886074066,0.35185202956199646,0.008091085590422153,0.02622469887137413,0.8567139270339007,0.021256297826766968,0.27136167883872986
N,32,0.06930988281965256,0.3299001455307007,0.0031226566061377525,0.00995258055627346,0.9312953524893237,0.013348531909286976,0.9569590091705322
I,34,0.08431435376405716,0.3529621362686157,0.008606038056313992,0.02541288360953331,0.8893168350316896,0.02207968197762966,0.19720332324504852
H,52,0.07895051687955856,0.36852511763572693,0.006259436719119549,0.020310118794441223,0.9191263013177863,0.01690935529768467,0.08340232074260712
J,80,0.08443580567836761,0.3471291661262512,0.008787773549556732,0.025414075702428818,0.8902456292281083,0.022891467437148094,0.29679596424102783
K,95,0.08116153627634048,0.3423616588115692,0.008435694500803947,0.020160844549536705,0.9165364659521341,0.014139990322291851,0.5215392112731934
L,109,0.07937236875295639,0.3394421339035034,0.006784830242395401,0.022168418392539024,0.8833853810175788,0.02174164168536663,0.5082076787948608
M,110,0.07934114336967468,0.33345621824264526,0.0063195498660206795,0.014353318139910698,0.9001004334275301,0.01280495896935463,0.9086136221885681
L,114,0.0699109137058258,0.3346134424209595,0.00364275136962533,0.014952844008803368,0.9279067642024409,0.017925765365362167,0.21529316902160645
N,120,0.0699753612279892,0.33089596033096313,0.003629744052886963,0.011184104718267918,0.9240440857736394,0.014592115767300129,0.9150172472000122
M,124,0.08101345598697662,0.334399938583374,0.0068077342584729195,0.015754666179418564,0.9020573929526533,0.015886232256889343,0.9333301186561584
M,140,0.08378583192825317,0.33583199977874756,0.00812003668397665,0.01664021983742714,0.9189522579275097,0.014526641927659512,0.9125745892524719
I,144,0.09549017995595932,0.35389500856399536,0.012520769611001015,0.030092427507042885,0.8596370938954352,0.02806345373392105,0.2124706208705902
H,147,0.07823347300291061,0.367159903049469,0.004765545949339867,0.018206393346190453,0.9289320206626629,0.013108178973197937,0.09102529287338257
L,149,0.07273035496473312,0.3366103172302246,0.00488321715965867,0.01605558767914772,0.917537158401683,0.015478163957595825,0.47433650493621826
M,152,0.0698261559009552,0.33338993787765503,0.003989059943705797,0.013794977217912674,0.9297998931445182,0.014764595776796341,0.6373030543327332
M,158,0.08847421407699585,0.33582714200019836,0.007815712131559849,0.018060853704810143,0.8665055404021041,0.01793741248548031,0.9547516107559204
K,167,0.0711631253361702,0.3374409079551697,0.0036701138596981764,0.014247306622564793,0.9412486647721381,0.014885671436786652,0.11083176732063293
M,176,0.08799851685762405,0.3359955847263336,0.008072525262832642,0.018156927078962326,0.8889627028986555,0.01731850765645504,0.9431669116020203
M,194,0.08621913939714432,0.3362511396408081,0.008454615250229836,0.017690416425466537,0.8943730084288413,0.01578063704073429,0.9248668551445007
J,195,0.07568731904029846,0.3420152962207794,0.005641730967909098,0.01555757224559784,0.9310720909805968,0.013462471775710583,0.1920137107372284
I,199,0.07559992372989655,0.3472039997577667,0.004533929750323296,0.01628199964761734,0.9294418152670066,0.01529784593731165,0.11847580969333649
0,216,0.057209014892578125,0.32563188672065735,2.1707222913391888e-05,0.003575189271941781,0.9863253268475335,0.009113801643252373,0.0
J,217,0.09082013368606567,0.3502507209777832,0.010672745294868946,0.029490554705262184,0.8172944135405609,0.024837354198098183,0.3234960436820984
J,219,0.07614441961050034,0.3435593843460083,0.0051488191820681095,0.018986906856298447,0.9260922298176836,0.01678404211997986,0.17567948997020721
L,221,0.08226542174816132,0.3372296988964081,0.00805679615586996,0.018122367560863495,0.895702772368677,0.011996443383395672,0.7591874599456787
N,224,0.06867368519306183,0.32962653040885925,0.0030236837919801474,0.010054209269583225,0.9392503043285615,0.012466865591704845,0.9372081160545349
M,225,0.07244700193405151,0.33426031470298767,0.005157744977623224,0.014711898751556873,0.9177178813998278,0.015822097659111023,0.7456748485565186
0,231,0.05732947960495949,0.3259393274784088,3.36986304318998e-05,0.003982329275459051,0.9802498519668977,0.010287720710039139,0.0
0,233,0.05731450393795967,0.32569053769111633,2.547728581703268e-05,0.0036976453848183155,0.9845748458678525,0.009337254799902439,0.0
I,237,0.07892847806215286,0.3520110547542572,0.006240654271095991,0.022431669756770134,0.8821962504057835,0.018657544627785683,0.21924220025539398
J,248,0.08321436494588852,0.348215252161026,0.007785954512655735,0.026450470089912415,0.8867506741375353,0.022470947355031967,0.36168816685676575
I,251,0.0769684910774231,0.34791460633277893,0.005035629961639643,0.01646893471479416,0.9400928717370456,0.010874515399336815,0.17831215262413025
N,262,0.07281748950481415,0.33023080229759216,0.0036438803654164076,0.010794227011501789,0.9316311936344482,0.012939582578837872,0.9713208675384521
L,266,0.08090689778327942,0.3383767008781433,0.007756013888865709,0.020668547600507736,0.9010272924080589,0.017794741317629814,0.6496536731719971
I,267,0.10471618920564651,0.36113521456718445,0.01321513019502163,0.036059461534023285,0.7683584814142281,0.028481243178248405,0.28862154483795166
K,268,0.09520677477121353,0.3469778001308441,0.012850682251155376,0.030410846695303917,0.8485462057712722,0.022386670112609863,0.7218242883682251
H,269,0.07692062109708786,0.36791518330574036,0.00493670254945755,0.020207488909363747,0.8965574253655118,0.01667739637196064,0.10175632685422897
M,270,0.08202753961086273,0.33580100536346436,0.007563748396933079,0.018654407933354378,0.8886118217546314,0.016986452043056488,0.857035219669342
I,275,0.0902622789144516,0.35256725549697876,0.010330790653824806,0.02983180806040764,0.8618633598651892,0.027857426553964615,0.22352935373783112
L,280,0.07718855887651443,0.3370716869831085,0.0058534531854093075,0.02028673142194748,0.8737154775136151,0.019174739718437195,0.44422319531440735
0,285,0.0576474592089653,0.3257603347301483,3.408664997550659e-05,0.004142621997743845,0.9793196526542307,0.009601478464901447,0.0
M,292,0.09091168642044067,0.3372468054294586,0.009491171687841415,0.018283482640981674,0.8849088560013418,0.015485158190131187,0.9419493675231934
J,297,0.08027422428131104,0.3461461365222931,0.007201757747679949,0.02180972695350647,0.9031047894872609,0.019895561039447784,0.23831726610660553
M,317,0.08757971972227097,0.3343685567378998,0.007289289031177759,0.01467011496424675,0.8953185183466424,0.014319229871034622,0.9707053899765015
J,323,0.09513293206691742,0.3502980172634125,0.012129397131502628,0.033775173127651215,0.8519280980085994,0.028884952887892723,0.3888358473777771
H,325,0.08090419322252274,0.3639814257621765,0.00380484270863235,0.017944268882274628,0.9374675914862505,0.014358674176037312,0.06453252583742142
I,330,0.1111515462398529,0.36043909192085266,0.014420309104025364,0.029957450926303864,0.8294941544776006,0.018993685021996498,0.27465295791625977
N,332,0.06926683336496353,0.33039048314094543,0.0032029913272708654,0.011307580396533012,0.9160234324059517,0.015337878838181496,0.9368054866790771
K,335,0.11699458211660385,0.35382768511772156,0.019878100603818893,0.037091195583343506,0.8160365314874799,0.02066897042095661,0.781556248664856
H,343,0.07309390604496002,0.3668045699596405,0.004239290487021208,0.017618535086512566,0.9353299875774732,0.01737596094608307,0.06434426456689835
L,351,0.0793028175830841,0.3392569124698639,0.007182905916124582,0.020786207169294357,0.8933517807161359,0.0170504879206419,0.5950738787651062
N,354,0.06930988281965256,0.3299001455307007,0.0031226566061377525,0.00995258055627346,0.9312953524893237,0.013348531909286976,0.9569590091705322
L,359,0.08339356631040573,0.33894824981689453,0.008133702911436558,0.022385818883776665,0.841540108138385,0.020172249525785446,0.658687949180603
L,396,0.09346124529838562,0.3399776816368103,0.011272513307631016,0.02182762324810028,0.8831249062940091,0.016316361725330353,0.898837149143219
N,409,0.0700128823518753,0.33006495237350464,0.003293712856248021,0.010304898023605347,0.9336083993397674,0.013271493837237358,0.9512310028076172
J,410,0.12021540850400925,0.3580273687839508,0.022110698744654655,0.042444802820682526,0.8308389062236287,0.02430446818470955,0.7575160264968872
K,413,0.07673531770706177,0.33909034729003906,0.005775952711701393,0.019152874127030373,0.9063081847581392,0.020603859797120094,0.17185774445533752
K,418,0.08650707453489304,0.34662801027297974,0.008928964845836163,0.028189117088913918,0.853598232229803,0.024066833779215813,0.37214183807373047
H,428,0.07807570695877075,0.3644520044326782,0.005329302977770567,0.019113827496767044,0.924547437048362,0.01575418934226036,0.0900687426328659
L,436,0.07623433321714401,0.3377995491027832,0.004816482309252024,0.021918287500739098,0.8410466366362138,0.023490501567721367,0.32792478799819946
N,439,0.07296345382928848,0.33011236786842346,0.003306492930278182,0.00946007575839758,0.9322036631463168,0.013888782821595669,0.9875430464744568
K,441,0.07327577471733093,0.3384922444820404,0.00427241949364543,0.01607736386358738,0.9292020707934474,0.016377544030547142,0.1868932843208313
0,444,0.057637304067611694,0.32607534527778625,4.886695751338266e-05,0.004479523748159409,0.9750266300141812,0.010803211480379105,0.0
L,454,0.07633829861879349,0.33787134289741516,0.005958843976259232,0.018541203811764717,0.9110439327002193,0.019208179786801338,0.3080354630947113
M,457,0.07852068543434143,0.33404675126075745,0.006532724015414715,0.014895412139594555,0.9114012008296171,0.014380518347024918,0.9056841135025024
J,460,0.09805692732334137,0.35028594732284546,0.01343497633934021,0.0308785792440176,0.8559053472801074,0.021793875843286514,0.4798126816749573
K,462,0.07628228515386581,0.3408384323120117,0.0055055804550647736,0.019472306594252586,0.9151089998901202,0.01632791943848133,0.3325934410095215
J,465,0.09948994964361191,0.3517565131187439,0.013700110837817192,0.03541477024555206,0.8504736400448504,0.02711421437561512,0.46427756547927856
H,466,0.07981397956609726,0.36428916454315186,0.005418197251856327,0.019339559599757195,0.9266243939117219,0.01662771962583065,0.07199884206056595
0,471,0.05725250393152237,0.32573655247688293,2.4511584342690185e-05,0.0036514848470687866,0.9847396493082246,0.009513874538242817,0.0
K,476,0.0710597038269043,0.3385907709598541,0.003980641718953848,0.015168571844696999,0.9252300024715563,0.01691047102212906,0.13883285224437714
