Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
J,4,1.969974398612976,0.3603740632534027,0.03670702874660492,0.06172950938344002,0.8030054914759179,0.029850680381059647,0.7658902406692505
I,6,0.5521200895309448,0.35266971588134766,0.016194775700569153,0.032831259071826935,0.807176221036328,0.008362364023923874,0.4118352234363556
N,32,0.8985983729362488,0.3267490267753601,0.003705509938299656,0.013491744175553322,0.9581243601857083,0.0007058946066536009,0.9997984170913696
I,34,1.1170501708984375,0.35132884979248047,0.010904950089752674,0.028589356690645218,0.8977386448429426,0.008304115384817123,0.2581555247306824
H,52,0.8128582835197449,0.3702087104320526,0.010259035974740982,0.031094564124941826,0.878637207572659,0.011942977085709572,0.1327839195728302
J,80,0.8195523023605347,0.34464603662490845,0.01105791050940752,0.027797069400548935,0.9025188340366004,0.007884051650762558,0.35930776596069336
K,95,1.027449607849121,0.34214743971824646,0.014189202338457108,0.027179114520549774,0.9252997354152225,0.0016174627235159278,0.7221106290817261
L,109,0.585824191570282,0.33601564168930054,0.008865171112120152,0.022260058671236038,0.9189909162634529,0.004173139110207558,0.6132561564445496
M,110,1.043834924697876,0.33120885491371155,0.007927610538899899,0.0183731559664011,0.8967059949212884,0.0021282576490193605,0.9985771179199219
L,114,1.1540255546569824,0.3341662287712097,0.008475806564092636,0.020759623497724533,0.932692511881866,0.0035460656508803368,0.6199716925621033
N,120,1.0292491912841797,0.3276452422142029,0.004529659636318684,0.014349248260259628,0.9504528764654243,0.0010083753149956465,1.0
M,124,0.72258460521698,0.3309772312641144,0.007743363734334707,0.017673762515187263,0.9313064710724455,0.0013531141448765993,0.9954637885093689
M,140,0.9822843670845032,0.3329814374446869,0.009841054677963257,0.019686028361320496,0.930440879683556,0.0011213076068088412,0.9999614953994751
I,144,0.6696622371673584,0.3511888086795807,0.013895922340452671,0.03179802745580673,0.8807316495452445,0.012781710363924503,0.25234079360961914
H,147,0.7686715722084045,0.36707308888435364,0.004609580151736736,0.023622823879122734,0.9117919996442895,0.0029214629903435707,0.13956031203269958
L,149,0.6595789790153503,0.3339746296405792,0.006522828247398138,0.01908436231315136,0.9389463498008749,0.0023253646213561296,0.5501466989517212
M,152,0.9090600609779358,0.3303723931312561,0.005151768215000629,0.01650068908929825,0.9314224524058713,0.0021429043263196945,0.6639156341552734
M,158,0.7949528098106384,0.3321138620376587,0.00871312152594328,0.018967155367136,0.8847311491786685,0.002485570963472128,0.9985948801040649
K,167,0.8179084658622742,0.33688217401504517,0.006441113539040089,0.021104982122778893,0.9270129987946713,0.00854398775845766,0.17487375438213348
M,176,1.0698177814483643,0.3325146734714508,0.009103446267545223,0.019309619441628456,0.9003007577411942,0.0024449455086141825,0.9998144507408142
M,194,1.0220036506652832,0.3331144154071808,0.009845182299613953,0.019972261041402817,0.9214636936071626,0.0017142262076959014,0.995784342288971
J,195,1.138311743736267,0.34216660261154175,0.009618133306503296,0.023040741682052612,0.9269722933541926,0.004318137187510729,0.3193683922290802
I,199,0.7397401928901672,0.3458700180053711,0.005014672875404358,0.02126319706439972,0.9253876803155678,0.0057821450755000114,0.16170810163021088
0,216,0.7201429605484009,0.32344651222229004,0.00043971906416118145,0.010261946357786655,0.9890680444752799,0.000564425892662257,0.0
J,217,2.555948495864868,0.3578145205974579,0.03138011321425438,0.04582052677869797,0.8119863985880814,0.007248073350638151,0.8459470868110657
J,219,1.2369390726089478,0.34341371059417725,0.009377345442771912,0.024135027080774307,0.911745317336754,0.005584967788308859,0.30467167496681213
L,221,0.7533571720123291,0.3341732323169708,0.0073243398219347,0.02072433941066265,0.8885870967105439,0.0035979715175926685,0.6384029388427734
N,224,0.9569073915481567,0.32673901319503784,0.0037065050564706326,0.013506762683391571,0.9594608827030849,0.0006657076301053166,0.9999999403953552
M,225,0.6891342401504517,0.3310239017009735,0.00614488311111927,0.018238907679915428,0.933663693118142,0.0031759142875671387,0.7285014986991882
