Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
J,4,0.41784921288490295,0.3378622829914093,0.00044806060031987727,0.008524206466972828,0.9662202481428783,0.005893676541745663,0.030708743259310722
I,6,0.371845543384552,0.341848760843277,0.0010386018548160791,0.008954553864896297,0.9635236574957768,0.004821348004043102,0.039310015738010406
N,32,0.3082021176815033,0.32763415575027466,0.0032940313685685396,0.009884197264909744,0.9610035148694807,0.004328220151364803,0.9928182363510132
I,34,0.5978695750236511,0.34307220578193665,0.00014149020717013627,0.007794485427439213,0.9893015113472939,0.004043817054480314,0.01571544259786606
H,52,0.6083405017852783,0.3608144223690033,8.91673334990628e-05,0.007095495238900185,0.9748418114955227,0.003907899372279644,0.0022317839320749044
J,80,0.5443799495697021,0.3379501402378082,0.0007929426501505077,0.010124254040420055,0.9837076487019659,0.00579814100638032,0.05494190752506256
K,95,0.5195116400718689,0.3338092267513275,0.0005739817279390991,0.008886716328561306,0.9895673656649888,0.0040684971027076244,0.07898279279470444
L,109,0.4594375789165497,0.3316066563129425,0.0011210101656615734,0.010226069949567318,0.9800860623487583,0.005422243382781744,0.12539231777191162
M,110,0.43775197863578796,0.3300907611846924,0.0031298650428652763,0.012465430423617363,0.9496975244760203,0.005544503219425678,0.6095758676528931
L,114,0.6102054119110107,0.33051761984825134,0.0011941796401515603,0.010296007618308067,0.9817809986944,0.005398358218371868,0.12323097884654999
N,120,0.5510674715042114,0.3283062279224396,0.004097939468920231,0.010777158662676811,0.9637134071428227,0.0037885401397943497,0.9932626485824585
M,124,0.2877955138683319,0.3327683210372925,0.007167731411755085,0.01753345876932144,0.8947505265183282,0.00951437372714281,0.92843097448349
M,140,0.9435105323791504,0.3338901698589325,0.009474706836044788,0.01586948148906231,0.9369333854906745,0.004792576655745506,0.9999926090240479
I,144,0.5995041728019714,0.34169089794158936,9.689074795460328e-05,0.007107068784534931,0.9911671609431506,0.0037009164225310087,0.007378313224762678
H,147,0.6018326878547668,0.3601917028427124,0.00027123591280542314,0.007148567121475935,0.9747919200360775,0.0033785621635615826,0.004248188808560371
L,149,0.4599842429161072,0.3321715295314789,0.0028399317525327206,0.01196757797151804,0.9589588544735065,0.006357781123369932,0.2173723429441452
M,152,0.33912575244903564,0.33234071731567383,0.004968024790287018,0.01626082882285118,0.9246275077791264,0.009364860132336617,0.693435788154602
M,158,0.7584094405174255,0.33271580934524536,0.00808904692530632,0.015260766260325909,0.9152601230944235,0.005408108234405518,0.9782510995864868
K,167,0.5866960883140564,0.3336605727672577,0.00043931714026257396,0.008243689313530922,0.9923640942387284,0.003719876753166318,0.060457710176706314
M,176,0.9936472773551941,0.3327881693840027,0.007988831028342247,0.015506692230701447,0.9391019087714919,0.005084444768726826,0.9351317882537842
M,194,0.28333500027656555,0.33310142159461975,0.005761295557022095,0.01734154485166073,0.9065435358478378,0.010614968836307526,0.611739993095398
J,195,0.5767669081687927,0.33681443333625793,0.0008781581418588758,0.00915483944118023,0.9843633074375491,0.004846933297812939,0.03383305296301842
I,199,0.6304747462272644,0.3411731421947479,7.737308624200523e-05,0.006968358531594276,0.9905484277755022,0.0036208394449204206,0.0026184525340795517
0,216,0.4639502167701721,0.3241596519947052,6.540361937368289e-05,0.006727333180606365,0.9956421686336399,0.0034547210671007633,0.0
J,217,2.0283961296081543,0.35463279485702515,0.02644265443086624,0.034105751663446426,0.9227250394847997,0.004088586196303368,0.7456075549125671
J,219,0.6017410159111023,0.3385985791683197,0.0013785510091111064,0.011775130406022072,0.9663180318684318,0.008316315710544586,0.03252861276268959
L,221,0.6130800247192383,0.33252784609794617,0.0027347032446414232,0.01513582281768322,0.9192125635920093,0.009680178947746754,0.23544785380363464
N,224,0.37852439284324646,0.32772502303123474,0.00332086649723351,0.01057844702154398,0.9419599265409246,0.0046982732601463795,0.9881789684295654
M,225,0.30191850662231445,0.3325445055961609,0.006767659448087215,0.018565980717539787,0.9357539690476067,0.012443027459084988,0.5107242465019226
0,231,0.405065655708313,0.32422640919685364,6.533229316119105e-05,0.006637516897171736,0.9925612646217148,0.00371052254922688,0.0
0,233,0.45697021484375,0.3241618573665619,6.565572402905673e-05,0.00668528163805604,0.9948065600668391,0.003463062923401594,0.0
I,237,0.5749123692512512,0.3427000641822815,0.00028426057542674243,0.007740626577287912,0.9875634483496348,0.004120414610952139,0.011823310516774654
J,248,0.2966873347759247,0.3393608033657074,0.0011188510106876493,0.011994914151728153,0.9690795001046112,0.0078026363626122475,0.09747213125228882
I,251,0.6322728395462036,0.3418724834918976,0.0004914851160719991,0.007436143700033426,0.9893833750486375,0.003486720845103264,0.018901942297816277
N,262,0.3827843964099884,0.32808366417884827,0.0036958432756364346,0.010818061418831348,0.9468671284063749,0.004536575172096491,0.9875507354736328
L,266,0.4347711205482483,0.33290281891822815,0.003713046433404088,0.014727841131389141,0.9591771257148746,0.008332593366503716,0.27941542863845825
I,267,0.6179126501083374,0.3484586179256439,0.003293038345873356,0.011908226646482944,0.9092884185709742,0.0048298584297299385,0.0862472802400589
K,268,0.31205815076828003,0.33567431569099426,0.0016353086102753878,0.013869276270270348,0.9345558051958991,0.00915196817368269,0.13483861088752747
H,269,0.5937806367874146,0.3596149682998657,6.783628487028182e-05,0.00706405658274889,0.9771368549888333,0.003872035536915064,0.0015386880841106176
M,270,0.9771094918251038,0.33363983035087585,0.00883155781775713,0.01664676144719124,0.9069140224587046,0.006018058862537146,0.9714748859405518
I,275,0.43877604603767395,0.34336668252944946,0.0023604517336934805,0.012279566377401352,0.9454694691952319,0.006447039544582367,0.08710769563913345
L,280,0.7717334032058716,0.3314979076385498,0.002956588752567768,0.011299890466034412,0.9668932045282176,0.006008804775774479,0.17405344545841217
0,285,0.5503070950508118,0.32412782311439514,6.71153684379533e-05,0.0068365298211574554,0.9961977168669304,0.003331876127049327,0.0
M,292,0.9158854484558105,0.3347351551055908,0.010074218735098839,0.017001740634441376,0.9270997615478701,0.004757281392812729,0.977803111076355
J,297,0.3411063551902771,0.3379630744457245,0.0003430474316701293,0.00840520579367876,0.9766665924247355,0.005960491485893726,0.013309427537024021
M,317,0.40553003549575806,0.33252382278442383,0.007846735417842865,0.016566775739192963,0.8995153298464721,0.006961310748010874,0.971202552318573
J,323,0.3749292492866516,0.33678722381591797,0.00030107589554972947,0.0075437212362885475,0.9898018899435799,0.00438989233225584,0.018329711630940437
H,325,0.6579872369766235,0.3583561182022095,0.0004760902374982834,0.007298798765987158,0.9751932099399468,0.0034248074516654015,0.005610859487205744
I,330,1.150673270225525,0.35204148292541504,0.008043250069022179,0.015374714508652687,0.9351582998319161,0.003956850618124008,0.14227651059627533
N,332,0.5051988363265991,0.3274741768836975,0.003326886100694537,0.009932335466146469,0.9642820342447279,0.0036593584809452295,0.998927891254425
K,335,0.37941473722457886,0.3466291129589081,0.011339926160871983,0.02823692373931408,0.8728288343525977,0.012103511020541191,0.514789342880249
H,343,0.5754676461219788,0.3603193759918213,0.000368882087059319,0.007350251078605652,0.9765071632837257,0.004019991960376501,0.0035367333330214024
L,351,0.7718381881713867,0.336057186126709,0.007445650175213814,0.016516050323843956,0.9574235159360979,0.0044393218122422695,0.5943286418914795
N,354,0.3082021176815033,0.32763415575027466,0.0032940313685685396,0.009884197264909744,0.9610035148694807,0.004328220151364803,0.9928182363510132
L,359,0.5878381133079529,0.332268089056015,0.00274913152679801,0.012463114224374294,0.9572110161193026,0.00538972020149231,0.32660797238349915
L,396,0.36550432443618774,0.3347302973270416,0.00543495686724782,0.017745546996593475,0.9193152251071297,0.009766758419573307,0.4790370762348175
N,409,0.3887529969215393,0.32760149240493774,0.003095094347372651,0.009779509156942368,0.9650750551302918,0.004031526390463114,0.928848385810852
J,410,0.35085347294807434,0.353630930185318,0.01940031163394451,0.040293943136930466,0.8683256772605091,0.019263865426182747,0.5980666279792786
K,413,0.6114261746406555,0.33290910720825195,0.00047896127216517925,0.008391701616346836,0.9889923423963289,0.004825532902032137,0.026195654645562172
K,418,0.4303020238876343,0.338211327791214,0.0027084997855126858,0.01237685140222311,0.9626471356186085,0.004968621302396059,0.1735571175813675
H,428,0.6199632287025452,0.35715723037719727,0.000255782826570794,0.00719768600538373,0.977966366969049,0.003970189020037651,0.00067895621759817
L,436,0.694974958896637,0.33204323053359985,0.0026180469430983067,0.011436142027378082,0.962014179561132,0.005833480507135391,0.1949051022529602
N,439,0.35205158591270447,0.32755282521247864,0.00333323678933084,0.009947304613888264,0.9615458432894556,0.003952764440327883,0.9999155402183533
K,441,0.6013214588165283,0.33279794454574585,0.00010308376658940688,0.007230591960251331,0.994475946550568,0.003801765851676464,0.00797369796782732
0,444,0.40530574321746826,0.32429346442222595,7.60974726290442e-05,0.006885948125272989,0.9846459544698398,0.0039634364657104015,0.0
L,454,0.5329479575157166,0.3324277997016907,0.001475804834626615,0.010393540374934673,0.9773347279196606,0.004613242112100124,0.16686230897903442
M,457,0.3363783061504364,0.3337109088897705,0.008056007325649261,0.0201199259608984,0.8809888043723428,0.01216577272862196,0.9257113337516785
J,460,0.509557843208313,0.3382294476032257,0.0010547401616349816,0.010095449164509773,0.9831882156633462,0.004106178879737854,0.10108930617570877
K,462,0.5630484223365784,0.3348912000656128,0.0017489040037617087,0.011033773422241211,0.9758497178407076,0.005980851594358683,0.08965564519166946
J,465,0.3979012966156006,0.3382880985736847,0.0011517290258780122,0.01050558127462864,0.9610553783504293,0.007779614068567753,0.03292646259069443
H,466,0.634835958480835,0.35762324929237366,0.00028744569863192737,0.0073545328341424465,0.9779379387820761,0.0035050774458795786,0.004886887036263943
0,471,0.44451528787612915,0.32416728138923645,6.504409248009324e-05,0.006654311902821064,0.9951796975856027,0.003483973443508148,0.0
K,476,0.6359566450119019,0.33336323499679565,0.00011999996058875695,0.007617654278874397,0.9907189713418484,0.0042616152204573154,0.006334027741104364
L,478,0.4423915147781372,0.33236390352249146,0.003537427634000778,0.014294300228357315,0.9450242195022293,0.009592106565833092,0.2005872130393982
J,480,0.5293439626693726,0.33641862869262695,0.00011132498912047595,0.007279956713318825,0.9899087737624844,0.004228584934026003,0.00903252512216568
N,484,0.373439759016037,0.32752305269241333,0.0033280844800174236,0.009864444844424725,0.962609665325205,0.0038443971425294876,0.9993045330047607
N,501,0.5545358657836914,0.3284812867641449,0.0042710271663963795,0.01089058443903923,0.9586424117752177,0.0037259298842400312,0.9894134998321533
M,512,0.663671612739563,0.3329034745693207,0.008191951550543308,0.015604761429131031,0.9116501008228625,0.005879800301045179,0.9910922050476074
H,521,0.6071943044662476,0.35921281576156616,0.00021874267258681357,0.007104102987796068,0.9770847525944313,0.003797233570367098,0.0011953820940107107
M,536,0.9105831980705261,0.33300986886024475,0.008162369951605797,0.015620201826095581,0.9274666996168739,0.005713034886866808,0.9441370368003845
L,558,0.7761455178260803,0.33237290382385254,0.0029000414069741964,0.010252807289361954,0.9763529547214664,0.004337760154157877,0.17122216522693634
