Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
J,4,0.06367269158363342,0.34030088782310486,0.0008770082495175302,0.009642180055379868,0.9503118249028921,0.014633356593549252,0.0422840379178524
I,6,0.05955483391880989,0.34261247515678406,0.00017074334027711302,0.004926096647977829,0.9827166768535972,0.010177948512136936,0.01790090650320053
N,32,0.06743956357240677,0.3298017978668213,0.0029606595635414124,0.008206283673644066,0.9457440168543447,0.013218339532613754,0.9292551279067993
I,34,0.06080179288983345,0.3461518883705139,0.000639681878965348,0.006955576129257679,0.9749801195630183,0.011427707970142365,0.06415421515703201
H,52,0.058819856494665146,0.3629997968673706,0.00011616879783105105,0.004608872812241316,0.9842572206631304,0.009907234460115433,0.018077338114380836
J,80,0.0650583878159523,0.34060394763946533,0.0017273167613893747,0.010251595638692379,0.9668698718460899,0.01354657020419836,0.0914078801870346
K,95,0.06173661723732948,0.3359842598438263,0.000746430829167366,0.007839523255825043,0.9740952742720644,0.011547516100108624,0.10108217597007751
L,109,0.06362535804510117,0.3338578939437866,0.0013336719712242484,0.00931849330663681,0.9591954947604487,0.013457215391099453,0.1468915194272995
M,110,0.06444010883569717,0.3315669298171997,0.0021960826124995947,0.009738816879689693,0.9423340959226092,0.013461808674037457,0.4855540096759796
L,114,0.06134096905589104,0.3322535455226898,0.0010246924357488751,0.006533196661621332,0.9810395449772478,0.011362764053046703,0.15640175342559814
N,120,0.06869415193796158,0.3306681513786316,0.0035383240319788456,0.009969038888812065,0.9305971289591738,0.013973640277981758,0.8883651494979858
M,124,0.08022337406873703,0.33443132042884827,0.0066375816240906715,0.015754852443933487,0.9014837754397499,0.01676059700548649,0.8876807689666748
M,140,0.08025115728378296,0.3361096680164337,0.007551185321062803,0.016652526333928108,0.9008924367371948,0.01682974584400654,0.8604872226715088
I,144,0.060314156115055084,0.3437979519367218,0.0002501659037079662,0.005916414316743612,0.9807269900664688,0.010813533328473568,0.021328235045075417
H,147,0.057790737599134445,0.362155020236969,4.048833216074854e-05,0.003474427852779627,0.9865200668945909,0.00982308853417635,0.014120128937065601
L,149,0.06713150441646576,0.3346545100212097,0.00312711950391531,0.011399311944842339,0.9475069994976124,0.014206145890057087,0.2778972387313843
M,152,0.06780406087636948,0.3329980671405792,0.003214707365259528,0.01247665286064148,0.9328192890031884,0.01622719131410122,0.4791214168071747
M,158,0.08006857335567474,0.3349978029727936,0.007233985234051943,0.016033712774515152,0.8999705094168895,0.016201872378587723,0.8804248571395874
K,167,0.05974048003554344,0.33535173535346985,0.0002874316705856472,0.005602901801466942,0.9789426041239252,0.010898718610405922,0.05035749077796936
M,176,0.07341860979795456,0.33438926935195923,0.00542646087706089,0.01528259925544262,0.9151177547786696,0.016524499282240868,0.6934442520141602
M,194,0.08078304678201675,0.3360193073749542,0.00759123032912612,0.01742561347782612,0.8924084562490074,0.01666681095957756,0.849966287612915
J,195,0.06084785610437393,0.3385179042816162,0.0005329538835212588,0.006098893471062183,0.9796197627981504,0.010930732823908329,0.04695452004671097
I,199,0.059794750064611435,0.3429805338382721,7.117313361959532e-05,0.004247716628015041,0.9781544131040574,0.010188904590904713,0.010273261927068233
0,216,0.05627264082431793,0.3258897364139557,5.75842204852961e-06,0.0015570615651085973,0.9978726283957562,0.010108169168233871,0.0
J,217,0.0619238056242466,0.34073391556739807,0.00035633702646009624,0.007923373952507973,0.9470656655232113,0.01214164774864912,0.04143458977341652
J,219,0.06536992639303207,0.34106630086898804,0.002027902752161026,0.010314642451703548,0.9577311382954941,0.014942594803869724,0.07569221407175064
L,221,0.06357547640800476,0.3329274654388428,0.0010789762018248439,0.010090075433254242,0.939255183856003,0.014487353153526783,0.13677726686000824
N,224,0.06872087717056274,0.33019906282424927,0.003215720411390066,0.010120819322764874,0.9236068408589806,0.0146897928789258,0.9228633642196655
M,225,0.07350167632102966,0.3340873718261719,0.005742062348872423,0.015137078240513802,0.9327557676899597,0.0178441870957613,0.5711407661437988
