Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
J,4,0.059577204287052155,0.3385174870491028,8.12374782981351e-05,0.003195803612470627,0.9842615392804146,0.010411369614303112,0.0042820642702281475
I,6,0.06455603986978531,0.34198713302612305,3.511792601784691e-05,0.0032448081765323877,0.9874803157771628,0.009270603768527508,0.00030334541224874556
N,32,0.07241000235080719,0.3304898142814636,0.0033196855802088976,0.009095764718949795,0.9411948353365885,0.015340431593358517,0.98675137758255
I,34,0.060053229331970215,0.3440265357494354,2.247048723802436e-05,0.002615586621686816,0.9923966899948816,0.009089614264667034,0.004139499273151159
H,52,0.06083306670188904,0.3624347746372223,2.685915751499124e-05,0.0030102424789220095,0.9898768159747124,0.00894174538552761,0.011337807402014732
J,80,0.06320764124393463,0.3380287289619446,0.00017852196469902992,0.002951218979433179,0.9918267702683807,0.009677284397184849,0.003915079869329929
K,95,0.059258848428726196,0.3345631957054138,0.00010690050839912146,0.0028868154622614384,0.9910234687974057,0.010341553948819637,0.00963416788727045
L,109,0.07166591286659241,0.3356480002403259,0.005295919254422188,0.0114982258528471,0.9501077509725777,0.015488365665078163,0.2510654628276825
M,110,0.06460639834403992,0.3316460847854614,0.002496306551620364,0.009198451414704323,0.9433526937353115,0.013219648972153664,0.5138869881629944
L,114,0.05824290215969086,0.330628365278244,1.108487049350515e-05,0.0021959326695650816,0.9949709636469682,0.009434666484594345,0.002252975245937705
N,120,0.070543073117733,0.33041855692863464,0.0038299874868243933,0.00776693457737565,0.9508990721558864,0.012316865846514702,0.9580432772636414
M,124,0.0766369104385376,0.3343634009361267,0.005984889809042215,0.014161213301122189,0.9204200504462885,0.017094802111387253,0.865092933177948
M,140,0.08681053668260574,0.33677735924720764,0.008504492230713367,0.01706363447010517,0.9123095866268736,0.01769198477268219,0.9303333163261414
I,144,0.061949361115694046,0.3432060182094574,9.579658944858238e-05,0.003650839440524578,0.9726039438260099,0.010279325768351555,0.0021473790984600782
H,147,0.06279867142438889,0.36155232787132263,2.43239410337992e-05,0.003200239036232233,0.9892080276956161,0.008628500625491142,0.0074371169321238995
L,149,0.06328485906124115,0.3333110511302948,0.0019596328493207693,0.007170113269239664,0.9592842170161506,0.013166229240596294,0.14667467772960663
M,152,0.0642450824379921,0.33193492889404297,0.002128350082784891,0.009589502587914467,0.9511506625823677,0.016220783814787865,0.2581491768360138
