Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
J,4,0.4028981626033783,0.34600239992141724,0.007981356233358383,0.02764401212334633,0.9048459135343243,0.01707189343869686,0.2980394959449768
I,6,0.4367923140525818,0.34175634384155273,0.0003478085563983768,0.00841031689196825,0.977117573088035,0.004206679295748472,0.045896388590335846
N,32,0.24252299964427948,0.3294258117675781,0.005407501012086868,0.017414644360542297,0.9189514767339279,0.014602799899876118,0.34172821044921875
I,34,0.5674022436141968,0.3426850736141205,8.941614214563742e-05,0.007172337733209133,0.9908391852552693,0.0033205156214535236,0.00748076755553484
H,52,0.5682578086853027,0.3616085350513458,0.0008415701449848711,0.0091388626024127,0.9661657118362685,0.005269381683319807,0.010259950533509254
J,80,0.4648222327232361,0.33891987800598145,0.0022053930442780256,0.01250439789146185,0.9662646171667925,0.007895946502685547,0.0724015161395073
K,95,0.538385808467865,0.3339956998825073,0.0005890718312002718,0.009586706757545471,0.9728838013609251,0.006182088516652584,0.04847979173064232
L,109,0.2134096771478653,0.33838650584220886,0.009830443188548088,0.020644156262278557,0.9147993941469273,0.0081240339204669,0.7701797485351562
M,110,0.16450943052768707,0.33270981907844543,0.007049409672617912,0.017148973420262337,0.8994693851304086,0.009968657977879047,0.885873019695282
L,114,0.6188638210296631,0.33142128586769104,0.0024804172571748495,0.012405655346810818,0.9609654318975906,0.007041362579911947,0.17437836527824402
N,120,0.21165820956230164,0.32945266366004944,0.004087437875568867,0.011416454799473286,0.9221698089125615,0.00834103487432003,0.977037787437439
M,124,0.1724112182855606,0.33215972781181335,0.0056409710086882114,0.013492153957486153,0.9297339608046847,0.008763299323618412,0.8622006773948669
M,140,0.3325132727622986,0.33473286032676697,0.00903322920203209,0.016558416187763214,0.911742914528871,0.008743533864617348,0.9732427000999451
I,144,0.5995778441429138,0.3416781425476074,9.649799903854728e-05,0.007245128974318504,0.989997972684602,0.003871393157169223,0.005003640428185463
H,147,0.4726434051990509,0.36039090156555176,0.00011270781396888196,0.007082273252308369,0.9781344402953983,0.0036053932271897793,0.007689253427088261
L,149,0.22840823233127594,0.33296144008636475,0.004160479176789522,0.013986190780997276,0.9471576744923369,0.009592879563570023,0.19236639142036438
M,152,0.20906931161880493,0.3332403600215912,0.0076270573772490025,0.014731318689882755,0.931165620640107,0.007494515273720026,0.9448094964027405
M,158,0.312366247177124,0.33355626463890076,0.007833516225218773,0.017377890646457672,0.8859624880893777,0.009309312328696251,0.9453500509262085
K,167,0.6220268607139587,0.33297568559646606,0.00015343764971476048,0.007944412529468536,0.9908336483500898,0.0037802462466061115,0.003245458472520113
M,176,0.16420161724090576,0.3333199620246887,0.007170562166720629,0.01840982399880886,0.9063695946273705,0.010785429738461971,0.7439292073249817
M,194,0.2004317045211792,0.3349452018737793,0.009415918961167336,0.01632825843989849,0.9093552451176887,0.009082336910068989,0.9904878735542297
J,195,0.6216727495193481,0.33600911498069763,0.0001733952813083306,0.007871832698583603,0.9947398736203711,0.002830559853464365,0.019845521077513695
I,199,0.6190621256828308,0.34229356050491333,0.001855397247709334,0.010212436318397522,0.9726576457576206,0.006708564702421427,0.009701353497803211
0,216,0.17892177402973175,0.32446572184562683,5.357609552447684e-05,0.005887792911380529,0.9913402484854063,0.004632166121155024,0.0
J,217,0.37070780992507935,0.35725638270378113,0.023903975263237953,0.046422749757766724,0.8498186861642679,0.02211456000804901,0.6610551476478577
J,219,0.580742597579956,0.3377462327480316,0.0006361242849379778,0.009425180964171886,0.9790557566223046,0.00602690689265728,0.020696431398391724
L,221,0.5514897108078003,0.33038753271102905,0.0005917435046285391,0.009706392884254456,0.9726097246197364,0.005473713390529156,0.11103969812393188
