Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.05824294686317444,0.3279559910297394,6.944652704987675e-05,0.008009745739400387,0.9983748974899451,0.008009745739400387,0.0
_,7,0.0580907016992569,0.32788509130477905,6.232642044778913e-05,0.0077406736090779305,0.9999619538957875,0.007740673143416643,0.0
N,11,0.12276136130094528,0.38346925377845764,0.019108423963189125,0.04302455112338066,0.8501077440234925,0.024293998256325722,0.2012755572795868
N,34,0.1365811675786972,0.388115793466568,0.02392539754509926,0.046035557985305786,0.8213730478944854,0.020754650235176086,0.2492826133966446
X,38,0.16134478151798248,0.3601166307926178,0.027771778404712677,0.050201255828142166,0.760290444661332,0.024034354835748672,0.861375093460083
_,40,0.058091387152671814,0.3278856873512268,6.233221938600764e-05,0.007742951158434153,0.9999775986994307,0.007742950692772865,0.0
N,43,0.09751274436712265,0.3768848776817322,0.012830672785639763,0.034564532339572906,0.8777331626227048,0.028983110561966896,0.08245781064033508
T,49,0.09610805660486221,0.3454192578792572,0.011993702501058578,0.03243276849389076,0.8695870686096109,0.020116932690143585,0.6996110677719116
N,52,0.10718140006065369,0.38059476017951965,0.015610968694090843,0.03605439141392708,0.8711240043812724,0.018961550667881966,0.18142814934253693
_,71,0.058093275874853134,0.3278864920139313,6.242158997338265e-05,0.00774602172896266,0.9999537642424305,0.00774602172896266,0.0
S,83,0.230879545211792,0.42673996090888977,0.04449794441461563,0.06500283628702164,0.8006795942545621,0.018051479011774063,0.27709347009658813
_,86,0.058159589767456055,0.3279181122779846,6.538230081787333e-05,0.00786609947681427,0.9993395919973652,0.007866098545491695,0.0
_,103,0.05808210000395775,0.3278809189796448,6.196501635713503e-05,0.0077248080633580685,1.0000216427445412,0.0077248080633580685,0.0
X,108,0.18813425302505493,0.36534684896469116,0.033548373728990555,0.05541465803980827,0.7303888294916162,0.023009806871414185,0.9273311495780945
T,109,0.13691648840904236,0.374889999628067,0.024643689393997192,0.04633692651987076,0.8424602731791675,0.02574673295021057,0.2907143831253052
S,128,0.20411770045757294,0.4188981354236603,0.03842907026410103,0.060138680040836334,0.7976921813943774,0.02577214129269123,0.2254808396100998
X,134,0.12184901535511017,0.3575565814971924,0.020848505198955536,0.04327203705906868,0.8037643323328485,0.020474158227443695,0.7001625299453735
X,144,0.13933362066745758,0.3842537999153137,0.024243809282779694,0.04542926326394081,0.837586425794519,0.02672300674021244,0.20594461262226105
N,147,0.10386275500059128,0.3771648705005646,0.014973542653024197,0.03664303198456764,0.8579499196780186,0.02656733989715576,0.12732425332069397
S,157,0.215282142162323,0.432771772146225,0.039819832891225815,0.06173161789774895,0.7511057035064187,0.018908169120550156,0.22951532900333405
T,171,0.11685404926538467,0.3469293415546417,0.01624363288283348,0.03548198193311691,0.8128491091275828,0.020565014332532883,0.8937534093856812
T,173,0.10074359178543091,0.3444170355796814,0.012935610488057137,0.02920467220246792,0.8712180239114817,0.015687286853790283,0.8267301321029663
T,180,0.10684635490179062,0.3476904630661011,0.015067129395902157,0.033646516501903534,0.840453156210048,0.01756392978131771,0.8216933608055115
N,181,0.10213464498519897,0.3817802965641022,0.014603023417294025,0.03882524371147156,0.8607378041159246,0.022878248244524002,0.17122237384319305
X,186,0.10818880051374435,0.37852054834365845,0.0162272397428751,0.03783602640032768,0.8747221739419426,0.023394128307700157,0.16781309247016907
N,195,0.14558324217796326,0.38474294543266296,0.024702873080968857,0.04544174298644066,0.8350984935347797,0.024220123887062073,0.2279476672410965
N,196,0.14475323259830475,0.38185471296310425,0.024386435747146606,0.042953625321388245,0.8572695461366797,0.02248709835112095,0.22887222468852997
S,200,0.20525334775447845,0.4307057857513428,0.037156447768211365,0.059932734817266464,0.7525813896142443,0.021802999079227448,0.21009798347949982
S,216,0.10909384489059448,0.4030112326145172,0.01465513464063406,0.0368383526802063,0.842462137679745,0.02661094069480896,0.08729273825883865
N,217,0.09668520838022232,0.376816064119339,0.012142093852162361,0.03166237473487854,0.8855035558476326,0.019462985917925835,0.13848142325878143
T,219,0.15082493424415588,0.3829159140586853,0.02913021109998226,0.054826535284519196,0.810937776284477,0.028072170913219452,0.333109974861145
T,226,0.21610687673091888,0.38927897810935974,0.04558134451508522,0.06944138556718826,0.8041696719035869,0.03717740625143051,0.4139830470085144
N,231,0.11225827783346176,0.3804352283477783,0.01669573038816452,0.03733048588037491,0.8634241304358027,0.02010108157992363,0.1861676126718521
_,233,0.058087121695280075,0.32788336277008057,6.217320333234966e-05,0.007734096143394709,0.9999924230451386,0.007734096143394709,0.0
T,241,0.12802492082118988,0.35011252760887146,0.018719885498285294,0.036782048642635345,0.8176680855706219,0.018016504123806953,0.8925272822380066
N,242,0.16596752405166626,0.38927796483039856,0.03050735592842102,0.05423978343605995,0.8290272038504198,0.02999090403318405,0.25821560621261597
N,243,0.0920601561665535,0.37481963634490967,0.01060535293072462,0.032338932156562805,0.8761417658743449,0.025588851422071457,0.09267036616802216
X,264,0.10435815155506134,0.3778328597545624,0.015038179233670235,0.03624218702316284,0.8726031116632901,0.02457776851952076,0.14001943171024323
S,266,0.10884752869606018,0.4055124521255493,0.013700137846171856,0.035329341888427734,0.8372214202073641,0.023106098175048828,0.0927046462893486
N,268,0.09323222190141678,0.37661153078079224,0.011268858797848225,0.031198641285300255,0.8899862004696237,0.01744893752038479,0.15269188582897186
_,274,0.05814499035477638,0.3279113173484802,6.468893843702972e-05,0.00784023106098175,0.9994742751121521,0.00784023106098175,0.0
_,277,0.05812981352210045,0.32790517807006836,6.389639020198956e-05,0.007817056030035019,0.9997112063442668,0.007817055098712444,0.0
T,289,0.09084092825651169,0.343531996011734,0.009954466484487057,0.02761850506067276,0.8946721851086478,0.0179180558770895,0.5352752804756165
T,292,0.0968623086810112,0.3457615375518799,0.012041659094393253,0.029688889160752296,0.8911805320828581,0.016193527728319168,0.6840052604675293
X,308,0.12368271499872208,0.3546372652053833,0.0205799862742424,0.03861721605062485,0.8394002864830206,0.016197359189391136,0.7794266939163208
X,311,0.12280149012804031,0.3532738983631134,0.01879458874464035,0.03743947297334671,0.8408180628889447,0.019951174035668373,0.5988740921020508
N,312,0.14877307415008545,0.3835851848125458,0.025036023929715157,0.04380204156041145,0.8479964908846644,0.0228717140853405,0.22707001864910126
N,314,0.13243620097637177,0.3833062946796417,0.022751042619347572,0.04276255518198013,0.8718029517493384,0.018378503620624542,0.25920864939689636
X,316,0.12913617491722107,0.3553831875324249,0.021329937502741814,0.04298078641295433,0.8116955122829072,0.02069006860256195,0.8132488131523132
T,317,0.09145266562700272,0.3448931574821472,0.010985898785293102,0.02975701168179512,0.8948680364768856,0.018826143816113472,0.5711226463317871
S,322,0.24045316874980927,0.42282748222351074,0.04783182218670845,0.06977538019418716,0.7923825130764683,0.02788962796330452,0.27702420949935913
N,326,0.1638317108154297,0.38794857263565063,0.02871895581483841,0.0496571846306324,0.8502426944959401,0.01710476540029049,0.3366376757621765
X,332,0.10577406734228134,0.37553927302360535,0.015269778668880463,0.03694169968366623,0.87856784329381,0.027326811105012894,0.12765605747699738
N,344,0.1043897271156311,0.3780473470687866,0.016041643917560577,0.03960413113236427,0.8487571629683953,0.03593313694000244,0.07131622731685638
X,354,0.13156546652317047,0.3541102111339569,0.021075159311294556,0.04092177748680115,0.8091434355835357,0.019261589273810387,0.8315186500549316
X,374,0.11242043972015381,0.35130539536476135,0.01629319228231907,0.03487526625394821,0.8680704013797004,0.019639668986201286,0.5457611083984375
S,376,0.0789339691400528,0.40108516812324524,0.00628845626488328,0.023853875696659088,0.9098944343347103,0.01621859148144722,0.05898330360651016
X,377,0.127956822514534,0.35776394605636597,0.022227253764867783,0.044469159096479416,0.8074355173144493,0.020157933235168457,0.7828630208969116
S,378,0.12763023376464844,0.4021839499473572,0.021664833649992943,0.04374482110142708,0.8294143340665263,0.038822732865810394,0.06922943890094757
S,387,0.12791305780410767,0.4101475179195404,0.019672919064760208,0.040126025676727295,0.828235138832218,0.018546365201473236,0.13983719050884247
T,396,0.12558907270431519,0.3751786947250366,0.0218056533485651,0.04415878653526306,0.8498455909685193,0.025425812229514122,0.25364476442337036
S,398,0.13218654692173004,0.40392786264419556,0.02156701125204563,0.04377013444900513,0.8283916321845779,0.03679388761520386,0.07896768301725388
N,399,0.14767758548259735,0.38630589842796326,0.023814307525753975,0.04368796572089195,0.8387567095528721,0.01848851516842842,0.25244858860969543
_,403,0.05808916687965393,0.3278844654560089,6.224910612218082e-05,0.007738403044641018,0.9999794737622143,0.007738402578979731,0.0
X,407,0.12738104164600372,0.35437291860580444,0.020765958353877068,0.039235301315784454,0.8301271985454939,0.01673780009150505,0.8166489005088806
N,409,0.18343977630138397,0.39245742559432983,0.034257274121046066,0.055948130786418915,0.83232307120678,0.021367639303207397,0.3468310236930847
X,416,0.11339154839515686,0.3791657090187073,0.016710765659809113,0.03816838189959526,0.8771266443792411,0.022482892498373985,0.1786869466304779
X,428,0.12877890467643738,0.3818438947200775,0.02055969275534153,0.041488166898489,0.8553974909516546,0.025659598410129547,0.17822407186031342
X,438,0.107613705098629,0.3537575602531433,0.01648939773440361,0.03827590122818947,0.8555099105603828,0.01957421936094761,0.6261152029037476
_,447,0.058087192475795746,0.32788342237472534,6.217624468263239e-05,0.007734223268926144,0.9999912377322714,0.007734223268926144,0.0
_,454,0.058159589767456055,0.3279181122779846,6.538230081787333e-05,0.00786609947681427,0.9993395919973652,0.007866098545491695,0.0
T,457,0.11015862971544266,0.3473764955997467,0.014899898320436478,0.037277258932590485,0.797071814225983,0.02315710298717022,0.8112584352493286
_,465,0.058092132210731506,0.32788586616516113,6.23797022853978e-05,0.0077436561696231365,0.9999548266455531,0.007743655703961849,0.0
_,468,0.05814593285322189,0.3279117941856384,6.473070243373513e-05,0.007842130027711391,0.9995046747351687,0.007842130027711391,0.0
T,469,0.11682434380054474,0.34776443243026733,0.016400786116719246,0.03538135439157486,0.8110841700846111,0.018926167860627174,0.9164817333221436
S,471,0.15974050760269165,0.41480982303619385,0.02602413482964039,0.048507411032915115,0.8007531871049711,0.02433815784752369,0.15876735746860504
_,475,0.0580928698182106,0.3278862535953522,6.241122900974005e-05,0.007745019625872374,0.999946031831205,0.007745019625872374,0.0
X,479,0.11074184626340866,0.35230252146720886,0.017076028510928154,0.035914283245801926,0.8681331981390152,0.018662000074982643,0.6059737801551819
S,480,0.0995427742600441,0.40742218494415283,0.013136091642081738,0.03429103270173073,0.8309396185496978,0.020273912698030472,0.09769874066114426
S,482,0.12309204041957855,0.4104870557785034,0.01812104508280754,0.038874536752700806,0.8165315536806399,0.018300142139196396,0.13220682740211487
S,494,0.154678612947464,0.42288342118263245,0.025640342384576797,0.048781219869852066,0.7737893699884993,0.028476061299443245,0.12833748757839203
X,512,0.09731139242649078,0.3782465159893036,0.012917529791593552,0.031975455582141876,0.8922854312278409,0.02031269669532776,0.12986503541469574
S,516,0.12514877319335938,0.4051717519760132,0.01823260262608528,0.03736146539449692,0.8430077460225099,0.020000344142317772,0.1223754957318306
_,517,0.058096371591091156,0.32788804173469543,6.254820618778467e-05,0.00775191793218255,0.9999327942356467,0.00775191793218255,0.0
X,521,0.1295647770166397,0.3550495207309723,0.022541213780641556,0.03989185020327568,0.8254480756250769,0.015792950987815857,0.879037082195282
X,536,0.11518417298793793,0.3806241452693939,0.018625669181346893,0.04212607815861702,0.8524965617894608,0.030076399445533752,0.14715833961963654
N,550,0.10088080167770386,0.37984222173690796,0.014268309809267521,0.03644160181283951,0.8643455023246255,0.022288065403699875,0.157083660364151
S,564,0.1550123691558838,0.4068622291088104,0.023787466809153557,0.04703657329082489,0.8259984642543964,0.027127575129270554,0.14964446425437927
X,574,0.1572331041097641,0.3895294964313507,0.028973205015063286,0.05262415111064911,0.8494765311295245,0.0243840254843235,0.29069557785987854
T,581,0.09069202095270157,0.34286999702453613,0.010610869154334068,0.028252825140953064,0.9040749478394234,0.018377259373664856,0.6261043548583984
T,588,0.10297518968582153,0.3445301353931427,0.012888788245618343,0.03305324167013168,0.8469378701679671,0.023604368790984154,0.583537220954895
_,593,0.05809073895215988,0.32788532972335815,6.230720464373007e-05,0.007741627749055624,0.9999870408326388,0.007741627749055624,0.0
S,608,0.11477882415056229,0.40387585759162903,0.016039172187447548,0.038066115230321884,0.8262757706262286,0.028923258185386658,0.0826389491558075
_,618,0.05809050425887108,0.3278849720954895,6.231934094103053e-05,0.0077402181923389435,0.9999591962993145,0.007740217726677656,0.0
N,623,0.1873924881219864,0.39618128538131714,0.03818434849381447,0.06409912556409836,0.8174444238995455,0.028326578438282013,0.35917091369628906
X,624,0.11432688683271408,0.3790423274040222,0.017568152397871017,0.03929278627038002,0.8635158112361873,0.024587491527199745,0.1722557544708252
_,628,0.05815022811293602,0.32791346311569214,6.497116555692628e-05,0.00784849189221859,0.9993729106709361,0.00784849189221859,0.0
T,630,0.10613258928060532,0.34513089060783386,0.013877077028155327,0.031244775280356407,0.879998259353118,0.020040834322571754,0.6311647295951843
N,640,0.13980381190776825,0.3857361972332001,0.023874007165431976,0.04480139538645744,0.8488929923069903,0.022254660725593567,0.2332182228565216
N,655,0.14495603740215302,0.3854059875011444,0.024706359952688217,0.04416244477033615,0.8526887388632834,0.020166568458080292,0.2477954477071762
T,657,0.09582379460334778,0.34535905718803406,0.011930884793400764,0.033054839819669724,0.8601598231339207,0.020666202530264854,0.7285882830619812
N,674,0.09775383025407791,0.37629371881484985,0.013226327486336231,0.035736747086048126,0.8624905989482068,0.025783231481909752,0.1261547952890396
N,676,0.10337039083242416,0.3780845105648041,0.014618271961808205,0.035371165722608566,0.8776873923317665,0.022486861795186996,0.14870044589042664
T,677,0.11002901941537857,0.34833353757858276,0.015513741411268711,0.03305898979306221,0.8646920167365292,0.016117459163069725,0.8056256771087646
N,682,0.12057971954345703,0.3816686272621155,0.018921205773949623,0.039856646209955215,0.8452256311437911,0.0264093279838562,0.1524779498577118
S,686,0.17869116365909576,0.4100784957408905,0.03095182776451111,0.05171686410903931,0.8139708569504596,0.025400014594197273,0.1877661496400833
X,702,0.10606660693883896,0.37561652064323425,0.01539186667650938,0.03696184232831001,0.8782922641959159,0.02744852565228939,0.12650257349014282
_,708,0.05809333175420761,0.3278864324092865,6.243267853278667e-05,0.007745780982077122,0.9999436176940799,0.007745780982077122,0.0
_,709,0.05811040475964546,0.3278953731060028,6.309409945970401e-05,0.007779800333082676,0.9998733651762208,0.007779799867421389,0.0
N,710,0.10771550983190536,0.3816570043563843,0.016643347218632698,0.04023803770542145,0.8350962329079631,0.02441611886024475,0.17420944571495056
N,724,0.10861694812774658,0.3790857195854187,0.016185855492949486,0.03811805695295334,0.8506095335178725,0.027919825166463852,0.12621600925922394
_,729,0.05808819457888603,0.32788407802581787,6.220270006451756e-05,0.007736869156360626,0.9999976849680147,0.007736868690699339,0.0
T,733,0.13932731747627258,0.38146963715553284,0.02510121464729309,0.04594431817531586,0.8570795571276661,0.018665339797735214,0.31693214178085327
N,747,0.1403902769088745,0.38636916875839233,0.024836409837007523,0.04980555921792984,0.8219213970652963,0.029849804937839508,0.21803762018680573
N,748,0.09591415524482727,0.3765597641468048,0.012101143598556519,0.030961237847805023,0.8863579835843606,0.017809027805924416,0.14691047370433807
X,754,0.11517166346311569,0.35330522060394287,0.017537949606776237,0.04128062725067139,0.7948628197875709,0.02405860647559166,0.6363970637321472
T,762,0.10761449486017227,0.3482445478439331,0.01568167842924595,0.03715328872203827,0.828109757811626,0.02191689983010292,0.8083111047744751
X,772,0.11956854909658432,0.3532293140888214,0.01900867559015751,0.03842813894152641,0.8540663096888117,0.017700348049402237,0.7771918773651123
N,774,0.19193944334983826,0.3962407410144806,0.03762821853160858,0.06180385872721672,0.812133619430553,0.020358551293611526,0.40890824794769287
S,779,0.14459393918514252,0.40342947840690613,0.0241315308958292,0.04437466710805893,0.8158072540148775,0.028986336663365364,0.12604805827140808
_,780,0.05809080973267555,0.32788509130477905,6.233718158910051e-05,0.00774058373644948,0.9999574374035002,0.007740583270788193,0.0
