Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.05791782587766647,0.3253239691257477,2.5489584004390053e-05,0.003996195737272501,0.9851343040168286,0.003996195737272501,0.0
_,7,0.05710030347108841,0.3257339298725128,1.9987566702184267e-05,0.003394860541447997,0.9835893415038784,0.003394860541447997,0.0
N,11,0.09074948728084564,0.37642616033554077,0.01009016390889883,0.03117416426539421,0.8696661955987415,0.020427295938134193,0.12197251617908478
N,34,0.09114272147417068,0.37737977504730225,0.010054981335997581,0.029967252165079117,0.8508248916904753,0.020617308095097542,0.10513656586408615
X,38,0.1402934193611145,0.3568115830421448,0.02557246945798397,0.04102102294564247,0.7832018246437444,0.014429590664803982,0.8653554320335388
_,40,0.05743718519806862,0.3262181580066681,4.195645669824444e-05,0.004341487772762775,0.9720806446050605,0.004341487307101488,0.0
N,43,0.09125550091266632,0.3745693266391754,0.009496205486357212,0.02984958328306675,0.8832859507948161,0.019527168944478035,0.11842455714941025
T,49,0.09659090638160706,0.34460440278053284,0.012958955951035023,0.03031589649617672,0.8341665600410003,0.01712106727063656,0.7451115846633911
N,52,0.09229535609483719,0.37540870904922485,0.010162782855331898,0.030771125108003616,0.8528363062336576,0.021811360493302345,0.10697346180677414
_,71,0.057309139519929886,0.3260105550289154,3.481420935713686e-05,0.00393355218693614,0.9753388985246421,0.00393355218693614,0.0
S,83,0.07329971343278885,0.3992716372013092,0.003877629991620779,0.01853417046368122,0.9085290648136288,0.012886364944279194,0.04404667764902115
_,86,0.0574675053358078,0.32590627670288086,3.6416582588572055e-05,0.004053609445691109,0.9726969175289075,0.004053609445691109,0.0
_,103,0.057166267186403275,0.325700581073761,2.1078505596960895e-05,0.003467230824753642,0.9835759905849895,0.003467230824753642,0.0
X,108,0.1407967358827591,0.3617807626724243,0.02698407880961895,0.0509243868291378,0.7368639730449226,0.022359417751431465,0.8195213675498962
T,109,0.11401474475860596,0.3707773983478546,0.01932508498430252,0.04078025370836258,0.8307034043296396,0.024501383304595947,0.23398816585540771
S,128,0.10369034111499786,0.40006256103515625,0.013068531639873981,0.030287349596619606,0.8500462100238444,0.026218324899673462,0.04986395686864853
X,134,0.11584129929542542,0.355451375246048,0.0199133213609457,0.03953029215335846,0.7910880600787399,0.016856534406542778,0.6928442716598511
X,144,0.0958472192287445,0.3751002252101898,0.01142043061554432,0.03134850412607193,0.8576872401296473,0.02297350950539112,0.10321294516324997
N,147,0.09141694754362106,0.3731842041015625,0.010003023780882359,0.03111276403069496,0.8485841913847253,0.024364590644836426,0.09184630960226059
S,157,0.08431477844715118,0.41129425168037415,0.0066506569273769855,0.025727184489369392,0.834183421111787,0.013365207239985466,0.07416181266307831
T,171,0.1050977036356926,0.3459618389606476,0.013975542970001698,0.0363529771566391,0.7495725762522489,0.022629909217357635,0.8259312510490417
T,173,0.09447992593050003,0.3414141833782196,0.011188419535756111,0.02489117719233036,0.8273043888803416,0.012771060690283775,0.7399779558181763
T,180,0.11327480524778366,0.3464200496673584,0.016577892005443573,0.029463669285178185,0.8337249187369556,0.012129832059144974,0.8788217902183533
N,181,0.09911876916885376,0.379086971282959,0.012989283539354801,0.034846995025873184,0.8535228798920343,0.019109582528471947,0.1655040979385376
X,186,0.095220647752285,0.3748559355735779,0.01147878635674715,0.0315265953540802,0.8776145215479968,0.01620316132903099,0.1694374978542328
N,195,0.0934930294752121,0.37552013993263245,0.011091398075222969,0.0314447283744812,0.8609671588467124,0.02143288403749466,0.11754658818244934
N,196,0.08524762839078903,0.37113574147224426,0.007347180042415857,0.02592179737985134,0.8988175889958318,0.01751018315553665,0.10233315080404282
S,200,0.09791728109121323,0.4120762348175049,0.01028083823621273,0.028815822675824165,0.8185864520813845,0.018096158280968666,0.07103277742862701
S,216,0.09585365653038025,0.3996514081954956,0.010490351356565952,0.029849452897906303,0.8663602400244661,0.018665125593543053,0.08502453565597534
N,217,0.08605653047561646,0.37278982996940613,0.008517703041434288,0.025030430406332016,0.8940727136582913,0.014469370245933533,0.11750410497188568
T,219,0.12241025269031525,0.37724488973617554,0.021241310983896255,0.046944279223680496,0.8231290201230634,0.025149354711174965,0.27364253997802734
T,226,0.13653402030467987,0.37519267201423645,0.025811823084950447,0.05069468542933464,0.8062409296361451,0.04229588061571121,0.14038409292697906
N,231,0.08893302083015442,0.37466076016426086,0.008555769920349121,0.028267912566661835,0.8810339421064904,0.015330631285905838,0.14002731442451477
_,233,0.05708286538720131,0.32573094964027405,1.9734685338335112e-05,0.0033697232138365507,0.9836520091320078,0.0033697232138365507,0.0
T,241,0.10796381533145905,0.34686484932899475,0.015914220362901688,0.029431985691189766,0.825360410316304,0.012133716605603695,0.8182668089866638
N,242,0.0946308821439743,0.3764233887195587,0.011122219264507294,0.031959179788827896,0.8682377606463464,0.022486843168735504,0.11163825541734695
N,243,0.09295714646577835,0.374216228723526,0.010854847729206085,0.03009382262825966,0.8533701460816278,0.01777958869934082,0.1401570439338684
X,264,0.09094756841659546,0.3740679621696472,0.00990376342087984,0.03084701858460903,0.8571942738008996,0.021017109975218773,0.11830281466245651
S,266,0.09606131166219711,0.4014442265033722,0.00937116052955389,0.02821875922381878,0.8611100710956877,0.017627516761422157,0.07793354243040085
N,268,0.09307593107223511,0.37435564398765564,0.010958843864500523,0.03152448311448097,0.8478539057914168,0.02405141480267048,0.09755700081586838
_,274,0.057601962238550186,0.326087087392807,4.7338886361103505e-05,0.00440617511048913,0.9682737792407473,0.004406174644827843,0.0
_,277,0.05761587247252464,0.3261491060256958,4.8292571591446176e-05,0.0044741942547261715,0.967744076040884,0.0044741942547261715,0.0
T,289,0.0934545025229454,0.34438633918762207,0.011158203706145287,0.033284515142440796,0.8062637612107211,0.024445215240120888,0.4958745241165161
T,292,0.0899415910243988,0.34438833594322205,0.010062003508210182,0.029883522540330887,0.8387057815595957,0.019150814041495323,0.5502538681030273
X,308,0.11538215726613998,0.3526928722858429,0.018470047041773796,0.03743854537606239,0.8086604288897676,0.0177424605935812,0.6882474422454834
X,311,0.1087658703327179,0.35174739360809326,0.016473019495606422,0.03720628842711449,0.7855953597203189,0.02238936722278595,0.5128805041313171
N,312,0.08907517790794373,0.37324631214141846,0.00897502712905407,0.028528360649943352,0.8706919455931833,0.020704802125692368,0.09703219681978226
N,314,0.09220317006111145,0.37472864985466003,0.011170788668096066,0.029303135350346565,0.8619378193793819,0.01686377264559269,0.13972169160842896
X,316,0.1140943169593811,0.3526877462863922,0.01908554881811142,0.03649456799030304,0.8095028836228998,0.014867957681417465,0.783814013004303
T,317,0.09123935550451279,0.3439484238624573,0.010773591697216034,0.02844952419400215,0.8429028546536818,0.01745475083589554,0.5729800462722778
S,322,0.11119449883699417,0.4002850353717804,0.015215819701552391,0.03392046317458153,0.8420127588803977,0.027361519634723663,0.06637382507324219
N,326,0.10147362947463989,0.3772836923599243,0.014240505173802376,0.03522653505206108,0.821510727129559,0.021903997287154198,0.15267738699913025
X,332,0.10263369977474213,0.37404176592826843,0.014275876805186272,0.034919679164886475,0.8601537226835111,0.021987179294228554,0.15693500638008118
N,344,0.0957190990447998,0.3745415210723877,0.010957924649119377,0.03195681795477867,0.8608154030271302,0.02474435232579708,0.09426208585500717
X,354,0.11683708429336548,0.3515828549861908,0.018926583230495453,0.034966424107551575,0.813693803462705,0.01386915985494852,0.8050165176391602
X,374,0.09846147149801254,0.3469250798225403,0.012763230130076408,0.027318714186549187,0.8770629008626566,0.013115130364894867,0.5035986304283142
S,376,0.07345923036336899,0.3979526460170746,0.0042949821799993515,0.017820872366428375,0.9171800582110883,0.013073188252747059,0.03966464474797249
X,377,0.13737595081329346,0.35584187507629395,0.02482816018164158,0.03819326311349869,0.795715720109923,0.011338689364492893,0.8538349866867065
S,378,0.10878949612379074,0.39947715401649475,0.016261911019682884,0.03732534497976303,0.8463107779880132,0.02894294075667858,0.08072610944509506
S,387,0.07223819941282272,0.39748698472976685,0.0033774576149880886,0.017183132469654083,0.9104301263632564,0.011463833972811699,0.043609775602817535
T,396,0.11070819199085236,0.3724989891052246,0.017452294006943703,0.041575003415346146,0.82726377552739,0.0239114947617054,0.23910146951675415
S,398,0.11480718106031418,0.4001017212867737,0.01766919158399105,0.03643637150526047,0.840398890806755,0.030392372980713844,0.06693039834499359
N,399,0.09228524565696716,0.3772026300430298,0.010357825085520744,0.031105341389775276,0.8636552956902113,0.018160106614232063,0.13834792375564575
