Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.05778905376791954,0.32517945766448975,2.2202604668564163e-05,0.003971484489738941,0.9905112619822225,0.003971484489738941,0.0
_,7,0.05701024457812309,0.3256582021713257,1.8636274035088718e-05,0.003329058177769184,0.9878171832611164,0.003329058177769184,0.0
N,11,0.0928797572851181,0.37690624594688416,0.011067536659538746,0.032501451671123505,0.8684657131492471,0.02159859612584114,0.12461768835783005
N,34,0.08767327666282654,0.3764042854309082,0.008860716596245766,0.0269131101667881,0.8671212305000519,0.017688430845737457,0.10107533633708954
X,38,0.1281140148639679,0.355249285697937,0.02280821092426777,0.03823414817452431,0.8105678304140748,0.01346072182059288,0.8062103986740112
_,40,0.057320836931467056,0.32613542675971985,4.056698890053667e-05,0.004121491219848394,0.9790322185556094,0.004121491219848394,0.0
N,43,0.08972306549549103,0.3740851879119873,0.009275083430111408,0.027855655178427696,0.8942676931476066,0.01717001013457775,0.11954743415117264
T,49,0.09731139242649078,0.3445703089237213,0.013148833066225052,0.030196724459528923,0.8420329550059008,0.016832254827022552,0.7541824579238892
N,52,0.08473508805036545,0.3725351095199585,0.008051019161939621,0.024635804817080498,0.89587108832784,0.01924220286309719,0.07050810754299164
_,71,0.057100601494312286,0.3258790075778961,2.6503057597437873e-05,0.0036205039359629154,0.9838130624716481,0.0036205037031322718,0.0
S,83,0.07192482054233551,0.39870327711105347,0.00328063708730042,0.017281347885727882,0.9287137257121504,0.011726634576916695,0.042373329401016235
_,86,0.05727531015872955,0.32578134536743164,2.8291917260503396e-05,0.0038028277922421694,0.9813110902905465,0.0038028275594115257,0.0
_,103,0.0570526085793972,0.325618714094162,1.991632416320499e-05,0.0033568176440894604,0.9878121978665392,0.0033568176440894604,0.0
X,108,0.13751573860645294,0.3615504205226898,0.02664707973599434,0.050237372517585754,0.7532797039168698,0.021736526861786842,0.8171088695526123
T,109,0.1056288629770279,0.3687906563282013,0.016448890790343285,0.03653498366475105,0.8450908976839856,0.022302579134702682,0.20545414090156555
S,128,0.09621839970350266,0.39932480454444885,0.01116100326180458,0.028188884258270264,0.8743298161812816,0.023501664400100708,0.05073973163962364
X,134,0.11754226684570312,0.35539424419403076,0.020319471135735512,0.039032746106386185,0.8003583448819518,0.015889210626482964,0.7058828473091125
X,144,0.08686397969722748,0.37366998195648193,0.008360720239579678,0.026909589767456055,0.8899547792288165,0.017387110739946365,0.10862043499946594
N,147,0.08656495809555054,0.3718276619911194,0.008955634199082851,0.027649397030472755,0.8766481735371053,0.02217331901192665,0.07693412899971008
S,157,0.08255144953727722,0.4101617932319641,0.006889534182846546,0.023998290300369263,0.8564772899679762,0.014496857300400734,0.06122520565986633
T,171,0.10688032954931259,0.3461276888847351,0.014815345406532288,0.03640848770737648,0.7684965297332126,0.022334864363074303,0.8461565971374512
T,173,0.0998113751411438,0.3415059447288513,0.011726925149559975,0.024990776553750038,0.8499730363135765,0.012168711051344872,0.7814925909042358
T,180,0.1121155321598053,0.34628602862358093,0.016828276216983795,0.02864016965031624,0.8512437344291842,0.010855123400688171,0.9001073837280273
N,181,0.09659065306186676,0.3780646026134491,0.01201690174639225,0.03362314775586128,0.864028809636709,0.020169375464320183,0.14532071352005005
X,186,0.09282347559928894,0.37340492010116577,0.010682811960577965,0.028313860297203064,0.890472696524424,0.014707863330841064,0.15076783299446106
N,195,0.09151657670736313,0.3745862543582916,0.010309788398444653,0.02899244613945484,0.8747281620608799,0.019472744315862656,0.1108618751168251
N,196,0.08081167936325073,0.3696920573711395,0.006399780046194792,0.02275759167969227,0.9163644709624351,0.016349002718925476,0.08097339421510696
S,200,0.09138306230306625,0.4103325605392456,0.00919762160629034,0.025651678442955017,0.844031424990432,0.018030289560556412,0.05566677078604698
