Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.05631823465228081,0.3258573114871979,6.470848347817082e-06,0.0018392243655398488,0.9944790736461679,0.001839224249124527,0.0
_,7,0.05624040216207504,0.3258742094039917,4.9081913857662585e-06,0.001614023232832551,0.9955998842542371,0.001614023232832551,0.0
N,11,0.08636929839849472,0.3746585249900818,0.0096360445022583,0.024909576401114464,0.904047626858422,0.01642351597547531,0.09660674631595612
N,34,0.08760345727205276,0.3769989609718323,0.009997828863561153,0.0251926202327013,0.876323046941155,0.014779155142605305,0.10891217738389969
X,38,0.12985475361347198,0.3560717701911926,0.02384207770228386,0.04041863977909088,0.7997526463212005,0.016287000849843025,0.7884993553161621
_,40,0.05633281171321869,0.325850248336792,6.94109530741116e-06,0.0018406608141958714,0.9944890891636412,0.0018406608141958714,0.0
N,43,0.0841015875339508,0.37373480200767517,0.008817878551781178,0.02452632412314415,0.9023130225436278,0.0171391349285841,0.0879146084189415
T,49,0.09393757581710815,0.34347525238990784,0.012225603684782982,0.028916627168655396,0.8519765011855635,0.018481353297829628,0.5942206978797913
N,52,0.08505948632955551,0.37395697832107544,0.00896080955862999,0.023019704967737198,0.9023785209992276,0.01365787535905838,0.10264160484075546
_,71,0.05630882456898689,0.32583582401275635,6.021362423780374e-06,0.001799415796995163,0.9948618272940318,0.001799415796995163,0.0
S,83,0.07822868227958679,0.4023558497428894,0.006483684293925762,0.021939462050795555,0.8949472571886146,0.011289015412330627,0.07005010545253754
_,86,0.05637489631772041,0.3259381055831909,8.29981581773609e-06,0.002036819001659751,0.9931074226399264,0.002036819001659751,0.0
_,103,0.05625418573617935,0.32585209608078003,5.0334174375166185e-06,0.0016468357061967254,0.9955869349216422,0.0016468357061967254,0.0
X,108,0.14197881519794464,0.36142295598983765,0.027732551097869873,0.04783150926232338,0.7515576097136243,0.018762705847620964,0.8299851417541504
T,109,0.09714680910110474,0.3669497072696686,0.013941129669547081,0.03027956746518612,0.8774362214297677,0.018009508028626442,0.1759084165096283
S,128,0.11624877899885178,0.4024861752986908,0.01662435196340084,0.03237966075539589,0.8546522795619846,0.025395063683390617,0.06598351150751114
X,134,0.11335720121860504,0.3542137145996094,0.01850162260234356,0.036233045160770416,0.8179374381004891,0.016128122806549072,0.615529477596283
X,144,0.08385410159826279,0.3745664656162262,0.00863023940473795,0.024644823744893074,0.9025362510280684,0.013205364346504211,0.12280496209859848
N,147,0.08390775322914124,0.37117159366607666,0.00920761376619339,0.023079177364706993,0.9019404438324273,0.017431821674108505,0.07390537112951279
S,157,0.08316004276275635,0.4114150106906891,0.007444676943123341,0.023917490616440773,0.8564431685467321,0.013044093735516071,0.06651980429887772
T,171,0.10443917661905289,0.3448094129562378,0.0141921266913414,0.030777063220739365,0.7876567296518867,0.016678286716341972,0.8419725298881531
T,173,0.09216565638780594,0.34195712208747864,0.010963412001729012,0.02408463880419731,0.8599908311487646,0.012009790167212486,0.73650062084198
T,180,0.11442556232213974,0.3454662561416626,0.016053739935159683,0.0273483507335186,0.8435968766711525,0.011829918250441551,0.7877514958381653
N,181,0.08720935881137848,0.37638014554977417,0.010013611987233162,0.024625930935144424,0.8958271161847128,0.011055909097194672,0.1372886747121811
X,186,0.09139222651720047,0.37463417649269104,0.011840957216918468,0.02643493376672268,0.8924402548978105,0.010927868075668812,0.16599850356578827
N,195,0.09105589985847473,0.3751060962677002,0.010969134978950024,0.02836424671113491,0.8793913727335166,0.02002101019024849,0.1001160591840744
N,196,0.08002862334251404,0.37056446075439453,0.007518000900745392,0.020961999893188477,0.9200785796344281,0.013792464509606361,0.08609027415513992
S,200,0.0925508514046669,0.4122290015220642,0.009747421368956566,0.026563670486211777,0.8510631665248215,0.015015330165624619,0.07204417884349823
S,216,0.10321933776140213,0.3992597460746765,0.0127122662961483,0.02662648633122444,0.8662734145377203,0.018120834603905678,0.06858698278665543
N,217,0.08351517468690872,0.3730020225048065,0.008557712659239769,0.02269716002047062,0.9071429984800247,0.012276970781385899,0.11393734067678452
T,219,0.10149062424898148,0.3724972903728485,0.015012767165899277,0.03392929956316948,0.8606181726953946,0.01818389818072319,0.19770388305187225
T,226,0.11865134537220001,0.37310463190078735,0.020988455042243004,0.04198949784040451,0.8474976067273141,0.032876066863536835,0.13931028544902802
N,231,0.0864785760641098,0.37390807271003723,0.009387237019836903,0.022795703262090683,0.9033881956144858,0.011256570927798748,0.12247711420059204
_,233,0.0562414824962616,0.32588568329811096,5.013084773963783e-06,0.0016179376980289817,0.9954828808580837,0.0016179376980289817,0.0
T,241,0.10561293363571167,0.34555190801620483,0.014483541250228882,0.02689954824745655,0.8364646497157181,0.012039147317409515,0.7045627236366272
N,242,0.09065896272659302,0.37612178921699524,0.011293782852590084,0.02794225700199604,0.8865653493519252,0.018144169822335243,0.11036144942045212
N,243,0.08261144161224365,0.37151119112968445,0.00838493648916483,0.023172877728939056,0.9050685241399333,0.0173659510910511,0.07507453858852386
X,264,0.08560460805892944,0.3731061518192291,0.009524262510240078,0.025074584409594536,0.9012214406525406,0.015890268608927727,0.1067865714430809
S,266,0.09538331627845764,0.4014674723148346,0.010600632056593895,0.025250479578971863,0.8701705428551517,0.015898514539003372,0.06914814561605453
N,268,0.08447743952274323,0.3717198371887207,0.009182623587548733,0.021929249167442322,0.906184428689691,0.015120012685656548,0.08209609240293503
_,274,0.05645982176065445,0.32591018080711365,1.104877173929708e-05,0.0021856394596397877,0.9918081484983365,0.002185639226809144,0.0
_,277,0.056450821459293365,0.3259010910987854,1.0558534995652735e-05,0.002171591855585575,0.9919812467694283,0.002171591855585575,0.0
T,289,0.09753654897212982,0.3435589075088501,0.013898379169404507,0.030657704919576645,0.8531208713190548,0.0231830645352602,0.42183053493499756
T,292,0.08938711136579514,0.3438628613948822,0.011094118468463421,0.0268819909542799,0.875700391085023,0.014994529075920582,0.6032400727272034
X,308,0.11584355682134628,0.3518224060535431,0.018793374300003052,0.03477194905281067,0.8243751551332943,0.016237350180745125,0.6472024321556091
X,311,0.11534940451383591,0.3502585291862488,0.0183442123234272,0.032627664506435394,0.8205773154132718,0.019435051828622818,0.45615601539611816
N,312,0.09004722535610199,0.3752898871898651,0.011144855991005898,0.028139114379882812,0.8849831840768457,0.015872657299041748,0.13554543256759644
N,314,0.08506547659635544,0.3721100389957428,0.009242353029549122,0.022172924131155014,0.9077056563519121,0.013417103327810764,0.09989432990550995
X,316,0.11120425164699554,0.35197505354881287,0.01815457083284855,0.036267541348934174,0.8214505896896905,0.017050594091415405,0.7003197073936462
T,317,0.09768451005220413,0.3441676199436188,0.013380479998886585,0.029833870008587837,0.8579919939372074,0.02014991082251072,0.5094444751739502
S,322,0.11227346956729889,0.40103042125701904,0.016377266496419907,0.03276113048195839,0.8584818694824845,0.026074178516864777,0.06584785878658295
N,326,0.09266962856054306,0.37555864453315735,0.01219095103442669,0.027955319732427597,0.8778605390539936,0.0133426608517766,0.15677979588508606
X,332,0.09365926682949066,0.3722180426120758,0.01222610380500555,0.027445392683148384,0.8913573116739281,0.01735081523656845,0.12268555909395218
N,344,0.08990296721458435,0.3746967315673828,0.011153746396303177,0.02767825871706009,0.8852633946241502,0.020244861021637917,0.0918920710682869
X,354,0.11296781152486801,0.35070347785949707,0.01783645711839199,0.03402562439441681,0.8274374344775985,0.015283393673598766,0.7181169986724854
X,374,0.09758195281028748,0.34640365839004517,0.013648783788084984,0.024435894563794136,0.8941625680453581,0.014497620984911919,0.3576897978782654
S,376,0.07248284667730331,0.3988272547721863,0.004584429785609245,0.017280057072639465,0.9265368956094608,0.011392569169402122,0.044368013739585876
X,377,0.13133344054222107,0.3552818298339844,0.02332260273396969,0.037392757833004,0.8181736267071877,0.013288848102092743,0.7694898843765259
S,378,0.12309766560792923,0.39919042587280273,0.018386773765087128,0.03334450349211693,0.8572751346114683,0.02591417171061039,0.0718158408999443
S,387,0.0708891898393631,0.3982662558555603,0.0038035796023905277,0.016310593113303185,0.9309576210969439,0.009870453737676144,0.04606795310974121
