Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.7412303686141968,0.32332804799079895,9.919127478497103e-05,0.00989464484155178,0.9977854185303053,0.00989464484155178,0.0
_,7,0.7793000340461731,0.323298841714859,9.895933180814609e-05,0.009920604526996613,0.9993713311602672,0.009920604526996613,0.0
N,11,0.7896764278411865,0.3741260766983032,0.01217647921293974,0.034999456256628036,0.878761719687221,0.02619621530175209,0.10937641561031342
N,34,0.8676089644432068,0.374530553817749,0.01047559455037117,0.03106972761452198,0.8787795665648689,0.022450193762779236,0.10036688297986984
X,38,0.8887593746185303,0.35450512170791626,0.028480520471930504,0.044000573456287384,0.8030530352003583,0.018159857019782066,0.845062792301178
_,40,0.7457059025764465,0.3233165740966797,9.901347220875323e-05,0.009890560992062092,0.9981702647482356,0.009890560992062092,0.0
N,43,0.8275207877159119,0.37237921357154846,0.009929746389389038,0.032007016241550446,0.8994185845588315,0.02321411669254303,0.10745745152235031
T,49,0.44243323802948,0.34001532196998596,0.01233688835054636,0.028072377666831017,0.8869574388757581,0.01595970056951046,0.6842453479766846
N,52,0.7561426162719727,0.3712330162525177,0.008187633007764816,0.027500834316015244,0.9080548981080453,0.018742674961686134,0.1019885241985321
_,71,0.7424262762069702,0.3233141601085663,9.836327808443457e-05,0.009873958304524422,0.9990141775955758,0.009873957373201847,0.0
S,83,0.7793498039245605,0.39842963218688965,0.0037358307745307684,0.023514116182923317,0.9150977123404543,0.014848187565803528,0.06266020238399506
_,86,0.7550755739212036,0.32332852482795715,9.860436693998054e-05,0.00987557414919138,0.9976845129951836,0.00987557414919138,0.0
_,103,0.7668720483779907,0.3232993483543396,9.84888756647706e-05,0.00990027654916048,0.9998524140566588,0.00990027654916048,0.0
X,108,1.5735974311828613,0.35927996039390564,0.033354733139276505,0.04772896692156792,0.7691917433569565,0.014908123761415482,0.9308384656906128
T,109,0.8000678420066833,0.3701358735561371,0.025205357000231743,0.04684973508119583,0.8490128038213637,0.029108213260769844,0.2574172914028168
S,128,0.8145810961723328,0.3971706032752991,0.01309821754693985,0.03057345747947693,0.8811212750986003,0.026655158028006554,0.049424946308135986
