Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.7104975581169128,0.3233505189418793,9.833386138780043e-05,0.009834556840360165,0.9967899801457922,0.009834556840360165,0.0
_,7,0.7547187209129333,0.3233238160610199,9.764958667801693e-05,0.009842649102210999,0.9991068114961188,0.009842648170888424,0.0
N,11,0.78702712059021,0.37239015102386475,0.009324523620307446,0.03066285513341427,0.9044733609185399,0.022762252017855644,0.09741360694169998
N,34,0.8849509954452515,0.37256669998168945,0.00888069998472929,0.026147600263357162,0.8968492832524741,0.019305741414427757,0.08115304261445999
X,38,0.590976893901825,0.35136306285858154,0.022034423425793648,0.038879357278347015,0.8177231904279567,0.017799217253923416,0.6923636794090271
_,40,0.717115044593811,0.32337480783462524,0.00010381351603427902,0.009898931719362736,0.991944633734723,0.009898930788040161,0.0
N,43,0.838628888130188,0.3720267117023468,0.010685513727366924,0.03108050674200058,0.9012325378116567,0.023165056481957436,0.09900172054767609
T,49,0.41535091400146484,0.3402895927429199,0.011806271970272064,0.029503708705306053,0.8652071688313057,0.017962871119379997,0.6546987295150757
N,52,0.755425214767456,0.3700871765613556,0.007823807187378407,0.02521788701415062,0.92083357323987,0.018581591546535492,0.0816592201590538
_,71,0.7109050154685974,0.3233633041381836,0.00010172738984692842,0.009872623719274998,0.9940678455742697,0.009872623719274998,0.0
S,83,0.775888204574585,0.3951665163040161,0.002307713031768799,0.016991134732961655,0.9606883547711187,0.014204018749296665,0.029581202194094658
_,86,0.7376720905303955,0.32336193323135376,0.00010045389353763312,0.009874005801975727,0.9944448106860122,0.009874004870653152,0.0
_,103,0.7438367009162903,0.32332953810691833,9.771397890290245e-05,0.009838399477303028,0.9987202350298564,0.009838399477303028,0.0
X,108,1.1433031558990479,0.35938572883605957,0.03173717111349106,0.0480014942586422,0.7622646462928166,0.015709685161709785,0.9168764352798462
T,109,0.7777311205863953,0.36717554926872253,0.019700877368450165,0.040339622646570206,0.8683459871282685,0.02496885508298874,0.2227696031332016
S,128,0.8279968500137329,0.3945712745189667,0.012890771962702274,0.02560059353709221,0.8951695205042006,0.027265675365924835,0.01758965291082859
X,134,0.5725812911987305,0.35156115889549255,0.019813183695077896,0.0401739664375782,0.8113708625087869,0.0209108367562294,0.5952153205871582
X,144,0.7898301482200623,0.3705359101295471,0.008533712476491928,0.026899904012680054,0.9186381905293093,0.019322536885738373,0.09192004054784775
N,147,0.6913303136825562,0.36815351247787476,0.007553509436547756,0.025081101804971695,0.9228701357031242,0.018019400537014008,0.08863639831542969
S,157,0.7527222633361816,0.40673011541366577,0.0054793269373476505,0.023481307551264763,0.8691717136562632,0.016384681686758995,0.05128611996769905
T,171,0.48050427436828613,0.3409508764743805,0.013735609129071236,0.030168721452355385,0.7956554420584386,0.01693182811141014,0.7917742729187012
T,173,0.715470016002655,0.3368028402328491,0.009298865683376789,0.023496530950069427,0.8972823709632838,0.014058027416467667,0.5803682208061218
T,180,0.445731520652771,0.3418206572532654,0.014481651596724987,0.027596665546298027,0.8711284808327765,0.011925172992050648,0.795499861240387
N,181,0.797978937625885,0.3737451434135437,0.010211956687271595,0.029882660135626793,0.9073484697736179,0.01754353940486908,0.13232606649398804
X,186,0.810580313205719,0.3697107136249542,0.00914802961051464,0.027580246329307556,0.9221739887321989,0.0169577244669199,0.12318293005228043
N,195,0.7294837832450867,0.3707553446292877,0.008569741621613503,0.028985971584916115,0.9012295167699146,0.023106243461370468,0.07955163717269897
N,196,0.810013473033905,0.3669670820236206,0.006665688008069992,0.0243693757802248,0.9389642717766886,0.01987799070775509,0.06516925245523453
S,200,0.7662373185157776,0.40639546513557434,0.007813208736479282,0.023737650364637375,0.8729874268207107,0.018562115728855133,0.044120319187641144
S,216,0.8232218623161316,0.39320307970046997,0.008773500099778175,0.023364299908280373,0.9142006568255754,0.01909562386572361,0.04442274197936058
N,217,0.8152609467506409,0.3702593147754669,0.009277340956032276,0.027157176285982132,0.9129490657132556,0.017880165949463844,0.10838758200407028
T,219,0.6856662631034851,0.37150120735168457,0.016535969451069832,0.041923727840185165,0.8676933993762328,0.025011323392391205,0.21783682703971863
T,226,0.7403231263160706,0.37192851305007935,0.024822937324643135,0.04674161598086357,0.8290099221325848,0.03498447686433792,0.17229415476322174
N,231,0.7950897216796875,0.370339959859848,0.007970082573592663,0.0261162631213665,0.9286306940339274,0.016822343692183495,0.10640230029821396
_,233,0.7578870058059692,0.32332736253738403,9.778953244676813e-05,0.009847908280789852,0.9987931844467919,0.009847908280789852,0.0
T,241,0.48769599199295044,0.34426531195640564,0.017153024673461914,0.032749321311712265,0.850118756280693,0.01598869077861309,0.7970665693283081
N,242,0.7762197256088257,0.37467896938323975,0.012819962576031685,0.034032560884952545,0.8898995588048517,0.02238822542130947,0.1319819688796997
N,243,0.7894506454467773,0.3696122467517853,0.009773330762982368,0.029685351997613907,0.8959419202393232,0.024348609149456024,0.0773845762014389
X,264,0.8144932985305786,0.3684534728527069,0.007217133417725563,0.025952447205781937,0.9303140841921171,0.020042140036821365,0.07853589951992035
S,266,0.8195672631263733,0.3954057991504669,0.007501827087253332,0.02204294316470623,0.9087310742490301,0.017510224133729935,0.04331930726766586
N,268,0.8054149746894836,0.36894625425338745,0.009274091571569443,0.02635466679930687,0.9185264314517069,0.020861558616161346,0.07489211857318878
_,274,0.6867960095405579,0.3234409987926483,0.00013332653907127678,0.010041479952633381,0.9804622452364614,0.010041479021310806,0.0
_,277,0.6873378753662109,0.32345083355903625,0.00014038538211025298,0.010062257759273052,0.979280093748433,0.010062257759273052,0.0
T,289,0.49251922965049744,0.34163549542427063,0.014999969862401485,0.0381719134747982,0.8414442541109445,0.033211495727300644,0.29776686429977417
T,292,0.4283996820449829,0.33961156010627747,0.009100832045078278,0.02793050743639469,0.8979622440394208,0.019441241398453712,0.43952858448028564
X,308,0.4737471044063568,0.35001614689826965,0.020932141691446304,0.03838859498500824,0.836006159057409,0.01723816990852356,0.7372525334358215
X,311,0.42822277545928955,0.3472317159175873,0.016993993893265724,0.034284889698028564,0.8437988962989766,0.020877724513411522,0.4647011458873749
N,312,0.8151966333389282,0.36983293294906616,0.010548458434641361,0.027931828051805496,0.9086837127558345,0.022659199312329292,0.07409946620464325
N,314,0.7911163568496704,0.3695969879627228,0.009854983538389206,0.028278151527047157,0.9121235811659911,0.022165248170495033,0.08253958821296692
X,316,0.43118342757225037,0.3495923578739166,0.019515985623002052,0.039607271552085876,0.8262387861253138,0.020620154216885567,0.6957176327705383
T,317,0.46444326639175415,0.3403010368347168,0.011076067574322224,0.028829550370573997,0.8978328433606627,0.0179646797478199,0.5669264197349548
S,322,0.8284152746200562,0.3955017328262329,0.01508862804621458,0.030543413013219833,0.8879709495695602,0.029038328677415848,0.037990495562553406
N,326,0.7132315635681152,0.3714377284049988,0.010047473944723606,0.03050408698618412,0.8927836893894711,0.02011854015290737,0.1220625564455986
X,332,0.8254425525665283,0.37107527256011963,0.015478194691240788,0.034126050770282745,0.8838809116285605,0.021969323977828026,0.1488221138715744
N,344,0.8082132339477539,0.37046247720718384,0.008186067454516888,0.028033003211021423,0.9175633228174775,0.020865922793745995,0.0899462103843689
X,354,0.43338990211486816,0.3481641113758087,0.0189372505992651,0.035224366933107376,0.8410781613845636,0.014943238347768784,0.775485634803772
X,374,0.7564407587051392,0.342885822057724,0.01226106844842434,0.02691987156867981,0.9077386414073408,0.016009824350476265,0.39275965094566345
S,376,0.7968215346336365,0.39259570837020874,0.00171933532692492,0.013106276281177998,0.9794532350078226,0.011440611444413662,0.020769892260432243
X,377,0.6033884882926941,0.35309770703315735,0.02405506744980812,0.04185173660516739,0.8267316706322102,0.016592713072896004,0.809032678604126
S,378,0.8302573561668396,0.3935624361038208,0.014596180990338326,0.03149360790848732,0.8911743256874846,0.028456682339310646,0.047217585146427155
S,387,0.7987955808639526,0.39285948872566223,0.002219382207840681,0.014005642384290695,0.9672674939602924,0.011440527625381947,0.02585802972316742
T,396,0.8557284474372864,0.3700040280818939,0.020103223621845245,0.04310924932360649,0.8526370109014291,0.02603655681014061,0.23402872681617737
S,398,0.8446139097213745,0.3945685923099518,0.016504382714629173,0.031657278537750244,0.8774005170539583,0.03172029182314873,0.03133934363722801
N,399,0.7725796699523926,0.37150952219963074,0.007313533686101437,0.025849243625998497,0.9297575789084659,0.017589030787348747,0.09427959471940994
_,403,0.7583655118942261,0.32332366704940796,9.774790669325739e-05,0.009848936460912228,0.9990527605513733,0.009848936460912228,0.0
X,407,0.4731238782405853,0.34862184524536133,0.01981859654188156,0.03546065092086792,0.8455229814131477,0.014278586022555828,0.7674186825752258
N,409,0.6488425731658936,0.37060827016830444,0.007693759631365538,0.026338739320635796,0.9041531325442096,0.02110426127910614,0.0703699067234993
X,416,0.7935176491737366,0.369522362947464,0.0097648398950696,0.029893958941102028,0.9152067887720963,0.02492101863026619,0.07444406300783157
X,428,0.8234446048736572,0.37013331055641174,0.006676181219518185,0.02602250874042511,0.9279834708338603,0.01684422418475151,0.10530960559844971
X,438,0.6256719827651978,0.34615835547447205,0.013274372555315495,0.03267552703619003,0.8879278507833078,0.018948856741189957,0.46413812041282654
_,447,0.758150577545166,0.32332566380500793,9.774541103979573e-05,0.009848474524915218,0.9989756040275097,0.009848473593592644,0.0
_,454,0.7376720905303955,0.32336193323135376,0.00010045389353763312,0.009874005801975727,0.9944448106860122,0.009874004870653152,0.0
T,457,0.49491679668426514,0.34236112236976624,0.01619540899991989,0.03102530911564827,0.8016818445900208,0.014936867170035839,0.9128963351249695
_,465,0.7216285467147827,0.323340505361557,9.834691445576027e-05,0.009831550531089306,0.9974769903719426,0.009831550531089306,0.0
_,468,0.7449262738227844,0.32334810495376587,9.945026249624789e-05,0.00986233726143837,0.9959740672881405,0.00986233726143837,0.0
T,469,0.4785592257976532,0.3422698974609375,0.01774688810110092,0.028465908020734787,0.848478373930963,0.010757959447801113,0.9766460061073303
S,471,0.7982826828956604,0.396793007850647,0.00790038239210844,0.02247876487672329,0.8986275492279912,0.020148925483226776,0.03310747072100639
_,475,0.74826979637146,0.32333558797836304,9.785684960661456e-05,0.00983521994203329,0.9981420874595642,0.009835219010710716,0.0
X,479,0.4657646715641022,0.3467273414134979,0.016803868114948273,0.03195272013545036,0.8761957499877918,0.0152259087190032,0.5846492648124695
S,480,0.7905349731445312,0.3975401520729065,0.005888023879379034,0.021078800782561302,0.9237060612317388,0.013927547261118889,0.05342813953757286
S,482,0.7815837860107422,0.39465075731277466,0.002686404623091221,0.01590026170015335,0.9684035856680324,0.01275110337883234,0.030185895040631294
S,494,0.7937425374984741,0.40665149688720703,0.010827429592609406,0.02525508403778076,0.8802338499947989,0.024512454867362976,0.02816472202539444
X,512,0.8592057228088379,0.3681721091270447,0.004250335972756147,0.020061403512954712,0.9595120788551867,0.015316526405513287,0.05988680571317673
S,516,0.8005720376968384,0.3915463984012604,0.004519859328866005,0.01921389065682888,0.945072770388797,0.016792194917798042,0.031072454527020454
_,517,0.7521582841873169,0.3233337998390198,9.779379615793005e-05,0.009839105419814587,0.9983550036450227,0.009839105419814587,0.0
X,521,0.4243299663066864,0.34851327538490295,0.01823441870510578,0.03434492275118828,0.8395768248422731,0.01317956205457449,0.7713416814804077
X,536,0.8198414444923401,0.3700147569179535,0.008749309927225113,0.02848321944475174,0.9147046289282541,0.02282649464905262,0.07779061794281006
N,550,0.6825389862060547,0.371310830116272,0.008680087514221668,0.02898518368601799,0.8989665119629354,0.022214623168110847,0.08669615536928177
S,564,0.8402166962623596,0.39137864112854004,0.011355233378708363,0.025586025789380074,0.9112762798843324,0.023845696821808815,0.03455541282892227
X,574,0.7385881543159485,0.3732752203941345,0.009290557354688644,0.03075926937162876,0.9110129615788659,0.018877670168876648,0.13092415034770966
T,581,0.48162510991096497,0.3383864462375641,0.010320153087377548,0.029862357303500175,0.8879447300007451,0.022180184721946716,0.4949291944503784
T,588,0.6437388062477112,0.338593453168869,0.011382210068404675,0.027283072471618652,0.88730784212096,0.016445837914943695,0.6586522459983826
_,593,0.7393356561660767,0.32334229350090027,9.794846118893474e-05,0.0098378611728549,0.9976204301292698,0.0098378611728549,0.0
S,608,0.8155125379562378,0.39390912652015686,0.00941399671137333,0.024729494005441666,0.8934125009196798,0.022826513275504112,0.03400680422782898
_,618,0.7202185392379761,0.3233402371406555,9.826149471336976e-05,0.0098336236551404,0.9975196991985044,0.0098336236551404,0.0
N,623,0.6599758267402649,0.3761347532272339,0.01193403359502554,0.03594404086470604,0.8775120366023234,0.02359141781926155,0.1378353238105774
X,624,0.7951579689979553,0.3702298104763031,0.012419190257787704,0.031818535178899765,0.8982224419515115,0.02572513557970524,0.0869140774011612
_,628,0.7483407258987427,0.32334619760513306,9.844984015217051e-05,0.009845002554357052,0.9969987714538973,0.009845002554357052,0.0
T,630,0.40596193075180054,0.3389917314052582,0.01117637101560831,0.029158420860767365,0.8631581009572256,0.022922668606042862,0.36305463314056396
N,640,0.7899421453475952,0.3710029721260071,0.007922681048512459,0.02674829587340355,0.9227058430699011,0.02105734683573246,0.07430596649646759
N,655,0.7801121473312378,0.37007802724838257,0.00875692069530487,0.026144172996282578,0.9211223401773411,0.02169986069202423,0.06385934352874756
T,657,0.49890413880348206,0.3392356336116791,0.009433993138372898,0.029925674200057983,0.8635721420478877,0.020660504698753357,0.5500988960266113
N,674,0.749879777431488,0.36870548129081726,0.007865062914788723,0.027409227564930916,0.9151426406949759,0.019566340371966362,0.09865424036979675
N,676,0.7787976264953613,0.3691839575767517,0.00739373080432415,0.025671686977148056,0.9287794567279829,0.017999572679400444,0.09315498173236847
T,677,0.43990999460220337,0.34214356541633606,0.01399772334843874,0.027973348274827003,0.8819459355004226,0.012617832981050014,0.7282145023345947
N,682,0.8096587657928467,0.37542209029197693,0.013546044006943703,0.03433394804596901,0.8903922717727256,0.02019238844513893,0.15276949107646942
S,686,0.8421573042869568,0.3925841748714447,0.014192272908985615,0.02847820334136486,0.8913702990320796,0.02583547867834568,0.04214020445942879
X,702,0.8245002627372742,0.3709375858306885,0.015242045745253563,0.03376970440149307,0.8850551507053509,0.02202889695763588,0.14427591860294342
_,708,0.7512158155441284,0.323332279920578,9.769175085239112e-05,0.009831090457737446,0.9984546155234179,0.009831089526414871,0.0
_,709,0.7585705518722534,0.32333046197891235,9.78072639554739e-05,0.00983920507133007,0.9985896330202619,0.00983920507133007,0.0
N,710,0.7741830348968506,0.3753158748149872,0.012147639878094196,0.033064085990190506,0.886051335843901,0.01531499344855547,0.1833537518978119
N,724,0.7910587191581726,0.372789204120636,0.011265129782259464,0.031115608289837837,0.8983799596099804,0.018800130113959312,0.13750353455543518
_,729,0.7178391814231873,0.32336077094078064,9.943330223904923e-05,0.009854307398200035,0.9955133386328817,0.009854307398200035,0.0
T,733,0.7688207626342773,0.3782019317150116,0.028341157361865044,0.0483606718480587,0.8391635212334465,0.021722253412008286,0.3129851520061493
N,747,0.7933314442634583,0.3724568784236908,0.008687841705977917,0.02997858077287674,0.9154437789304454,0.020738238468766212,0.10787703096866608
N,748,0.8206698298454285,0.3684927523136139,0.006583993323147297,0.023889396339654922,0.9334344987501391,0.015930816531181335,0.09405183792114258
X,754,0.4536832869052887,0.34704849123954773,0.015988240018486977,0.03190971910953522,0.8448573458092142,0.013825464062392712,0.6568213105201721
T,762,0.46675366163253784,0.33995163440704346,0.01084180735051632,0.02687227912247181,0.858722560852184,0.014700190164148808,0.6429370045661926
X,772,0.41321122646331787,0.3452777564525604,0.013164127245545387,0.03414541482925415,0.866102979265852,0.02198798768222332,0.4674507975578308
N,774,0.6814872026443481,0.3743274211883545,0.013385229744017124,0.03607163205742836,0.8505958911175064,0.03042297624051571,0.08337912708520889
S,779,0.8247648477554321,0.3904244601726532,0.014007095247507095,0.027826694771647453,0.9131383382342029,0.028370369225740433,0.02494114823639393
_,780,0.761536180973053,0.3233238756656647,9.787873568711802e-05,0.009855604730546474,0.9990039678911369,0.0098556037992239,0.0
T,793,0.7316699028015137,0.35013332962989807,0.02429967373609543,0.03693654388189316,0.7925773429940486,0.01203075796365738,0.9176957011222839
T,800,0.6634784936904907,0.3691512644290924,0.01930217444896698,0.03829002007842064,0.8580869249729343,0.021258702501654625,0.22512482106685638
T,802,0.4556806683540344,0.34232020378112793,0.017619028687477112,0.03327430039644241,0.8787284160197715,0.019292671233415604,0.7996628284454346
S,810,0.8127666711807251,0.393632709980011,0.008509750477969646,0.02387104369699955,0.8994092051154955,0.021935494616627693,0.033293239772319794
X,833,0.8447760939598083,0.36925798654556274,0.010110221803188324,0.02962067909538746,0.9145983456039297,0.02216162718832493,0.09769632667303085
T,842,0.48107966780662537,0.34233522415161133,0.017734089866280556,0.027994275093078613,0.8971989193765664,0.009861214086413383,0.9559337496757507
X,843,0.7865937948226929,0.3696649670600891,0.009089620783925056,0.027138767763972282,0.9175906111241785,0.01915031485259533,0.09788660705089569
S,844,0.7840505242347717,0.4048677086830139,0.0074405912309885025,0.019709724932909012,0.8980773502204809,0.01897388882935047,0.022577982395887375
S,847,0.8194562792778015,0.3973686397075653,0.014188194647431374,0.03154725953936577,0.8856087048800074,0.027502477169036865,0.051121629774570465
T,853,0.8512090444564819,0.36698779463768005,0.023877620697021484,0.04448225721716881,0.8546254191855406,0.0330379344522953,0.1847859025001526
X,857,0.5426643490791321,0.3438548147678375,0.013043371960520744,0.0307274479418993,0.8678859243035428,0.018076961860060692,0.5077731609344482
_,861,0.7436071634292603,0.32334956526756287,9.932120883604512e-05,0.00985974445939064,0.9959803101420404,0.009859743528068066,0.0
_,873,0.7576188445091248,0.32332587242126465,9.777415834832937e-05,0.009851532056927681,0.9989954355731607,0.009851532056927681,0.0
_,874,0.7451445460319519,0.3233543336391449,9.979228343581781e-05,0.009876883588731289,0.9953378232071798,0.009876882657408714,0.0
S,879,0.7904623746871948,0.4067394733428955,0.008888176642358303,0.021893229335546494,0.88634271289146,0.02003156580030918,0.029057804495096207
_,883,0.7584523558616638,0.323326975107193,9.777093509910628e-05,0.009846673347055912,0.9988012814521791,0.009846673347055912,0.0
S,884,1.5174964666366577,0.41586196422576904,0.02392992563545704,0.038215912878513336,0.8365847805384495,0.01989142782986164,0.1095525249838829
X,890,0.8204019069671631,0.37238094210624695,0.008431924507021904,0.028766168281435966,0.908828680284787,0.018541157245635986,0.11458820849657059
S,898,0.7945017218589783,0.39320388436317444,0.002284382237121463,0.015329835005104542,0.9591855141827061,0.012316067703068256,0.02929503843188286
X,911,0.48794034123420715,0.3490197956562042,0.020099153742194176,0.037762343883514404,0.8512793767245421,0.01934061571955681,0.6600963473320007
_,918,0.7073514461517334,0.32335785031318665,9.887501801131293e-05,0.009840335696935654,0.9959451527272662,0.009840335696935654,0.0
N,926,0.8359023928642273,0.37151941657066345,0.008123262785375118,0.02762843482196331,0.9206128757086117,0.017750537022948265,0.11145394295454025
X,927,0.82053542137146,0.37073954939842224,0.008932341821491718,0.028531964868307114,0.9195098690098773,0.017307372763752937,0.1277131736278534
N,928,0.6791080832481384,0.37417444586753845,0.012061064131557941,0.03455369547009468,0.8817168759913088,0.023987755179405212,0.12441651523113251
T,938,0.7891230583190918,0.36865681409835815,0.01349501684308052,0.03201502934098244,0.8883000679368465,0.017744751647114754,0.1755726933479309
S,940,0.7923073172569275,0.3933407664299011,0.002653402043506503,0.015588868409395218,0.9668450902652694,0.013029140420258045,0.027433227747678757
T,943,0.5927311182022095,0.3428941071033478,0.016273800283670425,0.02937369793653488,0.8330605681790015,0.012298173271119595,0.8486502766609192
N,953,0.7879559993743896,0.3694489002227783,0.009948628954589367,0.027085455134510994,0.920216263789771,0.02190316841006279,0.07256501913070679
T,957,1.1398152112960815,0.3612017035484314,0.036319486796855927,0.04759211838245392,0.70300432230134,0.011089357547461987,0.9633352160453796
S,959,0.7979812026023865,0.39053046703338623,0.003629484213888645,0.01717224530875683,0.9606414547841997,0.016265513375401497,0.021612336859107018
N,960,0.8043656349182129,0.3734181523323059,0.012441905215382576,0.030517050996422768,0.8887767592579379,0.024711301550269127,0.0779954046010971
N,961,0.8993443250656128,0.3697372078895569,0.008779395371675491,0.026563026010990143,0.9187911754865976,0.019395451992750168,0.0890398770570755
T,966,0.783665120601654,0.37202635407447815,0.025986788794398308,0.04391830787062645,0.8640826499509664,0.027640679851174355,0.21820805966854095
N,967,0.8019720911979675,0.36960721015930176,0.007773419376462698,0.02455293759703636,0.9286248300205141,0.017500095069408417,0.08507224172353745
N,985,0.7625159025192261,0.370974600315094,0.008440575562417507,0.02637144736945629,0.9235954546835274,0.018804581835865974,0.09016203880310059
X,989,0.5922746658325195,0.3507770597934723,0.022274404764175415,0.04250233992934227,0.8438335060307035,0.023163696750998497,0.6815006136894226
N,991,0.7710735201835632,0.3697807490825653,0.006034519989043474,0.024424467235803604,0.9316410788094315,0.016769099980592728,0.0896773561835289
_,993,0.7203168869018555,0.32335150241851807,9.883727761916816e-05,0.009841224178671837,0.9965333895757795,0.009841223247349262,0.0
