Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.8168724775314331,0.3232846260070801,9.908895299304277e-05,0.009938087314367294,1.0005220301697653,0.00993808638304472,0.0
_,7,0.8347935676574707,0.3232862055301666,9.866229811450467e-05,0.009916521608829498,1.0006707722942034,0.009916521608829498,0.0
N,11,0.801978588104248,0.3718678057193756,0.009881051257252693,0.030973663553595543,0.9053220431289326,0.025817111134529114,0.07454042136669159
N,34,0.863613486289978,0.37168604135513306,0.007037090603262186,0.024643145501613617,0.9098217619358911,0.018502436578273773,0.0740116536617279
X,38,0.4326728880405426,0.34998682141304016,0.01898542046546936,0.03547637537121773,0.8344011413293508,0.014594084583222866,0.682827353477478
_,40,0.8048194646835327,0.3233056664466858,9.879100980469957e-05,0.009901102632284164,0.9993615754072865,0.009901102632284164,0.0
N,43,0.8342714905738831,0.3706274926662445,0.00849753525108099,0.028134308755397797,0.9193395277337792,0.02136709727346897,0.08620264381170273
T,49,0.3894693851470947,0.340831995010376,0.012007731013000011,0.030427373945713043,0.8640785546855053,0.01880425401031971,0.6600798964500427
N,52,0.776356041431427,0.3704962134361267,0.008998864330351353,0.02705029956996441,0.9184554829693904,0.021020585671067238,0.07833270728588104
_,71,0.8074592351913452,0.32329317927360535,9.872031660052016e-05,0.009915090166032314,1.0001840254291892,0.00991508923470974,0.0
S,83,0.7727891802787781,0.39406532049179077,0.0013809585943818092,0.015326553955674171,0.9818711093937358,0.013545425608754158,0.023372339084744453
_,86,0.8032804131507874,0.3232932686805725,9.861803846433759e-05,0.009912414476275444,1.0001815211524567,0.009912414476275444,0.0
_,103,0.8289498090744019,0.3232883810997009,9.863971354207024e-05,0.00991457886993885,1.0005559145162504,0.00991457886993885,0.0
X,108,1.0031927824020386,0.3609568774700165,0.03399108350276947,0.05284882336854935,0.7524463874502503,0.019904443994164467,0.9392825365066528
T,109,0.7781479358673096,0.3642265796661377,0.01658906415104866,0.038228679448366165,0.8843519337038743,0.032122671604156494,0.11069861054420471
S,128,0.8201096653938293,0.3937738537788391,0.012446527369320393,0.024429991841316223,0.9025598655950967,0.026136865839362144,0.016217974945902824
X,134,0.6421611905097961,0.35163718461990356,0.019831273704767227,0.03794761002063751,0.8426583057349005,0.014965333044528961,0.700151264667511
X,144,0.8068846464157104,0.3710384666919708,0.00995083712041378,0.028209909796714783,0.9097348223626615,0.020546894520521164,0.09396499395370483
N,147,0.7104941606521606,0.3676071763038635,0.007633410394191742,0.025035373866558075,0.9298753864768272,0.0198416355997324,0.0717790350317955
S,157,0.9424811005592346,0.4067806005477905,0.0075323330238461494,0.024260034784674644,0.8703846141602041,0.018399637192487717,0.047221265733242035
T,171,0.5819482207298279,0.34216687083244324,0.01601143181324005,0.03229168802499771,0.8078609294022409,0.016955550760030746,0.9146804809570312
