Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
_,1,0.1380797028541565,0.3529466986656189,0.011012008413672447,0.09956460446119308,0.8178201501133542,0.09956460446119308,0.0
_,7,0.13730832934379578,0.3527401089668274,0.01083194650709629,0.09884289652109146,0.8198453236153971,0.09884289652109146,0.0
N,11,0.2789148986339569,0.4366421103477478,0.06859006732702255,0.17557920515537262,0.6073605819374098,0.11188603192567825,0.7137112021446228
N,34,0.3083093762397766,0.4440690279006958,0.07872790843248367,0.18574349582195282,0.5745661108925281,0.1152055636048317,0.7528364658355713
X,38,0.24258555471897125,0.3896578550338745,0.046261515468358994,0.15528281033039093,0.6136696377764581,0.13146738708019257,0.8935610055923462
_,40,0.1383187174797058,0.35301193594932556,0.011061382479965687,0.09979548305273056,0.8176368528542419,0.09979548305273056,0.0
N,43,0.2543136775493622,0.4316951036453247,0.059322357177734375,0.17036575078964233,0.6025109682066705,0.11508847773075104,0.6446911096572876
T,49,0.1904231160879135,0.3748815655708313,0.029362786561250687,0.13878589868545532,0.6615915348801544,0.1286023110151291,0.690455973148346
N,52,0.32242828607559204,0.44455307722091675,0.08278011530637741,0.19665871560573578,0.5570187422557213,0.1302456110715866,0.761498749256134
_,71,0.13852226734161377,0.35306647419929504,0.011108910664916039,0.09998592734336853,0.8172093418116372,0.09998592734336853,0.0
S,83,0.4227498769760132,0.5001962184906006,0.12083233147859573,0.232344850897789,0.5501400561063201,0.11588063091039658,0.7584418654441833
_,86,0.13984373211860657,0.3534301817417145,0.0113653764128685,0.10128089040517807,0.8127847375348211,0.10128088295459747,0.0
_,103,0.13751764595508575,0.3527960777282715,0.010881228372454643,0.09903828054666519,0.8193403534001361,0.0990382730960846,0.0
X,108,0.2333255112171173,0.38933923840522766,0.04371371492743492,0.1449865996837616,0.6223022962390083,0.1175183430314064,0.8840742111206055
T,109,0.2658831477165222,0.4183446764945984,0.06197751685976982,0.16070881485939026,0.6511737412653346,0.10706993192434311,0.7973290681838989
S,128,0.3954823315143585,0.49133896827697754,0.11317569017410278,0.22061772644519806,0.5547744584160592,0.1082649901509285,0.7611623406410217
X,134,0.21231888234615326,0.38523799180984497,0.038137130439281464,0.13832801580429077,0.643333698273065,0.11420423537492752,0.8334226608276367
X,144,0.3243215084075928,0.4439462423324585,0.08253968507051468,0.1974329650402069,0.5412309953733196,0.1331205517053604,0.749287486076355
N,147,0.3153623938560486,0.43897420167922974,0.08059436082839966,0.18165376782417297,0.6068157513891326,0.11077836900949478,0.8195322751998901
S,157,0.4154522120952606,0.5109696388244629,0.12022008746862411,0.23672358691692352,0.5026426847392638,0.11663027852773666,0.707253098487854
T,171,0.1887529343366623,0.37257683277130127,0.028311273083090782,0.12993815541267395,0.6944044659526966,0.11749918013811111,0.8456346392631531
T,173,0.1753212958574295,0.369426429271698,0.024553433060646057,0.12061788141727448,0.7224517161627683,0.10868918150663376,0.8244107961654663
T,180,0.18602165579795837,0.3731757402420044,0.028155528008937836,0.12606868147850037,0.7172821332975324,0.11166871339082718,0.8316667079925537
N,181,0.27010324597358704,0.4361749291419983,0.06540418416261673,0.1752641797065735,0.601365696011106,0.11467716097831726,0.6782772541046143
X,186,0.2617328464984894,0.43089228868484497,0.06276949495077133,0.16985906660556793,0.599010248807061,0.11144961416721344,0.6955440640449524
N,195,0.3073500692844391,0.44098055362701416,0.07753687351942062,0.18761472404003143,0.5930990757574264,0.12124644964933395,0.7583818435668945
N,196,0.3276190161705017,0.43968790769577026,0.08265124261379242,0.18430273234844208,0.6114870184778178,0.11312174052000046,0.8309131860733032
S,200,0.4313848912715912,0.5125331878662109,0.12447165697813034,0.23996369540691376,0.5005882014135971,0.11770791560411453,0.7214401960372925
S,216,0.2870061695575714,0.4714331030845642,0.07346633821725845,0.19768306612968445,0.5247449215080026,0.12054310739040375,0.5782337188720703
N,217,0.27678486704826355,0.43495088815689087,0.06691267341375351,0.17876125872135162,0.5873106948541924,0.11996309459209442,0.6936036348342896
T,219,0.28443506360054016,0.4270131587982178,0.06895948946475983,0.1692764312028885,0.6426061630995908,0.10878222435712814,0.7985023856163025
T,226,0.3025054931640625,0.4275631904602051,0.072907954454422,0.1711941659450531,0.6487908165970067,0.10891671478748322,0.8362444639205933
N,231,0.31954461336135864,0.4417758285999298,0.08256396651268005,0.18332891166210175,0.6136260539282699,0.10964667052030563,0.8198368549346924
_,233,0.1371278315782547,0.3526914417743683,0.010791405104100704,0.09867221117019653,0.8203385301368933,0.09867221117019653,0.0
T,241,0.195339635014534,0.3751642107963562,0.030788758769631386,0.12853455543518066,0.7017594364886486,0.11219246685504913,0.8737656474113464
N,242,0.3220529854297638,0.44393545389175415,0.08168134838342667,0.19197076559066772,0.5853134669615213,0.12366499751806259,0.766542911529541
N,243,0.2659468650817871,0.4323093295097351,0.06444275379180908,0.17236943542957306,0.6045140836748314,0.11273252964019775,0.705397367477417
X,264,0.2844826877117157,0.4349839985370636,0.07181066274642944,0.17219224572181702,0.6184102452743021,0.10470827668905258,0.7725908160209656
S,266,0.29566285014152527,0.47677481174468994,0.07723300904035568,0.20145249366760254,0.5151675403350631,0.11957741528749466,0.5857699513435364
N,268,0.25771448016166687,0.4314734935760498,0.06118745356798172,0.17161118984222412,0.6004070719099537,0.11500758677721024,0.6717643141746521
_,274,0.13943542540073395,0.3533113896846771,0.011320002377033234,0.10084255784749985,0.8153135095257312,0.10084255039691925,0.0
_,277,0.13953036069869995,0.3533368408679962,0.011342142708599567,0.10093140602111816,0.8151144062417249,0.10093140602111816,0.0
T,289,0.19906732439994812,0.3756495714187622,0.031752850860357285,0.13649870455265045,0.6809140802807331,0.1227988600730896,0.8534574508666992
T,292,0.19424468278884888,0.3744942545890808,0.030324654653668404,0.12894198298454285,0.7147465455225089,0.11355111002922058,0.8751612305641174
X,308,0.19563670456409454,0.38061603903770447,0.03278838098049164,0.13341309130191803,0.6745604944039466,0.11375648528337479,0.782917320728302
X,311,0.23237638175487518,0.3874969482421875,0.043311093002557755,0.1510518342256546,0.6167584417384994,0.1284613162279129,0.8762850761413574
N,312,0.31578314304351807,0.44007807970046997,0.07953140139579773,0.18340378999710083,0.5972229577985275,0.11371932178735733,0.7935678362846375
N,314,0.31050506234169006,0.43925797939300537,0.0778321847319603,0.18521203100681305,0.6079981375323693,0.11844555288553238,0.7778674960136414
