Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
N,1,0.5902515649795532,0.48413509130477905,0.17755739390850067,0.38821321725845337,0.6242446464051803,0.43648746609687805,0.052583154290914536
S,7,0.5660920143127441,0.4964790940284729,0.1666158139705658,0.3702869117259979,0.6054208319013318,0.43391236662864685,0.0652613565325737
S,11,0.4582664966583252,0.5108738541603088,0.13521148264408112,0.3343036472797394,0.6335389386614164,0.4103049039840698,0.09723010659217834
_,34,0.5078980922698975,0.44199973344802856,0.14876434206962585,0.3856620788574219,0.8689504381020864,0.3956620395183563,0.0
_,38,0.5069655179977417,0.4418017566204071,0.1483173817396164,0.3850868046283722,0.8703136535485586,0.39508679509162903,0.0
T,40,0.5976001620292664,0.4890371859073639,0.18951213359832764,0.42072272300720215,0.4257806088340779,0.4365151524543762,0.3575272858142853
N,43,0.513776421546936,0.4844904839992523,0.15340103209018707,0.37506869435310364,0.6541728774706523,0.4136866331100464,0.15352338552474976
S,49,0.4578048884868622,0.5104315876960754,0.1335671842098236,0.33997437357902527,0.5854984961946805,0.4025270640850067,0.14139416813850403
X,52,0.5233868360519409,0.4862942099571228,0.15794594585895538,0.3788014352321625,0.6359201285739741,0.4163917601108551,0.16557073593139648
X,71,0.5873091220855713,0.4903063178062439,0.17968924343585968,0.3947230577468872,0.5873514590412379,0.43889206647872925,0.11855734884738922
N,83,0.527977705001831,0.4839785397052765,0.1587701439857483,0.38256901502609253,0.6274447813381752,0.4144873023033142,0.19530406594276428
N,86,0.5261044502258301,0.48349255323410034,0.15698416531085968,0.3734759986400604,0.6271637659271558,0.41663673520088196,0.11517560482025146
_,103,0.5071318745613098,0.441836953163147,0.1483972668647766,0.3851888179779053,0.8694049386183421,0.3951887786388397,0.0
N,108,0.5237887501716614,0.47963517904281616,0.15749700367450714,0.38544633984565735,0.6376652198533218,0.41160616278648376,0.22514666616916656
