Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
M,4,0.08184242993593216,0.33589059114456177,0.007543532177805901,0.01671016588807106,0.9001407588598764,0.01798037253320217,0.8942551612854004
N,6,0.07133845239877701,0.3311915695667267,0.004348637070506811,0.008904697373509407,0.9412846510695817,0.01318429410457611,0.9421365857124329
K,32,0.08210095763206482,0.34317806363105774,0.009155135601758957,0.01861715503036976,0.914661402068729,0.016907908022403717,0.3577287793159485
I,34,0.0618954673409462,0.34384554624557495,1.3395631867751945e-05,0.0025853009428828955,0.9895107920343678,0.008754614740610123,0.00019285158487036824
L,52,0.06534244865179062,0.3339252769947052,0.0024541302118450403,0.010010878555476665,0.9364168227960666,0.01662057638168335,0.079567551612854
L,80,0.06309045851230621,0.3338486850261688,0.0013236632803454995,0.009444120340049267,0.9249544758939495,0.015702584758400917,0.10568633675575256
J,95,0.061642181128263474,0.33754968643188477,1.4735866898263339e-05,0.002546879928559065,0.9923645931730668,0.008992044255137444,0.0003302574623376131
N,109,0.07132022827863693,0.32976630330085754,0.003313519060611725,0.007784881629049778,0.9338317023228918,0.012594776228070259,0.9816546440124512
I,110,0.06268980354070663,0.34267884492874146,1.7275866412092e-05,0.0028546841349452734,0.9898778118565679,0.00833490677177906,0.0006170372944325209
H,114,0.06760550290346146,0.3598400950431824,4.2692416172940284e-05,0.0031544261146336794,0.9806065639356772,0.008847675286233425,0.0009764414280653
I,120,0.06454432010650635,0.34336817264556885,5.4503572755493224e-05,0.003226296743378043,0.9783845858896772,0.00960549246519804,4.814598287339322e-05
J,124,0.06274808943271637,0.3376135230064392,0.000401906727347523,0.0042536999098956585,0.9748699295466455,0.01057055126875639,0.005679386202245951
H,140,0.06525039672851562,0.36206740140914917,2.2388780053006485e-05,0.0033048882614821196,0.9814816464235385,0.008160315454006195,0.0012621803907677531
N,144,0.06984195858240128,0.3298458755016327,0.0031708076130598783,0.007547793444246054,0.9442497740391022,0.013058582320809364,0.9662748575210571
N,147,0.07409747689962387,0.33069199323654175,0.003908650483936071,0.00887473113834858,0.9330275526265904,0.013831492513418198,0.9823959469795227
L,149,0.07177363336086273,0.33467501401901245,0.005065092351287603,0.011929109692573547,0.9386073606392408,0.019115732982754707,0.02435326762497425
N,152,0.07229966670274734,0.3305296301841736,0.003651919076219201,0.008801406249403954,0.938900873163863,0.014030414633452892,0.9786770343780518
I,158,0.06415784358978271,0.34305286407470703,2.6350529878982343e-05,0.0031704148277640343,0.9846463115761678,0.008900217711925507,0.0007268870249390602
I,167,0.06723876297473907,0.3422146737575531,8.451929170405492e-05,0.003270501270890236,0.9890313440437118,0.008170471526682377,0.0019126544939354062
N,176,0.07368878275156021,0.3307446241378784,0.003784557105973363,0.009556622244417667,0.9274941192558496,0.014787279069423676,0.9811904430389404
J,194,0.06259848922491074,0.3375670611858368,0.00021806724544148892,0.002597400452941656,0.9911606193644306,0.009593906812369823,7.414280116790906e-05
J,195,0.14038819074630737,0.3449001908302307,0.014652767218649387,0.018052497878670692,0.91017383414796,0.01782187819480896,0.21498073637485504
0,199,0.05629807710647583,0.3256407380104065,4.632852323993575e-06,0.0017130672931671143,0.997324210293591,0.009154213592410088,0.0
J,216,0.06347925961017609,0.3394772410392761,0.000467547622974962,0.003933043219149113,0.9834354829601943,0.009845648892223835,0.0034188907593488693
J,217,0.0635758712887764,0.33711662888526917,1.842246092564892e-05,0.0031412788666784763,0.9906087230145931,0.008165573701262474,0.0006548289093188941
N,219,0.07122766226530075,0.3301161527633667,0.003305230289697647,0.008322304114699364,0.9342911143283709,0.013956725597381592,0.9795743227005005
J,221,0.06396456062793732,0.3385239839553833,0.00034200993832200766,0.005484588444232941,0.9532935668970458,0.01205865852534771,0.0011970301857218146
