Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
N,1,0.5723193287849426,0.48534277081489563,0.17054232954978943,0.38366642594337463,0.6682978206753857,0.4313443899154663,0.07714614272117615
S,7,0.548409104347229,0.4971911311149597,0.16190709173679352,0.36912402510643005,0.6218257477095419,0.42787790298461914,0.09701431542634964
S,11,0.4740493893623352,0.502446174621582,0.14072659611701965,0.3406476378440857,0.6769400239860018,0.4143293499946594,0.07488153129816055
_,34,0.5159507989883423,0.4437108039855957,0.1526208221912384,0.3906400501728058,0.8732010222474734,0.400640070438385,0.0
_,38,0.5149099826812744,0.44349050521850586,0.1521209329366684,0.390000581741333,0.8737115841110548,0.40000057220458984,0.0
T,40,0.5454540252685547,0.4892701208591461,0.1672581285238266,0.4043985903263092,0.6252019622306398,0.410465806722641,0.4571917951107025
N,43,0.5518105030059814,0.48603230714797974,0.16676554083824158,0.3908182978630066,0.649634840938185,0.42272841930389404,0.19793283939361572
S,49,0.4731983542442322,0.5026577115058899,0.14108027517795563,0.3461228609085083,0.6466568788637718,0.411901593208313,0.1046692356467247
X,52,0.5201928615570068,0.4857718050479889,0.15739455819129944,0.38224923610687256,0.6848675944904487,0.415570467710495,0.19346299767494202
X,71,0.5832123160362244,0.4900513291358948,0.17430798709392548,0.3927119970321655,0.6422084468295605,0.43069544434547424,0.16601882874965668
N,83,0.5241235494613647,0.4869067370891571,0.1581789255142212,0.3860948383808136,0.6826576744633106,0.41413694620132446,0.2381160706281662
N,86,0.5402108430862427,0.4843124449253082,0.15876322984695435,0.3769615590572357,0.6790139332980228,0.4180484414100647,0.13040493428707123
_,103,0.5151571035385132,0.44354283809661865,0.15223944187164307,0.3901527523994446,0.8737011234462262,0.4001527428627014,0.0
N,108,0.5273652672767639,0.48758524656295776,0.15904653072357178,0.39353272318840027,0.66733264638111,0.4104929566383362,0.3365788161754608
N,109,0.5424516201019287,0.4982282221317291,0.16565747559070587,0.40549710392951965,0.6069653999308745,0.40681448578834534,0.49292317032814026
