Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
N,1,0.5586715936660767,0.48095962405204773,0.16433261334896088,0.37267744541168213,0.7558981070776827,0.42311593890190125,0.043634336441755295
S,7,0.5070616006851196,0.4951683580875397,0.14610522985458374,0.34452372789382935,0.7321274530273815,0.4141666293144226,0.05709020048379898
S,11,0.44826316833496094,0.49400758743286133,0.1301443725824356,0.3291201889514923,0.7812496127296376,0.4015223979949951,0.05383725091814995
_,34,0.5030232071876526,0.44095927476882935,0.14643798768520355,0.382627010345459,0.8872189837073287,0.3926270008087158,0.0
_,38,0.5016477108001709,0.4406675398349762,0.1457785815000534,0.3817792236804962,0.8883229301093768,0.39177918434143066,0.0
T,40,0.5231841802597046,0.47914034128189087,0.1569930613040924,0.3864411413669586,0.7639899193591729,0.4071632921695709,0.2772795855998993
N,43,0.532538890838623,0.47944551706314087,0.1568514108657837,0.369358628988266,0.7645619972386112,0.41583913564682007,0.06960788369178772
S,49,0.4521436095237732,0.4934563934803009,0.13092102110385895,0.32874706387519836,0.7824995685056153,0.40188345313072205,0.048466701060533524
X,52,0.5526992678642273,0.48131126165390015,0.1631702184677124,0.37614214420318604,0.7487950250690832,0.4199519157409668,0.09010034054517746
X,71,0.581875741481781,0.4838731586933136,0.17011511325836182,0.38132792711257935,0.7429311231367107,0.42410537600517273,0.10481206327676773
N,83,0.5393391251564026,0.4803132116794586,0.15835855901241302,0.37314826250076294,0.761918326956221,0.4156741797924042,0.09915249049663544
N,86,0.5535615682601929,0.4818241596221924,0.16379600763320923,0.37375861406326294,0.7481162088354829,0.4219776690006256,0.06437233090400696
_,103,0.5019747018814087,0.4407375752925873,0.14593416452407837,0.3819839060306549,0.8882518071246644,0.39198389649391174,0.0
N,108,0.540059506893158,0.481122761964798,0.15891513228416443,0.37674155831336975,0.7528619790677981,0.4153693616390228,0.13027869164943695
N,109,0.5149601101875305,0.48783397674560547,0.15369944274425507,0.3854858875274658,0.7475012365495071,0.40639346837997437,0.3001396358013153
N,128,0.5610864162445068,0.4809338450431824,0.16561196744441986,0.3746946156024933,0.7528187469997322,0.4234468936920166,0.051610711961984634
N,134,0.5352349877357483,0.4804423749446869,0.15737436711788177,0.3705237805843353,0.7577678459187606,0.41677144169807434,0.07661700993776321
T,144,0.6170396208763123,0.4840421676635742,0.18614912033081055,0.40539124608039856,0.7214668542918822,0.4361131489276886,0.17522074282169342
X,147,0.5780567526817322,0.480713814496994,0.16788481175899506,0.37564152479171753,0.7501487939862516,0.4235762357711792,0.0525384284555912
S,157,0.4601109027862549,0.4928809702396393,0.13466745615005493,0.331582248210907,0.7753947623947898,0.4063403010368347,0.037063367664813995
N,171,0.5988508462905884,0.4894142746925354,0.1761123687028885,0.3885650038719177,0.726194000534086,0.43046486377716064,0.13572104275226593
_,173,0.5025106072425842,0.4408508539199829,0.1461917757987976,0.3823124170303345,0.8876862621773035,0.3923124074935913,0.0
S,180,0.5085639953613281,0.49535518884658813,0.1461193561553955,0.3438364863395691,0.734339701671299,0.4145888686180115,0.05368364602327347
T,181,0.5287275314331055,0.45411601662635803,0.1589677482843399,0.39747124910354614,0.8270611310412476,0.40474483370780945,0.5798171758651733
S,186,0.47849899530410767,0.4946882724761963,0.1381094604730606,0.3357502222061157,0.7440230901998286,0.4077165722846985,0.052672129124403
_,195,0.5019752979278564,0.4407370984554291,0.14593550562858582,0.38198164105415344,0.8881361487818261,0.3919816017150879,0.0
N,196,0.5611557364463806,0.4814019799232483,0.16387425363063812,0.3730660676956177,0.755305630506911,0.42149579524993896,0.0605117529630661
_,200,0.5024994015693665,0.4408484995365143,0.14618642628192902,0.38230547308921814,0.8877300480101258,0.392305463552475,0.0
S,216,0.4635860323905945,0.4940861761569977,0.1355280876159668,0.33344000577926636,0.7766173379761798,0.407122403383255,0.04548310115933418
T,217,0.5266691446304321,0.4575860798358917,0.15795303881168365,0.396011620759964,0.8122965692679429,0.4014371633529663,0.5992504954338074
X,219,0.5275149941444397,0.4602750241756439,0.15838059782981873,0.3963889181613922,0.8132809228950144,0.40092527866363525,0.5951862335205078
T,226,0.589850902557373,0.4772866368293762,0.1742016077041626,0.3863372504711151,0.7549614916459996,0.4279520809650421,0.05256178230047226
X,231,0.5265236496925354,0.46832987666130066,0.15797942876815796,0.395364910364151,0.7637851894504005,0.39718884229660034,0.5799360871315002
N,233,0.582378625869751,0.48449239134788513,0.16973772644996643,0.3800969123840332,0.7434061126587331,0.4250209927558899,0.09486682713031769
S,241,0.5104280710220337,0.49409353733062744,0.14728544652462006,0.3432551324367523,0.7332448065415555,0.41610708832740784,0.03887758031487465
X,242,0.526290237903595,0.46162405610084534,0.15780901908874512,0.3956963121891022,0.8027518733760771,0.4000469446182251,0.5796295404434204
_,243,0.5027612447738647,0.44090408086776733,0.14631184935569763,0.38246721029281616,0.8874785517280301,0.3924671709537506,0.0
N,264,0.5930100679397583,0.482003390789032,0.17230433225631714,0.37857335805892944,0.7481570067388638,0.4285309314727783,0.04086751118302345
S,266,0.4793680012226105,0.5050222873687744,0.13875812292099,0.32916224002838135,0.7269269219295814,0.41312122344970703,0.053533345460891724
T,268,0.5259177684783936,0.45851531624794006,0.1576007604598999,0.39586371183395386,0.7911482821317442,0.40224790573120117,0.5424970984458923
X,274,0.5248703956604004,0.4608124792575836,0.15712346136569977,0.39480364322662354,0.8159189341939982,0.39921262860298157,0.5830255746841431
N,277,0.5311164259910583,0.48201626539230347,0.15652510523796082,0.3727041482925415,0.7566584085658582,0.4134729206562042,0.12402626127004623
N,289,0.5753065943717957,0.48226112127304077,0.16888903081417084,0.37530890107154846,0.7457382771427062,0.42697855830192566,0.03822338208556175
_,292,0.5019394755363464,0.4407297968864441,0.14591781795024872,0.38196074962615967,0.888218838258957,0.3919607400894165,0.0
_,308,0.5018545985221863,0.4407118856906891,0.1458769589662552,0.38190892338752747,0.8882554129138589,0.3919089138507843,0.0
N,311,0.5803906321525574,0.4860977232456207,0.1712552160024643,0.38405707478523254,0.7401494016962049,0.42657649517059326,0.11793909966945648
_,312,0.5070828199386597,0.4418255090713501,0.1483754962682724,0.3851536512374878,0.8853332707906764,0.39515364170074463,0.0
N,314,0.533755898475647,0.4908677339553833,0.16208985447883606,0.39278149604797363,0.7342591673715341,0.4145043194293976,0.30077099800109863
S,316,0.5017105340957642,0.49671682715415955,0.1451217383146286,0.3420971632003784,0.7395791229616875,0.41414037346839905,0.05576794594526291
S,317,0.5264610648155212,0.495108038187027,0.15115466713905334,0.34862375259399414,0.7336292145094141,0.4193568527698517,0.047995273023843765
_,322,0.5071888566017151,0.44184786081314087,0.14842651784420013,0.3852185010910034,0.8852655036902677,0.39521849155426025,0.0
N,326,0.6292091012001038,0.4867980182170868,0.1821918785572052,0.3860754072666168,0.7370086751379723,0.4390624761581421,0.03995554894208908
S,332,0.45498085021972656,0.49308401346206665,0.13215920329093933,0.33001571893692017,0.7952069442412748,0.4042273461818695,0.041833650320768356
N,344,0.5516164302825928,0.48388031125068665,0.16510556638240814,0.37956884503364563,0.745536570308904,0.4245263338088989,0.09470584988594055
X,354,0.5630010366439819,0.48434656858444214,0.16872495412826538,0.3845210373401642,0.7396127998556472,0.4243534803390503,0.12834151089191437
S,374,0.4556652009487152,0.494062602519989,0.1337117850780487,0.3303127884864807,0.7904427025466187,0.4070710241794586,0.03576185554265976
X,376,0.5722284317016602,0.4864676892757416,0.17094683647155762,0.3869566321372986,0.7308335257596885,0.42553049325942993,0.14732620120048523
S,377,0.4736343026161194,0.49637535214424133,0.13865040242671967,0.33844298124313354,0.7763406974290774,0.4073742926120758,0.07062385231256485
T,378,0.5356844663619995,0.4562092125415802,0.16233864426612854,0.4015341103076935,0.819136535121668,0.4084126949310303,0.5945338010787964
_,387,0.5063408613204956,0.44166865944862366,0.14801882207393646,0.38469889760017395,0.8860092071133356,0.3946988880634308,0.0
_,396,0.5063672661781311,0.44167399406433105,0.14803197979927063,0.3847137987613678,0.8858424957810591,0.39471378922462463,0.0
N,398,0.5483012795448303,0.48132508993148804,0.16249799728393555,0.37581685185432434,0.7536714632591069,0.4221576154232025,0.07293713092803955
S,399,0.4566206932067871,0.494917094707489,0.13360394537448883,0.33163538575172424,0.7928404429944446,0.40661394596099854,0.045726627111434937
_,403,0.50643390417099,0.44168803095817566,0.1480640023946762,0.3847546875476837,0.885833827542762,0.39475467801094055,0.0
N,407,0.5582296848297119,0.4823014438152313,0.16564619541168213,0.3757668435573578,0.7508891167174185,0.4245835542678833,0.06014278158545494
