Label,Index,BCE,BCELogits,MSE,MAE,SSIM,White MAE,Black MAE
N,1,0.559475302696228,0.4837541878223419,0.1651945859193802,0.3802976608276367,0.7312946753942258,0.426880419254303,0.08157973736524582
S,7,0.5256478786468506,0.5013454556465149,0.15304875373840332,0.36248672008514404,0.6769514162931229,0.4199044704437256,0.12673082947731018
S,11,0.4749095141887665,0.5012511610984802,0.14175786077976227,0.3454512059688568,0.7413160476051659,0.41536518931388855,0.08297127485275269
_,34,0.5219018459320068,0.44497090578079224,0.1554788053035736,0.39429783821105957,0.8782992669194938,0.4042978286743164,0.0
_,38,0.5216658711433411,0.4449211657047272,0.15536513924598694,0.39415374398231506,0.8783666078373791,0.4041537344455719,0.0
T,40,0.5496532917022705,0.49070635437965393,0.16925828158855438,0.4084520637989044,0.7111863244185983,0.4136545658111572,0.4707954227924347
N,43,0.5429710149765015,0.48728811740875244,0.16325299441814423,0.3865950107574463,0.7070272434640181,0.4216974675655365,0.18262626230716705
S,49,0.46659404039382935,0.502541184425354,0.13827352225780487,0.34520232677459717,0.7435959506128954,0.40977901220321655,0.10967878252267838
X,52,0.5423462390899658,0.4857734143733978,0.16310423612594604,0.38516873121261597,0.7120566939349616,0.4208349883556366,0.17142586410045624
X,71,0.6065857410430908,0.48878031969070435,0.1796860247850418,0.39444077014923096,0.6934748546009498,0.4389335811138153,0.10644733160734177
N,83,0.5288385152816772,0.4859210252761841,0.15790006518363953,0.38294923305511475,0.7309110930118066,0.4140772521495819,0.21039007604122162
N,86,0.5414271950721741,0.4862504303455353,0.16041962802410126,0.38136520981788635,0.7172747116757918,0.4184373915195465,0.16656289994716644
_,103,0.5218186974525452,0.44495341181755066,0.15543875098228455,0.3942472040653229,0.8783581371232868,0.4042471945285797,0.0
N,108,0.5338588356971741,0.4884425103664398,0.16068170964717865,0.3905622661113739,0.7153314314828852,0.41280728578567505,0.2901013195514679
N,109,0.5487473011016846,0.5013246536254883,0.16874970495700836,0.4087751507759094,0.6952539811195766,0.40800029039382935,0.5118541717529297
N,128,0.5353893637657166,0.4823448657989502,0.15849605202674866,0.3781169354915619,0.7437429864639649,0.41890737414360046,0.1207539290189743
N,134,0.5504899621009827,0.48831766843795776,0.16546742618083954,0.387597918510437,0.7114910422683383,0.4236166179180145,0.17920295894145966
T,144,0.5815993547439575,0.48595383763313293,0.1793048083782196,0.406724750995636,0.696651863792763,0.4311816990375519,0.25370538234710693
X,147,0.5561468005180359,0.4836367964744568,0.16498903930187225,0.3824949860572815,0.7096873797059744,0.4241732358932495,0.11412374675273895
S,157,0.4689110517501831,0.4985918402671814,0.13964028656482697,0.34500449895858765,0.7558852368530158,0.41315653920173645,0.08027886599302292
N,171,0.5609288811683655,0.4896122217178345,0.16792631149291992,0.38952749967575073,0.705266219657404,0.42476168274879456,0.18910638988018036
_,173,0.5218139886856079,0.4449523985385895,0.15543650090694427,0.3942442536354065,0.8783475598692895,0.40424424409866333,0.0
S,180,0.5335043668746948,0.502907931804657,0.15582844614982605,0.3592950105667114,0.671383489251573,0.4263148903846741,0.09180204570293427
T,181,0.5349815487861633,0.45440343022346497,0.16187241673469543,0.40171295404434204,0.8063583833535904,0.40938058495521545,0.584307074546814
S,186,0.5047698020935059,0.5021864771842957,0.14808566868305206,0.3526851534843445,0.6757288722176785,0.4186924993991852,0.0976233184337616
_,195,0.5216670036315918,0.4449213743209839,0.1553657054901123,0.39415442943573,0.8783687797685464,0.4041544198989868,0.0
N,196,0.5597261190414429,0.4874567687511444,0.16550679504871368,0.3847898542881012,0.7089804850654492,0.42347627878189087,0.15659822523593903
_,200,0.5218095183372498,0.44495144486427307,0.15543434023857117,0.3942415118217468,0.8783442164584995,0.40424150228500366,0.0
S,216,0.4732303023338318,0.49977806210517883,0.141266867518425,0.34402450919151306,0.7584911279946877,0.41604989767074585,0.06975384056568146
T,217,0.5324957370758057,0.4579015076160431,0.1606820523738861,0.3999195992946625,0.7643499329353374,0.4059305191040039,0.5936506986618042
X,219,0.5357309579849243,0.46173596382141113,0.16227084398269653,0.4016176164150238,0.7798295003758979,0.4064146876335144,0.5956119298934937
T,226,0.5453776121139526,0.4808111786842346,0.1643868088722229,0.39123231172561646,0.7262908112413182,0.41853368282318115,0.2139851301908493
X,231,0.5395779609680176,0.4712197482585907,0.16420073807239532,0.40341097116470337,0.6980807403479765,0.405179888010025,0.5889432430267334
N,233,0.5503273606300354,0.48714467883110046,0.1641366332769394,0.3851185142993927,0.7069355159643904,0.42129963636398315,0.17390087246894836
S,241,0.5218986868858337,0.4974616467952728,0.15074867010116577,0.3549399673938751,0.7029842465816749,0.42250263690948486,0.06949889659881592
X,242,0.5354291796684265,0.4639662206172943,0.1621445119380951,0.4013131856918335,0.7524715697896318,0.4053346514701843,0.5916776657104492
_,243,0.5218207836151123,0.4449538290500641,0.15543979406356812,0.394248366355896,0.8783171871552865,0.40424835681915283,0.0
N,264,0.576316237449646,0.48517274856567383,0.1703769713640213,0.3851585388183594,0.7194307015083496,0.4311339855194092,0.08707032352685928
S,266,0.47980836033821106,0.5095720291137695,0.13982999324798584,0.3373025059700012,0.68420300989758,0.41805708408355713,0.07816129922866821
T,268,0.5341102480888367,0.46041974425315857,0.16148099303245544,0.4008100628852844,0.7247321391413425,0.4061884582042694,0.5865430235862732
X,274,0.5354823470115662,0.4631401598453522,0.16216248273849487,0.40140512585639954,0.7819377259355195,0.40573886036872864,0.5920265316963196
N,277,0.5361541509628296,0.489372581243515,0.16220209002494812,0.3901803493499756,0.7043994475237682,0.41611143946647644,0.2619396150112152
N,289,0.5950024724006653,0.4865100085735321,0.17575165629386902,0.38764500617980957,0.7059425097590497,0.43717247247695923,0.06490679830312729
_,292,0.5217058658599854,0.4449296295642853,0.15538443624973297,0.394178181886673,0.8783769302070141,0.4041782021522522,0.0
_,308,0.5217669606208801,0.44494253396987915,0.15541386604309082,0.3942156136035919,0.8783657704045376,0.40421557426452637,0.0
N,311,0.5694519281387329,0.4914604723453522,0.17223018407821655,0.39511287212371826,0.6951302689506509,0.4288524389266968,0.20406363904476166
_,312,0.5292773842811584,0.44652262330055237,0.15903803706169128,0.3987841010093689,0.8743479724476735,0.40878409147262573,0.0
N,314,0.5582332611083984,0.503355085849762,0.1733536273241043,0.4143357574939728,0.6914336161653744,0.4115920960903168,0.5356684327125549
S,316,0.5296557545661926,0.502009928226471,0.15620189905166626,0.36164525151252747,0.6615280739167516,0.42761334776878357,0.08945873379707336
S,317,0.5412888526916504,0.5009077787399292,0.15767325460910797,0.3658382296562195,0.6759450263701753,0.4269525408744812,0.10398959368467331
_,322,0.5292642116546631,0.44651979207992554,0.15903165936470032,0.398776113986969,0.8743434711049001,0.40877604484558105,0.0
N,326,0.6516209244728088,0.4918168783187866,0.1887773722410202,0.39920562505722046,0.6799888378343683,0.44868314266204834,0.07891231775283813
S,332,0.4762299656867981,0.5028002262115479,0.14244967699050903,0.35013628005981445,0.729872579932174,0.4150962829589844,0.10512448847293854
N,344,0.5490758419036865,0.49033650755882263,0.16529551148414612,0.3917902708053589,0.7000689615608224,0.42236796021461487,0.22768796980381012
X,354,0.5766896605491638,0.4908650815486908,0.1765095293521881,0.39838042855262756,0.6889282660404449,0.43643394112586975,0.1654701977968216
S,374,0.47232794761657715,0.5009677410125732,0.14133435487747192,0.3478393256664276,0.750710882722245,0.415733277797699,0.08737773448228836
X,376,0.5918237566947937,0.4926259517669678,0.18018434941768646,0.4008255898952484,0.6824426604873407,0.4385753870010376,0.1734411120414734
S,377,0.4816860556602478,0.5034170150756836,0.14470723271369934,0.3548339307308197,0.7279421703802655,0.4154632091522217,0.12345284223556519
T,378,0.5414505004882812,0.4574539363384247,0.16500575840473175,0.40550506114959717,0.79849985266843,0.4125516712665558,0.5897539854049683
_,387,0.5291935205459595,0.44650503993034363,0.15899750590324402,0.3987332880496979,0.8743881795555354,0.4087332785129547,0.0
_,396,0.5291168093681335,0.4464888572692871,0.15896044671535492,0.39868679642677307,0.8743720541149378,0.4086867868900299,0.0
N,398,0.5464059710502625,0.4880049228668213,0.16376128792762756,0.3896130323410034,0.7174731554622774,0.4212985932826996,0.2101617008447647
S,399,0.48207977414131165,0.5029928684234619,0.14544644951820374,0.35010772943496704,0.7390355162109093,0.42073890566825867,0.08303961902856827
_,403,0.5290961861610413,0.4464845359325409,0.15895047783851624,0.39867421984672546,0.8743721141045293,0.4086742103099823,0.0
N,407,0.547868013381958,0.4854825437068939,0.16542239487171173,0.38417744636535645,0.723065215034967,0.42899686098098755,0.10130015015602112
N,409,0.6404128074645996,0.48826804757118225,0.18673643469810486,0.3944716453552246,0.6949209916890793,0.4492357075214386,0.02287908084690571
T,416,0.6136374473571777,0.48373526334762573,0.1798263043165207,0.4007694721221924,0.7080834516455488,0.43628090620040894,0.1357848346233368
T,428,0.543845534324646,0.4592045247554779,0.1661790907382965,0.40686917304992676,0.7956548380380886,0.4135396182537079,0.5872536301612854
N,438,0.5506964325904846,0.49749481678009033,0.1689920872449875,0.4028462767601013,0.694484145411637,0.42073994874954224,0.3474525213241577
T,447,0.5436424612998962,0.4604089558124542,0.16608461737632751,0.40672335028648376,0.7949742106773936,0.41305527091026306,0.5823498368263245
X,454,0.5391868948936462,0.46222981810569763,0.16393612325191498,0.4038247764110565,0.783755101471561,0.408955842256546,0.5887320637702942
S,457,0.5064522624015808,0.5005704760551453,0.1519264280796051,0.35298952460289,0.7401560764636815,0.4286499619483948,0.04913715645670891
_,465,0.5292624831199646,0.44651949405670166,0.15903089940547943,0.39877498149871826,0.8742310921351115,0.4087749421596527,0.0
T,468,0.5455999970436096,0.48850199580192566,0.16747640073299408,0.4065243601799011,0.7153504511041017,0.41610342264175415,0.4211796522140503
X,469,0.5425786375999451,0.463519811630249,0.16558334231376648,0.405959814786911,0.7560088172111773,0.4112692177295685,0.5768183469772339
T,471,0.5408411026000977,0.45805150270462036,0.16470889747142792,0.405155211687088,0.8005563391824642,0.4120396077632904,0.5839346647262573
S,475,0.4808817207813263,0.5105739235877991,0.14130954444408417,0.34071192145347595,0.6835179415820715,0.4208820164203644,0.080707848072052
X,479,0.5382009744644165,0.4903397262096405,0.16475233435630798,0.39592912793159485,0.6993497961029077,0.41714000701904297,0.3040887415409088
T,480,0.5400816798210144,0.4591590464115143,0.16434705257415771,0.40460410714149475,0.7851423860078451,0.4109840393066406,0.5865007042884827
_,482,0.5291852951049805,0.44650331139564514,0.15899352729320526,0.3987283408641815,0.8743835358073314,0.40872830152511597,0.0
_,494,0.5293317437171936,0.44653403759002686,0.15906432271003723,0.3988170027732849,0.8743092840289076,0.40881699323654175,0.0
N,512,0.5319632887840271,0.4889242649078369,0.16105420887470245,0.388083815574646,0.7169311403689305,0.4204052686691284,0.21154184639453888
X,516,0.5431913137435913,0.46338599920272827,0.1658792644739151,0.40619751811027527,0.7817130351567835,0.41124430298805237,0.5900068879127502
T,517,0.5485623478889465,0.486116498708725,0.16822600364685059,0.403493195772171,0.7207146368470934,0.4200286269187927,0.3410111963748932
X,521,0.5692291259765625,0.49098917841911316,0.1721426099538803,0.3942627012729645,0.6996577862941983,0.43035680055618286,0.184668630361557
_,536,0.5292152166366577,0.4465095102787018,0.1590079814195633,0.39874646067619324,0.8743734144543609,0.4087464511394501,0.0
X,550,0.5488708019256592,0.4659839868545532,0.1686640977859497,0.40955764055252075,0.7725535352424016,0.4144730865955353,0.5804987549781799
X,564,0.5423905849456787,0.46253275871276855,0.1654866337776184,0.4059177339076996,0.779614374634748,0.41159117221832275,0.5751132369041443
S,574,0.4791675806045532,0.517950713634491,0.14276640117168427,0.3473372459411621,0.6653087400267349,0.4164811968803406,0.13817012310028076
N,581,0.5585171580314636,0.4860761761665344,0.1657446026802063,0.3858775198459625,0.7196237710036713,0.42662903666496277,0.13216279447078705
_,588,0.5385048389434814,0.4484531879425049,0.16350789368152618,0.4043470323085785,0.8689581244438888,0.4143470227718353,0.0
